m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,7544.656481481482,-23.416450097772838,,-22.616969880837303,,-22.45350254784502,
0.1,0.2,7544.656481481482,-30.38434822845197,,-47.709510298903204,,-38.35072842780585,
0.1,0.3,7544.656481481482,-35.27140153861092,,,,-47.49220945406121,
0.1,0.4,7544.656481481482,-39.40035669163319,,,,-58.22531589932549,
0.1,0.5,7544.656481481482,-45.28565657074687,,,,-66.62789964732356,
0.1,0.6,7544.656481481482,-56.41650410063735,,,,-77.60905880755129,
0.1,0.7,7544.656481481482,-73.32424476998764,,,,-95.55654932038719,
0.1,0.8,7544.656481481482,-76.02026768140608,,,,-99.60283156191579,
0.1,0.9,7544.656481481482,-94.90657244924047,,,,-117.98919732447301,
0.2,0.2,7544.656481481482,-38.969026410915596,,-37.07721840751385,,-40.15579496436196,
0.2,0.3,7544.656481481482,-49.98167187978296,,-53.555880930526264,,-49.15551270083678,
0.2,0.4,7544.656481481482,-53.52751019000648,,-62.64148326197895,,-59.44784260091835,
0.2,0.5,7544.656481481482,-65.52534631526885,,-102.94609796129264,,-76.32435424978023,
0.2,0.6,7544.656481481482,-74.88957020300624,,,,-87.29149451064183,
0.2,0.7,7544.656481481482,-79.61604074095712,,,,-92.93289143640436,
0.2,0.8,7544.656481481482,-85.2254002395065,,,,-100.7698911603639,
0.2,0.9,7544.656481481482,-104.04694115178899,,,,-124.39787579464492,
0.3,0.3,7544.656481481482,-67.4085657444543,,-67.1390389890132,,-62.91059349573854,
0.3,0.4,7544.656481481482,-71.43503640458577,,-72.78434174471441,,-67.56088114489513,
0.3,0.5,7544.656481481482,-74.83831294277428,,-78.59905729547069,,-76.46677597037382,
0.3,0.6,7544.656481481482,-86.80254805703315,,-94.76603474123007,,-88.9321154839937,
0.3,0.7,7544.656481481482,-90.56491503285541,,-101.28143991877931,,-98.10661034055423,
0.3,0.8,7544.656481481482,-102.88581369453993,,-172.10760204821474,,-110.69004993540304,
0.3,0.9,7544.656481481482,-104.25314270400068,,,,-120.57864679722039,
0.4,0.4,7544.656481481482,-90.4709743579697,,-87.53486170698439,,-79.85041148044121,
0.4,0.5,7544.656481481482,-85.14946538020146,,-82.34431191336756,,-78.13757635318647,
0.4,0.6,7544.656481481482,-95.46999268303931,,-89.02463164078812,,-97.27781954235313,
0.4,0.7,7544.656481481482,-99.02341772761639,,-103.47882547381329,,-97.00759329073912,
0.4,0.8,7544.656481481482,-111.29460002517742,,-120.2828832904021,,-115.36137139557972,
0.4,0.9,7544.656481481482,-114.7489102117319,,,,-131.59429998899432,
0.5,0.5,7544.656481481482,-112.64901331235154,,-107.04357165653738,,-97.11091939269696,
0.5,0.6,7544.656481481482,-109.97703781900809,,-107.73539273110923,,-101.57056382087504,
0.5,0.7,7544.656481481482,-127.25484476393257,,-114.63783190300975,,-121.76091173820892,
0.5,0.8,7544.656481481482,-121.7529728689038,,-116.9111066197127,,-119.25511014332466,
0.5,0.9,7544.656481481482,-138.13523436916407,,,,-150.79710406135413,
0.6,0.6,7544.656481481482,-133.49377268337213,,-121.2871913487805,,-116.23930338503155,
0.6,0.7,7544.656481481482,-131.28597644196992,,-127.42290464328092,,-116.22270512412017,
0.6,0.8,7544.656481481482,-139.10493057207097,,-128.6242022341817,,-130.53948858584772,
0.6,0.9,7544.656481481482,-148.84651958101384,,-182.15081276569546,,-153.63824718367835,
0.7,0.7,7544.656481481482,-180.04597447977784,,-153.76250566550874,,-151.53372985158595,
0.7,0.8,7544.656481481482,-178.61866144380184,,-160.57333688157038,,-156.7926758589428,
0.7,0.9,7544.656481481482,-207.7515146617007,,-201.47690351639588,,-206.30443136230303,
0.8,0.8,7544.656481481482,-241.18259116142687,,-211.69812368649696,,-193.82647958013013,
0.8,0.9,7544.656481481482,-284.5498900229564,,-241.9911554028186,,-262.3353760324019,
0.9,0.9,7544.656481481482,-438.17042884104245,,-365.82077067203267,,-345.902481342079,
0.01,0.01,7544.656481481482,-0.36821612790549096,,2.017949918910272,,-2.8472768369010026,
0.01,0.02,7544.656481481482,-3.609115520873811,,-28.205683927700097,,-15.809321908803273,
0.01,0.03,7544.656481481482,-3.612852461858882,,,,-20.378249411564298,
0.01,0.04,7544.656481481482,-2.0528377342948403,,,,-20.94382433582909,
0.01,0.05,7544.656481481482,-7.764814414352738,,,,-28.114849947472038,
0.01,0.06,7544.656481481482,-6.627808386494596,,,,-28.911915731290517,
0.01,0.07,7544.656481481482,-7.943510705817189,,,,-31.216891941348162,
0.01,0.08,7544.656481481482,-5.203883671913573,,,,-29.202554143574602,
0.01,0.09,7544.656481481482,-8.623203169847951,,,,-34.052362006385266,
0.02,0.02,7544.656481481482,-8.549979596996003,,-7.077705290241575,,-7.259617161059431,
0.02,0.03,7544.656481481482,-5.427901680226647,,-16.60002668475329,,-12.41358814830847,
0.02,0.04,7544.656481481482,-9.270397275801308,,-35.59942451961791,,-20.6427582320195,
0.02,0.05,7544.656481481482,-7.625350628678149,,-89.3527920038085,,-22.451937170305587,
0.02,0.06,7544.656481481482,-9.349797072811718,,,,-23.816347594538456,
0.02,0.07,7544.656481481482,-6.4464268361331065,,,,-25.56550950765887,
0.02,0.08,7544.656481481482,-6.415655380994231,,,,-26.4586999936257,
0.02,0.09,7544.656481481482,-7.028977949307315,,,,-26.92602979143943,
0.03,0.03,7544.656481481482,-6.142640859928555,,-7.622232419965755,,-9.1648734192913,
0.03,0.04,7544.656481481482,-9.605587593718258,,-14.740888025239759,,-11.343187855256105,
0.03,0.05,7544.656481481482,-8.004337717119192,,-18.75961421119203,,-14.839208188106515,
0.03,0.06,7544.656481481482,-8.904999188784384,,-36.50724581046333,,-19.886929626412908,
0.03,0.07,7544.656481481482,-11.334741578947853,,-63.90846273927569,,-23.452990094119933,
0.03,0.08,7544.656481481482,-13.778294661028621,,-156.1256076734932,,-25.168123861928823,
0.03,0.09,7544.656481481482,-11.842113612724635,,,,-26.8692385729065,
0.04,0.04,7544.656481481482,-10.368772036460726,,-8.895382529433853,,-10.966645742983996,
0.04,0.05,7544.656481481482,-10.860655731804659,,-13.426655145816053,,-13.888502817744815,
0.04,0.06,7544.656481481482,-10.480561422878537,,-19.94796084536599,,-15.24802910045733,
0.04,0.07,7544.656481481482,-10.955129959620074,,-23.592542195455913,,-20.819798687147827,
0.04,0.08,7544.656481481482,-10.80529431132338,,-35.20014743484635,,-22.03366951630885,
0.04,0.09,7544.656481481482,-10.542163052074777,,-56.21600859941429,,-23.886352474593835,
0.05,0.05,7544.656481481482,-10.0098852932909,,-11.277138858527714,,-12.555124664586376,
0.05,0.06,7544.656481481482,-12.37012462037341,,-14.18935951623859,,-14.758127999134807,
0.05,0.07,7544.656481481482,-17.08745425959171,,-23.940231046850542,,-16.207762348898687,
0.05,0.08,7544.656481481482,-17.175378287138223,,-20.59365482148509,,-21.81889748783569,
0.05,0.09,7544.656481481482,-14.574578731917395,,-33.75016786817086,,-24.19664487460543,
0.06,0.06,7544.656481481482,-18.951653380587803,,-19.024604552484366,,-14.939610458311947,
0.06,0.07,7544.656481481482,-13.145465974851497,,-17.999230142144498,,-18.54435601450349,
0.06,0.08,7544.656481481482,-15.129379545335954,,-16.44846889170074,,-18.01482221228657,
0.06,0.09,7544.656481481482,-13.652250345170497,,-26.331229383006185,,-17.94255863024713,
0.07,0.07,7544.656481481482,-15.967753656169808,,-16.13877164700727,,-14.15117083693874,
0.07,0.08,7544.656481481482,-18.42397544063509,,-16.72788553644213,,-17.76637216999675,
0.07,0.09,7544.656481481482,-17.659078895325322,,-21.262229820120773,,-19.0470170702477,
0.08,0.08,7544.656481481482,-19.297064516156453,,-18.19334124258144,,-15.901198252143708,
0.08,0.09,7544.656481481482,-18.56276818126364,,-20.519136393447784,,-19.85181504778119,
0.09,0.09,7544.656481481482,-22.92577315627612,,-21.15773688411932,,-21.443542044788007,
0.11,0.11,7544.656481481482,-24.024003222846012,,-19.514673208917173,,-22.272072435417186,
0.12,0.12,7544.656481481482,-27.78561992226185,,-25.55150867624218,,-24.172062557508525,
0.13,0.13,7544.656481481482,-28.902262781954168,,-26.360064731585883,,-28.26470834824669,
0.14,0.14,7544.656481481482,-28.501287790342317,,-25.22764372045068,,-27.1178295382216,
0.15,0.15,7544.656481481482,-29.882706007012427,,-30.865012453700285,,-24.640710255185382,
0.16,0.16,7544.656481481482,-36.51413622191109,,-31.235731104941234,,-36.80085034115116,
0.17,0.17,7544.656481481482,-34.29379069873556,,-30.42826551226404,,-33.49102714742176,
0.18,0.18,7544.656481481482,-37.328930947648686,,-36.607329683542346,,-35.64042295493821,
0.19,0.19,7544.656481481482,-43.545282922983645,,-35.162081694659435,,-41.45361136017529,
0.21,0.21,7544.656481481482,-42.185078876389355,,-41.93995578367067,,-41.27278855025836,
0.22,0.22,7544.656481481482,-44.16396180393626,,-42.786003203058826,,-39.5476150385759,
0.23,0.23,7544.656481481482,-52.01131222756845,,-49.100208261095645,,-52.69085080634028,
0.24,0.24,7544.656481481482,-47.778149637039554,,-45.35255976639473,,-41.84798043244199,
0.25,0.25,7544.656481481482,-53.92471276560721,,-49.71592346769344,,-49.96425194766303,
0.26,0.26,7544.656481481482,-53.56831393076913,,-48.81150734167321,,-51.906661188438186,
0.27,0.27,7544.656481481482,-58.92358108911156,,-57.48404901193019,,-52.76410980332455,
0.28,0.28,7544.656481481482,-59.13452876725164,,-56.32787415998331,,-50.41881902478698,
0.29,0.29,7544.656481481482,-61.12656008829291,,-62.52562701553027,,-56.25600490569187,
0.31,0.31,7544.656481481482,-70.16642083511097,,-62.75154670885517,,-61.75084956585323,
0.32,0.32,7544.656481481482,-67.73800137977939,,-65.27898727241939,,-65.48235331623732,
0.33,0.33,7544.656481481482,-66.56406648905141,,-63.48358503592294,,-61.43797239529742,
0.34,0.34,7544.656481481482,-66.20060366086022,,-60.67495268501368,,-59.04011346546104,
0.35,0.35,7544.656481481482,-63.612730109723366,,-62.33580482632099,,-58.26023199566749,
0.36,0.36,7544.656481481482,-72.87633919551486,,-63.568261469845055,,-64.56274676717416,
0.37,0.37,7544.656481481482,-69.8152790348316,,-67.79074599564103,,-63.78826593163862,
0.38,0.38,7544.656481481482,-69.40243513974005,,-66.37183017390822,,-61.44925019791734,
0.39,0.39,7544.656481481482,-78.0632079098502,,-69.158624521479,,-70.21039116377722,
0.41,0.41,7544.656481481482,-75.65051785427497,,-69.38667208024155,,-66.98197464378313,
0.42,0.42,7544.656481481482,-86.7395076615093,,-76.24888484239466,,-73.39668833597857,
0.43,0.43,7544.656481481482,-82.44513286351184,,-75.68882377136651,,-72.41431799334148,
0.44,0.44,7544.656481481482,-89.22127734081627,,-87.51544334761014,,-80.97424873367947,
0.45,0.45,7544.656481481482,-91.65254123035356,,-85.17226713249835,,-83.57851506809817,
0.46,0.46,7544.656481481482,-99.12535630550249,,-90.87955545192236,,-92.75252162106958,
0.47,0.47,7544.656481481482,-94.52021230692043,,-90.69086758124146,,-83.79830748811492,
0.48,0.48,7544.656481481482,-105.03379550366282,,-99.30396025420981,,-95.94166681356276,
