m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,7544.656481481482,-1070.6444263218352,,-908.8419857188908,,-809.6660058439531,
0.1,0.2,7544.656481481482,-1563.762112911857,,-3411.589771041757,,-1943.7716489125135,
0.1,0.3,7544.656481481482,-2178.8810760145784,,,,-2827.743181987416,
0.1,0.4,7544.656481481482,-2133.7591610715403,,,,-2915.582863374656,
0.1,0.5,7544.656481481482,-3320.3965199236227,,,,-4151.507913685214,
0.1,0.6,7544.656481481482,-4059.2269105684154,,,,-4861.457979414278,
0.1,0.7,7544.656481481482,-5861.363115882224,,,,-6586.864805093769,
0.1,0.8,7544.656481481482,-5318.688155093702,,,,-6244.21457899,
0.1,0.9,7544.656481481482,-7031.92261516729,,,,-7914.540405073208,
0.2,0.2,7544.656481481482,-2494.263727646225,,-1846.7085599131506,,-2718.134888502891,
0.2,0.3,7544.656481481482,-2872.383509113046,,-3167.6111058531906,,-2834.380764492873,
0.2,0.4,7544.656481481482,-3198.332932639464,,-5102.4829467599375,,-3548.5377857631797,
0.2,0.5,7544.656481481482,-4421.640113274302,,-11375.548465511045,,-4935.317844428689,
0.2,0.6,7544.656481481482,-5180.924233110984,,,,-5781.06343268368,
0.2,0.7,7544.656481481482,-6375.886461441197,,,,-7028.470593375318,
0.2,0.8,7544.656481481482,-6956.655174904505,,,,-7695.594600192086,
0.2,0.9,7544.656481481482,-8750.251595858472,,,,-9610.060526929889,
0.3,0.3,7544.656481481482,-4679.410126899907,,-4565.942608634327,,-4295.188845096023,
0.3,0.4,7544.656481481482,-4633.721233525415,,-4725.2023695706675,,-4121.493581452871,
0.3,0.5,7544.656481481482,-6438.666234921253,,-6233.388596913206,,-6458.729051102812,
0.3,0.6,7544.656481481482,-7294.177919349614,,-6911.091892092705,,-7536.207149184471,
0.3,0.7,7544.656481481482,-6554.614663688337,,-9560.240312481123,,-6816.995313873841,
0.3,0.8,7544.656481481482,-8989.726309028434,,-27539.631024946644,,-9407.733693123426,
0.3,0.9,7544.656481481482,-11095.267832838506,,,,-11729.268690242006,
0.4,0.4,7544.656481481482,-5953.616736909942,,-5744.780543860136,,-5528.225761313831,
0.4,0.5,7544.656481481482,-6935.838840258824,,-6626.2054944596985,,-6272.058059119972,
0.4,0.6,7544.656481481482,-6850.296652209519,,-7489.363318604908,,-6987.922171830694,
0.4,0.7,7544.656481481482,-8170.09019342988,,-8888.02505725746,,-8051.081037994656,
0.4,0.8,7544.656481481482,-11283.932024139773,,-13153.90852275061,,-11445.275817174439,
0.4,0.9,7544.656481481482,-11581.538742410667,,,,-12530.437752342548,
0.5,0.5,7544.656481481482,-9323.593073239817,,-8423.263233074686,,-8201.538427807276,
0.5,0.6,7544.656481481482,-9323.559496625,,-9675.89516827808,,-8704.328051434912,
0.5,0.7,7544.656481481482,-13565.908055834341,,-11200.702899154801,,-13196.25595138811,
0.5,0.8,7544.656481481482,-13120.112927010025,,-11514.066170624174,,-13041.11848103237,
0.5,0.9,7544.656481481482,-16502.6262594438,,,,-17010.229822450823,
0.6,0.6,7544.656481481482,-16684.252794215008,,-13277.034886926042,,-15367.630872740045,
0.6,0.7,7544.656481481482,-15763.364518548013,,-12620.335278805389,,-14303.771131624017,
0.6,0.8,7544.656481481482,-17228.280947067276,,-14348.762813874246,,-16737.773809193008,
0.6,0.9,7544.656481481482,-18398.43586140231,,-26228.590170188563,,-18600.273179321433,
0.7,0.7,7544.656481481482,-27694.59076742332,,-17685.96923830991,,-25267.378602546352,
0.7,0.8,7544.656481481482,-24302.432612698663,,-21267.954917877523,,-22418.98495059674,
0.7,0.9,7544.656481481482,-29831.108520395737,,-28748.02770729782,,-29725.27293035794,
0.8,0.8,7544.656481481482,-46841.35314459553,,-32465.915875159684,,-42021.29592906217,
0.8,0.9,7544.656481481482,-57544.69518408563,,-39360.01600843944,,-55917.282907038665,
0.9,0.9,7544.656481481482,-161050.86338416336,,-89389.17056898681,,-148463.5360265884,
0.01,0.01,7544.656481481482,68.46588400367341,,256.0925528722346,,-190.10406919504783,
0.01,0.02,7544.656481481482,-237.55906362306803,,-1810.932097508282,,-766.062576098605,
0.01,0.03,7544.656481481482,-230.23514601337808,,,,-908.9430792265009,
0.01,0.04,7544.656481481482,27.94660970939219,,,,-686.1920406158615,
0.01,0.05,7544.656481481482,-359.80813069862074,,,,-1038.2826390231583,
0.01,0.06,7544.656481481482,-146.985092183392,,,,-884.2325925605217,
0.01,0.07,7544.656481481482,-474.9078931339716,,,,-1227.3089380362474,
0.01,0.08,7544.656481481482,-65.55784474904453,,,,-889.9216937637115,
0.01,0.09,7544.656481481482,-366.015424736661,,,,-1191.471288731845,
0.02,0.02,7544.656481481482,-271.99868980687836,,3.498555568569145,,-185.95666687741607,
0.02,0.03,7544.656481481482,-271.3376160211882,,-1291.180266223725,,-601.0843234095944,
0.02,0.04,7544.656481481482,-133.9065631395065,,-3734.1069620770386,,-808.2675572603996,
0.02,0.05,7544.656481481482,-58.80330734094082,,-13165.2333258052,,-810.1418317192695,
0.02,0.06,7544.656481481482,-190.80995376087174,,,,-914.6703804394131,
0.02,0.07,7544.656481481482,-261.4389306881287,,,,-1222.6552327490292,
0.02,0.08,7544.656481481482,-401.7566504266217,,,,-1145.2059989632462,
0.02,0.09,7544.656481481482,-154.91593563112838,,,,-942.881033162216,
0.03,0.03,7544.656481481482,-136.69824200922756,,-227.83125353590242,,-385.46023519388996,
0.03,0.04,7544.656481481482,-552.3139656837086,,-579.5193981182854,,-712.18686236758,
0.03,0.05,7544.656481481482,-207.84492939872382,,-1234.0657952555453,,-450.4634953834735,
0.03,0.06,7544.656481481482,-339.20194457998787,,-2731.898222423995,,-883.7014557760335,
0.03,0.07,7544.656481481482,-423.5447941624127,,-6402.285952995291,,-937.1049515673091,
0.03,0.08,7544.656481481482,-473.37928015586715,,-29344.818781071073,,-1105.2252053900427,
0.03,0.09,7544.656481481482,-535.7160534854097,,,,-1198.6188215987422,
0.04,0.04,7544.656481481482,-367.3942830849734,,-377.1927284908776,,-191.28697420050298,
0.04,0.05,7544.656481481482,-363.93484895431607,,-484.5385527486992,,-513.371061689503,
0.04,0.06,7544.656481481482,-378.747507390142,,-1028.2047587290358,,-572.1780893391261,
0.04,0.07,7544.656481481482,-71.36471280339242,,-1655.9469998499083,,-651.1677000164757,
0.04,0.08,7544.656481481482,-326.28022611317374,,-2549.823479258699,,-886.3818299568791,
0.04,0.09,7544.656481481482,-212.4503662150505,,-6096.067492604466,,-802.6752299027787,
0.05,0.05,7544.656481481482,-238.3154332347567,,-238.5744145393055,,-430.86879640716086,
0.05,0.06,7544.656481481482,-516.1242025870102,,-724.2030257302102,,-484.2538730744267,
0.05,0.07,7544.656481481482,-683.3076443326313,,-1116.2929798793639,,-586.2508472133715,
