m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.25,8.573388203017834e-07,2962.6453703703705,91.67787407269803,398.7702392645418
0.1,0.2,0.25,8.573388203017834e-07,2962.6453703703705,92.01297744841385,405.561086245546
0.1,0.3,0.25,8.573388203017834e-07,2962.6453703703705,94.95355545367318,401.787448345079
0.1,0.4,0.25,8.573388203017834e-07,2962.6453703703705,88.70491283343848,389.51805485675214
0.1,0.5,0.25,8.573388203017834e-07,2962.6453703703705,92.51735344578631,401.48602683080264
0.1,0.6,0.25,8.573388203017834e-07,2962.6453703703705,96.4989006381698,378.7953652135476
0.1,0.7,0.25,8.573388203017834e-07,2962.6453703703705,95.52857102028356,383.22334695201323
0.1,0.8,0.25,8.573388203017834e-07,2962.6453703703705,86.83020985230272,403.62259331086324
0.1,0.9,0.25,8.573388203017834e-07,2962.6453703703705,93.26774993326748,393.5042439465364
0.2,0.2,0.25,8.573388203017834e-07,2962.6453703703705,91.64637602749838,398.15064210619965
0.2,0.3,0.25,8.573388203017834e-07,2962.6453703703705,92.74204835140924,380.23852674685463
0.2,0.4,0.25,8.573388203017834e-07,2962.6453703703705,97.63815889365173,384.71488954322973
0.2,0.5,0.25,8.573388203017834e-07,2962.6453703703705,95.4108505550401,387.8096798725873
0.2,0.6,0.25,8.573388203017834e-07,2962.6453703703705,91.24993980579326,368.18942951173824
0.2,0.7,0.25,8.573388203017834e-07,2962.6453703703705,83.46139081633304,385.79094933379565
0.2,0.8,0.25,8.573388203017834e-07,2962.6453703703705,92.85924040064856,378.197717357228
0.2,0.9,0.25,8.573388203017834e-07,2962.6453703703705,86.175535288516,421.8094293803399
0.3,0.3,0.25,8.573388203017834e-07,2962.6453703703705,92.79627656581722,386.7739902481882
0.3,0.4,0.25,8.573388203017834e-07,2962.6453703703705,92.18641604867666,396.3229700284933
0.3,0.5,0.25,8.573388203017834e-07,2962.6453703703705,86.12218536989917,397.4686115859265
0.3,0.6,0.25,8.573388203017834e-07,2962.6453703703705,94.3629409747111,394.53506176368046
0.3,0.7,0.25,8.573388203017834e-07,2962.6453703703705,112.67470010073323,402.17893853394173
0.3,0.8,0.25,8.573388203017834e-07,2962.6453703703705,88.92367523354889,393.75659937003826
0.3,0.9,0.25,8.573388203017834e-07,2962.6453703703705,94.75321227700172,406.03171722082794
0.4,0.4,0.25,8.573388203017834e-07,2962.6453703703705,83.92208994975661,378.21770835736277
0.4,0.5,0.25,8.573388203017834e-07,2962.6453703703705,90.10610414427973,403.0771661210096
0.4,0.6,0.25,8.573388203017834e-07,2962.6453703703705,87.66452170644159,432.10863879856396
0.4,0.7,0.25,8.573388203017834e-07,2962.6453703703705,92.68970564271183,426.3443915126248
0.4,0.8,0.25,8.573388203017834e-07,2962.6453703703705,95.14203099406663,393.71628715253945
0.4,0.9,0.25,8.573388203017834e-07,2962.6453703703705,97.4735648161631,412.7363228149142
0.5,0.5,0.25,8.573388203017834e-07,2962.6453703703705,92.34231347676008,374.2154780043869
0.5,0.6,0.25,8.573388203017834e-07,2962.6453703703705,92.7995379844115,388.7803599990301
0.5,0.7,0.25,8.573388203017834e-07,2962.6453703703705,89.3679817248497,376.2224137658138
0.5,0.8,0.25,8.573388203017834e-07,2962.6453703703705,91.36360383502736,387.80953398509314
0.5,0.9,0.25,8.573388203017834e-07,2962.6453703703705,90.63651870202841,392.8376136719445
0.6,0.6,0.25,8.573388203017834e-07,2962.6453703703705,86.92147886726465,421.1456601704016
0.6,0.7,0.25,8.573388203017834e-07,2962.6453703703705,97.29820174047569,405.6403257671836
0.6,0.8,0.25,8.573388203017834e-07,2962.6453703703705,94.36375939476042,402.1306009954964
0.6,0.9,0.25,8.573388203017834e-07,2962.6453703703705,96.54416600141688,400.93176719526
0.7,0.7,0.25,8.573388203017834e-07,2962.6453703703705,91.85512463116724,398.84693662235014
0.7,0.8,0.25,8.573388203017834e-07,2962.6453703703705,94.82414069504476,434.54482881924116
0.7,0.9,0.25,8.573388203017834e-07,2962.6453703703705,94.56677484264694,400.8647354884517
0.8,0.8,0.25,8.573388203017834e-07,2962.6453703703705,96.03912922175854,390.4175722425867
0.8,0.9,0.25,8.573388203017834e-07,2962.6453703703705,96.36522730959067,384.28326281469805
0.9,0.9,0.25,8.573388203017834e-07,2962.6453703703705,90.27139346001404,404.75123808127853
0.01,0.01,0.25,8.573388203017834e-07,2962.6453703703705,88.31997001406502,402.53570132789923
0.01,0.02,0.25,8.573388203017834e-07,2962.6453703703705,94.32298317271267,400.135345175097
0.01,0.03,0.25,8.573388203017834e-07,2962.6453703703705,85.35803470002466,404.7719957555009
0.01,0.04,0.25,8.573388203017834e-07,2962.6453703703705,96.71302824993374,409.6778328772262
0.01,0.05,0.25,8.573388203017834e-07,2962.6453703703705,99.31733760857524,391.70379181677924
0.01,0.06,0.25,8.573388203017834e-07,2962.6453703703705,97.08453337599092,394.64714635094674
0.01,0.07,0.25,8.573388203017834e-07,2962.6453703703705,96.84665822602116,379.689439491011
0.01,0.08,0.25,8.573388203017834e-07,2962.6453703703705,95.57008226778277,409.7366772006211
0.01,0.09,0.25,8.573388203017834e-07,2962.6453703703705,94.09577364847708,391.9870185298852
0.02,0.02,0.25,8.573388203017834e-07,2962.6453703703705,97.22228546144959,384.3316800340732
0.02,0.03,0.25,8.573388203017834e-07,2962.6453703703705,96.15403537974974,418.61316899325385
0.02,0.04,0.25,8.573388203017834e-07,2962.6453703703705,96.95357300457263,395.1887227703117
0.02,0.05,0.25,8.573388203017834e-07,2962.6453703703705,91.26662026036384,381.31757004506875
0.02,0.06,0.25,8.573388203017834e-07,2962.6453703703705,97.80960359800389,409.6678504608824
0.02,0.07,0.25,8.573388203017834e-07,2962.6453703703705,91.30779250181021,406.3813033010846
0.02,0.08,0.25,8.573388203017834e-07,2962.6453703703705,96.00036912766987,406.75169713226825
0.02,0.09,0.25,8.573388203017834e-07,2962.6453703703705,94.50409356088116,386.262390282635
0.03,0.03,0.25,8.573388203017834e-07,2962.6453703703705,105.29802462478986,399.6255914430881
0.03,0.04,0.25,8.573388203017834e-07,2962.6453703703705,96.0665618429427,393.24623388670364
0.03,0.05,0.25,8.573388203017834e-07,2962.6453703703705,90.11720638208794,396.2242318630483
0.03,0.06,0.25,8.573388203017834e-07,2962.6453703703705,86.59471154488364,407.4714431538046
0.03,0.07,0.25,8.573388203017834e-07,2962.6453703703705,93.34689509654224,393.6554011853032
0.03,0.08,0.25,8.573388203017834e-07,2962.6453703703705,100.09935650617834,371.8026383789584
0.03,0.09,0.25,8.573388203017834e-07,2962.6453703703705,89.39831581192462,400.78069060776147
0.04,0.04,0.25,8.573388203017834e-07,2962.6453703703705,91.89477058331974,381.69605668416386
0.04,0.05,0.25,8.573388203017834e-07,2962.6453703703705,103.05004986570096,384.9609102584671
0.04,0.06,0.25,8.573388203017834e-07,2962.6453703703705,92.11966863011757,400.24846341157104
0.04,0.07,0.25,8.573388203017834e-07,2962.6453703703705,93.72098381749299,410.68873738733055
0.04,0.08,0.25,8.573388203017834e-07,2962.6453703703705,90.61290326139307,410.86941535370323
0.04,0.09,0.25,8.573388203017834e-07,2962.6453703703705,92.71464385831116,403.9925490995372
0.05,0.05,0.25,8.573388203017834e-07,2962.6453703703705,93.4513346756718,414.17206401985743
0.05,0.06,0.25,8.573388203017834e-07,2962.6453703703705,95.33040376445571,391.89925413897487
0.05,0.07,0.25,8.573388203017834e-07,2962.6453703703705,89.416678954825,383.1898737142716
0.05,0.08,0.25,8.573388203017834e-07,2962.6453703703705,96.98239749248093,390.45539923030066
0.05,0.09,0.25,8.573388203017834e-07,2962.6453703703705,94.39907915801062,404.7562336204343
0.06,0.06,0.25,8.573388203017834e-07,2962.6453703703705,96.97257951013266,403.243894929406
0.06,0.07,0.25,8.573388203017834e-07,2962.6453703703705,90.63801721464284,422.795611934383
0.06,0.08,0.25,8.573388203017834e-07,2962.6453703703705,87.64894357233544,398.00951504257625
0.06,0.09,0.25,8.573388203017834e-07,2962.6453703703705,85.96202576265885,411.8762952562966
0.07,0.07,0.25,8.573388203017834e-07,2962.6453703703705,90.37508709882421,373.16839676965446
0.07,0.08,0.25,8.573388203017834e-07,2962.6453703703705,86.09313406553657,394.4748353498479
