m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.2276317642164649,7.716049382716049e-07,2962.6453703703705,102.30761163585298,410.45539258171743
0.1,0.2,1.204751720390425,7.716049382716049e-07,2962.6453703703705,20.421988625191,81.93577720810158
0.1,0.3,2.181335897592665,7.716049382716049e-07,2962.6453703703705,10.095418951342507,
0.1,0.4,3.1573586003831196,7.716049382716049e-07,2962.6453703703705,7.303288521118963,
0.1,0.5,4.132792239318897,7.716049382716049e-07,2962.6453703703705,5.697890056450968,
0.1,0.6,5.1076071401137195,7.716049382716049e-07,2962.6453703703705,4.601101015946535,
0.1,0.7,6.08177132813837,7.716049382716049e-07,2962.6453703703705,4.043104476522753,
0.1,0.8,7.055250284336993,7.716049382716049e-07,2962.6453703703705,3.652534085351945,
0.1,0.9,8.029507033393072,7.716049382716049e-07,2962.6453703703705,2.942485653762641,
0.2,0.2,0.20475172039042486,6.858710562414266e-07,2962.6453703703705,113.62743852031058,519.7595164342503
0.2,0.3,0.6813358975926657,6.858710562414266e-07,2962.6453703703705,36.08572232912644,149.3028293068991
0.2,0.4,1.1573586003831198,6.858710562414266e-07,2962.6453703703705,20.15257110428269,81.69642590935038
0.2,0.5,1.632792239318899,6.858710562414266e-07,2962.6453703703705,13.60929975989184,58.56674421318254
0.2,0.6,2.1076071401137213,6.858710562414266e-07,2962.6453703703705,11.13308741159653,
0.2,0.7,2.5817713281383705,6.858710562414266e-07,2962.6453703703705,10.057470231390223,
0.2,0.8,3.0573522448022388,6.858710562414266e-07,2962.6453703703705,7.498969517990305,
0.2,0.9,4.184423931697394,6.858710562414266e-07,2962.6453703703705,5.523969114042849,
0.3,0.3,0.1813358975926658,6.001371742112485e-07,2962.6453703703705,121.83634469730393,533.551577869335
0.3,0.4,0.49069193371645264,6.001371742112485e-07,2962.6453703703705,47.77989044294811,191.11344376478522
0.3,0.5,0.7994589059855651,6.001371742112485e-07,2962.6453703703705,27.15672915192724,126.48880503370668
0.3,0.6,1.107607140113722,6.001371742112485e-07,2962.6453703703705,19.42753245972641,94.70561806023497
0.3,0.7,1.4170752389268555,6.001371742112485e-07,2962.6453703703705,14.470787687323075,71.25201627038017
0.3,0.8,1.8318256398571757,6.001371742112485e-07,2962.6453703703705,12.331036109891935,51.58835233262346
0.3,0.9,3.1680653810118526,6.001371742112485e-07,2962.6453703703705,6.825173089877547,
0.4,0.4,0.1573586003831194,5.144032921810701e-07,2962.6453703703705,146.87422787932067,644.1670380595552
0.4,0.5,0.3827922393188983,5.144032921810701e-07,2962.6453703703705,61.43551041945677,263.0736142894079
0.4,0.6,0.608842815911888,5.144032921810701e-07,2962.6453703703705,37.31732338614674,161.41483703218907
0.4,0.7,0.8614405358423055,5.144032921810701e-07,2962.6453703703705,26.478625566100465,119.37276804622195
0.4,0.8,1.2587587916218517,5.144032921810701e-07,2962.6453703703705,18.832462696022418,79.20514250872118
0.4,0.9,2.5947726679531735,5.144032921810701e-07,2962.6453703703705,9.007678505705762,
0.5,0.5,0.13279223931889822,4.286694101508917e-07,2962.6453703703705,173.77289143588283,736.2993307505359
0.5,0.6,0.31363298754965957,4.286694101508917e-07,2962.6453703703705,73.64202898425148,325.6601845524074
0.5,0.7,0.5281196739639038,4.286694101508917e-07,2962.6453703703705,45.83916549227804,178.2195826327245
0.5,0.8,0.8877165533807067,4.286694101508917e-07,2962.6453703703705,24.868047230965338,116.26998320276387
0.5,0.9,2.0817713281383723,4.286694101508917e-07,2962.6453703703705,10.715490632120906,
0.6,0.6,0.10760714011372241,3.429355281207133e-07,2962.6453703703705,223.045430897527,962.2244220006781
0.6,0.7,0.3186641024073341,3.429355281207133e-07,2962.6453703703705,76.12010101219549,309.68051224671746
0.6,0.8,0.5900686112809056,3.429355281207133e-07,2962.6453703703705,41.92983590036218,163.29227092011575
0.6,0.9,1.5685987243816586,3.429355281207133e-07,2962.6453703703705,14.132853366805499,64.00603145421219
0.7,0.7,0.08177132813837003,2.572016460905351e-07,2962.6453703703705,294.52119680011884,1310.3237399142206
0.7,0.8,0.37858161294290865,2.572016460905351e-07,2962.6453703703705,60.90024846324749,281.24689871055887
0.7,0.9,1.0552502843369957,2.572016460905351e-07,2962.6453703703705,23.53287920172478,102.4579019539949
0.8,0.8,0.055250284336995255,1.714677640603566e-07,2962.6453703703705,402.75760664994027,2035.1759813886192
0.8,0.9,0.5417212500717896,1.714677640603566e-07,2962.6453703703705,40.86179347556551,177.58438193585934
0.9,0.9,0.028006667885320094,8.57338820301783e-08,2962.6453703703705,825.8837428235137,13599.200598707366
0.01,0.01,0.2477855577623473,8.487654320987657e-07,2962.6453703703705,89.38634386819534,401.8563882862722
0.01,0.02,1.2455662008850723,8.487654320987657e-07,2962.6453703703705,19.130702224551882,78.05755549192943
0.01,0.03,2.243341907504956,8.487654320987657e-07,2962.6453703703705,10.863421436180731,
0.01,0.04,3.241112655612566,8.487654320987657e-07,2962.6453703703705,6.436548087963686,
0.01,0.05,4.238878423050941,8.487654320987657e-07,2962.6453703703705,5.597063936716724,
0.01,0.06,5.23663918751428,8.487654320987657e-07,2962.6453703703705,4.442175495160795,
0.01,0.07,6.234394926546605,8.487654320987657e-07,2962.6453703703705,3.538952487980626,
0.01,0.08,7.232145617540397,8.487654320987657e-07,2962.6453703703705,3.1439468259184777,
0.01,0.09,8.229891237735247,8.487654320987657e-07,2962.6453703703705,2.7102375270745407,
0.02,0.02,0.24556620088507244,8.40192043895748e-07,2962.6453703703705,92.42832049381954,412.773573725864
0.02,0.03,0.7433419075049564,8.40192043895748e-07,2962.6453703703705,31.807781932351194,128.5901062552027
0.02,0.04,1.2411126556125651,8.40192043895748e-07,2962.6453703703705,17.325828169903414,80.56321474968718
0.02,0.05,1.7388784230509404,8.40192043895748e-07,2962.6453703703705,13.22054372164873,57.05267511787058
0.02,0.06,2.236639187514281,8.40192043895748e-07,2962.6453703703705,9.775520890757326,
0.02,0.07,2.734394926546604,8.40192043895748e-07,2962.6453703703705,8.870221982497075,
0.02,0.08,3.232145617540396,8.40192043895748e-07,2962.6453703703705,6.888363371486634,
0.02,0.09,3.7298912377352456,8.40192043895748e-07,2962.6453703703705,6.399424228363267,
0.03,0.03,0.2433419075049566,8.316186556927297e-07,2962.6453703703705,88.6671077844485,407.9101903603228
0.03,0.04,0.5744459889458984,8.316186556927297e-07,2962.6453703703705,37.30389455127058,175.6585680195733
0.03,0.05,0.905545089717607,8.316186556927297e-07,2962.6453703703705,25.072443309515716,107.57652896217199
0.03,0.06,1.2366391875142804,8.316186556927297e-07,2962.6453703703705,18.022082350879526,81.98116300818691
0.03,0.07,1.5677282598799365,8.316186556927297e-07,2962.6453703703705,14.349175033373733,67.52321654861696
0.03,0.08,1.8988122842070634,8.316186556927297e-07,2962.6453703703705,12.310778796116962,50.215910881060545
0.03,0.09,2.2298912377352464,8.316186556927297e-07,2962.6453703703705,10.638019278972893,
0.04,0.04,0.2411126556125652,8.230452674897117e-07,2962.6453703703705,99.18555688661121,400.8800953027508
0.04,0.05,0.48887842305094004,8.230452674897117e-07,2962.6453703703705,50.21013147601674,206.37945680077678
0.04,0.06,0.73663918751428,8.230452674897117e-07,2962.6453703703705,28.57333963944581,128.4302168650221
0.04,0.07,0.9843949265466035,8.230452674897117e-07,2962.6453703703705,25.28987439648628,101.13301369964962
0.04,0.08,1.2321456175403964,8.230452674897117e-07,2962.6453703703705,18.891297053598922,79.95446120272013
0.04,0.09,1.4798912377352467,8.230452674897117e-07,2962.6453703703705,15.395883055853702,65.5645848249137
0.05,0.05,0.23887842305094018,8.144718792866941e-07,2962.6453703703705,97.69896103520733,430.16365415897224
0.05,0.06,0.4366391875142801,8.144718792866941e-07,2962.6453703703705,52.260037477780756,223.05995221132315
0.05,0.07,0.6343949265466036,8.144718792866941e-07,2962.6453703703705,35.827283835858324,149.67278569211376
0.05,0.08,0.8321456175403962,8.144718792866941e-07,2962.6453703703705,26.183928051690696,119.4068346011209
0.05,0.09,1.0298912377352465,8.144718792866941e-07,2962.6453703703705,23.856359967634496,94.61378237647337
0.06,0.06,0.23663918751428026,8.058984910836764e-07,2962.6453703703705,99.41609686257507,439.105009975242
0.06,0.07,0.40106159321327006,8.058984910836764e-07,2962.6453703703705,56.49505430391311,239.0523111575565
0.06,0.08,0.5654789508737297,8.058984910836764e-07,2962.6453703703705,43.314106076808294,178.10759480358666
0.06,0.09,0.7298912377352469,8.058984910836764e-07,2962.6453703703705,31.496051430759284,139.73206192714363
0.07,0.07,0.23439492654660346,7.973251028806586e-07,2962.6453703703705,97.348275880839,437.61474985872053
0.07,0.08,0.37500276039753894,7.973251028806586e-07,2962.6453703703705,61.879117427761884,259.4829907602822
0.07,0.09,0.5156055234495325,7.973251028806586e-07,2962.6453703703705,45.76006771553494,196.29111020032136
0.08,0.08,0.2321456175403962,7.887517146776405e-07,2962.6453703703705,101.12584003548994,442.7138116251547
0.08,0.09,0.35489123773524706,7.887517146776405e-07,2962.6453703703705,68.99920918466033,275.13354606189523
0.09,0.09,0.229891237735247,7.801783264746228e-07,2962.6453703703705,105.29715871807733,441.29213646244455
0.11,0.11,0.22536717391368066,7.630315500685872e-07,2962.6453703703705,106.10200018157053,462.5616577842645
0.12,0.12,0.22309744359943545,7.544581618655695e-07,2962.6453703703705,96.42110870701173,444.9869553032438
0.13,0.13,0.22082254988774924,7.458847736625516e-07,2962.6453703703705,103.560832960331,475.87400170220656
