m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,2962.6453703703705,-13.414274121722315,-22.956207286180813,-4.622893557956516,29.991584034007303,-2.784536558567382,-11.271053969005152
0.1,0.2,2962.6453703703705,-11.450167345559692,-42.18315236702341,,,-83.04115616878252,-365.80846140446783
0.1,0.3,2962.6453703703705,-16.47515741978515,-46.35982996084903,,,-101.33329392211581,
0.1,0.4,2962.6453703703705,-14.258641569328276,-55.68509878211256,,,-95.6602658816478,
0.1,0.5,2962.6453703703705,-10.361541741186159,-62.29092044159984,,,-97.18100513052151,
0.1,0.6,2962.6453703703705,-20.599495288767557,-77.7553201332089,,,-112.49729491099082,
0.1,0.7,2962.6453703703705,-23.638674804890357,-96.0604474413073,,,-115.12414134865116,
0.1,0.8,2962.6453703703705,-26.577454783288204,-91.86258324502961,,,-109.75513055023897,
0.1,0.9,2962.6453703703705,-45.36076193431626,-105.82372120137347,,,-135.6860262138211,
0.2,0.2,2962.6453703703705,-22.220209019312378,-94.19288135195092,-2.5704171530220634,16.013347277464277,-0.23914652650017842,27.415992976099687
0.2,0.3,2962.6453703703705,-31.62442441742172,-132.38607287962787,,,-88.28075043970452,-363.3217703195834
0.2,0.4,2962.6453703703705,-18.930772101868726,-130.17197720992374,,,-96.41635989123776,-433.190440843803
0.2,0.5,2962.6453703703705,-31.243300121502116,-144.5897040805225,,,-113.04485091665038,-473.8326397399273
0.2,0.6,2962.6453703703705,-30.041922273668263,-144.4159732468927,,,-110.15877466786499,
0.2,0.7,2962.6453703703705,-47.24705476074949,-171.94085151319075,,,-120.6509753456923,
0.2,0.8,2962.6453703703705,-38.58865361474764,-176.6351793437829,,,-123.9489244974059,
0.2,0.9,2962.6453703703705,-45.09590475516676,-135.56636386582022,,,-125.74747092963992,
0.3,0.3,2962.6453703703705,-44.63212761799811,-166.79350517890867,-11.330050685284974,-46.03715745026415,-15.592059486511417,-20.015917557761895
0.3,0.4,2962.6453703703705,-48.54867481981755,-169.03738173199918,,,-92.95520042554611,-374.24690799570726
0.3,0.5,2962.6453703703705,-53.47223536150278,-198.0042172873168,,,-112.43769157947472,-468.98402383953663
0.3,0.6,2962.6453703703705,-53.26788486317291,-210.7938599320804,,,-128.20329337815758,-510.62330363552593
0.3,0.7,2962.6453703703705,-38.648953961855696,-192.6422887274269,,,-136.85286637526585,-523.5692109909884
0.3,0.8,2962.6453703703705,-71.2534221391912,-275.27513030251123,,,-147.84606126284817,-617.4433773399261
0.3,0.9,2962.6453703703705,-48.002789347105704,-291.08138075240356,,,-135.93082853422987,
0.4,0.4,2962.6453703703705,-65.93921630640213,-293.83312982624926,-15.592887035912526,-31.959050211090073,-2.9870783768380704,-27.883800124056847
0.4,0.5,2962.6453703703705,-70.82011519339233,-270.9270880008399,,,-99.49070891821529,-410.9306398324416
0.4,0.6,2962.6453703703705,-95.03571543128685,-255.59685720306993,,,-145.3829137515817,-526.2906589694448
0.4,0.7,2962.6453703703705,-77.30796571916777,-238.84985346921502,,,-143.51904579577914,-545.8214769356179
0.4,0.8,2962.6453703703705,-92.6063609083598,-371.818892144965,,,-168.91592920640403,-686.3300367887832
0.4,0.9,2962.6453703703705,-73.30596678657824,-340.8183589628,,,-161.77185309703557,
0.5,0.5,2962.6453703703705,-101.96174020557662,-386.3111861523661,-13.528443706282133,-43.784195770722874,-20.531162246453874,-24.2273334062171
0.5,0.6,2962.6453703703705,-98.76449409935515,-431.2005514104276,-337.20362386831323,-1321.1143981745063,-117.92200309951517,-494.3207268570503
0.5,0.7,2962.6453703703705,-109.34391803070119,-426.4493908954306,,,-152.87273426327283,-624.4522220285199
0.5,0.8,2962.6453703703705,-113.00169438932409,-455.20663972430657,,,-179.4972509933861,-726.7461905066358
0.5,0.9,2962.6453703703705,-114.42598986872581,-521.6299816389791,,,-194.3470179386333,
0.6,0.6,2962.6453703703705,-148.66128672006872,-575.5071211704638,-38.04218482802723,-24.914055768252297,-12.537334689806357,-34.4283593401874
0.6,0.7,2962.6453703703705,-126.46127485072525,-676.911196925294,,,-147.63937557900545,-772.8710104457602
0.6,0.8,2962.6453703703705,-155.55278111982258,-648.3449526238903,,,-207.98670461422083,-887.1832826992711
0.6,0.9,2962.6453703703705,-187.19503399419574,-772.9255405950511,,,-269.60634662880716,-1109.8512763360989
0.7,0.7,2962.6453703703705,-209.47933904972973,-1084.4833419791753,-35.46295014872767,-66.5228317562885,-6.813266880778144,-173.00653868730478
0.7,0.8,2962.6453703703705,-239.3831246344438,-926.5186598091191,,,-273.30701686624104,-1079.8165899178016
0.7,0.9,2962.6453703703705,-262.1101106301712,-1081.5542149710213,,,-333.14400627109336,-1379.9610485054782
0.8,0.8,2962.6453703703705,-354.7500342022713,-1719.4549678690155,-47.98258127690261,-148.46874147460602,-48.03155677408961,-74.6965587229829
0.8,0.9,2962.6453703703705,-414.85244277075776,-1867.2642308630593,,,-470.35587660478296,-2073.963111741898
0.9,0.9,2962.6453703703705,-897.4322733478584,-5339.475352045471,-116.88037771591355,-300.7485402433412,-161.81992398435875,7854.974008580617
0.01,0.01,2962.6453703703705,0.3985676659504662,6.510590925202166,-9.776637077232692,4.686655999414313,1.4649415200807852,5.831277883575183
0.01,0.02,2962.6453703703705,3.3999446446914448,12.848150059586317,,,-71.79233630346936,-309.2296396235812
0.01,0.03,2962.6453703703705,-5.259145639581021,-7.174478419234333,,,-79.75375890342495,
0.01,0.04,2962.6453703703705,2.3085033558101884,21.413750732669882,,,-87.96797680615987,
0.01,0.05,2962.6453703703705,2.7632311089593884,-1.243122833845689,,,-90.95704256289913,
0.01,0.06,2962.6453703703705,12.400724684999972,-1.981072097171932,,,-80.24163319583015,
0.01,0.07,2962.6453703703705,1.981978480512538,-44.644067554616356,,,-91.325727257528,
0.01,0.08,2962.6453703703705,2.1796042266114597,8.160091796867448,,,-90.24653121525283,
0.01,0.09,2962.6453703703705,0.8976825267431394,-16.36943464751539,,,-90.4878535946594,
0.02,0.02,2962.6453703703705,2.387288941845,-14.756034949254797,10.872036643661389,-10.985515233178603,-2.4066760257850603,13.685858742536027
0.02,0.03,2962.6453703703705,1.5664674525033604,7.8483196085211375,,,-62.779785994895185,-282.17474312953004
0.02,0.04,2962.6453703703705,2.0063047078804033,3.0877264829500177,,,-77.62144012678883,-311.5377815376745
0.02,0.05,2962.6453703703705,-5.857534384325646,-24.946971668159392,,,-83.90361092304076,-349.2118665953576
0.02,0.06,2962.6453703703705,4.775052403777991,10.225427379829455,,,-83.25903030346856,
0.02,0.07,2962.6453703703705,-7.852852202358463,-14.988283283114413,,,-90.29042272167159,
0.02,0.08,2962.6453703703705,-3.6211333414645708,-4.351365345105535,,,-92.73313909764782,
0.02,0.09,2962.6453703703705,-1.58039672244756,-34.42880508771236,,,-89.68506605496545,
0.03,0.03,2962.6453703703705,12.043071785592005,10.207835787118029,4.9653587937179395,-26.021321431116178,-4.5878450547493514,18.492434704352718
0.03,0.04,2962.6453703703705,0.5145961017392437,-24.365745347301413,,,-58.24807118993288,-241.9534112144318
0.03,0.05,2962.6453703703705,-4.627533329574177,-20.961743260124535,,,-69.6722964021464,-309.60944616100085
0.03,0.06,2962.6453703703705,-8.680311653341022,-3.733311015472111,,,-77.25294084734513,-329.2235911610898
0.03,0.07,2962.6453703703705,-9.038011512423722,-21.104421022772442,,,-88.03573157559224,-347.2366056594587
0.03,0.08,2962.6453703703705,13.790191281697673,-55.20005581028295,,,-73.9983864283637,-376.7867833081808
0.03,0.09,2962.6453703703705,-1.0398451778598599,17.756844322998006,,,-79.80014171081159,
0.04,0.04,2962.6453703703705,-6.762033964814975,-30.97107744777111,1.873448194197337,4.532318667755646,0.5287523384764796,-11.787038829184212
0.04,0.05,2962.6453703703705,13.739375131230275,-29.06228657106584,,,-39.10054325845394,-207.64374002875613
0.04,0.06,2962.6453703703705,-4.540216152105685,-9.468975027496185,,,-68.08654514277744,-281.28722157404513
0.04,0.07,2962.6453703703705,-1.6995690863562487,-19.81777716516524,,,-70.13067850736297,-329.3735008528462
0.04,0.08,2962.6453703703705,2.3578485673693734,12.537297180520682,,,-69.3637576404248,-318.37765697046234
0.04,0.09,2962.6453703703705,-3.2645158866428403,-20.433800855445327,,,-80.5832766891003,-358.8617651300688
0.05,0.05,2962.6453703703705,-6.200193328533672,-17.708362067593953,-3.3715790838057984,23.671298959052308,-1.9525669689981555,-1.7167719284792042
0.05,0.06,2962.6453703703705,-4.437806498545783,-23.076078407163948,-364.9721630347507,-1534.6688398412132,-47.508172785220744,-191.91538033481567
0.05,0.07,2962.6453703703705,-16.807249311329556,-33.346297167765556,,,-70.39664443029623,-266.8633851899234
0.05,0.08,2962.6453703703705,3.0337240417600384,-42.22605720633254,,,-67.76474539903018,-313.27462183551233
0.05,0.09,2962.6453703703705,-2.7779468101168163,-33.4318914775198,,,-73.32066600049293,-343.5743427214807
0.06,0.06,2962.6453703703705,4.722171855281701,-32.948855061000415,4.486819912467226,-9.519534083569681,7.165689207724114,2.9122599848356003
0.06,0.07,2962.6453703703705,-9.540010667465836,-11.225205085360699,-198.12457454401124,-750.5992803156071,-43.68297357819557,-194.9685058621872
0.06,0.08,2962.6453703703705,-16.45582609146092,-6.231420881442318,,,-60.790663586988074,-226.1333411204319
0.06,0.09,2962.6453703703705,-9.350298434838749,-6.931696702639783,,,-63.81627276673832,-279.0759300317927
0.07,0.07,2962.6453703703705,-14.461134889028727,-38.17338839965771,0.7885580018081129,-27.486797457587556,-7.487946107013926,26.272964689408298
0.07,0.08,2962.6453703703705,-14.12170077680058,-40.0848694679928,-125.43777114739554,-530.1456999110553,-38.335717414575264,-175.07671405755855
0.07,0.09,2962.6453703703705,-10.286174420522883,-9.290475109763236,,,-56.32692786814578,-224.6117361073469
0.08,0.08,2962.6453703703705,-11.027828856704105,-21.286171442973398,-13.310603169815025,13.193068948599887,1.837967150491039,21.053134619170464
0.08,0.09,2962.6453703703705,-20.733183420264695,-78.8532666384449,-82.99659502612822,-368.4580189130028,-39.04144103090253,-178.74993732639211
0.09,0.09,2962.6453703703705,-12.04356445103602,-37.374768335991405,-4.800368391505572,22.475599608305913,3.2521932885122027,-1.921701575255156
0.11,0.11,2962.6453703703705,-16.008943040845963,-39.430622391857014,1.8632497220495168,-2.315906811748789,-6.947518544576923,12.389120949592382
0.12,0.12,2962.6453703703705,-21.753710131749287,-49.92461818575691,-5.926697346557447,6.943831609249116,-14.154401110470033,-2.8951911022995205
0.13,0.13,2962.6453703703705,-21.15674939435813,-56.263317126489596,-11.72997586890682,26.81687483863334,-7.4836935577149575,-5.636233989237439
0.14,0.14,2962.6453703703705,-19.51396731217784,-71.7262679174246,-12.553627039625582,-43.54277764688459,-10.667342037489178,46.0559084644251
0.15,0.15,2962.6453703703705,-21.580208964431222,-36.54291510701887,-18.53469328558468,13.444933072229674,-0.10634486443822766,-0.7597991723743576
0.16,0.16,2962.6453703703705,-21.370917416429094,-112.02930821152631,0.37786912556885,-32.02735307335308,-0.12852760668363317,-58.585278498621165
0.17,0.17,2962.6453703703705,-16.00090682592834,-82.81325584315931,-6.970722940309059,12.771163486224907,0.30948711693264386,-39.06702148421459
0.18,0.18,2962.6453703703705,-21.426743795802693,-71.2273800152305,0.15499839393920922,-18.7203415149433,-0.58275699745964,16.89712391209315
0.19,0.19,2962.6453703703705,-24.383187116121434,-90.87947287142987,-7.9280780891205325,-8.595885194083678,-4.207051880043778,0.329426611514009
0.21,0.21,2962.6453703703705,-35.09348072008527,-105.24219774327423,-10.445113641281978,-2.9814559812233483,-11.601982867980439,6.5494263740406495
0.22,0.22,2962.6453703703705,-32.52834268724476,-132.79464062187878,-10.929678365583158,-8.066077956689412,-8.97490974110454,7.122021535863723
0.23,0.23,2962.6453703703705,-11.76220314594822,-106.99842822465041,-6.449443329781445,-20.173899430754375,6.616323580522774,14.67398350834236
0.24,0.24,2962.6453703703705,-28.90941482843408,-149.5841670020501,-2.8391720415823585,-25.05836406020569,-15.888494106160522,1.7609418454269417
0.25,0.25,2962.6453703703705,-37.315822452036514,-136.39749979368082,0.5185159084722386,-18.068334275488155,-13.23819490032055,-6.836263992606291
0.26,0.26,2962.6453703703705,-22.213407383082284,-193.18161123803128,4.376072582464616,-37.32062156003224,-7.752317586764946,-87.70448895400489
0.27,0.27,2962.6453703703705,-32.15095686584294,-151.3070518827318,-3.404109614925659,-29.06862706647928,13.2779061835583,-13.257474413364093
0.28,0.28,2962.6453703703705,-32.51651867296155,-93.345686920547,-7.535438618314117,-5.722147743297114,-2.8382167090976367,37.955479027970796
0.29,0.29,2962.6453703703705,-28.525529649513146,-160.1245297061709,-7.4292929150694675,0.5540086237804758,-2.5987930536422397,-38.114698990408556
0.31,0.31,2962.6453703703705,-39.25969575747479,-221.871870743192,-5.219605888469374,-20.295716685078787,-8.14792648836351,-64.02526791660864
0.32,0.32,2962.6453703703705,-53.829530863875775,-182.18990205614682,-8.13522407332897,-15.937447575010026,-16.21467315124744,-21.043848260897562
0.33,0.33,2962.6453703703705,-60.77003222307667,-238.84752608653747,-15.401598456919203,-19.84986119174357,-21.618908131125863,-69.85962053982803
0.34,0.34,2962.6453703703705,-48.3915349060173,-208.4868973895155,-5.79821077944176,-5.633777960027885,-6.322845924446227,15.524374217102036
0.35,0.35,2962.6453703703705,-55.34279759587331,-193.94527666308045,-4.525849778825503,-22.974504467427153,-11.728015938564994,-7.713839787288748
0.36,0.36,2962.6453703703705,-68.70542107516962,-194.98798269600172,-18.689556008311627,-0.00504294511245007,-28.70287817803562,5.714989558832485
0.37,0.37,2962.6453703703705,-53.11275904125753,-220.2953331828241,-4.598072936355678,-25.87676160720457,-9.028960255661474,19.86647031555583
0.38,0.38,2962.6453703703705,-66.49073069853631,-255.15290102733712,-6.973731311262156,-53.073709817784504,-10.771471952590502,7.296519623372433
