m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.45985805124959506,7.716049382716049e-07,2962.6453703703705,2275.337540399972,29748.956043260856
0.1,0.2,1.4180370928606563,7.716049382716049e-07,2962.6453703703705,242.4088837857975,2388.8697520254714
0.1,0.3,2.374390515085868,7.716049382716049e-07,2962.6453703703705,86.97649610073606,
0.1,0.4,3.328751625269407,7.716049382716049e-07,2962.6453703703705,46.40966512990524,
0.1,0.5,4.280929803620162,7.716049382716049e-07,2962.6453703703705,29.086240709430164,
0.1,0.6,5.230705692735597,7.716049382716049e-07,2962.6453703703705,22.268020299824617,
0.1,0.7,6.177825113937635,7.716049382716049e-07,2962.6453703703705,16.667270916020534,
0.1,0.8,7.121991283339271,7.716049382716049e-07,2962.6453703703705,9.535928830654807,
0.1,0.9,8.069960856551647,7.716049382716049e-07,2962.6453703703705,7.5103983747391165,
0.2,0.2,0.4180370928606561,6.858710562414266e-07,2962.6453703703705,3296.574697802426,34562.53875778086
0.2,0.3,0.8743905150858681,6.858710562414266e-07,2962.6453703703705,627.3308923396388,8283.364123499685
0.2,0.4,1.3287516252694076,6.858710562414266e-07,2962.6453703703705,255.0629193197475,3208.640670250663
0.2,0.5,1.7809298036201613,6.858710562414266e-07,2962.6453703703705,140.0515863013769,1719.9552492046364
0.2,0.6,2.230705692735597,6.858710562414266e-07,2962.6453703703705,105.83672913433269,
0.2,0.7,2.677825113937636,6.858710562414266e-07,2962.6453703703705,73.23009189081714,
0.2,0.8,3.1311913858301987,6.858710562414266e-07,2962.6453703703705,53.13963771436788,
0.2,0.9,4.284565468042477,6.858710562414266e-07,2962.6453703703705,28.045583872056284,
0.3,0.3,0.37439051508586846,6.001371742112485e-07,2962.6453703703705,3335.093840728091,33414.68863956197
0.3,0.4,0.6620849586027407,6.001371742112485e-07,2962.6453703703705,1110.9175039794634,12670.232296405902
0.3,0.5,0.9475964702868284,6.001371742112485e-07,2962.6453703703705,509.2558535805447,6019.993187409031
0.3,0.6,1.2307056927355975,6.001371742112485e-07,2962.6453703703705,376.22305170234614,4529.13898712082
0.3,0.7,1.5192287736285799,6.001371742112485e-07,2962.6453703703705,268.3158224525326,2467.943837259944
0.3,0.8,1.929887714963421,6.001371742112485e-07,2962.6453703703705,120.11377406607915,1616.7264461597565
0.3,0.9,3.2806469044451063,6.001371742112485e-07,2962.6453703703705,40.829599074992736,
0.4,0.4,0.3287516252694073,5.144032921810701e-07,2962.6453703703705,4218.937916659196,60488.71127748241
0.4,0.5,0.5309298036201614,5.144032921810701e-07,2962.6453703703705,1868.5137889387631,21438.99920348287
0.4,0.6,0.7354847533049613,5.144032921810701e-07,2962.6453703703705,944.1460894808802,10647.615463363407
0.4,0.7,0.9724216723792499,5.144032921810701e-07,2962.6453703703705,501.66626806121485,6082.4203432574695
0.4,0.8,1.3625307643525733,5.144032921810701e-07,2962.6453703703705,227.2511229116652,3339.7821217065143
0.4,0.9,2.7046149070688505,5.144032921810701e-07,2962.6453703703705,69.6361080443679,
0.5,0.5,0.28092980362016146,4.286694101508917e-07,2962.6453703703705,6401.765076764826,86333.3093238596
0.5,0.6,0.4410405561104139,4.286694101508917e-07,2962.6453703703705,2533.345990108147,27943.495969486386
0.5,0.7,0.6388931431982581,4.286694101508917e-07,2962.6453703703705,1105.561159740176,13499.431009505892
0.5,0.8,0.9886300258909754,4.286694101508917e-07,2962.6453703703705,474.9105840156821,5571.778187609787
0.5,0.9,2.177825113937637,4.286694101508917e-07,2962.6453703703705,93.94916643676834,
0.6,0.6,0.2307056927355977,3.429355281207133e-07,2962.6453703703705,9584.244801219173,123695.63133651005
0.6,0.7,0.3902683998635958,3.429355281207133e-07,2962.6453703703705,2817.5718583891858,38725.6732690741
0.6,0.8,0.6829925611006017,3.429355281207133e-07,2962.6453703703705,1059.0569470613525,12341.857485209599
0.6,0.9,1.6502978251128062,3.429355281207133e-07,2962.6453703703705,154.0175587257974,2089.975361407784
0.7,0.7,0.1778251139376357,2.572016460905351e-07,2962.6453703703705,15940.6226177749,193789.1119515334
0.7,0.8,0.4152962404726778,2.572016460905351e-07,2962.6453703703705,3500.4278869167865,36977.08306044674
