m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.5427901194551419,9.525986892242036e-07,2962.6453703703705,2030.2606228739037,21746.04039466313
0.1,0.2,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.3,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.4,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.5,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.6,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.7,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.8,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.9,,9.525986892242036e-07,2962.6453703703705,,
0.2,0.2,0.5938248363839753,1.0716735253772291e-06,2962.6453703703705,2209.447519362729,25470.90197881603
0.2,0.3,0.0,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.4,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.5,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.6,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.7,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.8,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.9,,1.0716735253772291e-06,2962.6453703703705,,
0.3,0.3,0.6558318806163518,1.2247697432882618e-06,2962.6453703703705,2470.9751504754554,28049.99283729187
0.3,0.4,0.26410685686598384,1.2247697432882618e-06,2962.6453703703705,12550.323965563624,162622.6535428126
0.3,0.5,,1.2247697432882618e-06,2962.6453703703705,,
0.3,0.6,,1.2247697432882618e-06,2962.6453703703705,,
0.3,0.7,,1.2247697432882618e-06,2962.6453703703705,,
0.3,0.8,,1.2247697432882618e-06,2962.6453703703705,,
0.3,0.9,,1.2247697432882618e-06,2962.6453703703705,,
0.4,0.4,0.7329456680356207,1.4288980338363059e-06,2962.6453703703705,2692.5508446228814,29498.388831972847
0.4,0.5,0.44983333408021964,1.4288980338363059e-06,2962.6453703703705,8475.681393775989,76433.34873838583
0.4,0.6,0.0,1.4288980338363059e-06,2962.6453703703705,,
0.4,0.7,,1.4288980338363059e-06,2962.6453703703705,,
0.4,0.8,,1.4288980338363059e-06,2962.6453703703705,,
0.4,0.9,,1.4288980338363059e-06,2962.6453703703705,,
0.5,0.5,0.8317965657511863,1.7146776406035667e-06,2962.6453703703705,3140.3203965718485,32751.523199359406
0.5,0.6,0.6059517194651037,1.7146776406035667e-06,2962.6453703703705,5364.502447784341,61424.56296914725
0.5,0.7,0.1797533801464694,1.7146776406035667e-06,2962.6453703703705,84567.86313169646,736529.8554458633
0.5,0.8,,1.7146776406035667e-06,2962.6453703703705,,
0.5,0.9,,1.7146776406035667e-06,2962.6453703703705,,
0.6,0.6,0.9638623164485162,2.1433470507544583e-06,2962.6453703703705,4280.9007476370925,32855.480050034275
0.6,0.7,0.7274341065221323,2.1433470507544583e-06,2962.6453703703705,6659.342779114916,56071.079182758825
0.6,0.8,,2.1433470507544583e-06,2962.6453703703705,,
0.6,0.9,,2.1433470507544583e-06,2962.6453703703705,,
0.7,0.7,1.151332572383167,2.8577960676726117e-06,2962.6453703703705,5359.549120223463,48962.0185415493
0.7,0.8,0.5,2.8577960676726117e-06,2962.6453703703705,24083.230960750465,260469.31072463162
0.7,0.9,,2.8577960676726117e-06,2962.6453703703705,,
0.8,0.8,1.4454134627977873,4.2866941015089165e-06,2962.6453703703705,6613.657354709636,67332.8838325857
0.8,0.9,0.0,4.2866941015089165e-06,2962.6453703703705,,
0.9,0.9,2.013196593022799,8.573388203017833e-06,2962.6453703703705,18295.488862722515,
0.01,0.01,0.5039665605676084,8.659988083856399e-07,2962.6453703703705,2040.194107535191,25490.949450507986
0.01,0.02,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.03,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.04,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.05,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.06,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.07,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.08,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.09,,8.659988083856399e-07,2962.6453703703705,,
0.02,0.02,0.5079979177547899,8.748355309201871e-07,2962.6453703703705,1691.1019030234816,23688.19341136813
0.02,0.03,0.0,8.748355309201871e-07,2962.6453703703705,,
0.02,0.04,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.05,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.06,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.07,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.08,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.09,,8.748355309201871e-07,2962.6453703703705,,
0.03,0.03,0.5120957059628882,8.838544539193642e-07,2962.6453703703705,1972.2455607149789,20506.15181991876
0.03,0.04,0.1730428884236061,8.838544539193642e-07,2962.6453703703705,17368.832392057793,221128.48527069428
0.03,0.05,,8.838544539193642e-07,2962.6453703703705,,
0.03,0.06,,8.838544539193642e-07,2962.6453703703705,,
0.03,0.07,,8.838544539193642e-07,2962.6453703703705,,
0.03,0.08,,8.838544539193642e-07,2962.6453703703705,,
0.03,0.09,,8.838544539193642e-07,2962.6453703703705,,
0.04,0.04,0.5162616161383375,8.930612711476911e-07,2962.6453703703705,2232.48177114644,25660.796248326842
0.04,0.05,0.2615748101536632,8.930612711476911e-07,2962.6453703703705,8110.561521191006,95532.73114307919
0.04,0.06,0.0,8.930612711476911e-07,2962.6453703703705,,
0.04,0.07,,8.930612711476911e-07,2962.6453703703705,,
0.04,0.08,,8.930612711476911e-07,2962.6453703703705,,
0.04,0.09,,8.930612711476911e-07,2962.6453703703705,,
0.05,0.05,0.5204973982856399,9.024619161071406e-07,2962.6453703703705,1855.8534533813481,22919.181905892292
0.05,0.06,0.31640816154660273,9.024619161071406e-07,2962.6453703703705,4955.734992410353,57343.00392407189
0.05,0.07,0.10713723670511006,9.024619161071406e-07,2962.6453703703705,61959.05385141943,586002.3730023309
0.05,0.08,,9.024619161071406e-07,2962.6453703703705,,
0.05,0.09,,9.024619161071406e-07,2962.6453703703705,,
0.06,0.06,0.524804864117896,9.120625747891314e-07,2962.6453703703705,1988.7717303176119,22503.195563280893
0.06,0.07,0.35444524869283617,9.120625747891314e-07,2962.6453703703705,4354.874167244232,61462.24154614999
0.06,0.08,0.1799277590038721,9.120625747891314e-07,2962.6453703703705,19389.068994171335,178148.34990433312
0.06,0.09,0.0,9.120625747891314e-07,2962.6453703703705,,
0.07,0.07,0.5291858898538833,9.218696992492294e-07,2962.6453703703705,2240.8539052019187,23014.753107880148
0.07,0.08,0.3829230968133445,9.218696992492294e-07,2962.6453703703705,3657.347249193147,50446.437541825726
0.07,0.09,0.2331823088405454,9.218696992492294e-07,2962.6453703703705,10495.392234306017,126557.3013020002
0.08,0.08,0.5336424191713875,9.318900220671559e-07,2962.6453703703705,1722.0139222747314,20616.47782852481
0.08,0.09,0.40545881587335647,9.318900220671559e-07,2962.6453703703705,3600.0121386921355,40243.81428276043
0.09,0.09,0.5381764663272126,9.421305717602017e-07,2962.6453703703705,2298.859395569858,18287.709739358805
0.11,0.11,0.5474855440539914,9.63302045282903e-07,2962.6453703703705,2540.3685777705305,23101.718378260386
0.12,0.12,0.5522649866788762,9.742486594338447e-07,2962.6453703703705,2431.4133499464283,23078.476854460205
0.13,0.13,0.5571307788498734,9.85446919887107e-07,2962.6453703703705,2358.6558006081286,21793.094350554646
0.14,0.14,0.5620853411934147,9.969056050020738e-07,2962.6453703703705,2450.366962531047,19579.241486395207
0.15,0.15,0.5671311878330225,1.0086339062373921e-06,2962.6453703703705,2587.4738229783225,26542.620267067934
0.16,0.16,0.5722709310473791,1.0206414527402187e-06,2962.6453703703705,2204.6124265865583,25772.61013652488
0.17,0.17,0.5775072862152558,1.032938337712992e-06,2962.6453703703705,1823.402696567334,22419.993103786586
0.18,0.18,0.5828430770684829,1.045535146709492e-06,2962.6453703703705,2327.9370696253977,24036.179347773927
