m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.75,8.573388203017834e-07,2962.6453703703705,35.69143717505058,144.17668769184814
0.1,0.2,0.75,8.573388203017834e-07,2962.6453703703705,38.33164461322492,152.12347631121023
0.1,0.3,0.75,8.573388203017834e-07,2962.6453703703705,37.44562834880651,150.73607058126717
0.1,0.4,0.75,8.573388203017834e-07,2962.6453703703705,39.602519971121914,163.9237481060829
0.1,0.5,0.75,8.573388203017834e-07,2962.6453703703705,38.082025990611356,150.59054820418376
0.1,0.6,0.75,8.573388203017834e-07,2962.6453703703705,39.139361584471544,156.0308071488917
0.1,0.7,0.75,8.573388203017834e-07,2962.6453703703705,40.34397188072245,156.42017192544972
0.1,0.8,0.75,8.573388203017834e-07,2962.6453703703705,40.73500086536774,167.96933425911638
0.1,0.9,0.75,8.573388203017834e-07,2962.6453703703705,45.650709877814315,174.97566039864606
0.2,0.2,0.75,8.573388203017834e-07,2962.6453703703705,42.111517518808554,165.12648280197416
0.2,0.3,0.75,8.573388203017834e-07,2962.6453703703705,42.57635659721508,167.81583097218535
0.2,0.4,0.75,8.573388203017834e-07,2962.6453703703705,48.51543695728707,177.3969817367067
0.2,0.5,0.75,8.573388203017834e-07,2962.6453703703705,47.62082270026305,173.79439544277403
0.2,0.6,0.75,8.573388203017834e-07,2962.6453703703705,47.911913400153935,175.2648848105077
0.2,0.7,0.75,8.573388203017834e-07,2962.6453703703705,49.66065436736006,176.20583942641215
0.2,0.8,0.75,8.573388203017834e-07,2962.6453703703705,52.83589372856409,182.532392397094
0.2,0.9,0.75,8.573388203017834e-07,2962.6453703703705,53.04970772441656,191.07272332286917
0.3,0.3,0.75,8.573388203017834e-07,2962.6453703703705,50.42467619894256,185.0232989914892
0.3,0.4,0.75,8.573388203017834e-07,2962.6453703703705,50.74542694593716,191.64460992160295
0.3,0.5,0.75,8.573388203017834e-07,2962.6453703703705,53.55634968021166,194.85096741575072
0.3,0.6,0.75,8.573388203017834e-07,2962.6453703703705,53.94097866953341,208.65886863830698
0.3,0.7,0.75,8.573388203017834e-07,2962.6453703703705,56.53243370365495,205.86375682358465
0.3,0.8,0.75,8.573388203017834e-07,2962.6453703703705,54.39277083366297,207.86069384164853
0.3,0.9,0.75,8.573388203017834e-07,2962.6453703703705,55.91786531463102,218.41380453238642
0.4,0.4,0.75,8.573388203017834e-07,2962.6453703703705,60.37023791053936,214.81939600405616
0.4,0.5,0.75,8.573388203017834e-07,2962.6453703703705,62.63975817228823,228.36104143079106
