m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.75,8.573388203017834e-07,2962.6453703703705,1029.861972330219,11451.0314372258
0.1,0.2,0.75,8.573388203017834e-07,2962.6453703703705,1226.817754941459,13238.600150247472
0.1,0.3,0.75,8.573388203017834e-07,2962.6453703703705,1248.911288794594,12342.422523835769
0.1,0.4,0.75,8.573388203017834e-07,2962.6453703703705,1345.0534206859736,14798.193979684578
0.1,0.5,0.75,8.573388203017834e-07,2962.6453703703705,1156.0000856048737,13813.174782045962
0.1,0.6,0.75,8.573388203017834e-07,2962.6453703703705,1105.2235493782725,14194.887377246367
0.1,0.7,0.75,8.573388203017834e-07,2962.6453703703705,1165.407621731465,13491.340438058009
0.1,0.8,0.75,8.573388203017834e-07,2962.6453703703705,1265.361273807027,16245.895142807232
0.1,0.9,0.75,8.573388203017834e-07,2962.6453703703705,1560.7079429596772,15668.448168356439
0.2,0.2,0.75,8.573388203017834e-07,2962.6453703703705,1487.123088193469,16379.920010642047
0.2,0.3,0.75,8.573388203017834e-07,2962.6453703703705,1405.6596472949652,17156.810338678308
0.2,0.4,0.75,8.573388203017834e-07,2962.6453703703705,1902.861020772581,18558.7207648485
0.2,0.5,0.75,8.573388203017834e-07,2962.6453703703705,1901.9268630528052,17309.26468028726
0.2,0.6,0.75,8.573388203017834e-07,2962.6453703703705,1727.4803778225717,18649.27443368802
0.2,0.7,0.75,8.573388203017834e-07,2962.6453703703705,2111.1877690714996,19235.8612397334
0.2,0.8,0.75,8.573388203017834e-07,2962.6453703703705,2232.5636390222166,19625.583007064703
0.2,0.9,0.75,8.573388203017834e-07,2962.6453703703705,1714.0394617159793,19008.884294589156
0.3,0.3,0.75,8.573388203017834e-07,2962.6453703703705,2125.4841533364834,18905.59742698211
0.3,0.4,0.75,8.573388203017834e-07,2962.6453703703705,1883.3966263688753,22083.950463236153
0.3,0.5,0.75,8.573388203017834e-07,2962.6453703703705,2106.405763192242,21173.933874926777
0.3,0.6,0.75,8.573388203017834e-07,2962.6453703703705,2273.386690602646,23191.897361194795
0.3,0.7,0.75,8.573388203017834e-07,2962.6453703703705,2060.4561464004264,22694.8211728133
0.3,0.8,0.75,8.573388203017834e-07,2962.6453703703705,2293.192262456002,24515.021454072757
0.3,0.9,0.75,8.573388203017834e-07,2962.6453703703705,2378.0163611216885,25295.088565424412
0.4,0.4,0.75,8.573388203017834e-07,2962.6453703703705,2544.055906417205,28672.616010242727
0.4,0.5,0.75,8.573388203017834e-07,2962.6453703703705,3621.6395824094748,30091.481892286552
0.4,0.6,0.75,8.573388203017834e-07,2962.6453703703705,2915.1241202246783,33644.93577331846
0.4,0.7,0.75,8.573388203017834e-07,2962.6453703703705,3660.385995511801,34565.716943678955
0.4,0.8,0.75,8.573388203017834e-07,2962.6453703703705,3411.7492025664383,35032.241528558094
0.4,0.9,0.75,8.573388203017834e-07,2962.6453703703705,3459.706921238017,34813.8178302114
0.5,0.5,0.75,8.573388203017834e-07,2962.6453703703705,4050.538332180635,36726.72577274508
0.5,0.6,0.75,8.573388203017834e-07,2962.6453703703705,4938.491630221216,41602.3829912467
0.5,0.7,0.75,8.573388203017834e-07,2962.6453703703705,4095.008424129116,47754.860497164525
