m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,2962.6453703703705,-149.37871023646312,-841.666087264839,-234.5404909693832,159.27480247961648,123.94877549691228,1051.9794186437393
0.1,0.2,2962.6453703703705,-328.07998255473603,-1380.7255155018174,,,-1059.3336304312575,-11191.93077146729
0.1,0.3,2962.6453703703705,-376.0273008634357,-2056.474141095283,,,-1162.7005117441959,
0.1,0.4,2962.6453703703705,-515.6356345296675,-5058.788901924841,,,-1304.0340375300425,
0.1,0.5,2962.6453703703705,-94.7174604161196,-4075.8489247182897,,,-1131.3159696619525,
0.1,0.6,2962.6453703703705,-67.7081572896268,-3587.0249539180986,,,-1089.2108566270379,
0.1,0.7,2962.6453703703705,-368.0020354175681,-2574.6171317076023,,,-1153.691759535731,
0.1,0.8,2962.6453703703705,-407.08792212061894,-6326.423754122206,,,-1255.73958337063,
0.1,0.9,2962.6453703703705,-661.9476604550151,-6921.180366030545,,,-1552.6825615971961,
0.2,0.2,2962.6453703703705,-581.9583245041653,-6932.309374079869,-133.13775710841003,-1905.5232976083753,-412.4641175121735,-2070.0876055450517
0.2,0.3,2962.6453703703705,-608.7973189541033,-7156.258214311558,-6663.814221869779,-63361.9042924512,-1024.2820245898095,-11921.154457846642
0.2,0.4,2962.6453703703705,-946.0736221645558,-7334.519218595411,,,-1664.1910959920992,-16177.519523680176
0.2,0.5,2962.6453703703705,-1105.5205111027071,-7803.579511330983,,,-1798.8326708153102,-15945.147240292577
0.2,0.6,2962.6453703703705,-774.0601595558372,-9201.676788725017,,,-1642.1431257180325,
0.2,0.7,2962.6453703703705,-1138.815669359752,-8449.241847926103,,,-2054.23228638141,
0.2,0.8,2962.6453703703705,-1452.0175543207947,-9583.804025978272,,,-2190.196042413556,
0.2,0.9,2962.6453703703705,-837.9528607986917,-9273.646423205253,,,-1689.4485049762548,
0.3,0.3,2962.6453703703705,-1082.7816401167215,-8980.829328327885,-215.66071311396968,-3516.9878866892795,-678.4202532338447,-2509.3849435189877
0.3,0.4,2962.6453703703705,-951.2551810681748,-11693.35125230129,-1645.546446322505,-20731.958437927657,-1261.045648624791,-13176.356454450039
0.3,0.5,2962.6453703703705,-1275.4646181530798,-12157.804837860693,-42184.16925915875,-510064.98911413836,-1673.8464978712154,-16581.11977192372
0.3,0.6,2962.6453703703705,-1571.1804307056077,-13835.217346985972,,,-2008.1155940656581,-20207.677339425052
0.3,0.7,2962.6453703703705,-1205.6772007968461,-12507.633862634359,,,-1894.8670768625886,-20487.96093673264
0.3,0.8,2962.6453703703705,-1351.8643467915772,-15187.374662100563,,,-2176.8626542150055,
0.3,0.9,2962.6453703703705,-1604.0021683367881,-15807.773039305606,,,-2337.9609468080625,
0.4,0.4,2962.6453703703705,-1450.4734319031948,-17626.607968824337,-453.2104996846217,-4192.3166375716555,-1028.7452886190824,-9447.935375339628
0.4,0.5,2962.6453703703705,-2912.9399632019636,-19486.20455951194,-1560.997151205479,-14153.12515540508,-2470.7292414845697,-17543.779467481916
