m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.9347016640011662,7.716049382716049e-07,2962.6453703703705,23.290292549359823,101.23084821815254
0.1,0.2,1.8648397251631903,7.716049382716049e-07,2962.6453703703705,11.987264079628176,48.4354712181782
0.1,0.3,2.789728043577632,7.716049382716049e-07,2962.6453703703705,7.913616561403435,
0.1,0.4,3.708513066862316,7.716049382716049e-07,2962.6453703703705,6.507547425983844,
0.1,0.5,4.620114506958276,7.716049382716049e-07,2962.6453703703705,4.84508451993006,
0.1,0.6,5.523137163611585,7.716049382716049e-07,2962.6453703703705,4.042099409755724,
0.1,0.7,6.415735221843628,7.716049382716049e-07,2962.6453703703705,3.6060045416747335,
0.1,0.8,7.295394529120346,7.716049382716049e-07,2962.6453703703705,3.1414067938243435,
0.1,0.9,8.195987029498752,7.716049382716049e-07,2962.6453703703705,2.7101173695056806,
0.2,0.2,0.86483972516319,6.858710562414266e-07,2962.6453703703705,27.719283196007876,114.60641082500716
0.2,0.3,1.289728043577631,6.858710562414266e-07,2962.6453703703705,17.131753544427752,76.03805404953286
0.2,0.4,1.7085130668623156,6.858710562414266e-07,2962.6453703703705,14.3055551439899,54.23516592780731
0.2,0.5,2.1201145069582776,6.858710562414266e-07,2962.6453703703705,11.467654871465614,
0.2,0.6,2.5231371636115854,6.858710562414266e-07,2962.6453703703705,9.256714691406964,
0.2,0.7,2.915735221843628,6.858710562414266e-07,2962.6453703703705,8.030172707827408,
0.2,0.8,3.3359931249441237,6.858710562414266e-07,2962.6453703703705,7.0136184896653555,
0.2,0.9,4.536418382828267,6.858710562414266e-07,2962.6453703703705,5.241678167094731,
0.3,0.3,0.7897280435776313,6.001371742112485e-07,2962.6453703703705,28.541092621077688,135.94514713659885
0.3,0.4,1.0418464001956487,6.001371742112485e-07,2962.6453703703705,24.309861398212252,91.09611368468221
0.3,0.5,1.2867811736249446,6.001371742112485e-07,2962.6453703703705,17.583032824562974,78.17672405977827
