m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.0,8.573388203017834e-07,2962.6453703703705,389.1106342308168,5402.097692180758
0.1,0.2,1.0,8.573388203017834e-07,2962.6453703703705,460.81830722970545,5684.407604675682
0.1,0.3,1.0,8.573388203017834e-07,2962.6453703703705,428.27801223461853,5644.862342708028
0.1,0.4,1.0,8.573388203017834e-07,2962.6453703703705,520.6621722858754,6138.085712688867
0.1,0.5,1.0,8.573388203017834e-07,2962.6453703703705,496.033476580533,5762.497459689482
0.1,0.6,1.0,8.573388203017834e-07,2962.6453703703705,454.25433439579905,5733.515499692141
0.1,0.7,1.0,8.573388203017834e-07,2962.6453703703705,452.9457787246866,5618.952176929258
0.1,0.8,1.0,8.573388203017834e-07,2962.6453703703705,628.1198914740556,5673.858686165496
0.1,0.9,1.0,8.573388203017834e-07,2962.6453703703705,389.2163963913823,5610.815304410461
0.2,0.2,1.0,8.573388203017834e-07,2962.6453703703705,434.58048159840877,6131.023118037374
0.2,0.3,1.0,8.573388203017834e-07,2962.6453703703705,480.68141863409886,5007.489827963094
0.2,0.4,1.0,8.573388203017834e-07,2962.6453703703705,508.7565427178516,5360.119932411169
0.2,0.5,1.0,8.573388203017834e-07,2962.6453703703705,391.62573467136116,5712.247762164228
0.2,0.6,1.0,8.573388203017834e-07,2962.6453703703705,441.4573774725561,5598.3706430993425
0.2,0.7,1.0,8.573388203017834e-07,2962.6453703703705,463.97961970366805,6066.443279782589
0.2,0.8,1.0,8.573388203017834e-07,2962.6453703703705,468.19037697179635,5146.616463990447
0.2,0.9,1.0,8.573388203017834e-07,2962.6453703703705,536.3723264676931,5511.571599169694
0.3,0.3,1.0,8.573388203017834e-07,2962.6453703703705,390.5274203718649,5639.447384119963
0.3,0.4,1.0,8.573388203017834e-07,2962.6453703703705,413.2993325760523,5715.490297822678
0.3,0.5,1.0,8.573388203017834e-07,2962.6453703703705,525.5440478579512,5064.334527997884
0.3,0.6,1.0,8.573388203017834e-07,2962.6453703703705,501.7500224204224,6085.490235988943
0.3,0.7,1.0,8.573388203017834e-07,2962.6453703703705,407.5384602537539,6119.684380150069
0.3,0.8,1.0,8.573388203017834e-07,2962.6453703703705,506.14152861972946,5254.619875363656
0.3,0.9,1.0,8.573388203017834e-07,2962.6453703703705,423.72889623546484,4786.915166837195
0.4,0.4,1.0,8.573388203017834e-07,2962.6453703703705,555.100204526011,5622.109094126633
0.4,0.5,1.0,8.573388203017834e-07,2962.6453703703705,457.7149917915474,5178.367490610635
0.4,0.6,1.0,8.573388203017834e-07,2962.6453703703705,436.278731906006,5480.919974631033
0.4,0.7,1.0,8.573388203017834e-07,2962.6453703703705,499.3196285276462,5311.650842192416
0.4,0.8,1.0,8.573388203017834e-07,2962.6453703703705,549.7979635871244,5574.077485118257
0.4,0.9,1.0,8.573388203017834e-07,2962.6453703703705,677.5257026865954,5473.284415802805
0.5,0.5,1.0,8.573388203017834e-07,2962.6453703703705,595.3165324301796,6189.18720709543
0.5,0.6,1.0,8.573388203017834e-07,2962.6453703703705,404.97117717792247,6967.659247654803
0.5,0.7,1.0,8.573388203017834e-07,2962.6453703703705,581.3133862155568,5417.868234311395
0.5,0.8,1.0,8.573388203017834e-07,2962.6453703703705,532.6358231016014,5453.021796189295
0.5,0.9,1.0,8.573388203017834e-07,2962.6453703703705,561.2336490816397,5795.756674661168
0.6,0.6,1.0,8.573388203017834e-07,2962.6453703703705,527.559991535733,5863.29547841209
0.6,0.7,1.0,8.573388203017834e-07,2962.6453703703705,389.4039485921436,5409.187934868364
0.6,0.8,1.0,8.573388203017834e-07,2962.6453703703705,470.59876242506976,5186.1822906478865
0.6,0.9,1.0,8.573388203017834e-07,2962.6453703703705,546.1203254310858,5912.644790920244
0.7,0.7,1.0,8.573388203017834e-07,2962.6453703703705,601.3002394156877,5639.167706136554
0.7,0.8,1.0,8.573388203017834e-07,2962.6453703703705,495.00887669651246,5064.9749132809575
0.7,0.9,1.0,8.573388203017834e-07,2962.6453703703705,476.328800169443,6323.069889196649
0.8,0.8,1.0,8.573388203017834e-07,2962.6453703703705,426.44631303004763,6260.806962559028
0.8,0.9,1.0,8.573388203017834e-07,2962.6453703703705,543.716558027884,6376.694662013233
0.9,0.9,1.0,8.573388203017834e-07,2962.6453703703705,405.07314948314604,5850.851922437729
0.01,0.01,1.0,8.573388203017834e-07,2962.6453703703705,509.2187469994952,6103.1399550179585
0.01,0.02,1.0,8.573388203017834e-07,2962.6453703703705,502.3210772723314,5361.113866006293
0.01,0.03,1.0,8.573388203017834e-07,2962.6453703703705,407.63944851513173,4432.778786767856
0.01,0.04,1.0,8.573388203017834e-07,2962.6453703703705,616.6954105776622,5901.579116421702
0.01,0.05,1.0,8.573388203017834e-07,2962.6453703703705,506.063986180897,6506.216846509372
0.01,0.06,1.0,8.573388203017834e-07,2962.6453703703705,425.96175246510745,5148.92280459613
0.01,0.07,1.0,8.573388203017834e-07,2962.6453703703705,521.8851856334192,5943.635256755955
0.01,0.08,1.0,8.573388203017834e-07,2962.6453703703705,449.78818345961264,5734.077965946382
0.01,0.09,1.0,8.573388203017834e-07,2962.6453703703705,508.135684045085,6106.469399624824
0.02,0.02,1.0,8.573388203017834e-07,2962.6453703703705,541.0523237271667,5034.783008764739
0.02,0.03,1.0,8.573388203017834e-07,2962.6453703703705,525.6999380334944,5423.112306863146
0.02,0.04,1.0,8.573388203017834e-07,2962.6453703703705,473.0383237033777,5524.127434614818
0.02,0.05,1.0,8.573388203017834e-07,2962.6453703703705,523.7739831870471,5355.470700890336
0.02,0.06,1.0,8.573388203017834e-07,2962.6453703703705,651.685827003904,4674.5657833710275
0.02,0.07,1.0,8.573388203017834e-07,2962.6453703703705,566.5680928068134,5619.806633108689
0.02,0.08,1.0,8.573388203017834e-07,2962.6453703703705,502.42330965487685,5687.783847785288
0.02,0.09,1.0,8.573388203017834e-07,2962.6453703703705,412.96433881897514,4657.531771411014
0.03,0.03,1.0,8.573388203017834e-07,2962.6453703703705,611.8233792712682,5479.449689084091
0.03,0.04,1.0,8.573388203017834e-07,2962.6453703703705,430.4200426984489,5294.354588977897
0.03,0.05,1.0,8.573388203017834e-07,2962.6453703703705,523.8937581968121,5654.869990779291
0.03,0.06,1.0,8.573388203017834e-07,2962.6453703703705,568.1570944433063,5246.597329699507
0.03,0.07,1.0,8.573388203017834e-07,2962.6453703703705,548.3961356831119,5186.077986141165
0.03,0.08,1.0,8.573388203017834e-07,2962.6453703703705,519.6185302965733,5691.440305987164
0.03,0.09,1.0,8.573388203017834e-07,2962.6453703703705,444.2510501487222,6114.560305936915
0.04,0.04,1.0,8.573388203017834e-07,2962.6453703703705,443.68940984371596,6068.4213189655065
0.04,0.05,1.0,8.573388203017834e-07,2962.6453703703705,567.8890342746657,5453.872205076953
0.04,0.06,1.0,8.573388203017834e-07,2962.6453703703705,412.17651790738194,5343.416161560102
0.04,0.07,1.0,8.573388203017834e-07,2962.6453703703705,506.69224843646555,5330.444308290879
0.04,0.08,1.0,8.573388203017834e-07,2962.6453703703705,528.3096113311722,5449.585881964349
0.04,0.09,1.0,8.573388203017834e-07,2962.6453703703705,467.86568680813923,6106.509348159438
0.05,0.05,1.0,8.573388203017834e-07,2962.6453703703705,502.43777991164586,5516.32429150611
0.05,0.06,1.0,8.573388203017834e-07,2962.6453703703705,502.35808023473453,5697.548045479448
0.05,0.07,1.0,8.573388203017834e-07,2962.6453703703705,507.5419667119281,4745.164088582281
0.05,0.08,1.0,8.573388203017834e-07,2962.6453703703705,491.80639808262225,5991.891564618862
0.05,0.09,1.0,8.573388203017834e-07,2962.6453703703705,479.1766456835556,5235.528096664837
0.06,0.06,1.0,8.573388203017834e-07,2962.6453703703705,437.42056235351856,5990.194399989831
0.06,0.07,1.0,8.573388203017834e-07,2962.6453703703705,527.5963616766021,5328.589926487981
0.06,0.08,1.0,8.573388203017834e-07,2962.6453703703705,432.18336530598845,6115.2681952718285
0.06,0.09,1.0,8.573388203017834e-07,2962.6453703703705,565.5468284289454,5368.824080817511
