m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.067878827641591,9.525986892242036e-07,2962.6453703703705,28.96836008435621,102.88261620848982
0.1,0.2,0.0,9.525986892242036e-07,2962.6453703703705,,
0.1,0.3,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.4,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.5,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.6,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.7,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.8,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.9,,9.525986892242036e-07,2962.6453703703705,,
0.2,0.2,1.146720406193046,1.0716735253772291e-06,2962.6453703703705,30.961325199297878,115.21344292083677
0.2,0.3,0.6558318735740907,1.0716735253772291e-06,2962.6453703703705,46.5933390173812,187.53676169249556
0.2,0.4,0.0,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.5,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.6,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.7,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.8,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.9,,1.0716735253772291e-06,2962.6453703703705,,
0.3,0.3,1.2397322437062515,1.2247697432882618e-06,2962.6453703703705,36.31238568383091,116.45976479802853
0.3,0.4,0.9476175694143071,1.2247697432882618e-06,2962.6453703703705,43.39801319293251,161.26924086199267
0.3,0.5,0.5828996559875119,1.2247697432882618e-06,2962.6453703703705,64.97287651320418,251.19115322143182
0.3,0.6,0.0,1.2247697432882618e-06,2962.6453703703705,,
0.3,0.7,,1.2247697432882618e-06,2962.6453703703705,,
0.3,0.8,,1.2247697432882618e-06,2962.6453703703705,,
0.3,0.9,,1.2247697432882618e-06,2962.6453703703705,,
0.4,0.4,1.3516519438896402,1.4288980338363059e-06,2962.6453703703705,41.232937435843624,130.48386335791648
0.4,0.5,1.1695594588372513,1.4288980338363059e-06,2962.6453703703705,46.750900115157194,138.1139184181224
0.4,0.6,0.939892178874537,1.4288980338363059e-06,2962.6453703703705,54.426389035634756,176.56685629987183
0.4,0.7,0.5565492766542918,1.4288980338363059e-06,2962.6453703703705,77.81495791420646,310.43540318317946
0.4,0.8,,1.4288980338363059e-06,2962.6453703703705,,
0.4,0.9,,1.4288980338363059e-06,2962.6453703703705,,
0.5,0.5,1.4898801256447494,1.7146776406035667e-06,2962.6453703703705,49.319522790533696,125.56068457495562
0.5,0.6,1.3619804581563222,1.7146776406035667e-06,2962.6453703703705,51.692618531343555,153.14685110797856
0.5,0.7,1.1419580257817248,1.7146776406035667e-06,2962.6453703703705,60.50304996533709,190.30923925370368
0.5,0.8,0.5258403076416316,1.7146776406035667e-06,2962.6453703703705,103.01274558283671,401.73532865891167
0.5,0.9,,1.7146776406035667e-06,2962.6453703703705,,
0.6,0.6,1.666896033685178,2.1433470507544583e-06,2962.6453703703705,59.608909948408254,145.90745992044657
0.6,0.7,1.0,2.1433470507544583e-06,2962.6453703703705,79.11309032724903,244.32519885051667
0.6,0.8,1.1504947316609875,2.1433470507544583e-06,2962.6453703703705,73.36624697341603,235.68565411351386
0.6,0.9,,2.1433470507544583e-06,2962.6453703703705,,
0.7,0.7,1.9062193738198776,2.8577960676726117e-06,2962.6453703703705,67.24103360052976,187.777177992146
0.7,0.8,1.6989129250349178,2.8577960676726117e-06,2962.6453703703705,71.68071256556576,199.65454559040913
0.7,0.9,0.0,2.8577960676726117e-06,2962.6453703703705,,
0.8,0.8,2.260867816817828,4.2866941015089165e-06,2962.6453703703705,79.27097948542044,
0.8,0.9,1.672376735673487,4.2866941015089165e-06,2962.6453703703705,109.14253913141121,302.71328534257697
0.9,0.9,2.900477097889386,8.573388203017833e-06,2962.6453703703705,128.99525713651676,
0.01,0.01,1.0063647580360118,8.659988083856399e-07,2962.6453703703705,24.677538020787647,91.30999255953093
0.01,0.02,0.0,8.659988083856399e-07,2962.6453703703705,,
0.01,0.03,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.04,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.05,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.06,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.07,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.08,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.09,,8.659988083856399e-07,2962.6453703703705,,
0.02,0.02,1.0128179179349637,8.748355309201871e-07,2962.6453703703705,24.162990946613096,100.8096001960212
0.02,0.03,0.5120957045243362,8.748355309201871e-07,2962.6453703703705,46.55573051330027,199.91233777748258
0.02,0.04,0.0,8.748355309201871e-07,2962.6453703703705,,
0.02,0.05,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.06,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.07,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.08,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.09,,8.748355309201871e-07,2962.6453703703705,,
0.03,0.03,1.0193614715465262,8.838544539193642e-07,2962.6453703703705,24.62772193580132,99.9454940343328
0.03,0.04,0.686738158899096,8.838544539193642e-07,2962.6453703703705,35.946524383987054,150.49076439854463
0.03,0.05,0.34814253462901706,8.838544539193642e-07,2962.6453703703705,69.66913847489292,292.5930452979689
0.03,0.06,0.0,8.838544539193642e-07,2962.6453703703705,,
0.03,0.07,,8.838544539193642e-07,2962.6453703703705,,
0.03,0.08,,8.838544539193642e-07,2962.6453703703705,,
0.03,0.09,,8.838544539193642e-07,2962.6453703703705,,
0.04,0.04,1.0259974746609668,8.930612711476911e-07,2962.6453703703705,26.03864392156841,103.89841504858641
0.04,0.05,0.777391576303856,8.930612711476911e-07,2962.6453703703705,33.523254165324,133.10538434752183
0.04,0.06,0.5248048568873214,8.930612711476911e-07,2962.6453703703705,45.27588494288145,200.51533175060334
0.04,0.07,0.2665123141184962,8.930612711476911e-07,2962.6453703703705,94.31844173212471,380.76108585637706
0.04,0.08,0.0,8.930612711476911e-07,2962.6453703703705,,
0.04,0.09,,8.930612711476911e-07,2962.6453703703705,,
0.05,0.05,1.032728049717885,9.024619161071406e-07,2962.6453703703705,24.846639661957642,108.32594427170788
0.05,0.06,0.8345455780119481,9.024619161071406e-07,2962.6453703703705,28.33492456846871,127.765814171981
0.05,0.07,0.6333964840416372,9.024619161071406e-07,2962.6453703703705,39.62112412803622,167.9258743100866
0.05,0.08,0.42826458295989506,9.024619161071406e-07,2962.6453703703705,57.86074204834982,239.45537422192749
0.05,0.09,0.2177689193789693,9.024619161071406e-07,2962.6453703703705,115.05315005505582,472.1443832088561
0.06,0.06,1.0395553886588504,9.120625747891314e-07,2962.6453703703705,23.749244401658988,97.19985822162913
0.06,0.07,0.8750097970523479,9.120625747891314e-07,2962.6453703703705,29.190827844023612,119.96059610631717
