m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.067878827641591,9.525986892242036e-07,2962.6453703703705,644.2688071526229,5687.929613955138
0.1,0.2,0.0,9.525986892242036e-07,2962.6453703703705,,
0.1,0.3,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.4,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.5,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.6,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.7,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.8,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.9,,9.525986892242036e-07,2962.6453703703705,,
0.2,0.2,1.146720406193046,1.0716735253772291e-06,2962.6453703703705,683.6573314798474,7894.645946349748
0.2,0.3,0.6558318735740907,1.0716735253772291e-06,2962.6453703703705,1806.0140378329045,17945.350387192375
0.2,0.4,0.0,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.5,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.6,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.7,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.8,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.9,,1.0716735253772291e-06,2962.6453703703705,,
0.3,0.3,1.2397322437062515,1.2247697432882618e-06,2962.6453703703705,828.0246668298806,7709.264662822066
0.3,0.4,0.9476175694143071,1.2247697432882618e-06,2962.6453703703705,1587.6272890515904,14034.854141400187
0.3,0.5,0.5828996559875119,1.2247697432882618e-06,2962.6453703703705,3052.156272864979,36219.06408630029
0.3,0.6,0.0,1.2247697432882618e-06,2962.6453703703705,,
0.3,0.7,,1.2247697432882618e-06,2962.6453703703705,,
0.3,0.8,,1.2247697432882618e-06,2962.6453703703705,,
0.3,0.9,,1.2247697432882618e-06,2962.6453703703705,,
0.4,0.4,1.3516519438896402,1.4288980338363059e-06,2962.6453703703705,1063.0317107877568,8820.69817103295
0.4,0.5,1.1695594588372513,1.4288980338363059e-06,2962.6453703703705,1390.6903875530534,11035.453849028456
0.4,0.6,0.939892178874537,1.4288980338363059e-06,2962.6453703703705,2249.042206425876,19643.752436868486
0.4,0.7,0.5565492766542918,1.4288980338363059e-06,2962.6453703703705,4087.5517275529883,55501.55522221707
0.4,0.8,,1.4288980338363059e-06,2962.6453703703705,,
0.4,0.9,,1.4288980338363059e-06,2962.6453703703705,,
0.5,0.5,1.4898801256447494,1.7146776406035667e-06,2962.6453703703705,1555.699399577834,9589.81557070558
0.5,0.6,1.3619804581563222,1.7146776406035667e-06,2962.6453703703705,1750.2748035633656,13017.126503867812
0.5,0.7,1.1419580257817248,1.7146776406035667e-06,2962.6453703703705,2373.7069977014144,22764.794599528028
0.5,0.8,0.5258403076416316,1.7146776406035667e-06,2962.6453703703705,8380.09218290748,96204.32726714657
0.5,0.9,,1.7146776406035667e-06,2962.6453703703705,,
0.6,0.6,1.666896033685178,2.1433470507544583e-06,2962.6453703703705,2126.807711405613,12326.212712991226
0.6,0.7,1.0,2.1433470507544583e-06,2962.6453703703705,4488.077947720268,37474.12628047411
0.6,0.8,1.1504947316609875,2.1433470507544583e-06,2962.6453703703705,3671.267754085999,32346.97223107679
0.6,0.9,,2.1433470507544583e-06,2962.6453703703705,,
0.7,0.7,1.9062193738198776,2.8577960676726117e-06,2962.6453703703705,2700.2224985448174,17935.046851008203
0.7,0.8,1.6989129250349178,2.8577960676726117e-06,2962.6453703703705,3320.1341494231656,24641.714667419637
0.7,0.9,0.0,2.8577960676726117e-06,2962.6453703703705,,
0.8,0.8,2.260867816817828,4.2866941015089165e-06,2962.6453703703705,3864.5245837828897,
0.8,0.9,1.672376735673487,4.2866941015089165e-06,2962.6453703703705,8023.342426152758,52378.73534457263
0.9,0.9,2.900477097889386,8.573388203017833e-06,2962.6453703703705,9525.074653570773,
0.01,0.01,1.0063647580360118,8.659988083856399e-07,2962.6453703703705,520.0766950253702,4438.621518952789
0.01,0.02,0.0,8.659988083856399e-07,2962.6453703703705,,
0.01,0.03,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.04,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.05,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.06,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.07,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.08,,8.659988083856399e-07,2962.6453703703705,,
0.01,0.09,,8.659988083856399e-07,2962.6453703703705,,
0.02,0.02,1.0128179179349637,8.748355309201871e-07,2962.6453703703705,537.8895663840697,5634.97661928195
0.02,0.03,0.5120957045243362,8.748355309201871e-07,2962.6453703703705,1958.4549961409625,22187.500349634152
0.02,0.04,0.0,8.748355309201871e-07,2962.6453703703705,,
0.02,0.05,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.06,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.07,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.08,,8.748355309201871e-07,2962.6453703703705,,
0.02,0.09,,8.748355309201871e-07,2962.6453703703705,,
0.03,0.03,1.0193614715465262,8.838544539193642e-07,2962.6453703703705,525.3902184373835,5779.151031633012
0.03,0.04,0.686738158899096,8.838544539193642e-07,2962.6453703703705,1066.0685996174614,13143.489639713143
0.03,0.05,0.34814253462901706,8.838544539193642e-07,2962.6453703703705,4796.895304521421,47903.31963172134
0.03,0.06,0.0,8.838544539193642e-07,2962.6453703703705,,
0.03,0.07,,8.838544539193642e-07,2962.6453703703705,,
0.03,0.08,,8.838544539193642e-07,2962.6453703703705,,
