m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,2962.6453703703705,-7.231442234002337,-11.098796797783805,-7.356903099472518,-1.4097304626252622,-5.552606669526206,-11.34083432549582
0.1,0.2,2962.6453703703705,-6.933087344255128,-11.559514112056377,,,-18.64838949513827,-63.67667792904394
0.1,0.3,2962.6453703703705,-7.344987970517725,-16.960327195254308,,,-23.56945196806828,
0.1,0.4,2962.6453703703705,-8.312218551035198,-7.9496819244237855,,,-24.583979303015802,
0.1,0.5,2962.6453703703705,-11.113207871214833,-19.366908348279566,,,-28.76445123866702,
0.1,0.6,2962.6453703703705,-10.10653266051003,-19.407444325140915,,,-28.12816504976622,
0.1,0.7,2962.6453703703705,-11.080346255834936,-29.65151102636119,,,-30.33853449879815,
0.1,0.8,2962.6453703703705,-10.226926082174973,-27.25175881211024,,,-31.43261820813329,
0.1,0.9,2962.6453703703705,-14.730232260748494,-35.7371780918275,,,-33.6873659731545,
0.2,0.2,2962.6453703703705,-10.33536254971164,-19.91333801125407,-8.625517471956115,-10.21284585055524,-4.951887081045527,-10.307524256528424
0.2,0.3,2962.6453703703705,-12.156874680659396,-34.592017999711416,-23.983274012752442,-94.85820964470832,-17.635186140860398,-51.23251599796582
0.2,0.4,2962.6453703703705,-12.220429654338844,-34.865317938485816,,,-21.061461910014465,-76.1790816394302
0.2,0.5,2962.6453703703705,-16.972483507803137,-36.558766763762705,,,-28.033858421932578,
0.2,0.6,2962.6453703703705,-12.852286646267522,-42.10130188773215,,,-27.13507470484025,
0.2,0.7,2962.6453703703705,-18.112278572484136,-39.234613487013476,,,-32.93152886665635,
0.2,0.8,2962.6453703703705,-18.700261734876577,-47.56404408589455,,,-33.80278895285998,
0.2,0.9,2962.6453703703705,-18.485622516355686,-40.55281489825687,,,-35.861133895657524,
0.3,0.3,2962.6453703703705,-20.603184435021994,-33.85759260526916,-15.215196926292364,-16.787418461747478,-13.159280571482853,2.415208195048649
0.3,0.4,2962.6453703703705,-21.41605239658396,-48.43991542712806,-21.068866239417414,-61.338664847828625,-19.435337951886808,-57.27437775660991
0.3,0.5,2962.6453703703705,-18.50063515580003,-53.5352456736115,-40.58561130569534,-154.64460717011826,-25.3048675387459,-71.90506766514683
0.3,0.6,2962.6453703703705,-21.95501184223685,-50.47051361282989,,,-28.873719160570694,-87.1216384107543
0.3,0.7,2962.6453703703705,-25.72744395188455,-56.28711565687948,,,-35.61010046787406,-100.63502538134378
0.3,0.8,2962.6453703703705,-22.434866105232693,-65.29567102853872,,,-34.57959530946455,
0.3,0.9,2962.6453703703705,-23.204502052671593,-68.31992675211036,,,-39.123137281821926,
0.4,0.4,2962.6453703703705,-27.11310963542031,-65.28971983537926,-17.715191992882897,-28.014976260102912,-16.458631911939094,-37.15762325206242
0.4,0.5,2962.6453703703705,-29.992216724646944,-81.42114721829785,-24.800821078026573,-46.112556654313096,-23.945300805098245,-60.17100687974556
0.4,0.6,2962.6453703703705,-31.064753959483486,-84.15165603911773,-32.97422916989406,-78.67141318501639,-31.779015049426473,-86.18568159532305
0.4,0.7,2962.6453703703705,-31.376731653196636,-94.32425445834079,-55.06189618986123,-214.32932103164984,-37.44269560836868,-113.18124075022578
0.4,0.8,2962.6453703703705,-34.82471621484274,-75.87156120190785,,,-43.047250236190855,-116.6381056215925
0.4,0.9,2962.6453703703705,-32.74108967698271,-81.3118316386905,,,-50.28455791142692,
0.5,0.5,2962.6453703703705,-36.11771150644613,-110.82921543555973,-25.623579372973584,-24.62620695169322,-20.737131886986354,-53.7961861816749
0.5,0.6,2962.6453703703705,-43.25505799882612,-92.29068992120139,-30.255535989924592,-47.55913105497655,-32.92499037760524,-63.88554005918718
0.5,0.7,2962.6453703703705,-37.22982884008033,-110.89171252224753,-36.979283681223606,-95.74392505422642,-35.679326246260075,-93.12990654863827
0.5,0.8,2962.6453703703705,-43.81659826446991,-115.15181057427648,-79.68040967845258,-305.78776548610165,-48.77243352598694,-127.58786011977955
0.5,0.9,2962.6453703703705,-47.253240871128206,-138.75767604935675,,,-60.90245230863313,
0.6,0.6,2962.6453703703705,-49.62700415775082,-161.84750778716585,-36.99752611371011,-50.85171130612423,-27.633581384003563,-59.786762504290124
0.6,0.7,2962.6453703703705,-59.80729958518012,-152.64199282766987,-56.43185587787015,-146.49733245355452,-47.93055615977888,-96.02673479925232
0.6,0.8,2962.6453703703705,-64.19553366946782,-163.53318444920785,-51.362258255137775,-137.55135713998442,-60.281786888709505,-151.22795600266926
0.6,0.9,2962.6453703703705,-56.7488015353707,-194.40995979146123,,,-69.38952673272951,-236.71316910071212
0.7,0.7,2962.6453703703705,-67.40380664179352,-220.80863578449143,-42.56658520729163,-91.97900650244472,-35.05457639784692,-74.56946692371622
0.7,0.8,2962.6453703703705,-81.0151409954301,-248.60198408142418,-49.169149306181545,-100.71049878684691,-64.65018819661861,-178.99630489441697
