m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,2962.6453703703705,-279.2794435123693,-1838.2760828993905,-255.1581729218061,-285.83192177438013,-138.19886745732754,-1405.4491099530487
0.1,0.2,2962.6453703703705,-182.1618306189481,-1914.1100125541243,,,-499.07642559646024,-6069.464263465379
0.1,0.3,2962.6453703703705,-337.00248973367025,-1733.8605219311066,,,-702.2375022844774,
0.1,0.4,2962.6453703703705,-194.0680066075886,-1397.6894656617378,,,-675.5317218300519,
0.1,0.5,2962.6453703703705,-324.64941949958353,-1593.75691020692,,,-800.2176994911948,
0.1,0.6,2962.6453703703705,-240.25662977970637,-3732.4790957745918,,,-681.6627778513391,
0.1,0.7,2962.6453703703705,-417.8637086095925,-4372.65797687796,,,-858.6794527549699,
0.1,0.8,2962.6453703703705,-203.0241234339594,-2752.426710575678,,,-823.028472164012,
0.1,0.9,2962.6453703703705,-527.6345178644385,-4304.686531992312,,,-910.6381220720566,
0.2,0.2,2962.6453703703705,-340.3408292373865,-3449.1734949210822,-249.07684988143853,-1763.6228283123737,-62.16555681889395,-2399.4147171013365
0.2,0.3,2962.6453703703705,-444.37623454816156,-3748.8489486417784,-1325.3326191988056,-12937.86055922928,-688.7678165175164,-5699.68294317675
0.2,0.4,2962.6453703703705,-328.97918079250013,-4857.059026848949,,,-640.6386889682426,-8330.663200886636
0.2,0.5,2962.6453703703705,-629.71648462475,-4757.589364814972,,,-893.7508414910284,
0.2,0.6,2962.6453703703705,-503.6656203223887,-5523.3580924689095,,,-878.0458148738085,
0.2,0.7,2962.6453703703705,-695.4292261162343,-5014.227729861038,,,-1096.006967744443,
0.2,0.8,2962.6453703703705,-641.0836793378296,-6713.733879721276,,,-1062.4061476168347,
0.2,0.9,2962.6453703703705,-697.7735176078103,-5418.674673283414,,,-1210.530683576531,
0.3,0.3,2962.6453703703705,-964.7504454219921,-6031.579029778295,-437.49724645801575,-2069.817278702103,-534.2374421714374,-2187.2482021490687
0.3,0.4,2962.6453703703705,-1016.0847728333748,-4790.269355238601,-1174.327956475538,-8319.36384357751,-855.8083721120878,-5771.962727310138
0.3,0.5,2962.6453703703705,-689.0850225698307,-7468.264477355227,-2526.612225007028,-31154.72955830241,-910.5014890298198,-8727.217662152698
0.3,0.6,2962.6453703703705,-924.2498507527986,-6316.667223400608,,,-1201.3414684509016,-9810.172525994043
0.3,0.7,2962.6453703703705,-1321.222708293713,-6892.490555443332,,,-1569.898988796999,-11037.957999513736
0.3,0.8,2962.6453703703705,-1020.7220636070654,-10495.359831687023,,,-1434.2523417531931,
0.3,0.9,2962.6453703703705,-1177.3470446160566,-10385.236549886296,,,-1560.1447902810964,
0.4,0.4,2962.6453703703705,-973.6616227258822,-10650.780048567154,-507.93150626174577,-3198.589076906316,-546.7868084571884,-6879.188572117222
0.4,0.5,2962.6453703703705,-1350.088058390423,-11690.129315292641,-932.975395761506,-5857.0863584178205,-925.2973942967759,-9694.11141422217
0.4,0.6,2962.6453703703705,-1295.9109579598169,-14636.654643591566,-1812.76347451987,-14162.832462237453,-1371.814678904183,-14523.55198515657
0.4,0.7,2962.6453703703705,-1626.044427979337,-13427.191304247612,-3588.2320990253415,-50189.90438002466,-1854.6564219055979,-15508.281401843504
0.4,0.8,2962.6453703703705,-1973.1639860121204,-11901.707874502888,,,-2308.4027858332756,-15241.833347092484
0.4,0.9,2962.6453703703705,-1442.3735651137074,-13500.014041225171,,,-2069.3339314593054,
0.5,0.5,2962.6453703703705,-1891.1343000344818,-17434.41828270006,-960.3828671476543,-3400.62836361015,-1154.8447732350164,-8677.360809285625
0.5,0.6,2962.6453703703705,-2640.2946370407717,-15081.211536631698,-1345.303626385443,-6049.467256213009,-2137.528116526281,-11205.519165776788
0.5,0.7,2962.6453703703705,-2379.562949110878,-22334.11642892463,-1792.3936114858575,-17346.926365216634,-2343.7755259060123,-19724.294760670142
0.5,0.8,2962.6453703703705,-2431.4730914540514,-18197.758135051987,-7847.4563598058785,-90751.30547095726,-2644.0989951057572,-19380.10666661866
0.5,0.9,2962.6453703703705,-3044.0691255229435,-22636.946294333255,,,-3510.463200496215,
0.6,0.6,2962.6453703703705,-2955.167291519637,-30436.922017920464,-1599.2477198698803,-6462.917234579136,-1748.4243073376495,-13662.987105035867
0.6,0.7,2962.6453703703705,-4186.573122059084,-29760.643142683817,-4098.673999128124,-32064.938345605748,-3488.547697391115,-21635.650570731814
0.6,0.8,2962.6453703703705,-4754.297597577118,-34958.03261292475,-3200.6689916609294,-27160.789940428902,-4663.465392757881,-33662.72403533625
0.6,0.9,2962.6453703703705,-3961.260432713342,-37284.921463990955,,,-4336.462316234808,-41579.37744116138
0.7,0.7,2962.6453703703705,-5627.355830556539,-51378.89295884085,-2098.92225912913,-12295.879144871647,-3305.128745991411,-22845.098302155988
0.7,0.8,2962.6453703703705,-8030.874029107421,-63881.9311363614,-2825.1252727266533,-19576.73975413868,-7130.580235930416,-50544.1990616616
0.7,0.9,2962.6453703703705,-9769.739697408608,-78776.35018587671,,,-9870.067223171429,-81153.59623576645
0.8,0.8,2962.6453703703705,-15062.645275488263,-145875.29147364481,-3438.0782707528424,,-9203.3551697826,-85158.88519482098
0.8,0.9,2962.6453703703705,-15161.68106948743,-166651.98593932792,-7479.625868124874,-46002.0406825594,-14812.055516174303,-161866.41650205196
0.9,0.9,2962.6453703703705,-60373.8502212711,-650268.8189974867,-9120.001504087626,,-44624.02410232782,-361822.5407750003
0.01,0.01,2962.6453703703705,49.60960469300596,453.1167604959819,-10.857948025875032,1664.5184360651701,59.8485959087422,253.6613531634075
0.01,0.02,2962.6453703703705,71.2445261312011,-703.4755185559925,,,-297.215928367606,-4664.006202304168
0.01,0.03,2962.6453703703705,-130.58834676386175,-1091.3232226382906,,,-487.1791388287726,
0.01,0.04,2962.6453703703705,92.75921991522625,-204.45853568968505,,,-494.0865050556914,
0.01,0.05,2962.6453703703705,-21.247852387850912,740.2394848840931,,,-504.13465249882944,
0.01,0.06,2962.6453703703705,-12.18034062935186,-543.9355146398666,,,-421.3995350229502,
0.01,0.07,2962.6453703703705,14.521335425805546,44.060465891070635,,,-499.5604682320746,
0.01,0.08,2962.6453703703705,-118.12017033339288,-403.82757023408067,,,-559.9267940724211,
0.01,0.09,2962.6453703703705,-40.654388349550004,-163.12381672505944,,,-542.9807479691225,
0.02,0.02,2962.6453703703705,29.138852588127634,-534.8943198310099,3.1627573430970415,-600.1936105172108,10.005375722565077,-341.3762304869715
0.02,0.03,2962.6453703703705,-22.29344739332214,118.1146032422921,-1432.755058107468,-16764.388042771006,-318.66622614550727,-2928.692853210098
0.02,0.04,2962.6453703703705,-20.391638092273126,-200.82206325663992,,,-375.6783719973061,-4175.97274089088
0.02,0.05,2962.6453703703705,55.174284051692666,-214.05366442707782,,,-395.8859407788517,
0.02,0.06,2962.6453703703705,-84.920179392651,-1060.3577116225888,,,-673.7171922987285,
0.02,0.07,2962.6453703703705,68.17059784193708,-600.8639652896736,,,-463.6463929716925,
0.02,0.08,2962.6453703703705,-40.51628216769427,-767.0403574143529,,,-513.0189575981484,
0.02,0.09,2962.6453703703705,-171.92972813988285,-1659.2811121910709,,,-560.6074273206325,
0.03,0.03,2962.6453703703705,89.22897417390834,88.3743772884236,86.4331608338847,-299.7013425489213,30.41672943852268,248.39281610939724
0.03,0.04,2962.6453703703705,-224.77993676730568,-400.265291795904,-635.6485569190124,-7849.135050735246,-386.31982385766656,-2383.593701699066
0.03,0.05,2962.6453703703705,-11.670524913364261,-771.5013987750435,-4273.001546324609,-42248.449640942046,-357.9837866954688,-4601.172410842162
0.03,0.06,2962.6453703703705,181.4002929573565,-883.47093306435,,,-257.14234786382326,-4649.700339839159
0.03,0.07,2962.6453703703705,-40.48562684777346,-730.1425423792389,,,-509.4962983796765,
0.03,0.08,2962.6453703703705,-27.182047104057688,-1173.725572961528,,,-483.26589648770624,
0.03,0.09,2962.6453703703705,-14.490774949488127,90.1772185566706,,,-391.01979725267495,
0.04,0.04,2962.6453703703705,-16.176823146290474,-60.872960394574875,-131.54268645580862,-248.23978579809955,268.25815913891705,342.26773351205065
0.04,0.05,2962.6453703703705,66.47866024138534,-87.4850095677075,-364.70844817438444,-4447.030987834795,-140.33961859568262,-1866.073419641089
0.04,0.06,2962.6453703703705,-133.63885779404302,-439.308528990734,-1519.268665444135,-16487.13020411104,-306.2720069572579,-2708.0503024424224
0.04,0.07,2962.6453703703705,-105.88314233540797,-435.04525203793673,-7266.001990678974,-84000.30610133638,-449.25498010291903,-3833.1767327474295
0.04,0.08,2962.6453703703705,19.84372703064446,-1659.4149764460935,,,-372.0379352586575,-5634.1281859256305
0.04,0.09,2962.6453703703705,-60.99973512644232,807.0537667406243,,,-393.3942622643143,
0.05,0.05,2962.6453703703705,-87.57979865254481,-1121.4577494448113,-80.78638362376284,-1104.9224102721855,-29.027109855841445,-537.0874646118327
0.05,0.06,2962.6453703703705,-136.97604338830962,-23.690771134564784,-191.02230225722798,-3486.0076521606725,-279.0139724857558,-1843.2739652082705
0.05,0.07,2962.6453703703705,28.875981038787643,-1265.3445040083661,-867.1869555668188,-11766.091868048949,-266.4623764528068,-2900.949273076159
0.05,0.08,2962.6453703703705,-5.025172401443967,660.4690938049871,-2678.3001659038828,-27441.455640322718,-297.2122311743002,-2872.2216180135333
0.05,0.09,2962.6453703703705,-34.15216122148189,-1407.5458333065399,-12257.659566434015,-122031.33684994112,-362.7663663430685,-4803.149760465079
0.06,0.06,2962.6453703703705,-201.60340441294875,-533.2176388283588,-112.52501186663233,1095.1513310988976,-146.20528058523035,-944.996288284583
0.06,0.07,2962.6453703703705,-24.845826139079122,-864.2565104434016,-324.366100290135,-2824.306550293597,-117.25067193091581,-1744.1634562711833
0.06,0.08,2962.6453703703705,-140.03378576053507,-1040.1256437445,-770.0681982396532,-6698.858579147876,-290.22691178205054,-3674.9116140559477
0.06,0.09,2962.6453703703705,-21.852889989008645,-779.5453528485186,-1266.018173538312,-15118.039637925409,-347.7360784069839,-3307.589987783957
0.07,0.07,2962.6453703703705,-207.24411885045885,-351.52308487492155,-53.279989107829124,-1312.47888088557,-112.94555443379954,-45.83269845679388
0.07,0.08,2962.6453703703705,-185.24553530658966,-799.7514463650505,-515.5314699421691,-1982.7936935386006,-257.2298731414288,-3268.0722990946097
0.07,0.09,2962.6453703703705,-145.13040992936794,-1691.8560985691774,-645.4091056263443,-6169.1780569275525,-268.2102003675264,-2607.403536369577
0.08,0.08,2962.6453703703705,-163.75039998768614,-824.0603801430279,-203.52441941419215,-519.7905801591805,-112.52269434193738,360.5220899406231
0.08,0.09,2962.6453703703705,-66.82010934407299,-796.5920889837771,-271.4473435625389,-1964.8451283619288,-77.9093937262437,-1433.587425329587
0.09,0.09,2962.6453703703705,-169.65042780692852,-296.4837397192214,6.044407108245423,-1294.2432134719347,22.780170547759326,1071.0199543714962
0.11,0.11,2962.6453703703705,-320.30313049163755,-2705.4746452332147,-326.4004809652111,-1426.5300031524685,-289.0304858752134,-1865.6541602572106
0.12,0.12,2962.6453703703705,-267.18572956971883,-2471.5257442601524,-222.69305405071913,-1262.4990329778147,-243.95274054151247,-525.4421622748723
0.13,0.13,2962.6453703703705,-290.5960517113174,-3319.5711260498783,-85.58945592547883,-821.6167015141064,36.24864127491753,-2275.652957576941
0.14,0.14,2962.6453703703705,-484.5656389911397,-1823.0835222848154,-170.68692019709243,302.4799399641952,-93.11896919131016,-319.0918643378027
0.15,0.15,2962.6453703703705,-435.2491678499004,-2195.0132190877002,-113.90852212525994,-1976.1335509770652,-182.28132678056625,-704.6881316693207
0.16,0.16,2962.6453703703705,-378.62122054531847,-3301.1035707492047,-203.30820604585767,-1216.842319385376,-225.93956789607148,-859.4212541522902
0.17,0.17,2962.6453703703705,-492.0196299496728,-2747.2455352076586,-71.34215447407018,-321.5370601498498,-269.4019138997169,-2394.001332410112
0.18,0.18,2962.6453703703705,-151.7391870916224,-3668.148383620952,-123.69617629152162,-1254.7406812938752,-12.819391851105593,-1906.2502775905868
0.19,0.19,2962.6453703703705,-529.5793424640383,-3296.2601409019844,-193.35543417131765,-1609.6868362628475,-267.49549971652914,-1663.2872551382525
