m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,8.573388203017834e-07,2962.6453703703705,11.81794650029726,
0.1,0.2,2.0,8.573388203017834e-07,2962.6453703703705,10.90046984590893,
0.1,0.3,2.0,8.573388203017834e-07,2962.6453703703705,11.141008141937423,
0.1,0.4,2.0,8.573388203017834e-07,2962.6453703703705,11.339804452433091,
0.1,0.5,2.0,8.573388203017834e-07,2962.6453703703705,11.768248287824328,
0.1,0.6,2.0,8.573388203017834e-07,2962.6453703703705,11.673420223449051,
0.1,0.7,2.0,8.573388203017834e-07,2962.6453703703705,11.853664725972148,
0.1,0.8,2.0,8.573388203017834e-07,2962.6453703703705,12.271881216431163,
0.1,0.9,2.0,8.573388203017834e-07,2962.6453703703705,11.528638193583456,
0.2,0.2,2.0,8.573388203017834e-07,2962.6453703703705,12.240510889461913,
0.2,0.3,2.0,8.573388203017834e-07,2962.6453703703705,11.693818281509735,
0.2,0.4,2.0,8.573388203017834e-07,2962.6453703703705,12.02083818803806,
0.2,0.5,2.0,8.573388203017834e-07,2962.6453703703705,11.025321790466299,
0.2,0.6,2.0,8.573388203017834e-07,2962.6453703703705,11.272153966858282,
0.2,0.7,2.0,8.573388203017834e-07,2962.6453703703705,11.05240111737198,
0.2,0.8,2.0,8.573388203017834e-07,2962.6453703703705,11.062908866625795,
0.2,0.9,2.0,8.573388203017834e-07,2962.6453703703705,11.285951330968048,
0.3,0.3,2.0,8.573388203017834e-07,2962.6453703703705,11.461964042876382,
0.3,0.4,2.0,8.573388203017834e-07,2962.6453703703705,11.326888170520254,
0.3,0.5,2.0,8.573388203017834e-07,2962.6453703703705,10.810704364828206,
0.3,0.6,2.0,8.573388203017834e-07,2962.6453703703705,11.789061991126676,
0.3,0.7,2.0,8.573388203017834e-07,2962.6453703703705,10.842520356499666,
0.3,0.8,2.0,8.573388203017834e-07,2962.6453703703705,11.13510896581715,
0.3,0.9,2.0,8.573388203017834e-07,2962.6453703703705,12.072861250384328,
0.4,0.4,2.0,8.573388203017834e-07,2962.6453703703705,10.658692408436472,
0.4,0.5,2.0,8.573388203017834e-07,2962.6453703703705,11.640832276900188,
0.4,0.6,2.0,8.573388203017834e-07,2962.6453703703705,11.88827189490248,
0.4,0.7,2.0,8.573388203017834e-07,2962.6453703703705,11.052854302811564,
0.4,0.8,2.0,8.573388203017834e-07,2962.6453703703705,11.208368376177864,
0.4,0.9,2.0,8.573388203017834e-07,2962.6453703703705,11.698218827657145,
0.5,0.5,2.0,8.573388203017834e-07,2962.6453703703705,11.732778152407704,
0.5,0.6,2.0,8.573388203017834e-07,2962.6453703703705,12.044630956968987,
0.5,0.7,2.0,8.573388203017834e-07,2962.6453703703705,11.839106715742735,
0.5,0.8,2.0,8.573388203017834e-07,2962.6453703703705,11.359285545180748,
0.5,0.9,2.0,8.573388203017834e-07,2962.6453703703705,12.293874818057114,
0.6,0.6,2.0,8.573388203017834e-07,2962.6453703703705,11.502598216571295,
0.6,0.7,2.0,8.573388203017834e-07,2962.6453703703705,12.34666695488227,
0.6,0.8,2.0,8.573388203017834e-07,2962.6453703703705,11.09184287710538,
0.6,0.9,2.0,8.573388203017834e-07,2962.6453703703705,11.714857673300445,
0.7,0.7,2.0,8.573388203017834e-07,2962.6453703703705,11.019301409113803,
0.7,0.8,2.0,8.573388203017834e-07,2962.6453703703705,13.387160732696461,
0.7,0.9,2.0,8.573388203017834e-07,2962.6453703703705,11.792630599470304,
0.8,0.8,2.0,8.573388203017834e-07,2962.6453703703705,11.405835176354282,
