m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.9095647993081502,7.716049382716049e-07,2962.6453703703705,141.04990715128574,1540.0883537031455
0.1,0.2,2.8101304969712415,7.716049382716049e-07,2962.6453703703705,55.947482949054546,
0.1,0.3,3.699706179357965,7.716049382716049e-07,2962.6453703703705,36.01669657731867,
0.1,0.4,4.575557117651626,7.716049382716049e-07,2962.6453703703705,18.773320767625133,
0.1,0.5,5.433780830483028,7.716049382716049e-07,2962.6453703703705,17.53141713483528,
0.1,0.6,6.268530136416277,7.716049382716049e-07,2962.6453703703705,14.913762822754622,
0.1,0.7,7.07045861030067,7.716049382716049e-07,2962.6453703703705,9.559589415588626,
0.1,0.8,7.823214990557688,7.716049382716049e-07,2962.6453703703705,10.214477509074644,
0.1,0.9,8.68108832519859,7.716049382716049e-07,2962.6453703703705,5.35544728138935,
0.2,0.2,1.8101304969712413,6.858710562414266e-07,2962.6453703703705,131.0399602947012,1620.7497200103155
0.2,0.3,2.1997061793579644,6.858710562414266e-07,2962.6453703703705,106.0604197588622,
0.2,0.4,2.575557117651626,6.858710562414266e-07,2962.6453703703705,68.70551772635454,
0.2,0.5,2.9337808304830277,6.858710562414266e-07,2962.6453703703705,61.057519897928955,
0.2,0.6,3.268530136416277,6.858710562414266e-07,2962.6453703703705,50.93844302461282,
0.2,0.7,3.575836803801503,6.858710562414266e-07,2962.6453703703705,45.84676381934396,
0.2,0.8,3.9704599551232875,6.858710562414266e-07,2962.6453703703705,27.690461203840748,
0.2,0.9,5.230080940978918,6.858710562414266e-07,2962.6453703703705,15.398769668668614,
0.3,0.3,1.699706179357965,6.001371742112485e-07,2962.6453703703705,162.84148849382382,2084.9930273544937
0.3,0.4,1.9088904509849591,6.001371742112485e-07,2962.6453703703705,127.35594104164849,1660.1319727999287
0.3,0.5,2.101049174760391,6.001371742112485e-07,2962.6453703703705,128.4600986863788,
0.3,0.6,2.2850424732827324,6.001371742112485e-07,2962.6453703703705,79.87192249880383,
0.3,0.7,2.4985990964541287,6.001371742112485e-07,2962.6453703703705,60.77068017269054,
0.3,0.8,2.8771120023427614,6.001371742112485e-07,2962.6453703703705,64.05939962650122,
0.3,0.9,4.282067215305558,6.001371742112485e-07,2962.6453703703705,25.054550205257495,
0.4,0.4,1.5755571176516256,5.144032921810701e-07,2962.6453703703705,206.45927810523972,2219.813102355459
0.4,0.5,1.6946183296263162,5.144032921810701e-07,2962.6453703703705,158.74729013805432,2181.459140970245
0.4,0.6,1.8136258392169444,5.144032921810701e-07,2962.6453703703705,154.14222980500574,1582.8534761640265
0.4,0.7,1.9790049893762511,5.144032921810701e-07,2962.6453703703705,145.52662369203793,1507.9506847880027
0.4,0.8,2.3272746158823994,5.144032921810701e-07,2962.6453703703705,106.21591426581848,
0.4,0.9,3.67439041890566,5.144032921810701e-07,2962.6453703703705,35.7828167196024,
0.5,0.5,1.433780830483027,4.286694101508917e-07,2962.6453703703705,243.69748632477064,2675.087960496305
0.5,0.6,1.5124860248224745,4.286694101508917e-07,2962.6453703703705,231.15364731700697,2384.396913573582
0.5,0.7,1.6326197279579056,4.286694101508917e-07,2962.6453703703705,171.24678077970333,2218.4992967646863
0.5,0.8,1.9294518950676753,4.286694101508917e-07,2962.6453703703705,134.22531335499735,1633.122331392017
0.5,0.9,3.07045861030067,4.286694101508917e-07,2962.6453703703705,52.4866689473454,
0.6,0.6,1.268530136416278,3.429355281207133e-07,2962.6453703703705,298.7939192161168,3716.1821752935957
0.6,0.7,1.3448557771330518,3.429355281207133e-07,2962.6453703703705,313.77006475544454,3295.123668501865
0.6,0.8,1.5704586103006695,3.429355281207133e-07,2962.6453703703705,212.12937864057898,2506.8689622703673
0.6,0.9,2.454458592793241,3.429355281207133e-07,2962.6453703703705,78.79736051329564,
0.7,0.7,1.0704586103006692,2.572016460905351e-07,2962.6453703703705,412.12903063414274,4511.620466835939
0.7,0.8,1.204458592793241,2.572016460905351e-07,2962.6453703703705,330.2433265247907,4040.6956362589544
0.7,0.9,1.823214990557691,2.572016460905351e-07,2962.6453703703705,127.31657185482993,1964.8864954426701
0.8,0.8,0.823214990557691,1.714677640603566e-07,2962.6453703703705,838.3288924489207,8203.305939501302
0.8,0.9,1.1721065788577625,1.714677640603566e-07,2962.6453703703705,398.00937249637155,4414.365679855951
0.9,0.9,0.4940287080441789,8.57338820301783e-08,2962.6453703703705,2127.0918057173835,23929.559032047688
0.01,0.01,1.9913157536841377,8.487654320987657e-07,2962.6453703703705,128.47090476011044,1430.894429753571
0.01,0.02,2.982555430077965,8.487654320987657e-07,2962.6453703703705,47.801366169622064,
0.01,0.03,3.9737176844607256,8.487654320987657e-07,2962.6453703703705,27.903751008285138,
0.01,0.04,4.964801136140165,8.487654320987657e-07,2962.6453703703705,20.352420546439173,
0.01,0.05,5.955804367157967,8.487654320987657e-07,2962.6453703703705,14.317276707197246,
0.01,0.06,6.946725920936476,8.487654320987657e-07,2962.6453703703705,8.780501990705764,
0.01,0.07,7.937564300863371,8.487654320987657e-07,2962.6453703703705,6.662526129964042,
0.01,0.08,8.928317968810918,8.487654320987657e-07,2962.6453703703705,5.552124098726275,
0.01,0.09,9.918985343586185,8.487654320987657e-07,2962.6453703703705,4.645999811411433,
0.02,0.02,1.9825554300779649,8.40192043895748e-07,2962.6453703703705,134.65675635931902,1418.3618307675715
0.02,0.03,2.473717684460726,8.40192043895748e-07,2962.6453703703705,83.75551286302718,
0.02,0.04,2.9648011361401645,8.40192043895748e-07,2962.6453703703705,63.46579170141955,
0.02,0.05,3.455804367157969,8.40192043895748e-07,2962.6453703703705,43.8725243659196,
0.02,0.06,3.9467259209364793,8.40192043895748e-07,2962.6453703703705,34.12470279610315,
0.02,0.07,4.437564300863365,8.40192043895748e-07,2962.6453703703705,21.987805902369402,
0.02,0.08,4.928317968810917,8.40192043895748e-07,2962.6453703703705,17.351957514988477,
0.02,0.09,5.418985343586186,8.40192043895748e-07,2962.6453703703705,16.09174343594888,
0.03,0.03,1.9737176844607265,8.316186556927297e-07,2962.6453703703705,138.5013099212212,1515.9946714554874
0.03,0.04,2.298134469473497,8.316186556927297e-07,2962.6453703703705,98.54722336794019,
0.03,0.05,2.622471033824637,8.316186556927297e-07,2962.6453703703705,73.38053920072302,
0.03,0.06,2.946725920936479,8.316186556927297e-07,2962.6453703703705,52.369822373942625,
0.03,0.07,3.2708976341966998,8.316186556927297e-07,2962.6453703703705,42.36114196713338,
0.03,0.08,3.5949846354775845,8.316186556927297e-07,2962.6453703703705,34.3065514350806,
0.03,0.09,3.918985343586184,8.316186556927297e-07,2962.6453703703705,32.545927636693385,
0.04,0.04,1.964801136140164,8.230452674897117e-07,2962.6453703703705,138.1584446136768,1530.6270970428247
0.04,0.05,2.20580436715797,8.230452674897117e-07,2962.6453703703705,88.05508250794432,
0.04,0.06,2.446725920936479,8.230452674897117e-07,2962.6453703703705,68.96489663370839,
0.04,0.07,2.6875643008633654,8.230452674897117e-07,2962.6453703703705,57.78145743571995,
0.04,0.08,2.928317968810916,8.230452674897117e-07,2962.6453703703705,50.70064786162581,
0.04,0.09,3.1689853435861837,8.230452674897117e-07,2962.6453703703705,45.34244642460636,
0.05,0.05,1.95580436715797,8.144718792866941e-07,2962.6453703703705,101.33241881021276,1477.3119524071994
0.05,0.06,2.146725920936478,8.144718792866941e-07,2962.6453703703705,112.18033933318486,
0.05,0.07,2.337564300863367,8.144718792866941e-07,2962.6453703703705,82.13627488097615,
0.05,0.08,2.5283179688109167,8.144718792866941e-07,2962.6453703703705,82.28402295326367,
0.05,0.09,2.718985343586183,8.144718792866941e-07,2962.6453703703705,84.89850330876409,
0.06,0.06,1.9467259209364776,8.058984910836764e-07,2962.6453703703705,110.71742621560519,1397.9243277070902
0.06,0.07,2.104230967530033,8.058984910836764e-07,2962.6453703703705,115.49525762389604,
0.06,0.08,2.261651302144251,8.058984910836764e-07,2962.6453703703705,80.81751656547928,
0.06,0.09,2.4189853435861832,8.058984910836764e-07,2962.6453703703705,94.10523859013269,
