m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,8.573388203017834e-07,2962.6453703703705,17.163575748415482,
0.1,0.2,2.0,8.573388203017834e-07,2962.6453703703705,17.75185450484498,
0.1,0.3,2.0,8.573388203017834e-07,2962.6453703703705,18.668791839585808,
0.1,0.4,2.0,8.573388203017834e-07,2962.6453703703705,20.118941541754296,
0.1,0.5,2.0,8.573388203017834e-07,2962.6453703703705,20.016481635511376,
0.1,0.6,2.0,8.573388203017834e-07,2962.6453703703705,21.59201213627609,
0.1,0.7,2.0,8.573388203017834e-07,2962.6453703703705,22.70065778027571,
0.1,0.8,2.0,8.573388203017834e-07,2962.6453703703705,23.038313072054393,
0.1,0.9,2.0,8.573388203017834e-07,2962.6453703703705,23.55234610729928,
0.2,0.2,2.0,8.573388203017834e-07,2962.6453703703705,23.48713091210211,
0.2,0.3,2.0,8.573388203017834e-07,2962.6453703703705,24.11871648113615,
0.2,0.4,2.0,8.573388203017834e-07,2962.6453703703705,24.9809310599659,
0.2,0.5,2.0,8.573388203017834e-07,2962.6453703703705,25.548395515741632,
0.2,0.6,2.0,8.573388203017834e-07,2962.6453703703705,27.100081073118428,
0.2,0.7,2.0,8.573388203017834e-07,2962.6453703703705,25.844283360963495,
0.2,0.8,2.0,8.573388203017834e-07,2962.6453703703705,28.88949602834637,
0.2,0.9,2.0,8.573388203017834e-07,2962.6453703703705,28.524042545165024,
0.3,0.3,2.0,8.573388203017834e-07,2962.6453703703705,28.33793575432234,
0.3,0.4,2.0,8.573388203017834e-07,2962.6453703703705,28.9535358586172,
0.3,0.5,2.0,8.573388203017834e-07,2962.6453703703705,30.00212792066576,
0.3,0.6,2.0,8.573388203017834e-07,2962.6453703703705,30.906370895010834,
0.3,0.7,2.0,8.573388203017834e-07,2962.6453703703705,31.69460263358195,
0.3,0.8,2.0,8.573388203017834e-07,2962.6453703703705,34.020225193451,
0.3,0.9,2.0,8.573388203017834e-07,2962.6453703703705,33.70647878387455,
0.4,0.4,2.0,8.573388203017834e-07,2962.6453703703705,34.21059089880801,
