m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,8.573388203017834e-07,2962.6453703703705,207.9453081529766,
0.1,0.2,2.0,8.573388203017834e-07,2962.6453703703705,191.21889581535908,
0.1,0.3,2.0,8.573388203017834e-07,2962.6453703703705,213.13106314194675,
0.1,0.4,2.0,8.573388203017834e-07,2962.6453703703705,233.97987470543478,
0.1,0.5,2.0,8.573388203017834e-07,2962.6453703703705,252.6421773645049,
0.1,0.6,2.0,8.573388203017834e-07,2962.6453703703705,315.987083315202,
0.1,0.7,2.0,8.573388203017834e-07,2962.6453703703705,302.202779912707,
0.1,0.8,2.0,8.573388203017834e-07,2962.6453703703705,297.5904365705394,
0.1,0.9,2.0,8.573388203017834e-07,2962.6453703703705,368.2156000111813,
0.2,0.2,2.0,8.573388203017834e-07,2962.6453703703705,351.0871067622691,
0.2,0.3,2.0,8.573388203017834e-07,2962.6453703703705,372.391049706769,
0.2,0.4,2.0,8.573388203017834e-07,2962.6453703703705,369.5799485423248,
0.2,0.5,2.0,8.573388203017834e-07,2962.6453703703705,374.76750192969376,
0.2,0.6,2.0,8.573388203017834e-07,2962.6453703703705,432.78907420997325,
0.2,0.7,2.0,8.573388203017834e-07,2962.6453703703705,381.8076602882768,
0.2,0.8,2.0,8.573388203017834e-07,2962.6453703703705,557.5600068324802,
0.2,0.9,2.0,8.573388203017834e-07,2962.6453703703705,453.04598768707524,
0.3,0.3,2.0,8.573388203017834e-07,2962.6453703703705,490.028637470045,
0.3,0.4,2.0,8.573388203017834e-07,2962.6453703703705,548.3574287374685,
0.3,0.5,2.0,8.573388203017834e-07,2962.6453703703705,524.9119842001777,
0.3,0.6,2.0,8.573388203017834e-07,2962.6453703703705,642.3177269191945,
0.3,0.7,2.0,8.573388203017834e-07,2962.6453703703705,508.225067028654,
0.3,0.8,2.0,8.573388203017834e-07,2962.6453703703705,764.2823797046183,
0.3,0.9,2.0,8.573388203017834e-07,2962.6453703703705,682.1182441995711,
0.4,0.4,2.0,8.573388203017834e-07,2962.6453703703705,819.4899204597094,
0.4,0.5,2.0,8.573388203017834e-07,2962.6453703703705,834.6514805718047,
0.4,0.6,2.0,8.573388203017834e-07,2962.6453703703705,857.4999338579594,
0.4,0.7,2.0,8.573388203017834e-07,2962.6453703703705,1094.5133719493638,
0.4,0.8,2.0,8.573388203017834e-07,2962.6453703703705,1041.8059732520933,
0.4,0.9,2.0,8.573388203017834e-07,2962.6453703703705,1061.7937251429507,
0.5,0.5,2.0,8.573388203017834e-07,2962.6453703703705,1058.5076481033125,
0.5,0.6,2.0,8.573388203017834e-07,2962.6453703703705,1204.327690015403,
0.5,0.7,2.0,8.573388203017834e-07,2962.6453703703705,1237.3074552672097,
0.5,0.8,2.0,8.573388203017834e-07,2962.6453703703705,1515.925962337519,
0.5,0.9,2.0,8.573388203017834e-07,2962.6453703703705,1476.47587686261,
0.6,0.6,2.0,8.573388203017834e-07,2962.6453703703705,1795.1224067696141,
0.6,0.7,2.0,8.573388203017834e-07,2962.6453703703705,1755.6137022941246,
0.6,0.8,2.0,8.573388203017834e-07,2962.6453703703705,1996.744015341915,
0.6,0.9,2.0,8.573388203017834e-07,2962.6453703703705,2513.41034627139,
0.7,0.7,2.0,8.573388203017834e-07,2962.6453703703705,3166.0045112197818,
0.7,0.8,2.0,8.573388203017834e-07,2962.6453703703705,3128.13439518137,
0.7,0.9,2.0,8.573388203017834e-07,2962.6453703703705,2930.9437299176366,
0.8,0.8,2.0,8.573388203017834e-07,2962.6453703703705,5328.95845263132,
0.8,0.9,2.0,8.573388203017834e-07,2962.6453703703705,6973.373547976014,
0.9,0.9,2.0,8.573388203017834e-07,2962.6453703703705,15113.7878550256,
0.01,0.01,2.0,8.573388203017834e-07,2962.6453703703705,126.10244287879561,
0.01,0.02,2.0,8.573388203017834e-07,2962.6453703703705,106.03138986435471,
0.01,0.03,2.0,8.573388203017834e-07,2962.6453703703705,148.79140391473342,
0.01,0.04,2.0,8.573388203017834e-07,2962.6453703703705,146.5656218753389,
0.01,0.05,2.0,8.573388203017834e-07,2962.6453703703705,131.8974986500446,
0.01,0.06,2.0,8.573388203017834e-07,2962.6453703703705,157.17894752235745,
0.01,0.07,2.0,8.573388203017834e-07,2962.6453703703705,157.6284354276653,
0.01,0.08,2.0,8.573388203017834e-07,2962.6453703703705,156.8317976293982,
0.01,0.09,2.0,8.573388203017834e-07,2962.6453703703705,133.6895437810579,
0.02,0.02,2.0,8.573388203017834e-07,2962.6453703703705,117.33334138757246,
0.02,0.03,2.0,8.573388203017834e-07,2962.6453703703705,129.38294912131533,
0.02,0.04,2.0,8.573388203017834e-07,2962.6453703703705,106.7629796362667,
0.02,0.05,2.0,8.573388203017834e-07,2962.6453703703705,126.03388992554063,
0.02,0.06,2.0,8.573388203017834e-07,2962.6453703703705,166.31444745443378,
0.02,0.07,2.0,8.573388203017834e-07,2962.6453703703705,142.19799115752735,
0.02,0.08,2.0,8.573388203017834e-07,2962.6453703703705,139.35359121113845,
0.02,0.09,2.0,8.573388203017834e-07,2962.6453703703705,160.1000341771881,
0.03,0.03,2.0,8.573388203017834e-07,2962.6453703703705,149.22534896645072,
0.03,0.04,2.0,8.573388203017834e-07,2962.6453703703705,144.64122923788636,
0.03,0.05,2.0,8.573388203017834e-07,2962.6453703703705,129.36000297669312,
0.03,0.06,2.0,8.573388203017834e-07,2962.6453703703705,197.68543887840246,
0.03,0.07,2.0,8.573388203017834e-07,2962.6453703703705,132.76728098921328,
0.03,0.08,2.0,8.573388203017834e-07,2962.6453703703705,138.62338110700665,
0.03,0.09,2.0,8.573388203017834e-07,2962.6453703703705,168.04215570171087,
0.04,0.04,2.0,8.573388203017834e-07,2962.6453703703705,165.40301407119313,
0.04,0.05,2.0,8.573388203017834e-07,2962.6453703703705,136.1637181581952,
0.04,0.06,2.0,8.573388203017834e-07,2962.6453703703705,149.84097678925758,
0.04,0.07,2.0,8.573388203017834e-07,2962.6453703703705,123.3816952473917,
0.04,0.08,2.0,8.573388203017834e-07,2962.6453703703705,159.9416077178042,
0.04,0.09,2.0,8.573388203017834e-07,2962.6453703703705,157.37225057135024,
0.05,0.05,2.0,8.573388203017834e-07,2962.6453703703705,117.1111181105678,
0.05,0.06,2.0,8.573388203017834e-07,2962.6453703703705,155.64343611448353,
0.05,0.07,2.0,8.573388203017834e-07,2962.6453703703705,141.56203198623965,
0.05,0.08,2.0,8.573388203017834e-07,2962.6453703703705,162.64800203344413,
0.05,0.09,2.0,8.573388203017834e-07,2962.6453703703705,140.60770062015817,
0.06,0.06,2.0,8.573388203017834e-07,2962.6453703703705,156.10136881603984,
0.06,0.07,2.0,8.573388203017834e-07,2962.6453703703705,154.75154743513008,
0.06,0.08,2.0,8.573388203017834e-07,2962.6453703703705,181.7595705890054,
0.06,0.09,2.0,8.573388203017834e-07,2962.6453703703705,174.7902542992223,
0.07,0.07,2.0,8.573388203017834e-07,2962.6453703703705,195.36278246344932,
0.07,0.08,2.0,8.573388203017834e-07,2962.6453703703705,157.35888167559673,
0.07,0.09,2.0,8.573388203017834e-07,2962.6453703703705,161.64493143991595,
0.08,0.08,2.0,8.573388203017834e-07,2962.6453703703705,179.44087293869507,
0.08,0.09,2.0,8.573388203017834e-07,2962.6453703703705,164.44330765225465,
0.09,0.09,2.0,8.573388203017834e-07,2962.6453703703705,209.75275323307736,
0.11,0.11,2.0,8.573388203017834e-07,2962.6453703703705,206.8286021528412,
0.12,0.12,2.0,8.573388203017834e-07,2962.6453703703705,223.39846323870427,
0.13,0.13,2.0,8.573388203017834e-07,2962.6453703703705,232.4794652509975,
0.14,0.14,2.0,8.573388203017834e-07,2962.6453703703705,277.225576404205,
0.15,0.15,2.0,8.573388203017834e-07,2962.6453703703705,252.29200427554795,
0.16,0.16,2.0,8.573388203017834e-07,2962.6453703703705,310.7296730051134,
0.17,0.17,2.0,8.573388203017834e-07,2962.6453703703705,323.6767025609788,
0.18,0.18,2.0,8.573388203017834e-07,2962.6453703703705,316.92417110027606,
0.19,0.19,2.0,8.573388203017834e-07,2962.6453703703705,329.1345090205648,
0.21,0.21,2.0,8.573388203017834e-07,2962.6453703703705,313.4815757926424,
0.22,0.22,2.0,8.573388203017834e-07,2962.6453703703705,332.70523001556967,
0.23,0.23,2.0,8.573388203017834e-07,2962.6453703703705,364.93234784585565,
0.24,0.24,2.0,8.573388203017834e-07,2962.6453703703705,369.29779754820066,
0.25,0.25,2.0,8.573388203017834e-07,2962.6453703703705,373.4918065731021,
0.26,0.26,2.0,8.573388203017834e-07,2962.6453703703705,413.975904438614,
0.27,0.27,2.0,8.573388203017834e-07,2962.6453703703705,456.7652249558382,
0.28,0.28,2.0,8.573388203017834e-07,2962.6453703703705,445.01735345022064,
0.29,0.29,2.0,8.573388203017834e-07,2962.6453703703705,531.2844144898369,
0.31,0.31,2.0,8.573388203017834e-07,2962.6453703703705,518.5932568279371,
0.32,0.32,2.0,8.573388203017834e-07,2962.6453703703705,608.783133036824,
0.33,0.33,2.0,8.573388203017834e-07,2962.6453703703705,556.4247521723759,
0.34,0.34,2.0,8.573388203017834e-07,2962.6453703703705,594.647006201221,
0.35,0.35,2.0,8.573388203017834e-07,2962.6453703703705,715.5055998775413,
0.36,0.36,2.0,8.573388203017834e-07,2962.6453703703705,772.8270348380469,
0.37,0.37,2.0,8.573388203017834e-07,2962.6453703703705,679.4479763012648,
0.38,0.38,2.0,8.573388203017834e-07,2962.6453703703705,686.9457854705691,
0.39,0.39,2.0,8.573388203017834e-07,2962.6453703703705,666.1659184486696,
0.41,0.41,2.0,8.573388203017834e-07,2962.6453703703705,897.6292450513794,
0.42,0.42,2.0,8.573388203017834e-07,2962.6453703703705,836.6573122849998,
0.43,0.43,2.0,8.573388203017834e-07,2962.6453703703705,845.5818756779173,
0.44,0.44,2.0,8.573388203017834e-07,2962.6453703703705,941.850625425775,
0.45,0.45,2.0,8.573388203017834e-07,2962.6453703703705,919.6250343665785,
0.46,0.46,2.0,8.573388203017834e-07,2962.6453703703705,868.8453764299633,
0.47,0.47,2.0,8.573388203017834e-07,2962.6453703703705,1100.8295840189621,
0.48,0.48,2.0,8.573388203017834e-07,2962.6453703703705,998.4541992927616,
0.49,0.49,2.0,8.573388203017834e-07,2962.6453703703705,1084.5113459153404,
