m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.2276317642164649,2.0250405006075078e-10,42.82262322623226,0.01781322156320239,0.09293406648309292
0.1,0.2,1.204751720390425,2.0250405006075078e-10,42.82262322623226,0.0032834789690907654,0.018441525078166265
0.1,0.3,2.181335897592665,2.0250405006075078e-10,42.82262322623226,0.001790877379447366,
0.1,0.4,3.1573586003831196,2.0250405006075078e-10,42.82262322623226,0.00128000145816641,
0.1,0.5,4.132792239318897,2.0250405006075078e-10,42.82262322623226,0.0009258352424493949,
0.1,0.6,5.1076071401137195,2.0250405006075078e-10,42.82262322623226,0.0008300694204811379,
0.1,0.7,6.08177132813837,2.0250405006075078e-10,42.82262322623226,0.0006776025645506678,
0.1,0.8,7.055250284336993,2.0250405006075078e-10,42.82262322623226,0.0005886678658483077,
0.1,0.9,8.029507033393072,2.0250405006075078e-10,42.82262322623226,0.00048513939629202696,
0.2,0.2,0.20475172039042486,1.8000360005400076e-10,42.82262322623226,0.021227809802632423,0.10871316312439848
0.2,0.3,0.6813358975926657,1.8000360005400076e-10,42.82262322623226,0.005979765690646346,0.033673594791712703
0.2,0.4,1.1573586003831198,1.8000360005400076e-10,42.82262322623226,0.0034961557538672992,0.018847233202724696
0.2,0.5,1.632792239318899,1.8000360005400076e-10,42.82262322623226,0.0022989411960005982,0.013034884144141558
0.2,0.6,2.1076071401137213,1.8000360005400076e-10,42.82262322623226,0.0019978558602912243,
0.2,0.7,2.5817713281383705,1.8000360005400076e-10,42.82262322623226,0.001586374308213152,
0.2,0.8,3.0573522448022388,1.8000360005400076e-10,42.82262322623226,0.0014323824009008915,
0.2,0.9,4.184423931697394,1.8000360005400076e-10,42.82262322623226,0.000978619958089155,
0.3,0.3,0.1813358975926658,1.5750315004725067e-10,42.82262322623226,0.02448474972755983,0.11281825118893458
0.3,0.4,0.49069193371645264,1.5750315004725067e-10,42.82262322623226,0.007850366788663323,0.04180936263075083
0.3,0.5,0.7994589059855651,1.5750315004725067e-10,42.82262322623226,0.005051493733678072,0.025347072562910695
0.3,0.6,1.107607140113722,1.5750315004725067e-10,42.82262322623226,0.003798595511299041,0.01861523645605489
0.3,0.7,1.4170752389268555,1.5750315004725067e-10,42.82262322623226,0.002885333791305456,0.015466479745774905
0.3,0.8,1.8318256398571757,1.5750315004725067e-10,42.82262322623226,0.002185210592770474,0.01221292461506144
0.3,0.9,3.1680653810118526,1.5750315004725067e-10,42.82262322623226,0.0011837444740014434,
0.4,0.4,0.1573586003831194,1.3500270004050055e-10,42.82262322623226,0.025594227104116768,0.13182985213259116
0.4,0.5,0.3827922393188983,1.3500270004050055e-10,42.82262322623226,0.010379639399099303,0.05749129988805974
0.4,0.6,0.608842815911888,1.3500270004050055e-10,42.82262322623226,0.00631089738409051,0.03348066040870299
0.4,0.7,0.8614405358423055,1.3500270004050055e-10,42.82262322623226,0.004785491411818256,0.026400737382919287
0.4,0.8,1.2587587916218517,1.3500270004050055e-10,42.82262322623226,0.0032270771425007326,0.01734623849469742
0.4,0.9,2.5947726679531735,1.3500270004050055e-10,42.82262322623226,0.0016856466143789107,
0.5,0.5,0.13279223931889822,1.1250225003375047e-10,42.82262322623226,0.027552455866480287,0.1753814552165523
0.5,0.6,0.31363298754965957,1.1250225003375047e-10,42.82262322623226,0.013658364048172814,0.06924309735276005
0.5,0.7,0.5281196739639038,1.1250225003375047e-10,42.82262322623226,0.008076499086694269,0.03942802400691669
0.5,0.8,0.8877165533807067,1.1250225003375047e-10,42.82262322623226,0.004625841348294557,0.02389326484095139
0.5,0.9,2.0817713281383723,1.1250225003375047e-10,42.82262322623226,0.0018957238421989616,
0.6,0.6,0.10760714011372241,9.000180002700038e-11,42.82262322623226,0.03957590174783464,0.2063500582287688
0.6,0.7,0.3186641024073341,9.000180002700038e-11,42.82262322623226,0.013160803808394234,0.06631192146612759
0.6,0.8,0.5900686112809056,9.000180002700038e-11,42.82262322623226,0.00741386125698348,0.036809409444722434
0.6,0.9,1.5685987243816586,9.000180002700038e-11,42.82262322623226,0.0025469205079443496,0.014213546472405908
0.7,0.7,0.08177132813837003,6.750135002025028e-11,42.82262322623226,0.05000957203806361,0.2777373334741133
0.7,0.8,0.37858161294290865,6.750135002025028e-11,42.82262322623226,0.009952242826471731,0.05755450200217935
0.7,0.9,1.0552502843369957,6.750135002025028e-11,42.82262322623226,0.003889580839714114,0.020316590870065012
0.8,0.8,0.055250284336995255,4.5000900013500165e-11,42.82262322623226,0.06983531153564324,0.4233658659926308
0.8,0.9,0.5417212500717896,4.5000900013500165e-11,42.82262322623226,0.00733964948596099,0.04096134847296506
0.9,0.9,0.028006667885320094,2.2500450006750082e-11,42.82262322623226,0.13887658036333597,0.8169096859820901
0.01,0.01,0.2477855577623473,2.2275445506682583e-10,42.82262322623226,0.017789171707490937,0.08994890781229108
0.01,0.02,1.2455662008850723,2.2275445506682583e-10,42.82262322623226,0.0032383137481854477,0.017397707266487275
0.01,0.03,2.243341907504956,2.2275445506682583e-10,42.82262322623226,0.00175222504382171,
0.01,0.04,3.241112655612566,2.2275445506682583e-10,42.82262322623226,0.0012029282960325815,
0.01,0.05,4.238878423050941,2.2275445506682583e-10,42.82262322623226,0.0009617170266965474,
0.01,0.06,5.23663918751428,2.2275445506682583e-10,42.82262322623226,0.0008134846725084798,
0.01,0.07,6.234394926546605,2.2275445506682583e-10,42.82262322623226,0.0006726636609214154,
0.01,0.08,7.232145617540397,2.2275445506682583e-10,42.82262322623226,0.0005867635667239455,
0.01,0.09,8.229891237735247,2.2275445506682583e-10,42.82262322623226,0.0005223737258431952,
0.02,0.02,0.24556620088507244,2.2050441006615078e-10,42.82262322623226,0.01628811276215046,0.08845472819413258
0.02,0.03,0.7433419075049564,2.2050441006615078e-10,42.82262322623226,0.005391908593737867,0.02863347851048995
0.02,0.04,1.2411126556125651,2.2050441006615078e-10,42.82262322623226,0.003356041731316324,0.017192479015772307
0.02,0.05,1.7388784230509404,2.2050441006615078e-10,42.82262322623226,0.0023593362541561333,0.012193928006392084
0.02,0.06,2.236639187514281,2.2050441006615078e-10,42.82262322623226,0.001807670996128536,
0.02,0.07,2.734394926546604,2.2050441006615078e-10,42.82262322623226,0.001642564539542704,
0.02,0.08,3.232145617540396,2.2050441006615078e-10,42.82262322623226,0.001182946911730184,
0.02,0.09,3.7298912377352456,2.2050441006615078e-10,42.82262322623226,0.0010777482117276947,
0.03,0.03,0.2433419075049566,2.182543650654759e-10,42.82262322623226,0.017162108330560828,0.08810531019362548
0.03,0.04,0.5744459889458984,2.182543650654759e-10,42.82262322623226,0.007525257953316995,0.03734952790644412
0.03,0.05,0.905545089717607,2.182543650654759e-10,42.82262322623226,0.00454140808193344,0.022556417536391534
0.03,0.06,1.2366391875142804,2.182543650654759e-10,42.82262322623226,0.003331549385792215,0.018328035513249533
0.03,0.07,1.5677282598799365,2.182543650654759e-10,42.82262322623226,0.0025643097625624592,0.01345572606494163
0.03,0.08,1.8988122842070634,2.182543650654759e-10,42.82262322623226,0.0021151828553002757,0.011794365384906186
0.03,0.09,2.2298912377352464,2.182543650654759e-10,42.82262322623226,0.0019135090594319592,
0.04,0.04,0.2411126556125652,2.1600432006480083e-10,42.82262322623226,0.017045416645757087,0.08832052790215775
0.04,0.05,0.48887842305094004,2.1600432006480083e-10,42.82262322623226,0.008331394692194067,0.04325171108095586
0.04,0.06,0.73663918751428,2.1600432006480083e-10,42.82262322623226,0.005871424321840991,0.030236221939470825
0.04,0.07,0.9843949265466035,2.1600432006480083e-10,42.82262322623226,0.004645780640595632,0.021444334571942777
0.04,0.08,1.2321456175403964,2.1600432006480083e-10,42.82262322623226,0.00344293733861781,0.018179236596687232
0.04,0.09,1.4798912377352467,2.1600432006480083e-10,42.82262322623226,0.002777665184918419,0.014527954529281985
0.05,0.05,0.23887842305094018,2.137542750641258e-10,42.82262322623226,0.017160637553396755,0.09340066281362781
0.05,0.06,0.4366391875142801,2.137542750641258e-10,42.82262322623226,0.009110899184103828,0.04984974760011707
0.05,0.07,0.6343949265466036,2.137542750641258e-10,42.82262322623226,0.006340074538240941,0.03437162244740193
0.05,0.08,0.8321456175403962,2.137542750641258e-10,42.82262322623226,0.005092630849042806,0.02429858889623374
0.05,0.09,1.0298912377352465,2.137542750641258e-10,42.82262322623226,0.0040139176004865785,0.020516185361247805
0.06,0.06,0.23663918751428026,2.1150423006345087e-10,42.82262322623226,0.01750089495147553,0.0884924274786769
0.06,0.07,0.40106159321327006,2.1150423006345087e-10,42.82262322623226,0.010060599544463002,0.05096919321580599
0.06,0.08,0.5654789508737297,2.1150423006345087e-10,42.82262322623226,0.007296142508594243,0.03846077350202238
0.06,0.09,0.7298912377352469,2.1150423006345087e-10,42.82262322623226,0.006040934681381188,0.029593679158440564
0.07,0.07,0.23439492654660346,2.0925418506277583e-10,42.82262322623226,0.01707345856520959,0.09594975956218663
0.07,0.08,0.37500276039753894,2.0925418506277583e-10,42.82262322623226,0.011367810542545825,0.05546791157134757
0.07,0.09,0.5156055234495325,2.0925418506277583e-10,42.82262322623226,0.007990118688994883,0.03891409176626149
0.08,0.08,0.2321456175403962,2.0700414006210092e-10,42.82262322623226,0.017640726353562442,0.09289161149258376
0.08,0.09,0.35489123773524706,2.0700414006210092e-10,42.82262322623226,0.011097878437892575,0.06073382933798056
0.09,0.09,0.229891237735247,2.0475409506142587e-10,42.82262322623226,0.017900564448504682,0.0917544984953502
0.11,0.11,0.22536717391368066,2.0025400506007579e-10,42.82262322623226,0.018725461224875048,0.0933780504405604
0.12,0.12,0.22309744359943545,1.9800396005940085e-10,42.82262322623226,0.018331396213463365,0.0931614507132008
0.13,0.13,0.22082254988774924,1.9575391505872575e-10,42.82262322623226,0.017659790637115477,0.09877752963012772
0.14,0.14,0.21854246923267656,1.935038700580507e-10,42.82262322623226,0.01911216549764899,0.09247799395475995
0.15,0.15,0.216257177926844,1.9125382505737582e-10,42.82262322623226,0.019479331526810355,0.09568623461939467
0.16,0.16,0.21396665209996982,1.8900378005670073e-10,42.82262322623226,0.020362269192248632,0.10642935223533305
0.17,0.17,0.21167086771737015,1.8675373505602566e-10,42.82262322623226,0.018944750803856807,0.09916491445876775
0.18,0.18,0.2093698005784441,1.8450369005535077e-10,42.82262322623226,0.019408740016527874,0.10104768753943005
0.19,0.19,0.20706342631514338,1.822536450546757e-10,42.82262322623226,0.019549444476946676,0.09834818740873963
0.21,0.21,0.20243465809668282,1.7775355505332575e-10,42.82262322623226,0.01950955511785277,0.11165259481174857
0.22,0.22,0.20011221455416608,1.755035100526507e-10,42.82262322623226,0.021696377416058028,0.10578639337325058
