m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.27428051868631076,2.50005000075001e-10,42.82262322623226,0.025992514856473192,0.08913563322210717
0.1,0.2,,2.50005000075001e-10,42.82262322623226,,
0.1,0.3,,2.50005000075001e-10,42.82262322623226,,
0.1,0.4,,2.50005000075001e-10,42.82262322623226,,
0.1,0.5,,2.50005000075001e-10,42.82262322623226,,
0.1,0.6,,2.50005000075001e-10,42.82262322623226,,
0.1,0.7,,2.50005000075001e-10,42.82262322623226,,
0.1,0.8,,2.50005000075001e-10,42.82262322623226,,
0.1,0.9,,2.50005000075001e-10,42.82262322623226,,
0.2,0.2,0.30382490118569716,2.8125562508437606e-10,42.82262322623226,0.0336675332187602,0.09606999816864853
0.2,0.3,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.4,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.5,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.6,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.7,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.8,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.9,,2.8125562508437606e-10,42.82262322623226,,
0.3,0.3,0.34057139164247785,3.214350000964299e-10,42.82262322623226,0.04296527182385015,0.095366251038761
0.3,0.4,,3.214350000964299e-10,42.82262322623226,,
0.3,0.5,,3.214350000964299e-10,42.82262322623226,,
0.3,0.6,,3.214350000964299e-10,42.82262322623226,,
0.3,0.7,,3.214350000964299e-10,42.82262322623226,,
0.3,0.8,,3.214350000964299e-10,42.82262322623226,,
0.3,0.9,,3.214350000964299e-10,42.82262322623226,,
0.4,0.4,0.38755615891737866,3.750075001125015e-10,42.82262322623226,0.04763368552229663,0.10195855997225439
0.4,0.5,0.0,3.750075001125015e-10,42.82262322623226,,
0.4,0.6,,3.750075001125015e-10,42.82262322623226,,
0.4,0.7,,3.750075001125015e-10,42.82262322623226,,
0.4,0.8,,3.750075001125015e-10,42.82262322623226,,
0.4,0.9,,3.750075001125015e-10,42.82262322623226,,
0.5,0.5,0.44983334064729175,4.500090001350019e-10,42.82262322623226,0.059912288579163954,0.11636212375993565
0.5,0.6,0.11107280030812314,4.500090001350019e-10,42.82262322623226,0.11454993911899562,0.4019679127884861
0.5,0.7,,4.500090001350019e-10,42.82262322623226,,
0.5,0.8,,4.500090001350019e-10,42.82262322623226,,
0.5,0.9,,4.500090001350019e-10,42.82262322623226,,
0.6,0.6,0.5365305287244002,5.625112501687521e-10,42.82262322623226,0.07224658200323117,0.12038104693647057
0.6,0.7,0.0,5.625112501687521e-10,42.82262322623226,,
0.6,0.8,,5.625112501687521e-10,42.82262322623226,,
0.6,0.9,,5.625112501687521e-10,42.82262322623226,,
0.7,0.7,0.6661620289505679,7.500150002250029e-10,42.82262322623226,0.08979536402569978,0.1418797231977166
0.7,0.8,,7.500150002250029e-10,42.82262322623226,,
0.7,0.9,,7.500150002250029e-10,42.82262322623226,,
0.8,0.8,0.8838200526074405,1.1250225003375047e-09,42.82262322623226,0.11217412794896539,0.1605562785601739
0.8,0.9,,1.1250225003375047e-09,42.82262322623226,,
0.9,0.9,1.3455385537002145,2.2500450006750093e-09,42.82262322623226,0.1762880622614939,0.23416057329901793
0.01,0.01,0.252231843108818,2.2727727279545544e-10,42.82262322623226,0.01633158340037093,0.08582194391299663
0.01,0.02,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.03,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.04,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.05,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.06,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.07,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.08,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.09,,2.2727727279545544e-10,42.82262322623226,,
0.02,0.02,0.2545041109790552,2.295964286403071e-10,42.82262322623226,0.018312136736575953,0.08672848803701276
0.02,0.03,,2.295964286403071e-10,42.82262322623226,,
0.02,0.04,,2.295964286403071e-10,42.82262322623226,,
