m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,42.82262322623226,-0.0107595771023637,-0.007983700417634298,-0.010817532628971099,0.0005796482408135933,-0.008121337766663399,-0.0047649153974620995
0.1,0.2,42.82262322623226,-0.0245928786592303,-0.02258004030999329,,,-0.038717366554604,-0.0894389361775733
0.1,0.3,42.82262322623226,-0.057099547145903005,-0.026244252064205803,,,-0.0710883925932554,
0.1,0.4,42.82262322623226,-0.0948573991300518,-0.054220123382490104,,,-0.1091890420835747,
0.1,0.5,42.82262322623226,-0.1346931493994647,-0.0849531071685259,,,-0.1506011382504226,
0.1,0.6,42.82262322623226,-0.1695890764090467,-0.12142787436900761,,,-0.18548659032996298,
0.1,0.7,42.82262322623226,-0.22104652995063473,-0.1654627785199631,,,-0.2360813914576851,
0.1,0.8,42.82262322623226,-0.2580834223847669,-0.1963291696169827,,,-0.2741611030871789,
0.1,0.9,42.82262322623226,-0.3138071844301309,-0.243078808513359,,,-0.32845983824937836,
0.2,0.2,42.82262322623226,-0.0192979213798245,-0.024422452829619093,-0.017332847653490996,-0.010927276495885901,-0.014404797142461304,-0.0008520113779832972
0.2,0.3,42.82262322623226,-0.0356116375249766,-0.034827358218698895,,,-0.045396465371688795,-0.0867773502938053
0.2,0.4,42.82262322623226,-0.06720811550918801,-0.04741070489507408,,,-0.0794846619909802,-0.11264213458629088
0.2,0.5,42.82262322623226,-0.1133948416649343,-0.08225788437969081,,,-0.1266722591706531,-0.1554763949768137
0.2,0.6,42.82262322623226,-0.15461838462117888,-0.1097279346701361,,,-0.16892161025981,
0.2,0.7,42.82262322623226,-0.2047907190891608,-0.14117641341018572,,,-0.22003888531298552,
0.2,0.8,42.82262322623226,-0.24791321393997884,-0.18371899067746028,,,-0.2639054271226266,
0.2,0.9,42.82262322623226,-0.30385842358436443,-0.24391266137911338,,,-0.3199117876663088,
0.3,0.3,42.82262322623226,-0.030406263087766505,-0.0420395734879921,-0.0273408130585479,-0.007912307723079798,-0.021545972125508902,-0.016675265614738796
