m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.5,2.2500450006750095e-10,42.82262322623226,0.008286420348022305,0.044416691433597874
0.1,0.2,0.5,2.2500450006750095e-10,42.82262322623226,0.008916541349635694,0.04113271434346359
0.1,0.3,0.5,2.2500450006750095e-10,42.82262322623226,0.008319082764373221,0.04368025562015401
0.1,0.4,0.5,2.2500450006750095e-10,42.82262322623226,0.008126004121185559,0.04337789901929161
0.1,0.5,0.5,2.2500450006750095e-10,42.82262322623226,0.008285799054063545,0.04200368442538317
0.1,0.6,0.5,2.2500450006750095e-10,42.82262322623226,0.008520190015122282,0.04304985273005062
0.1,0.7,0.5,2.2500450006750095e-10,42.82262322623226,0.0070179453695628806,0.042479334359651705
0.1,0.8,0.5,2.2500450006750095e-10,42.82262322623226,0.007997686718205244,0.04150833924539413
0.1,0.9,0.5,2.2500450006750095e-10,42.82262322623226,0.007769767210449103,0.042864013876735184
0.2,0.2,0.5,2.2500450006750095e-10,42.82262322623226,0.008244860799361334,0.04265540720003436
0.2,0.3,0.5,2.2500450006750095e-10,42.82262322623226,0.008053798534483562,0.043395837066163
0.2,0.4,0.5,2.2500450006750095e-10,42.82262322623226,0.007867350881440074,0.04113662987729597
0.2,0.5,0.5,2.2500450006750095e-10,42.82262322623226,0.008705525892395627,0.040794563720349
0.2,0.6,0.5,2.2500450006750095e-10,42.82262322623226,0.00810859270572344,0.04289380700486657
0.2,0.7,0.5,2.2500450006750095e-10,42.82262322623226,0.008554820630425184,0.04651076428877964
0.2,0.8,0.5,2.2500450006750095e-10,42.82262322623226,0.007935447756192473,0.04458041112263976
0.2,0.9,0.5,2.2500450006750095e-10,42.82262322623226,0.00847851388414064,0.04351479199482144
0.3,0.3,0.5,2.2500450006750095e-10,42.82262322623226,0.007928746630294654,0.04233369086358329
0.3,0.4,0.5,2.2500450006750095e-10,42.82262322623226,0.008124160960250733,0.04117228487504424
0.3,0.5,0.5,2.2500450006750095e-10,42.82262322623226,0.008255121844858635,0.04551944542462148
0.3,0.6,0.5,2.2500450006750095e-10,42.82262322623226,0.007921393019578659,0.041827706014555315
0.3,0.7,0.5,2.2500450006750095e-10,42.82262322623226,0.008353379938702915,0.043405691767216655
0.3,0.8,0.5,2.2500450006750095e-10,42.82262322623226,0.0077903292846411175,0.045088834469381806
0.3,0.9,0.5,2.2500450006750095e-10,42.82262322623226,0.00808121412530629,0.04347024623597953
0.4,0.4,0.5,2.2500450006750095e-10,42.82262322623226,0.008435566028524633,0.04280479577020591
0.4,0.5,0.5,2.2500450006750095e-10,42.82262322623226,0.007994391670591398,0.04103410235927609
0.4,0.6,0.5,2.2500450006750095e-10,42.82262322623226,0.007987648471556042,0.04320523263619073
0.4,0.7,0.5,2.2500450006750095e-10,42.82262322623226,0.008022273857395262,0.04330046449019737
0.4,0.8,0.5,2.2500450006750095e-10,42.82262322623226,0.00828385274438918,0.04259465810255888
0.4,0.9,0.5,2.2500450006750095e-10,42.82262322623226,0.007583200698979511,0.042910177509394035
0.5,0.5,0.5,2.2500450006750095e-10,42.82262322623226,0.008032936906668751,0.04196691944341382
0.5,0.6,0.5,2.2500450006750095e-10,42.82262322623226,0.008307851051677076,0.04463027761783189
0.5,0.7,0.5,2.2500450006750095e-10,42.82262322623226,0.007761909377278897,0.04385744638518612
0.5,0.8,0.5,2.2500450006750095e-10,42.82262322623226,0.008757844367879613,0.041041424184561276
0.5,0.9,0.5,2.2500450006750095e-10,42.82262322623226,0.00831825113780475,0.0432478309714531
0.6,0.6,0.5,2.2500450006750095e-10,42.82262322623226,0.00804346770148463,0.044947080431196156
0.6,0.7,0.5,2.2500450006750095e-10,42.82262322623226,0.008004867985321695,0.04173460520993028
