m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.45985805124959506,2.0250405006075078e-10,42.82262322623226,6.339671792335254e-05,0.0012609853551332675
0.1,0.2,1.4180370928606563,2.0250405006075078e-10,42.82262322623226,7.276460687270271e-06,0.00011369623221759212
0.1,0.3,2.374390515085868,2.0250405006075078e-10,42.82262322623226,2.5031025805968942e-06,
0.1,0.4,3.328751625269407,2.0250405006075078e-10,42.82262322623226,1.4849655553690695e-06,
0.1,0.5,4.280929803620162,2.0250405006075078e-10,42.82262322623226,7.896352261977626e-07,
0.1,0.6,5.230705692735597,2.0250405006075078e-10,42.82262322623226,4.712428737072806e-07,
0.1,0.7,6.177825113937635,2.0250405006075078e-10,42.82262322623226,3.5635138748473614e-07,
0.1,0.8,7.121991283339271,2.0250405006075078e-10,42.82262322623226,2.558291192240171e-07,
0.1,0.9,8.069960856551647,2.0250405006075078e-10,42.82262322623226,2.122170744005796e-07,
0.2,0.2,0.4180370928606561,1.8000360005400076e-10,42.82262322623226,8.061910426657398e-05,0.0014147621558892197
0.2,0.3,0.8743905150858681,1.8000360005400076e-10,42.82262322623226,2.0495589078830057e-05,0.0003595191366055217
0.2,0.4,1.3287516252694076,1.8000360005400076e-10,42.82262322623226,1.03616386824475e-05,0.00015122566654436398
0.2,0.5,1.7809298036201613,1.8000360005400076e-10,42.82262322623226,5.5150005050252705e-06,8.260754565401125e-05
0.2,0.6,2.230705692735597,1.8000360005400076e-10,42.82262322623226,2.616919054386676e-06,
0.2,0.7,2.677825113937636,1.8000360005400076e-10,42.82262322623226,1.952708527006993e-06,
0.2,0.8,3.1311913858301987,1.8000360005400076e-10,42.82262322623226,1.3724131402893282e-06,
0.2,0.9,4.284565468042477,1.8000360005400076e-10,42.82262322623226,7.599012305237278e-07,
0.3,0.3,0.37439051508586846,1.5750315004725067e-10,42.82262322623226,0.00010348238618932738,0.0017954992719465147
0.3,0.4,0.6620849586027407,1.5750315004725067e-10,42.82262322623226,3.087599768910249e-05,0.0006556962960208664
0.3,0.5,0.9475964702868284,1.5750315004725067e-10,42.82262322623226,1.709582652391895e-05,0.0003196374058275276
0.3,0.6,1.2307056927355975,1.5750315004725067e-10,42.82262322623226,1.0596969308565789e-05,0.00017192668165309606
0.3,0.7,1.5192287736285799,1.5750315004725067e-10,42.82262322623226,6.191485749972128e-06,0.0001083087943477417
