m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.75,2.2500450006750095e-10,42.82262322623226,2.4245059052142085e-05,0.0005066027459036795
0.1,0.2,0.75,2.2500450006750095e-10,42.82262322623226,2.4675400276705912e-05,0.0004311258862960662
0.1,0.3,0.75,2.2500450006750095e-10,42.82262322623226,2.453681769982332e-05,0.0004260830140501661
0.1,0.4,0.75,2.2500450006750095e-10,42.82262322623226,3.4225989070447145e-05,0.0004945601816696229
0.1,0.5,0.75,2.2500450006750095e-10,42.82262322623226,2.7017557207094798e-05,0.0005209322314384935
0.1,0.6,0.75,2.2500450006750095e-10,42.82262322623226,2.3337150120552478e-05,0.0004919388792053109
0.1,0.7,0.75,2.2500450006750095e-10,42.82262322623226,2.8901116807986298e-05,0.000491988498146242
0.1,0.8,0.75,2.2500450006750095e-10,42.82262322623226,2.9286509064469466e-05,0.0005195819620099775
0.1,0.9,0.75,2.2500450006750095e-10,42.82262322623226,2.5097865873678445e-05,0.00047766390663107807
0.2,0.2,0.75,2.2500450006750095e-10,42.82262322623226,2.3598922166145884e-05,0.00047643278373898766
0.2,0.3,0.75,2.2500450006750095e-10,42.82262322623226,2.6958540482203452e-05,0.0005109662785416822
0.2,0.4,0.75,2.2500450006750095e-10,42.82262322623226,2.846445799746526e-05,0.0004652371269658012
0.2,0.5,0.75,2.2500450006750095e-10,42.82262322623226,2.309328391923461e-05,0.00048470478620810564
0.2,0.6,0.75,2.2500450006750095e-10,42.82262322623226,2.42546627450524e-05,0.0004790329376724207
0.2,0.7,0.75,2.2500450006750095e-10,42.82262322623226,1.9965544933480856e-05,0.0005407683120149993
0.2,0.8,0.75,2.2500450006750095e-10,42.82262322623226,2.692024057940818e-05,0.00048671219233642574
0.2,0.9,0.75,2.2500450006750095e-10,42.82262322623226,2.9040333869828566e-05,0.0004487361280501185
0.3,0.3,0.75,2.2500450006750095e-10,42.82262322623226,2.5878963583622976e-05,0.0005504013951771926
0.3,0.4,0.75,2.2500450006750095e-10,42.82262322623226,3.2871793536790095e-05,0.0004497959085763203
0.3,0.5,0.75,2.2500450006750095e-10,42.82262322623226,2.7741776921464026e-05,0.0004066350656819809
0.3,0.6,0.75,2.2500450006750095e-10,42.82262322623226,1.9436998648570354e-05,0.00048398391899178166
0.3,0.7,0.75,2.2500450006750095e-10,42.82262322623226,2.724926034292056e-05,0.0004480855790780946
0.3,0.8,0.75,2.2500450006750095e-10,42.82262322623226,2.7651461397140706e-05,0.0004461087781291852
0.3,0.9,0.75,2.2500450006750095e-10,42.82262322623226,2.2697061736469286e-05,0.0004531812642355185
0.4,0.4,0.75,2.2500450006750095e-10,42.82262322623226,2.3977122610208103e-05,0.00047426458260590944
0.4,0.5,0.75,2.2500450006750095e-10,42.82262322623226,2.6322074097666896e-05,0.0005172915677318296
0.4,0.6,0.75,2.2500450006750095e-10,42.82262322623226,2.6134883483248312e-05,0.0005354137934104153
0.4,0.7,0.75,2.2500450006750095e-10,42.82262322623226,2.7581885794046195e-05,0.0004252699883392097
0.4,0.8,0.75,2.2500450006750095e-10,42.82262322623226,2.441847115892221e-05,0.000479604208838287
0.4,0.9,0.75,2.2500450006750095e-10,42.82262322623226,2.813789654265213e-05,0.0004853117877907552
0.5,0.5,0.75,2.2500450006750095e-10,42.82262322623226,2.6843442748144567e-05,0.0004938245325183616
0.5,0.6,0.75,2.2500450006750095e-10,42.82262322623226,2.6411695313886534e-05,0.0004773985962031073
0.5,0.7,0.75,2.2500450006750095e-10,42.82262322623226,2.5835683246229748e-05,0.0005075482390835125
0.5,0.8,0.75,2.2500450006750095e-10,42.82262322623226,2.2372963437800918e-05,0.00047263411100825265
0.5,0.9,0.75,2.2500450006750095e-10,42.82262322623226,2.4113858946317648e-05,0.00043503435072462653
0.6,0.6,0.75,2.2500450006750095e-10,42.82262322623226,2.5418453028811926e-05,0.0004951994620143208
0.6,0.7,0.75,2.2500450006750095e-10,42.82262322623226,2.896173733628406e-05,0.00045597951502485845
0.6,0.8,0.75,2.2500450006750095e-10,42.82262322623226,2.459205255494734e-05,0.0004199073033907252
0.6,0.9,0.75,2.2500450006750095e-10,42.82262322623226,2.5680071282251882e-05,0.00045650912785524095
0.7,0.7,0.75,2.2500450006750095e-10,42.82262322623226,2.5089499931432535e-05,0.0004240100637956911
0.7,0.8,0.75,2.2500450006750095e-10,42.82262322623226,2.553958673502704e-05,0.000510591826030809
0.7,0.9,0.75,2.2500450006750095e-10,42.82262322623226,2.7089762629901898e-05,0.00042224528644532625
0.8,0.8,0.75,2.2500450006750095e-10,42.82262322623226,2.6845480992358486e-05,0.0005103778424934594
0.8,0.9,0.75,2.2500450006750095e-10,42.82262322623226,3.104708637400515e-05,0.0005214604284077684
0.9,0.9,0.75,2.2500450006750095e-10,42.82262322623226,2.6577734332843756e-05,0.0004723262947687815
0.01,0.01,0.75,2.2500450006750095e-10,42.82262322623226,2.471983049936859e-05,0.00046394072653708693
