m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.75,2.2500450006750095e-10,42.82262322623226,0.020340641958056325,0.03763497754615372
0.1,0.2,0.75,2.2500450006750095e-10,42.82262322623226,0.038013959421343786,0.04816237539110389
0.1,0.3,0.75,2.2500450006750095e-10,42.82262322623226,0.07295686113254242,0.07623872270681421
0.1,0.4,0.75,2.2500450006750095e-10,42.82262322623226,0.1102997854077447,0.11211692224811055
0.1,0.5,0.75,2.2500450006750095e-10,42.82262322623226,0.15104902794584904,0.15115312627719732
0.1,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.1899854928115817,0.1865227172779611
0.1,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.2373261396205195,0.23727909070597303
0.1,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.2771659578289416,0.2748362292936288
0.1,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.3280175168546272,0.3267096361869501
0.2,0.2,0.75,2.2500450006750095e-10,42.82262322623226,0.029708764103958174,0.04613182977747886
0.2,0.3,0.75,2.2500450006750095e-10,42.82262322623226,0.04637983353957445,0.055295026356675096
0.2,0.4,0.75,2.2500450006750095e-10,42.82262322623226,0.08092442094005885,0.08860237361012649
0.2,0.5,0.75,2.2500450006750095e-10,42.82262322623226,0.126216694349845,0.13042609299789062
0.2,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.16913116933214692,0.1741635041507445
0.2,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.2211010759612125,0.2194489860681133
0.2,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.2671943326665207,0.2674962273010843
0.2,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.32052388336146054,0.32162089480680445
0.3,0.3,0.75,2.2500450006750095e-10,42.82262322623226,0.03824589948060318,0.05525478214904534
0.3,0.4,0.75,2.2500450006750095e-10,42.82262322623226,0.05679273312773604,0.06765695862346886
0.3,0.5,0.75,2.2500450006750095e-10,42.82262322623226,0.09342338108313994,0.09769643928620796
0.3,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.1434902549120008,0.14503860134892585
0.3,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.192436444363455,0.19237095027674087
0.3,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.25378272294344206,0.255384459094125
0.3,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.3104475880707613,0.3122773129411634
0.4,0.4,0.75,2.2500450006750095e-10,42.82262322623226,0.04591969463618025,0.06545780385442845
0.4,0.5,0.75,2.2500450006750095e-10,42.82262322623226,0.06667616340175338,0.08295919405193904
0.4,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.11246859741799083,0.1170127180982023
0.4,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.16820039854228924,0.1705026344900429
0.4,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.23626884778540108,0.23724108420963308
0.4,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.3009120409134514,0.3008272020278937
0.5,0.5,0.75,2.2500450006750095e-10,42.82262322623226,0.05697612422680473,0.07632623835454806
0.5,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.08017428549261832,0.09839705794122613
0.5,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.13534437860487783,0.14326001193388666
0.5,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.20934923493543084,0.21095368077958757
0.5,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.2915208829954276,0.28984993959429356
0.6,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.06808970674790389,0.10180126827714465
0.6,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.0989182947510457,0.11512052301869757
0.6,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.17130219501479604,0.18310124470251457
0.6,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.2637292534283917,0.2679106477046738
0.7,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.0892650394339343,0.12994992389551033
0.7,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.12697470422389118,0.16439181054428378
0.7,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.2376951786907888,0.2476138124917748
0.8,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.11841296380496347,0.17390728618001175
0.8,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.19072544818695453,0.24884409723026027
0.9,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.1797857464683795,0.3262716278530845
0.01,0.01,0.75,2.2500450006750095e-10,42.82262322623226,0.007236668206415885,0.029296296558132453
0.01,0.02,0.75,2.2500450006750095e-10,42.82262322623226,0.00833839386042044,0.031488895893428466
0.01,0.03,0.75,2.2500450006750095e-10,42.82262322623226,0.010269790036945508,0.029879062086412986
0.01,0.04,0.75,2.2500450006750095e-10,42.82262322623226,0.012719559867154942,0.030123367545261914
0.01,0.05,0.75,2.2500450006750095e-10,42.82262322623226,0.014451207815554583,0.031158875453770635
0.01,0.06,0.75,2.2500450006750095e-10,42.82262322623226,0.017880098541973696,0.0332453819742078
0.01,0.07,0.75,2.2500450006750095e-10,42.82262322623226,0.020196951774741293,0.03278909212651051
0.01,0.08,0.75,2.2500450006750095e-10,42.82262322623226,0.023388189504118147,0.03568699614979529
0.01,0.09,0.75,2.2500450006750095e-10,42.82262322623226,0.026128251455263537,0.03587057394464911
0.02,0.02,0.75,2.2500450006750095e-10,42.82262322623226,0.00932041698464893,0.02961962214314113
0.02,0.03,0.75,2.2500450006750095e-10,42.82262322623226,0.009902448315751967,0.02976469643917335
0.02,0.04,0.75,2.2500450006750095e-10,42.82262322623226,0.011797336289004192,0.030047278169828103
0.02,0.05,0.75,2.2500450006750095e-10,42.82262322623226,0.013956511853576216,0.032284912167796304
0.02,0.06,0.75,2.2500450006750095e-10,42.82262322623226,0.015193791754123453,0.03292213049435484
0.02,0.07,0.75,2.2500450006750095e-10,42.82262322623226,0.01814249627580212,0.03458717534532756
0.02,0.08,0.75,2.2500450006750095e-10,42.82262322623226,0.020082456026326724,0.034973322674935046
