m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.75,2.2500450006750095e-10,42.82262322623226,0.00025341080433514095,0.0007448630733614516
0.1,0.2,0.75,2.2500450006750095e-10,42.82262322623226,0.000549053813903264,0.001252566211256887
0.1,0.3,0.75,2.2500450006750095e-10,42.82262322623226,0.0008288741753788608,0.002203793513142819
0.1,0.4,0.75,2.2500450006750095e-10,42.82262322623226,0.0010801549971727162,0.0025510913391192202
0.1,0.5,0.75,2.2500450006750095e-10,42.82262322623226,0.0012720086388901945,0.002997327255647992
0.1,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.0014264660088471638,0.003585303463555256
0.1,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.0015042948685278757,0.003530950946110642
0.1,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.0016922359191619096,0.0037580353434943778
0.1,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.0018299393014824727,0.0038471408994234
0.2,0.2,0.75,2.2500450006750095e-10,42.82262322623226,0.0006087523890130887,0.0011464443491080627
0.2,0.3,0.75,2.2500450006750095e-10,42.82262322623226,0.0009745058184403663,0.0016717579313216989
0.2,0.4,0.75,2.2500450006750095e-10,42.82262322623226,0.001630813564656475,0.0029255672503260364
0.2,0.5,0.75,2.2500450006750095e-10,42.82262322623226,0.0019637266471536985,0.0036235746811366302
0.2,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.002141563580164715,0.004066234850805824
0.2,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.002328511527629017,0.004589625072458024
0.2,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.002414841735922225,0.004957840354154132
0.2,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.002637676803175409,0.005388403817146409
0.3,0.3,0.75,2.2500450006750095e-10,42.82262322623226,0.0008930605910598455,0.0018715721936011086
0.3,0.4,0.75,2.2500450006750095e-10,42.82262322623226,0.0015303068202854404,0.002760958167444582
0.3,0.5,0.75,2.2500450006750095e-10,42.82262322623226,0.002276429195485058,0.003945426461078238
0.3,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.0029502490502193914,0.005351227287815671
0.3,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.0030384315314315523,0.005696236403986811
0.3,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.0031778410414208327,0.005936858127163758
0.3,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.003382646044709471,0.006262140238537409
0.4,0.4,0.75,2.2500450006750095e-10,42.82262322623226,0.001219460772648435,0.0025917375374524825
0.4,0.5,0.75,2.2500450006750095e-10,42.82262322623226,0.0018731441304862837,0.003526240257105325
0.4,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.003452254790853232,0.0058500065110394925
0.4,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.004262446657215916,0.007902472979203944
0.4,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.004562389560241018,0.009257019794921762
0.4,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.004893553077957778,0.00958920573400023
0.5,0.5,0.75,2.2500450006750095e-10,42.82262322623226,0.002064257922096024,0.003313261261800799
0.5,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.0028552291249191444,0.00493784866725717
0.5,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.004938795829400965,0.00871216160327703
0.5,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.006155912648329116,0.010742519138910521
0.5,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.006934324018681566,0.01187994923259585
0.6,0.6,0.75,2.2500450006750095e-10,42.82262322623226,0.00291526507678611,0.00625553363739685
0.6,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.004864495421739574,0.007797221018307803
0.6,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.007729523847988433,0.012936389711163707
0.6,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.009960843224948593,0.01980722864860046
0.7,0.7,0.75,2.2500450006750095e-10,42.82262322623226,0.004419415376586073,0.00884199954849295
0.7,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.009926387676401447,0.014443223267590172
0.7,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.013051018827888776,0.023209821694686057
0.8,0.8,0.75,2.2500450006750095e-10,42.82262322623226,0.008359827025137602,0.019217758377880763
0.8,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.015478425997006686,0.03258700621487949
0.9,0.9,0.75,2.2500450006750095e-10,42.82262322623226,0.01861653441951848,0.06088085974350551
0.01,0.01,0.75,2.2500450006750095e-10,42.82262322623226,3.342893908202747e-05,0.0004944411001163065
0.01,0.02,0.75,2.2500450006750095e-10,42.82262322623226,4.544808994757632e-05,0.00048257817302536926
0.01,0.03,0.75,2.2500450006750095e-10,42.82262322623226,5.906182104099833e-05,0.0004953496883889845
0.01,0.04,0.75,2.2500450006750095e-10,42.82262322623226,8.551359840117284e-05,0.0005780481744474656
0.01,0.05,0.75,2.2500450006750095e-10,42.82262322623226,9.69072764497019e-05,0.0005129980943881268
0.01,0.06,0.75,2.2500450006750095e-10,42.82262322623226,0.000119707797860313,0.0006192759986477302
0.01,0.07,0.75,2.2500450006750095e-10,42.82262322623226,0.0001361832252573491,0.000628349916699545
0.01,0.08,0.75,2.2500450006750095e-10,42.82262322623226,0.00015747304863545158,0.0006830423156798181
0.01,0.09,0.75,2.2500450006750095e-10,42.82262322623226,0.00017747205550636645,0.0007464471534834201
0.02,0.02,0.75,2.2500450006750095e-10,42.82262322623226,5.298605084538082e-05,0.0004919466562347712
0.02,0.03,0.75,2.2500450006750095e-10,42.82262322623226,5.206549655434828e-05,0.000497215693099722
0.02,0.04,0.75,2.2500450006750095e-10,42.82262322623226,8.210038823924042e-05,0.0005498217289979763
0.02,0.05,0.75,2.2500450006750095e-10,42.82262322623226,0.00010115620240899922,0.0006406989182856391
0.02,0.06,0.75,2.2500450006750095e-10,42.82262322623226,0.00012297227715680592,0.0006442888309753572
0.02,0.07,0.75,2.2500450006750095e-10,42.82262322623226,0.00013484330285483498,0.0006123112091741749
0.02,0.08,0.75,2.2500450006750095e-10,42.82262322623226,0.00016611838335407384,0.000693359508576193
0.02,0.09,0.75,2.2500450006750095e-10,42.82262322623226,0.0001843036128659591,0.0008328757043378286
0.03,0.03,0.75,2.2500450006750095e-10,42.82262322623226,7.403268573697649e-05,0.0005430961404085139
0.03,0.04,0.75,2.2500450006750095e-10,42.82262322623226,8.048084700241325e-05,0.000506685628372019
0.03,0.05,0.75,2.2500450006750095e-10,42.82262322623226,0.00011419825739326293,0.0006037476263074584
0.03,0.06,0.75,2.2500450006750095e-10,42.82262322623226,0.00011993792115677568,0.0006524591866437506
0.03,0.07,0.75,2.2500450006750095e-10,42.82262322623226,0.0001358479700933296,0.0006414308315308238
0.03,0.08,0.75,2.2500450006750095e-10,42.82262322623226,0.00016258722865618687,0.0007119665429646682
0.03,0.09,0.75,2.2500450006750095e-10,42.82262322623226,0.00017827785101403787,0.0006820689910140013
0.04,0.04,0.75,2.2500450006750095e-10,42.82262322623226,9.015615645171054e-05,0.000651000616667597
0.04,0.05,0.75,2.2500450006750095e-10,42.82262322623226,0.0001176633271568938,0.0005679562122829195
0.04,0.06,0.75,2.2500450006750095e-10,42.82262322623226,0.00011818292098845682,0.0004853809373612972
0.04,0.07,0.75,2.2500450006750095e-10,42.82262322623226,0.00011796497469530119,0.0007257574509736606
0.04,0.08,0.75,2.2500450006750095e-10,42.82262322623226,0.00015876872633884017,0.0005741957819318227
0.04,0.09,0.75,2.2500450006750095e-10,42.82262322623226,0.00021146330285483057,0.0007575979542333544
0.05,0.05,0.75,2.2500450006750095e-10,42.82262322623226,0.00011111092576735762,0.0006699033421279367
0.05,0.06,0.75,2.2500450006750095e-10,42.82262322623226,0.00011717543157819694,0.0005655517509859303
0.05,0.07,0.75,2.2500450006750095e-10,42.82262322623226,0.00012183554829676873,0.0006420933500803556
0.05,0.08,0.75,2.2500450006750095e-10,42.82262322623226,0.00013989669834801866,0.0006513974583223648
0.05,0.09,0.75,2.2500450006750095e-10,42.82262322623226,0.00015964296228067378,0.0006276843421395637
0.06,0.06,0.75,2.2500450006750095e-10,42.82262322623226,0.00013796851411592716,0.0006520557596540133
0.06,0.07,0.75,2.2500450006750095e-10,42.82262322623226,0.0001316062963788617,0.00059089771321346
0.06,0.08,0.75,2.2500450006750095e-10,42.82262322623226,0.00016445479984426596,0.0006970463221366384
0.06,0.09,0.75,2.2500450006750095e-10,42.82262322623226,0.00017231921479863733,0.0006563665197187347
0.07,0.07,0.75,2.2500450006750095e-10,42.82262322623226,0.00018272231351041052,0.0006420627242852909
0.07,0.08,0.75,2.2500450006750095e-10,42.82262322623226,0.00014276202111213504,0.0006195946784152194
0.07,0.09,0.75,2.2500450006750095e-10,42.82262322623226,0.00017117577421909606,0.0007277753019009297
0.08,0.08,0.75,2.2500450006750095e-10,42.82262322623226,0.0001647602298342167,0.000708831170119099
0.08,0.09,0.75,2.2500450006750095e-10,42.82262322623226,0.0001976516926070207,0.0007145989370788551
