m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,42.82262322623226,-0.00022916574528295794,-0.00023826032745779993,-0.0002332681748248579,-0.0002530206554536,-0.00021625139479821944,-0.0002926063350033
0.1,0.2,42.82262322623226,-0.0005243784136264941,-0.0008214403249607999,,,-0.000543597762526818,-0.001158545781899295
0.1,0.3,42.82262322623226,-0.0008043373576789766,-0.0017777104990927,,,-0.0008264251014432335,
0.1,0.4,42.82262322623226,-0.0010459290081022527,-0.0020565311574495997,,,-0.0010790412234038275,
0.1,0.5,42.82262322623226,-0.0012449910816830052,-0.0024763950242095,,,-0.0012714138296027158,
0.1,0.6,42.82262322623226,-0.0014031288587265476,-0.0030933645843499,,,-0.0014259858344088149,
0.1,0.7,42.82262322623226,-0.0014753937517198138,-0.0030389624479644,,,-0.001503863147526873,
0.1,0.8,42.82262322623226,-0.0016629494100974306,-0.0032384533814844,,,-0.0016918951425256184,
0.1,0.9,42.82262322623226,-0.0018048414356087216,-0.0033694769927924,,,-0.0018297309380966935,
0.2,0.2,42.82262322623226,-0.0005851534668468542,-0.0006700115653691,-0.0005548988959983541,-0.0006187064656573001,-0.0005516370731516274,-0.0004663331968412
0.2,0.3,42.82262322623226,-0.0009475472779580965,-0.00116079165278,-0.0010461356083335967,-0.004053838218639,-0.0009619964616865881,-0.0014674744942495999
0.2,0.4,42.82262322623226,-0.0016023491066589348,-0.0024603301233602,,,-0.0016239257588776268,-0.0028082386620503
0.2,0.5,42.82262322623226,-0.0019406333632343655,-0.0031388698949285,,,-0.0019588014169891594,-0.003552858981059055
0.2,0.6,42.82262322623226,-0.0021173089174196477,-0.0035872019131334,,,-0.0021392267384550546,
0.2,0.7,42.82262322623226,-0.002308545982695519,-0.0040488567604431,,,-0.002326189147216336,
0.2,0.8,42.82262322623226,-0.002387921495342792,-0.0044711281618177,,,-0.002413376318281534,
0.2,0.9,42.82262322623226,-0.0026086364693055715,-0.0049396676890963,,,-0.0026368234825299612,
0.3,0.3,42.82262322623226,-0.0008671816274761771,-0.001321170798424,-0.000863368153012177,-0.0008357951485769001,-0.0008489602495966833,-0.0010347559367957
0.3,0.4,42.82262322623226,-0.00149743502674861,-0.0023111622588682,-0.0014701131763371097,-0.0026012457532451003,-0.0015117268852291683,-0.002416641632079
0.3,0.5,42.82262322623226,-0.002248687418563536,-0.0035387913953963002,-0.004440138712009836,-0.023488533790761,-0.0022636789955509918,-0.0037299362129249
