m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.0,2.2500450006750095e-10,42.82262322623226,0.003767839125737652,0.02169093952238204
0.1,0.2,1.0,2.2500450006750095e-10,42.82262322623226,0.004411205957190958,0.021217848340089874
0.1,0.3,1.0,2.2500450006750095e-10,42.82262322623226,0.004128636054608663,0.022240205991983956
0.1,0.4,1.0,2.2500450006750095e-10,42.82262322623226,0.004264742784169755,0.022624497220451588
0.1,0.5,1.0,2.2500450006750095e-10,42.82262322623226,0.004364358968379875,0.02121892143528349
0.1,0.6,1.0,2.2500450006750095e-10,42.82262322623226,0.003992866554007108,0.022148213418537337
0.1,0.7,1.0,2.2500450006750095e-10,42.82262322623226,0.004305618118709645,0.021665843338763067
0.1,0.8,1.0,2.2500450006750095e-10,42.82262322623226,0.004010741832001472,0.020229056073308542
0.1,0.9,1.0,2.2500450006750095e-10,42.82262322623226,0.0039146354172978305,0.021725383863143294
0.2,0.2,1.0,2.2500450006750095e-10,42.82262322623226,0.004036337533818724,0.020821465275681378
0.2,0.3,1.0,2.2500450006750095e-10,42.82262322623226,0.004254721856940975,0.02253775213210875
0.2,0.4,1.0,2.2500450006750095e-10,42.82262322623226,0.0041257258383768656,0.021876384770574575
0.2,0.5,1.0,2.2500450006750095e-10,42.82262322623226,0.004118433761164937,0.02160352450596733
0.2,0.6,1.0,2.2500450006750095e-10,42.82262322623226,0.003901474000597162,0.02266296739742316
0.2,0.7,1.0,2.2500450006750095e-10,42.82262322623226,0.004053808949015789,0.023041891010129847
0.2,0.8,1.0,2.2500450006750095e-10,42.82262322623226,0.0043618878853041,0.021851399508797782
0.2,0.9,1.0,2.2500450006750095e-10,42.82262322623226,0.0042004694457978215,0.021594024032784574
0.3,0.3,1.0,2.2500450006750095e-10,42.82262322623226,0.004289277227284529,0.020769032411017064
0.3,0.4,1.0,2.2500450006750095e-10,42.82262322623226,0.00426253225819336,0.021978190159446555
0.3,0.5,1.0,2.2500450006750095e-10,42.82262322623226,0.004369576516698302,0.02158283248483673
0.3,0.6,1.0,2.2500450006750095e-10,42.82262322623226,0.004128035590134701,0.022157089675354583
0.3,0.7,1.0,2.2500450006750095e-10,42.82262322623226,0.0041565613672349426,0.02152575197085487
0.3,0.8,1.0,2.2500450006750095e-10,42.82262322623226,0.004139596086830707,0.020947383496380666
0.3,0.9,1.0,2.2500450006750095e-10,42.82262322623226,0.004508976917273188,0.02062515484741766
0.4,0.4,1.0,2.2500450006750095e-10,42.82262322623226,0.003982436005087422,0.02075294652627045
0.4,0.5,1.0,2.2500450006750095e-10,42.82262322623226,0.004055920377531166,0.022832695860827656
0.4,0.6,1.0,2.2500450006750095e-10,42.82262322623226,0.004103600302866766,0.022455172793113463
0.4,0.7,1.0,2.2500450006750095e-10,42.82262322623226,0.003963261275858016,0.02259821283217404
0.4,0.8,1.0,2.2500450006750095e-10,42.82262322623226,0.004290489244955381,0.020724084833940296
0.4,0.9,1.0,2.2500450006750095e-10,42.82262322623226,0.004044999195910009,0.019975394645251866
0.5,0.5,1.0,2.2500450006750095e-10,42.82262322623226,0.003894735667974132,0.022800634107495325
0.5,0.6,1.0,2.2500450006750095e-10,42.82262322623226,0.003938842287617448,0.021055281070141204
0.5,0.7,1.0,2.2500450006750095e-10,42.82262322623226,0.004129143525938829,0.021017044808935865
0.5,0.8,1.0,2.2500450006750095e-10,42.82262322623226,0.0042804046358519655,0.021326952436985878
0.5,0.9,1.0,2.2500450006750095e-10,42.82262322623226,0.0038670203281901366,0.022682970998218466
0.6,0.6,1.0,2.2500450006750095e-10,42.82262322623226,0.004148725662507815,0.020932912367704417
0.6,0.7,1.0,2.2500450006750095e-10,42.82262322623226,0.00403945572423028,0.02216216043250792
0.6,0.8,1.0,2.2500450006750095e-10,42.82262322623226,0.0038030796240743144,0.021093948233102736
0.6,0.9,1.0,2.2500450006750095e-10,42.82262322623226,0.0037571388994419408,0.021372819590157292
0.7,0.7,1.0,2.2500450006750095e-10,42.82262322623226,0.004194110609240866,0.02191258023476381
0.7,0.8,1.0,2.2500450006750095e-10,42.82262322623226,0.0038197206878430876,0.02153547778342697
0.7,0.9,1.0,2.2500450006750095e-10,42.82262322623226,0.0039945721929540955,0.021447137723994515
0.8,0.8,1.0,2.2500450006750095e-10,42.82262322623226,0.004029876380951336,0.021011526356558022
0.8,0.9,1.0,2.2500450006750095e-10,42.82262322623226,0.004186901483838838,0.02300400318554601
0.9,0.9,1.0,2.2500450006750095e-10,42.82262322623226,0.004188683755847862,0.021695430040567443
0.01,0.01,1.0,2.2500450006750095e-10,42.82262322623226,0.004404809202411002,0.021618305284280964
0.01,0.02,1.0,2.2500450006750095e-10,42.82262322623226,0.004277103943989531,0.021814872186031196
0.01,0.03,1.0,2.2500450006750095e-10,42.82262322623226,0.003940586115791191,0.021533732636550538
0.01,0.04,1.0,2.2500450006750095e-10,42.82262322623226,0.003944403435184327,0.02109133266410734
