m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.0,2.2500450006750095e-10,42.82262322623226,1.4320297485164254e-05,0.00025475116910643513
0.1,0.2,1.0,2.2500450006750095e-10,42.82262322623226,1.4844786003635414e-05,0.00022228379510861793
0.1,0.3,1.0,2.2500450006750095e-10,42.82262322623226,1.3852113122058088e-05,0.00026535452254604824
0.1,0.4,1.0,2.2500450006750095e-10,42.82262322623226,1.3794538340906921e-05,0.0002749993840988474
0.1,0.5,1.0,2.2500450006750095e-10,42.82262322623226,1.6804810441893903e-05,0.0002659702770869288
0.1,0.6,1.0,2.2500450006750095e-10,42.82262322623226,1.3183883273035336e-05,0.0002666025328011124
0.1,0.7,1.0,2.2500450006750095e-10,42.82262322623226,1.876435493962031e-05,0.0002541368232377925
0.1,0.8,1.0,2.2500450006750095e-10,42.82262322623226,1.314955394641146e-05,0.0002763295189778298
0.1,0.9,1.0,2.2500450006750095e-10,42.82262322623226,1.4228283128686649e-05,0.0002864625447218431
0.2,0.2,1.0,2.2500450006750095e-10,42.82262322623226,1.3958285754997333e-05,0.0002543891432392574
0.2,0.3,1.0,2.2500450006750095e-10,42.82262322623226,1.495158512043615e-05,0.0002810458148960209
0.2,0.4,1.0,2.2500450006750095e-10,42.82262322623226,1.6880712897686522e-05,0.00024310509630613426
0.2,0.5,1.0,2.2500450006750095e-10,42.82262322623226,1.6765685742206477e-05,0.00026713189289514236
0.2,0.6,1.0,2.2500450006750095e-10,42.82262322623226,1.52567871081448e-05,0.0002596229902611953
0.2,0.7,1.0,2.2500450006750095e-10,42.82262322623226,1.3380856971431923e-05,0.0003156880875232957
0.2,0.8,1.0,2.2500450006750095e-10,42.82262322623226,1.6079369995679822e-05,0.00026886162206087147
0.2,0.9,1.0,2.2500450006750095e-10,42.82262322623226,1.560572113028291e-05,0.00028078684713823173
0.3,0.3,1.0,2.2500450006750095e-10,42.82262322623226,1.4673457261889035e-05,0.0002547580666059786
0.3,0.4,1.0,2.2500450006750095e-10,42.82262322623226,1.5556867672116994e-05,0.00027419117921438846
0.3,0.5,1.0,2.2500450006750095e-10,42.82262322623226,1.9358985804329996e-05,0.00028766287271326087
0.3,0.6,1.0,2.2500450006750095e-10,42.82262322623226,1.2703051569087146e-05,0.000245081246959045
0.3,0.7,1.0,2.2500450006750095e-10,42.82262322623226,1.758794414022124e-05,0.00025897756717219725
0.3,0.8,1.0,2.2500450006750095e-10,42.82262322623226,1.3503216699427595e-05,0.0002608036966384978
0.3,0.9,1.0,2.2500450006750095e-10,42.82262322623226,1.9293357496085435e-05,0.00025191270908114604
0.4,0.4,1.0,2.2500450006750095e-10,42.82262322623226,1.5371393570585372e-05,0.0002439644773953033
0.4,0.5,1.0,2.2500450006750095e-10,42.82262322623226,1.2748408619006279e-05,0.0002979332653021608
0.4,0.6,1.0,2.2500450006750095e-10,42.82262322623226,1.2660814955611205e-05,0.000294978942884363
0.4,0.7,1.0,2.2500450006750095e-10,42.82262322623226,1.4835522650645645e-05,0.0002544583743901382
0.4,0.8,1.0,2.2500450006750095e-10,42.82262322623226,1.5895282071622393e-05,0.0002802244701310421
0.4,0.9,1.0,2.2500450006750095e-10,42.82262322623226,1.6578150087803703e-05,0.00023628513088319185
0.5,0.5,1.0,2.2500450006750095e-10,42.82262322623226,1.3324276174261506e-05,0.00032027907820821814
0.5,0.6,1.0,2.2500450006750095e-10,42.82262322623226,1.349972444968741e-05,0.0002499541149186294
0.5,0.7,1.0,2.2500450006750095e-10,42.82262322623226,1.708568034135962e-05,0.00029480810810544785
0.5,0.8,1.0,2.2500450006750095e-10,42.82262322623226,1.5338368701174966e-05,0.0002369099746304065
0.5,0.9,1.0,2.2500450006750095e-10,42.82262322623226,1.3690458670740336e-05,0.0002795529062366938
0.6,0.6,1.0,2.2500450006750095e-10,42.82262322623226,1.6746826833811683e-05,0.00024223448565430784
0.6,0.7,1.0,2.2500450006750095e-10,42.82262322623226,1.429502417225005e-05,0.00026780232358989553
0.6,0.8,1.0,2.2500450006750095e-10,42.82262322623226,1.3172934983696631e-05,0.0002494267656428456
0.6,0.9,1.0,2.2500450006750095e-10,42.82262322623226,1.2454070972241408e-05,0.00029648421969780125
0.7,0.7,1.0,2.2500450006750095e-10,42.82262322623226,1.9238373108774146e-05,0.0002826532523753732
0.7,0.8,1.0,2.2500450006750095e-10,42.82262322623226,1.3685247736881792e-05,0.00024836373284286835
0.7,0.9,1.0,2.2500450006750095e-10,42.82262322623226,1.5347364929589877e-05,0.00027188220421743076
0.8,0.8,1.0,2.2500450006750095e-10,42.82262322623226,1.3894372939015972e-05,0.00025669952041787274
0.8,0.9,1.0,2.2500450006750095e-10,42.82262322623226,1.3143016795488107e-05,0.0002825567439305805
0.9,0.9,1.0,2.2500450006750095e-10,42.82262322623226,1.796977680731079e-05,0.00025310506218911215
0.01,0.01,1.0,2.2500450006750095e-10,42.82262322623226,2.116056970855214e-05,0.00028729197881299947
0.01,0.02,1.0,2.2500450006750095e-10,42.82262322623226,1.39275466083275e-05,0.00028086587011077644
0.01,0.03,1.0,2.2500450006750095e-10,42.82262322623226,1.3457749475260672e-05,0.0002815469442208285
0.01,0.04,1.0,2.2500450006750095e-10,42.82262322623226,1.4050462722322143e-05,0.00024032698932956292
0.01,0.05,1.0,2.2500450006750095e-10,42.82262322623226,1.526361051682948e-05,0.00026997060200826135
