m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.067878827641591,2.50005000075001e-10,42.82262322623226,0.019924534361037773,0.02948443453428942
0.1,0.2,0.0,2.50005000075001e-10,42.82262322623226,,
0.1,0.3,,2.50005000075001e-10,42.82262322623226,,
0.1,0.4,,2.50005000075001e-10,42.82262322623226,,
0.1,0.5,,2.50005000075001e-10,42.82262322623226,,
0.1,0.6,,2.50005000075001e-10,42.82262322623226,,
0.1,0.7,,2.50005000075001e-10,42.82262322623226,,
0.1,0.8,,2.50005000075001e-10,42.82262322623226,,
0.1,0.9,,2.50005000075001e-10,42.82262322623226,,
0.2,0.2,1.146720406193046,2.8125562508437606e-10,42.82262322623226,0.02869466294015447,0.03651897909113951
0.2,0.3,0.6558318735740907,2.8125562508437606e-10,42.82262322623226,0.04675125781972119,0.06162933310433799
0.2,0.4,0.0,2.8125562508437606e-10,42.82262322623226,,
0.2,0.5,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.6,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.7,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.8,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.9,,2.8125562508437606e-10,42.82262322623226,,
0.3,0.3,1.2397322437062515,3.214350000964299e-10,42.82262322623226,0.038171693158102156,0.04692411925089014
0.3,0.4,0.9476175694143071,3.214350000964299e-10,42.82262322623226,0.055642814774147224,0.06307971202173614
0.3,0.5,0.5828996559875119,3.214350000964299e-10,42.82262322623226,0.09269345058482877,0.10256588404884028
0.3,0.6,0.0,3.214350000964299e-10,42.82262322623226,,
0.3,0.7,,3.214350000964299e-10,42.82262322623226,,
0.3,0.8,,3.214350000964299e-10,42.82262322623226,,
0.3,0.9,,3.214350000964299e-10,42.82262322623226,,
0.4,0.4,1.3516519438896402,3.750075001125015e-10,42.82262322623226,0.044327905069045756,0.04912012744951674
0.4,0.5,1.1695594588372513,3.750075001125015e-10,42.82262322623226,0.0656512969485256,0.07029403458952983
0.4,0.6,0.939892178874537,3.750075001125015e-10,42.82262322623226,0.11284915722669167,0.11147531079109071
0.4,0.7,0.5565492766542918,3.750075001125015e-10,42.82262322623226,0.1673596211401556,0.17061096374853843
0.4,0.8,,3.750075001125015e-10,42.82262322623226,,
0.4,0.9,,3.750075001125015e-10,42.82262322623226,,
0.5,0.5,1.4898801256447494,4.500090001350019e-10,42.82262322623226,0.056524526087260725,0.06246710399155018
0.5,0.6,1.3619804581563222,4.500090001350019e-10,42.82262322623226,0.07997423793154562,0.08506209947424435
0.5,0.7,1.1419580257817248,4.500090001350019e-10,42.82262322623226,0.13571107640102764,0.13687895172444575
0.5,0.8,0.5258403076416316,4.500090001350019e-10,42.82262322623226,0.20989401679452213,0.22181301420357993
0.5,0.9,,4.500090001350019e-10,42.82262322623226,,
0.6,0.6,1.666896033685178,5.625112501687521e-10,42.82262322623226,0.06811716033131239,0.07471637399423652
0.6,0.7,1.0,5.625112501687521e-10,42.82262322623226,0.09826663146993987,0.11513711951959944
0.6,0.8,1.1504947316609875,5.625112501687521e-10,42.82262322623226,0.17175319116604504,0.17826291152034895
0.6,0.9,,5.625112501687521e-10,42.82262322623226,,
0.7,0.7,1.9062193738198776,7.500150002250029e-10,42.82262322623226,0.08528395636131234,0.09208584479837303
0.7,0.8,1.6989129250349178,7.500150002250029e-10,42.82262322623226,0.12379245584436173,0.13027156755811503
0.7,0.9,0.0,7.500150002250029e-10,42.82262322623226,,
0.8,0.8,2.260867816817828,1.1250225003375047e-09,42.82262322623226,0.11217996035604828,
