m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,42.82262322623226,-0.00024809895421793577,-0.000314850305101,-0.00023615350617783574,-0.0002537652692704,-0.00024210443708967162,-0.00023261344796570002
0.1,0.2,42.82262322623226,-0.0005057753233237645,-0.0006528514201552,,,-0.0005165494084505118,-0.0007932619003930867
0.1,0.3,42.82262322623226,-0.0008397964130272418,-0.0014625792852503,,,-0.0008518712285342223,
0.1,0.4,42.82262322623226,-0.001013547060063793,-0.0019724962791017996,,,-0.0010263952888646276,
0.1,0.5,42.82262322623226,-0.001204554309770406,-0.0020001991929054002,,,-0.0012208150450706,
0.1,0.6,42.82262322623226,-0.0013967731253089646,-0.0018873011658172,,,-0.0014094461765367587,
0.1,0.7,42.82262322623226,-0.0014991474459206797,-0.0020928631238369,,,-0.0015176331286001505,
0.1,0.8,42.82262322623226,-0.0016307222875132886,-0.0027732876245894,,,-0.001643564486262501,
0.1,0.9,42.82262322623226,-0.0017958970979952131,-0.0028757771753436,,,-0.0018099323285453344,
0.2,0.2,42.82262322623226,-0.0005603662099607027,-0.0006471140044332999,-0.0005471534251075027,-0.0006202451672104,-0.000555469825740907,-0.0005593423296851
0.2,0.3,42.82262322623226,-0.0009674589693617637,-0.00119641701351,-0.0009926063635060638,-0.0015338265321512999,-0.0009747757524965841,-0.0013189305978023999
0.2,0.4,42.82262322623226,-0.0016135630251375135,-0.0021423939411597996,,,-0.0016254403176002186,-0.0023034577117971647
0.2,0.5,42.82262322623226,-0.0018833035201823935,-0.0029342365993962997,,,-0.0018965158514075878,
0.2,0.6,42.82262322623226,-0.0020082353509824555,-0.0027966154622295,,,-0.0020212352382922238,
0.2,0.7,42.82262322623226,-0.002329176584336268,-0.0034992709722909,,,-0.0023406671022431656,
0.2,0.8,42.82262322623226,-0.00229894809859592,-0.0032880064218437,,,-0.0023134347747290054,
0.2,0.9,42.82262322623226,-0.0025546108598979173,-0.0037251727892352,,,-0.0025693573559534446,
0.3,0.3,42.82262322623226,-0.000848917968600711,-0.0011862934136616001,-0.0008358717070112109,-0.0009817378559173,-0.0008417267748176558,-0.0009788230409375001
0.3,0.4,42.82262322623226,-0.001502185917516383,-0.0018964217744929,-0.001494972705140683,-0.0016276022389303002,-0.0015049553544670268,-0.0019473995452325003
0.3,0.5,42.82262322623226,-0.00223000805129407,-0.0030793078273731998,-0.00236626616375847,-0.004219247892415801,-0.0022398028166152706,-0.00319615384807
0.3,0.6,42.82262322623226,-0.002776348610100313,-0.0041298152170467,,,-0.002782984413825436,-0.0042512222865154995
0.3,0.7,42.82262322623226,-0.003126179970569879,-0.004480135670548601,,,-0.003139088394493016,-0.004654792445097546
0.3,0.8,42.82262322623226,-0.003110529525731272,-0.0049321850093187,,,-0.0031212754536702816,
0.3,0.9,42.82262322623226,-0.0032208578315176145,-0.0049043339363068,,,-0.0032389762138745767,
0.4,0.4,42.82262322623226,-0.0012091000488859147,-0.0015670298528318999,-0.0011485436452703147,-0.001235728561164,-0.0011894549573499393,-0.0012508467024460001
0.4,0.5,42.82262322623226,-0.0018309694804290939,-0.0022348708067246002,-0.0017444224137087938,-0.0020540254907644,-0.0018217066089239935,-0.0021522445795088
0.4,0.6,42.82262322623226,-0.003418095750663889,-0.0042630720998219004,-0.003420035375654589,-0.0045643398041337,-0.003416980651319288,-0.0043359925731749
0.4,0.7,42.82262322623226,-0.004137121446831655,-0.0055154498855455,-0.004246449650717354,-0.0098145757265054,-0.004141625404627585,-0.005611832725606399
0.4,0.8,42.82262322623226,-0.004505979465728378,-0.0067677455464586,,,-0.004516742782158037,-0.006951061343351102
0.4,0.9,42.82262322623226,-0.004665518508427696,-0.007174734096330001,,,-0.004680126720006455,
0.5,0.5,42.82262322623226,-0.002076349937412439,-0.0027798477017945,-0.0020017204357131385,-0.0020978685846928,-0.002057176749028799,-0.0023894508328255997
0.5,0.6,42.82262322623226,-0.0027786355784053126,-0.0039329170250645,-0.0027291401632688127,-0.0034070952020017,-0.0027682331397448495,-0.0037681070859057002
0.5,0.7,42.82262322623226,-0.00515017415257114,-0.0069531790408828,-0.00499091390993424,-0.0062999904092639995,-0.005151420171708213,-0.006875212197348901
0.5,0.8,42.82262322623226,-0.005881227345498825,-0.0087528274941757,-0.006155758826289725,-0.0150968537276614,-0.0058861817393304795,-0.008824326324023
0.5,0.9,42.82262322623226,-0.006741114687530759,-0.0096264584342259,,,-0.006752289737885854,
0.6,0.6,42.82262322623226,-0.0028076202617762884,-0.0042911632288928,-0.002790829431549888,-0.0033156567617189997,-0.0027683160913421477,-0.0034758996893087
0.6,0.7,42.82262322623226,-0.004735571666256449,-0.0067541353470556,-0.00496581101082425,-0.0062234148034554,-0.004714210902685709,-0.0064208461873258
0.6,0.8,42.82262322623226,-0.007333131844952903,-0.0111412614146301,-0.007219970052298603,-0.009037961439554201,-0.007331790747219048,-0.0110642387618212
0.6,0.9,42.82262322623226,-0.010097237361652557,-0.0141733473341545,,,-0.010106210535351755,-0.014394051084834018
0.7,0.7,42.82262322623226,-0.004316426303295526,-0.0067084578619757,-0.004208335604785526,-0.0049243722114465,-0.004249129870835483,-0.005688530528854
0.7,0.8,42.82262322623226,-0.009423539468024017,-0.0114930454452433,-0.009539135419918217,-0.0105874683314745,-0.009398941872041313,-0.0110621972592455
0.7,0.9,42.82262322623226,-0.01303320518139511,-0.020427031467498698,,,-0.013040622447352485,-0.0205383117840698
0.8,0.8,42.82262322623226,-0.007937113886260484,-0.0155917046489599,-0.007768515503530584,,-0.0078067566989221,-0.0123618928245699
0.8,0.9,42.82262322623226,-0.014796563232358912,-0.0256594434595035,-0.015355119940963412,-0.0186321080882356,-0.014782844020470214,-0.0254232312546647
0.9,0.9,42.82262322623226,-0.016103163885793192,-0.0375219478129749,-0.01646406564441499,,-0.015473248402250802,-0.0252237834096161
0.01,0.01,42.82262322623226,-4.363292068782359e-06,8.759258858999667e-07,-6.370084328448404e-06,1.9494514858500018e-05,-1.2954680363262253e-05,-4.2318136980300025e-05
0.01,0.02,42.82262322623226,-2.197312212125201e-05,-7.084390332200022e-06,,,-3.1781392140119766e-05,-0.0002282742303712262
0.01,0.03,42.82262322623226,-3.717216770940864e-05,-2.611616131459999e-05,,,-4.924207365472172e-05,
0.01,0.04,42.82262322623226,-5.861005601238777e-05,-9.668998873719998e-05,,,-7.178746833881315e-05,
0.01,0.05,42.82262322623226,-6.883551498466459e-05,-6.910308644380003e-05,,,-8.344639576167438e-05,
0.01,0.06,42.82262322623226,-9.301409441153771e-05,-0.00010067180920029996,,,-0.00010484231958854538,
0.01,0.07,42.82262322623226,-9.838332343283649e-05,-0.00020858486243320002,,,-0.00011259117478678648,
0.01,0.08,42.82262322623226,-0.00011475772960065757,-0.00014313532763920002,,,-0.0001285684487544631,
0.01,0.09,42.82262322623226,-0.00012565576819881068,-0.0002667056399195,,,-0.0001412401963003037,
0.02,0.02,42.82262322623226,-2.4730145224459122e-05,-4.6160681023100006e-05,-2.8702441481128684e-05,-3.8836244412999976e-05,-2.4304635204058636e-05,-4.834859287580003e-05
0.02,0.03,42.82262322623226,-3.745045973844127e-05,-9.251570466060004e-05,-7.175038882632317e-05,-0.0006926422295925,-4.223934721635338e-05,-0.00020903097740710002
0.02,0.04,42.82262322623226,-5.473151817351029e-05,-6.324806347669999e-05,,,-6.333406143181097e-05,-0.00023377123543673962
0.02,0.05,42.82262322623226,-7.510424686687206e-05,-0.0001499714566538,,,-8.22763965570465e-05,
0.02,0.06,42.82262322623226,-9.640227255026991e-05,-0.00014449571180919998,,,-0.00011127807183172636,
0.02,0.07,42.82262322623226,-0.00011473756781299306,-0.00014636138477939998,,,-0.00012412449510283298,
0.02,0.08,42.82262322623226,-0.00013117055809263277,-0.00023824119083590002,,,-0.00014557163809356382,
