m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.9095647993081502,2.0250405006075078e-10,42.82262322623226,3.6681458169274603e-06,7.979425142522889e-05
0.1,0.2,2.8101304969712415,2.0250405006075078e-10,42.82262322623226,2.3752381589591846e-06,
0.1,0.3,3.699706179357965,2.0250405006075078e-10,42.82262322623226,1.3108269947453717e-06,
0.1,0.4,4.575557117651626,2.0250405006075078e-10,42.82262322623226,5.418783909688851e-07,
0.1,0.5,5.433780830483028,2.0250405006075078e-10,42.82262322623226,5.060861898949273e-07,
0.1,0.6,6.268530136416277,2.0250405006075078e-10,42.82262322623226,3.572779463612287e-07,
0.1,0.7,7.07045861030067,2.0250405006075078e-10,42.82262322623226,2.895985457079801e-07,
0.1,0.8,7.823214990557688,2.0250405006075078e-10,42.82262322623226,2.639042386430741e-07,
0.1,0.9,8.68108832519859,2.0250405006075078e-10,42.82262322623226,2.0827042205965933e-07,
0.2,0.2,1.8101304969712413,1.8000360005400076e-10,42.82262322623226,4.336443260690815e-06,8.15947807635192e-05
0.2,0.3,2.1997061793579644,1.8000360005400076e-10,42.82262322623226,3.536178787184721e-06,
0.2,0.4,2.575557117651626,1.8000360005400076e-10,42.82262322623226,2.2590273255504403e-06,
0.2,0.5,2.9337808304830277,1.8000360005400076e-10,42.82262322623226,1.925850580042088e-06,
0.2,0.6,3.268530136416277,1.8000360005400076e-10,42.82262322623226,1.4974459652368046e-06,
0.2,0.7,3.575836803801503,1.8000360005400076e-10,42.82262322623226,1.0626210762093478e-06,
0.2,0.8,3.9704599551232875,1.8000360005400076e-10,42.82262322623226,9.630041210609986e-07,
0.2,0.9,5.230080940978918,1.8000360005400076e-10,42.82262322623226,5.111266798370355e-07,
0.3,0.3,1.699706179357965,1.5750315004725067e-10,42.82262322623226,5.593982275995083e-06,9.515240623297232e-05
0.3,0.4,1.9088904509849591,1.5750315004725067e-10,42.82262322623226,3.936111740838102e-06,7.566604391277027e-05
0.3,0.5,2.101049174760391,1.5750315004725067e-10,42.82262322623226,3.0927716541202657e-06,
0.3,0.6,2.2850424732827324,1.5750315004725067e-10,42.82262322623226,2.921223152952542e-06,
0.3,0.7,2.4985990964541287,1.5750315004725067e-10,42.82262322623226,2.757233811279444e-06,
0.3,0.8,2.8771120023427614,1.5750315004725067e-10,42.82262322623226,1.7236929997011961e-06,
0.3,0.9,4.282067215305558,1.5750315004725067e-10,42.82262322623226,7.829700169370784e-07,
0.4,0.4,1.5755571176516256,1.3500270004050055e-10,42.82262322623226,5.553112108143132e-06,0.0001072993707912631
0.4,0.5,1.6946183296263162,1.3500270004050055e-10,42.82262322623226,6.172042432654997e-06,8.929481410043836e-05
0.4,0.6,1.8136258392169444,1.3500270004050055e-10,42.82262322623226,3.752830213610485e-06,8.095699328894526e-05
0.4,0.7,1.9790049893762511,1.3500270004050055e-10,42.82262322623226,4.572613027850852e-06,6.819045427895894e-05
0.4,0.8,2.3272746158823994,1.3500270004050055e-10,42.82262322623226,3.273725743053402e-06,
0.4,0.9,3.67439041890566,1.3500270004050055e-10,42.82262322623226,9.522516249135821e-07,
0.5,0.5,1.433780830483027,1.1250225003375047e-10,42.82262322623226,7.4584051572415446e-06,0.00011779116196126436
0.5,0.6,1.5124860248224745,1.1250225003375047e-10,42.82262322623226,6.048644117991144e-06,0.00012563984943738402
0.5,0.7,1.6326197279579056,1.1250225003375047e-10,42.82262322623226,5.544629639340547e-06,0.0001041627981304502
0.5,0.8,1.9294518950676753,1.1250225003375047e-10,42.82262322623226,4.273512263806763e-06,7.53194111467855e-05
0.5,0.9,3.07045861030067,1.1250225003375047e-10,42.82262322623226,1.3954118497060753e-06,
0.6,0.6,1.268530136416278,9.000180002700038e-11,42.82262322623226,7.603532320228228e-06,0.0001575192797763489
0.6,0.7,1.3448557771330518,9.000180002700038e-11,42.82262322623226,8.504900993090242e-06,0.0001500688826806286
0.6,0.8,1.5704586103006695,9.000180002700038e-11,42.82262322623226,5.597813689830855e-06,0.00011678195185178731
0.6,0.9,2.454458592793241,9.000180002700038e-11,42.82262322623226,2.1742561248290307e-06,
