m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,2.2500450006750095e-10,42.82262322623226,0.019329558430802096,
0.1,0.2,2.0,2.2500450006750095e-10,42.82262322623226,0.03772456198371089,
0.1,0.3,2.0,2.2500450006750095e-10,42.82262322623226,0.07249953384740265,
0.1,0.4,2.0,2.2500450006750095e-10,42.82262322623226,0.10970172295668151,
0.1,0.5,2.0,2.2500450006750095e-10,42.82262322623226,0.15122083656938468,
0.1,0.6,2.0,2.2500450006750095e-10,42.82262322623226,0.18970137142672813,
0.1,0.7,2.0,2.2500450006750095e-10,42.82262322623226,0.2365386649247786,
0.1,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.27669937277314843,
0.1,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.328315969673937,
0.2,0.2,2.0,2.2500450006750095e-10,42.82262322623226,0.02852173742068024,
0.2,0.3,2.0,2.2500450006750095e-10,42.82262322623226,0.045556315489448634,
0.2,0.4,2.0,2.2500450006750095e-10,42.82262322623226,0.0810894292290166,
0.2,0.5,2.0,2.2500450006750095e-10,42.82262322623226,0.1266812205086369,
0.2,0.6,2.0,2.2500450006750095e-10,42.82262322623226,0.1699746018648006,
0.2,0.7,2.0,2.2500450006750095e-10,42.82262322623226,0.22133832136210713,
0.2,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.26723255786998723,
0.2,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.3203122438071053,
0.3,0.3,2.0,2.2500450006750095e-10,42.82262322623226,0.03752077352048079,
0.3,0.4,2.0,2.2500450006750095e-10,42.82262322623226,0.055937183649796066,
0.3,0.5,2.0,2.2500450006750095e-10,42.82262322623226,0.09249178612789799,
0.3,0.6,2.0,2.2500450006750095e-10,42.82262322623226,0.14344732127769722,
0.3,0.7,2.0,2.2500450006750095e-10,42.82262322623226,0.19375446316609865,
0.3,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.2535307506151307,
0.3,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.3104325080024943,
0.4,0.4,2.0,2.2500450006750095e-10,42.82262322623226,0.044357627506848074,
0.4,0.5,2.0,2.2500450006750095e-10,42.82262322623226,0.06538115613415525,
0.4,0.6,2.0,2.2500450006750095e-10,42.82262322623226,0.11261343726604102,
0.4,0.7,2.0,2.2500450006750095e-10,42.82262322623226,0.16794057411376484,
0.4,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.23516700804923238,
0.4,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.30103835062336753,
