m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.091734574410594,2.50005000075001e-10,42.82262322623226,0.00024797633488645696,
0.1,0.2,1.1467204006373655,2.50005000075001e-10,42.82262322623226,0.000508497247446843,0.0008223790510115875
0.1,0.3,0.0,2.50005000075001e-10,42.82262322623226,,
0.1,0.4,,2.50005000075001e-10,42.82262322623226,,
0.1,0.5,,2.50005000075001e-10,42.82262322623226,,
0.1,0.6,,2.50005000075001e-10,42.82262322623226,,
0.1,0.7,,2.50005000075001e-10,42.82262322623226,,
0.1,0.8,,2.50005000075001e-10,42.82262322623226,,
0.1,0.9,,2.50005000075001e-10,42.82262322623226,,
0.2,0.2,2.1957034347255657,2.8125562508437606e-10,42.82262322623226,0.000551647865049448,
0.2,0.3,1.7873901856317849,2.8125562508437606e-10,42.82262322623226,0.000984038302479744,0.0011390573472289467
0.2,0.4,1.351651942392443,2.8125562508437606e-10,42.82262322623226,0.0015586595584871638,0.002013263792001701
0.2,0.5,0.8317965641677488,2.8125562508437606e-10,42.82262322623226,0.001971509573379405,0.003790894932212303
0.2,0.6,0.0,2.8125562508437606e-10,42.82262322623226,,
0.2,0.7,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.8,,2.8125562508437606e-10,42.82262322623226,,
0.2,0.9,,2.8125562508437606e-10,42.82262322623226,,
0.3,0.3,2.3152271442985195,3.214350000964299e-10,42.82262322623226,0.0008528991104915886,
0.3,0.4,2.098935712798195,3.214350000964299e-10,42.82262322623226,0.0014426831816742613,
0.3,0.5,1.8847752157086266,3.214350000964299e-10,42.82262322623226,0.002248799131772982,0.0026781709141969826
0.3,0.6,1.6538596199166304,3.214350000964299e-10,42.82262322623226,0.0027769769741893065,0.003106797163585724
0.3,0.7,1.3417092459390996,3.214350000964299e-10,42.82262322623226,0.003054071527656642,0.004034395855285177
0.3,0.8,0.6555876770041492,3.214350000964299e-10,42.82262322623226,0.0031715790960773708,0.006407208274671967
0.3,0.9,,3.214350000964299e-10,42.82262322623226,,
0.4,0.4,2.455171134975177,3.750075001125015e-10,42.82262322623226,0.001184588673072662,
0.4,0.5,2.337355079671674,3.750075001125015e-10,42.82262322623226,0.0017922092084284539,
0.4,0.6,2.2143565033183177,3.750075001125015e-10,42.82262322623226,0.0034298388757920944,
0.4,0.7,2.0253591891370695,3.750075001125015e-10,42.82262322623226,0.004127564039782033,
0.4,0.8,1.5736412697537372,3.750075001125015e-10,42.82262322623226,0.004525807172198485,0.005583028692291675
0.4,0.9,,3.750075001125015e-10,42.82262322623226,,
0.5,0.5,2.6230812603996645,4.500090001350019e-10,42.82262322623226,0.0020086812996378107,
0.5,0.6,2.5512438364419507,4.500090001350019e-10,42.82262322623226,0.002700272469275551,
0.5,0.7,2.433763081857055,4.500090001350019e-10,42.82262322623226,0.004972090622401006,
0.5,0.8,2.0882727424955005,4.500090001350019e-10,42.82262322623226,0.005784411154337368,
0.5,0.9,,4.500090001350019e-10,42.82262322623226,,
0.6,0.6,2.8316026503692244,5.625112501687521e-10,42.82262322623226,0.0027878278129939813,
0.6,0.7,2.7715112802169353,5.625112501687521e-10,42.82262322623226,0.004836993810448194,
0.6,0.8,2.5341435514937785,5.625112501687521e-10,42.82262322623226,0.007300013593481387,
0.6,0.9,1.279512022868854,5.625112501687521e-10,42.82262322623226,0.009649698759447226,0.013118436029015195
0.7,0.7,3.1044455771710426,7.500150002250029e-10,42.82262322623226,0.004224017701679585,
0.7,0.8,2.9966523786733648,7.500150002250029e-10,42.82262322623226,0.009415030882835105,
0.7,0.9,2.260867813191561,7.500150002250029e-10,42.82262322623226,0.012773173022440916,
0.8,0.8,3.4948480183575636,1.1250225003375047e-09,42.82262322623226,0.007927538122906115,
0.8,0.9,3.1868178261226445,1.1250225003375047e-09,42.82262322623226,0.014884203399712841,
0.9,0.9,4.172702173830821,2.2500450006750093e-09,42.82262322623226,0.01635050398789745,
0.01,0.01,2.0086960664121003,2.2727727279545544e-10,42.82262322623226,1.781515535698081e-05,
0.01,0.02,1.012817910484383,2.2727727279545544e-10,42.82262322623226,3.671266173631321e-05,0.0002505082535260566
0.01,0.03,0.0,2.2727727279545544e-10,42.82262322623226,,
0.01,0.04,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.05,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.06,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.07,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.08,,2.2727727279545544e-10,42.82262322623226,,
0.01,0.09,,2.2727727279545544e-10,42.82262322623226,,
0.02,0.02,2.0174923319015567,2.295964286403071e-10,42.82262322623226,3.228541937319394e-05,
0.02,0.03,1.5237427937005599,2.295964286403071e-10,42.82262322623226,4.011174296246968e-05,0.0001584670603346471
0.02,0.04,1.0259974685366282,2.295964286403071e-10,42.82262322623226,6.398066100010604e-05,0.0003022006830603135
0.02,0.05,0.5204973909530104,2.295964286403071e-10,42.82262322623226,0.00013589978143870374,0.0010029569835831723
0.02,0.06,0.0,2.295964286403071e-10,42.82262322623226,,
0.02,0.07,,2.295964286403071e-10,42.82262322623226,,
0.02,0.08,,2.295964286403071e-10,42.82262322623226,,
0.02,0.09,,2.295964286403071e-10,42.82262322623226,,
0.03,0.03,2.0263908845731886,2.3196340213144425e-10,42.82262322623226,5.55712637765628e-05,
0.03,0.04,1.6999049458658522,2.3196340213144425e-10,42.82262322623226,6.555797703825902e-05,0.00015599789200562348
0.03,0.05,1.3713591436011812,2.3196340213144425e-10,42.82262322623226,8.808836419766888e-05,0.000229139657804571
0.03,0.06,1.0395553856952602,2.3196340213144425e-10,42.82262322623226,0.00010878584313160519,0.0003564151465669457
0.03,0.07,0.7026364437979777,2.3196340213144425e-10,42.82262322623226,0.00014311404673387882,0.000708945136424669
0.03,0.08,0.35768388713612886,2.3196340213144425e-10,42.82262322623226,0.00025274924388885944,0.0024036741977835553
0.03,0.09,0.0,2.3196340213144425e-10,42.82262322623226,,
0.04,0.04,2.035393877584003,2.343796875703135e-10,42.82262322623226,7.71777904616501e-05,
0.04,0.05,1.7925666279664088,2.343796875703135e-10,42.82262322623226,8.678644152559819e-05,0.00017522434733799146
0.04,0.06,1.5483971619696448,2.343796875703135e-10,42.82262322623226,9.391818808332537e-05,0.00022909286255604246
0.04,0.07,1.3023115139533066,2.343796875703135e-10,42.82262322623226,0.00011492207987842657,0.0002725915352576252
0.04,0.08,1.0535094870288013,2.343796875703135e-10,42.82262322623226,0.00015459278371780788,0.0003989551040072636
0.04,0.09,0.8008675502905084,2.343796875703135e-10,42.82262322623226,0.00017871909847697016,0.0005587589808650151
0.05,0.05,2.044503531868755,2.3684684217631674e-10,42.82262322623226,9.235631019183979e-05,
0.05,0.06,1.851907956387527,2.3684684217631674e-10,42.82262322623226,0.00010489431844737471,0.00018092139627720008
0.05,0.07,1.658337114899562,2.3684684217631674e-10,42.82262322623226,0.00011794951613285212,0.00021673393121896824
0.05,0.08,1.4634566544539023,2.3684684217631674e-10,42.82262322623226,0.0001299518570805808,0.0002773589519410323
0.05,0.09,1.2668290103704751,2.3684684217631674e-10,42.82262322623226,0.00015194862159161125,0.00033295119644565716
0.06,0.06,2.0537221390097273,2.3936648943351166e-10,42.82262322623226,0.00011172249738322934,
0.06,0.07,1.8946493421047421,2.3936648943351166e-10,42.82262322623226,0.00011413547075740245,0.00019831922391056806
0.06,0.08,1.734822900015158,2.3936648943351166e-10,42.82262322623226,0.00012610804971776172,0.00022221646335808396
0.06,0.09,1.5740245831458248,2.3936648943351166e-10,42.82262322623226,0.00015231259088657078,0.00027142701372436927
0.07,0.07,2.0630520642599994,2.419403226532267e-10,42.82262322623226,0.0001410030801440067,
0.07,0.08,1.9279563663670487,2.419403226532267e-10,42.82262322623226,0.00012178395439431118,0.0001945337938496279
0.07,0.09,1.7922552867491117,2.419403226532267e-10,42.82262322623226,0.00015345182634394513,0.00023357193919286705
0.08,0.08,2.0724957497301446,2.4457010876902273e-10,42.82262322623226,0.00014742934917368625,
0.08,0.09,1.9554125925657573,2.4457010876902273e-10,42.82262322623226,0.00017292888165033196,0.00021879585680099653
0.09,0.09,2.0820557177490753,2.4725769238186914e-10,42.82262322623226,0.000170657066929883,
0.11,0.11,2.101535013318088,2.5281404501966395e-10,42.82262322623226,0.00020802785130872556,
0.12,0.12,2.1114598195408156,2.556869318948873e-10,42.82262322623226,0.00022629328030058423,
0.13,0.13,2.121511873796272,2.586258621465528e-10,42.82262322623226,0.00024659641635343135,
0.14,0.14,2.1316941568743455,2.616331396133732e-10,42.82262322623226,0.00026942799489960355,
0.15,0.15,2.142009754320214,2.647111765500011e-10,42.82262322623226,0.00028513770895718205,
0.16,0.16,2.152461861394364,2.6786250008035834e-10,42.82262322623226,0.000322795607995443,
0.17,0.17,2.1630537883296337,2.71089759117471e-10,42.82262322623226,0.0003597397441285909,
0.18,0.18,2.1737889659069087,2.743957317896352e-10,42.82262322623226,0.00040402002953293583,
