m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.0,2.2500450006750095e-10,42.82262322623226,0.00025479709232981927,
0.1,0.2,2.0,2.2500450006750095e-10,42.82262322623226,0.000496860229023106,
0.1,0.3,2.0,2.2500450006750095e-10,42.82262322623226,0.0008214841446772517,
0.1,0.4,2.0,2.2500450006750095e-10,42.82262322623226,0.001004159515785161,
0.1,0.5,2.0,2.2500450006750095e-10,42.82262322623226,0.0011711735815346206,
0.1,0.6,2.0,2.2500450006750095e-10,42.82262322623226,0.0013720206705376508,
0.1,0.7,2.0,2.2500450006750095e-10,42.82262322623226,0.0014337387740318843,
0.1,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.0016301277439076836,
0.1,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.0017389666945174377,
0.2,0.2,2.0,2.2500450006750095e-10,42.82262322623226,0.0005525241709463442,
0.2,0.3,2.0,2.2500450006750095e-10,42.82262322623226,0.0009774420580269461,
0.2,0.4,2.0,2.2500450006750095e-10,42.82262322623226,0.001561428876246932,
0.2,0.5,2.0,2.2500450006750095e-10,42.82262322623226,0.0018788216329952568,
0.2,0.6,2.0,2.2500450006750095e-10,42.82262322623226,0.001988636993721807,
0.2,0.7,2.0,2.2500450006750095e-10,42.82262322623226,0.0022198469963566557,
0.2,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.002336026085441339,
0.2,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.002519740425782153,
0.3,0.3,2.0,2.2500450006750095e-10,42.82262322623226,0.0008591176522502772,
0.3,0.4,2.0,2.2500450006750095e-10,42.82262322623226,0.0014397110921655035,
0.3,0.5,2.0,2.2500450006750095e-10,42.82262322623226,0.00221106263991182,
0.3,0.6,2.0,2.2500450006750095e-10,42.82262322623226,0.0027441160574170013,
0.3,0.7,2.0,2.2500450006750095e-10,42.82262322623226,0.0030537046251257528,
0.3,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.0029881899729843333,
0.3,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.003218178731012611,
0.4,0.4,2.0,2.2500450006750095e-10,42.82262322623226,0.0011940432306793264,
0.4,0.5,2.0,2.2500450006750095e-10,42.82262322623226,0.0017613320946335835,
0.4,0.6,2.0,2.2500450006750095e-10,42.82262322623226,0.0033970061737020225,
0.4,0.7,2.0,2.2500450006750095e-10,42.82262322623226,0.0041348394188752665,
0.4,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.004498794812025468,
0.4,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.004693275714678917,
0.5,0.5,2.0,2.2500450006750095e-10,42.82262322623226,0.0020150905721491833,
0.5,0.6,2.0,2.2500450006750095e-10,42.82262322623226,0.002745269423825553,
0.5,0.7,2.0,2.2500450006750095e-10,42.82262322623226,0.004883893702166459,
0.5,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.005774751192357271,
0.5,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.006513851152843473,
0.6,0.6,2.0,2.2500450006750095e-10,42.82262322623226,0.0028076662435034573,
0.6,0.7,2.0,2.2500450006750095e-10,42.82262322623226,0.004874890773486992,
0.6,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.007258619542814911,
0.6,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.009594733817970904,
0.7,0.7,2.0,2.2500450006750095e-10,42.82262322623226,0.00408843284148126,
0.7,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.009575297769283338,
0.7,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.012741605523227248,
0.8,0.8,2.0,2.2500450006750095e-10,42.82262322623226,0.007734152878073553,
0.8,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.014923871048240932,
0.9,0.9,2.0,2.2500450006750095e-10,42.82262322623226,0.01682817195893447,
0.01,0.01,2.0,2.2500450006750095e-10,42.82262322623226,1.5668580102769813e-05,
0.01,0.02,2.0,2.2500450006750095e-10,42.82262322623226,2.7990259398793232e-05,
0.01,0.03,2.0,2.2500450006750095e-10,42.82262322623226,3.75164184733469e-05,
0.01,0.04,2.0,2.2500450006750095e-10,42.82262322623226,5.8839343746153724e-05,
0.01,0.05,2.0,2.2500450006750095e-10,42.82262322623226,7.522468383229996e-05,
0.01,0.06,2.0,2.2500450006750095e-10,42.82262322623226,8.48685333684047e-05,
0.01,0.07,2.0,2.2500450006750095e-10,42.82262322623226,9.381949235928121e-05,
0.01,0.08,2.0,2.2500450006750095e-10,42.82262322623226,0.00011706339393855993,
0.01,0.09,2.0,2.2500450006750095e-10,42.82262322623226,0.00012952947187893398,
0.02,0.02,2.0,2.2500450006750095e-10,42.82262322623226,3.027121979820065e-05,
0.02,0.03,2.0,2.2500450006750095e-10,42.82262322623226,4.1404085801421346e-05,
0.02,0.04,2.0,2.2500450006750095e-10,42.82262322623226,5.994589158406045e-05,
0.02,0.05,2.0,2.2500450006750095e-10,42.82262322623226,7.636656334503006e-05,
0.02,0.06,2.0,2.2500450006750095e-10,42.82262322623226,0.00010119401740429787,
0.02,0.07,2.0,2.2500450006750095e-10,42.82262322623226,0.00011767683640505035,
0.02,0.08,2.0,2.2500450006750095e-10,42.82262322623226,0.0001363242871975391,
0.02,0.09,2.0,2.2500450006750095e-10,42.82262322623226,0.0001597746051769757,
0.03,0.03,2.0,2.2500450006750095e-10,42.82262322623226,5.5167471654478334e-05,
0.03,0.04,2.0,2.2500450006750095e-10,42.82262322623226,6.168117568589534e-05,
0.03,0.05,2.0,2.2500450006750095e-10,42.82262322623226,8.30090084174597e-05,
0.03,0.06,2.0,2.2500450006750095e-10,42.82262322623226,9.684682716522e-05,
0.03,0.07,2.0,2.2500450006750095e-10,42.82262322623226,0.00011952512374428997,
0.03,0.08,2.0,2.2500450006750095e-10,42.82262322623226,0.00013814768050771838,
0.03,0.09,2.0,2.2500450006750095e-10,42.82262322623226,0.00015873816116670946,
0.04,0.04,2.0,2.2500450006750095e-10,42.82262322623226,7.472217641540791e-05,
0.04,0.05,2.0,2.2500450006750095e-10,42.82262322623226,8.166370782430176e-05,
0.04,0.06,2.0,2.2500450006750095e-10,42.82262322623226,9.641588011701749e-05,
0.04,0.07,2.0,2.2500450006750095e-10,42.82262322623226,0.00011234135901767486,
0.04,0.08,2.0,2.2500450006750095e-10,42.82262322623226,0.00013688063509180245,
0.04,0.09,2.0,2.2500450006750095e-10,42.82262322623226,0.00016356664235664495,
0.05,0.05,2.0,2.2500450006750095e-10,42.82262322623226,9.139005630810207e-05,
0.05,0.06,2.0,2.2500450006750095e-10,42.82262322623226,0.00010397858248796589,
0.05,0.07,2.0,2.2500450006750095e-10,42.82262322623226,0.00010637174906152304,
0.05,0.08,2.0,2.2500450006750095e-10,42.82262322623226,0.00012625156941719305,
0.05,0.09,2.0,2.2500450006750095e-10,42.82262322623226,0.0001421928267873988,
0.06,0.06,2.0,2.2500450006750095e-10,42.82262322623226,0.00011616908427643214,
0.06,0.07,2.0,2.2500450006750095e-10,42.82262322623226,0.00010990954388691693,
0.06,0.08,2.0,2.2500450006750095e-10,42.82262322623226,0.00012993913169930457,
0.06,0.09,2.0,2.2500450006750095e-10,42.82262322623226,0.00015311299284225503,
0.07,0.07,2.0,2.2500450006750095e-10,42.82262322623226,0.0001376928046401286,
0.07,0.08,2.0,2.2500450006750095e-10,42.82262322623226,0.00012348470830670722,
0.07,0.09,2.0,2.2500450006750095e-10,42.82262322623226,0.00015149360361306247,
0.08,0.08,2.0,2.2500450006750095e-10,42.82262322623226,0.00014703102290298522,
0.08,0.09,2.0,2.2500450006750095e-10,42.82262322623226,0.0001688201418856094,
0.09,0.09,2.0,2.2500450006750095e-10,42.82262322623226,0.00016910244956717073,
0.11,0.11,2.0,2.2500450006750095e-10,42.82262322623226,0.00020491433200647935,
0.12,0.12,2.0,2.2500450006750095e-10,42.82262322623226,0.00022771338331160524,
0.13,0.13,2.0,2.2500450006750095e-10,42.82262322623226,0.00024065839215955433,
0.14,0.14,2.0,2.2500450006750095e-10,42.82262322623226,0.00027552541221078286,
0.15,0.15,2.0,2.2500450006750095e-10,42.82262322623226,0.0002723843644869752,
0.16,0.16,2.0,2.2500450006750095e-10,42.82262322623226,0.0003084033914949356,
0.17,0.17,2.0,2.2500450006750095e-10,42.82262322623226,0.0003515057733373556,
0.18,0.18,2.0,2.2500450006750095e-10,42.82262322623226,0.0003866847339508334,
0.19,0.19,2.0,2.2500450006750095e-10,42.82262322623226,0.0004197506999152061,
0.21,0.21,2.0,2.2500450006750095e-10,42.82262322623226,0.00047274698446845583,
0.22,0.22,2.0,2.2500450006750095e-10,42.82262322623226,0.00047032218398532027,
0.23,0.23,2.0,2.2500450006750095e-10,42.82262322623226,0.0004824325805764678,
0.24,0.24,2.0,2.2500450006750095e-10,42.82262322623226,0.000520268435525778,
0.25,0.25,2.0,2.2500450006750095e-10,42.82262322623226,0.000526799004460746,
0.26,0.26,2.0,2.2500450006750095e-10,42.82262322623226,0.0005736539397922776,
0.27,0.27,2.0,2.2500450006750095e-10,42.82262322623226,0.0005621684971597758,
0.28,0.28,2.0,2.2500450006750095e-10,42.82262322623226,0.000599513897193597,
0.29,0.29,2.0,2.2500450006750095e-10,42.82262322623226,0.0006866068086804437,
0.31,0.31,2.0,2.2500450006750095e-10,42.82262322623226,0.0007430019992579064,
0.32,0.32,2.0,2.2500450006750095e-10,42.82262322623226,0.0008051516480207441,
