m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,42.82262322623226,-0.0172797368897551,,-0.017030594122376803,,-0.0173448523024658,
0.1,0.2,42.82262322623226,-0.035510387213213195,,-0.035778566680317696,,-0.0361953274700201,
0.1,0.3,42.82262322623226,-0.070556057151759,,,,-0.0713399808294011,
0.1,0.4,42.82262322623226,-0.1077574803373248,,,,-0.1088899478807249,
0.1,0.5,42.82262322623226,-0.1492195784301682,,,,-0.15047495068225109,
0.1,0.6,42.82262322623226,-0.18745979887111872,,,,-0.189017261324145,
0.1,0.7,42.82262322623226,-0.2343180233646528,,,,-0.2359727010521786,
0.1,0.8,42.82262322623226,-0.2745913363258803,,,,-0.2761599420027417,
0.1,0.9,42.82262322623226,-0.3264168690691015,,,,-0.3278398794313895,
0.2,0.2,42.82262322623226,-0.0265432569072951,,-0.0263922973666697,,-0.0263284848525598,
0.2,0.3,42.82262322623226,-0.0436572452914015,,-0.044188889920911995,,-0.0437331563244249,
0.2,0.4,42.82262322623226,-0.0790463435483372,,-0.0789835217868057,,-0.0794461751236927,
0.2,0.5,42.82262322623226,-0.12456914520068489,,-0.1246888345071968,,-0.1252800565898694,
0.2,0.6,42.82262322623226,-0.1679002222693074,,,,-0.1686363767296115,
0.2,0.7,42.82262322623226,-0.2192333592210827,,,,-0.2201696644858668,
0.2,0.8,42.82262322623226,-0.265249531908202,,,,-0.2662194558960892,
0.2,0.9,42.82262322623226,-0.31827504728554173,,,,-0.31952862993607245,
0.3,0.3,42.82262322623226,-0.0354662446688462,,-0.0359385678607714,,-0.0350923014415946,
0.3,0.4,42.82262322623226,-0.0539018117713667,,-0.053903683070088394,,-0.0537954779056148,
0.3,0.5,42.82262322623226,-0.0905112341754023,,-0.09055421794156411,,-0.09059483549169019,
0.3,0.6,42.82262322623226,-0.1414593705432867,,-0.14182608284555262,,-0.1415561432103207,
0.3,0.7,42.82262322623226,-0.1917220605680963,,-0.1910135856574212,,-0.192123813440824,
0.3,0.8,42.82262322623226,-0.2515399959950525,,-0.2520899632607634,,-0.2521632546207113,
