m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.25,2.2500450006750095e-10,4.165871658716587,9.017506396346259e-07,2.2040350438622506e-05
0.1,0.2,0.25,2.2500450006750095e-10,4.165871658716587,1.170769904961377e-06,2.003395499256946e-05
0.1,0.3,0.25,2.2500450006750095e-10,4.165871658716587,1.323735716340799e-06,2.3632832192620303e-05
0.1,0.4,0.25,2.2500450006750095e-10,4.165871658716587,1.5090440567609606e-06,2.398781157774316e-05
0.1,0.5,0.25,2.2500450006750095e-10,4.165871658716587,1.5289667963449844e-06,2.2429411659796795e-05
0.1,0.6,0.25,2.2500450006750095e-10,4.165871658716587,1.1501541877181734e-06,2.1870407145096933e-05
0.1,0.7,0.25,2.2500450006750095e-10,4.165871658716587,1.4170427099797774e-06,2.4431099247049747e-05
0.1,0.8,0.25,2.2500450006750095e-10,4.165871658716587,1.269208709907925e-06,2.2316397292009327e-05
0.1,0.9,0.25,2.2500450006750095e-10,4.165871658716587,1.1415388132024145e-06,2.5760867969959243e-05
0.2,0.2,0.25,2.2500450006750095e-10,4.165871658716587,1.1375364899601942e-06,2.429975488798268e-05
0.2,0.3,0.25,2.2500450006750095e-10,4.165871658716587,1.4069773192013465e-06,2.43012538885571e-05
0.2,0.4,0.25,2.2500450006750095e-10,4.165871658716587,1.0408934111046348e-06,2.208687544441624e-05
0.2,0.5,0.25,2.2500450006750095e-10,4.165871658716587,1.0063434384227485e-06,2.2278458796643982e-05
0.2,0.6,0.25,2.2500450006750095e-10,4.165871658716587,1.1797947919244943e-06,2.7093323214021285e-05
0.2,0.7,0.25,2.2500450006750095e-10,4.165871658716587,1.4251520188659789e-06,2.5401823344631205e-05
0.2,0.8,0.25,2.2500450006750095e-10,4.165871658716587,1.2770295546814965e-06,2.1715944811574854e-05
0.2,0.9,0.25,2.2500450006750095e-10,4.165871658716587,1.6578429634791087e-06,2.4345632159030687e-05
0.3,0.3,0.25,2.2500450006750095e-10,4.165871658716587,1.4144392530937214e-06,2.6579170590896814e-05
0.3,0.4,0.25,2.2500450006750095e-10,4.165871658716587,1.6094394251328941e-06,2.4073921875514726e-05
0.3,0.5,0.25,2.2500450006750095e-10,4.165871658716587,1.0899927163411321e-06,2.467975955740654e-05
0.3,0.6,0.25,2.2500450006750095e-10,4.165871658716587,1.2476752947691374e-06,2.7220225727438294e-05
0.3,0.7,0.25,2.2500450006750095e-10,4.165871658716587,1.1053956181718636e-06,2.6711794124950015e-05
0.3,0.8,0.25,2.2500450006750095e-10,4.165871658716587,1.3052507200876664e-06,2.3259208344017987e-05
0.3,0.9,0.25,2.2500450006750095e-10,4.165871658716587,1.381075702164905e-06,2.3836709406455942e-05
0.4,0.4,0.25,2.2500450006750095e-10,4.165871658716587,1.1541429124540881e-06,2.444616918727202e-05
0.4,0.5,0.25,2.2500450006750095e-10,4.165871658716587,1.302513010065484e-06,2.025550279853747e-05
0.4,0.6,0.25,2.2500450006750095e-10,4.165871658716587,1.3767739475617172e-06,2.3211847876204364e-05
0.4,0.7,0.25,2.2500450006750095e-10,4.165871658716587,1.0462568268373411e-06,2.3363467362376836e-05
0.4,0.8,0.25,2.2500450006750095e-10,4.165871658716587,1.3559448230071692e-06,2.1851216743400698e-05
