m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,4.165871658716587,-0.0017790523922226003,-0.0012856419046363993,-0.0017468996808763001,-0.0008337805445683992,-0.0015315684754870001,-0.0006657870193330995
0.1,0.2,4.165871658716587,-0.0193478887726169,-0.0140798849822066,,,-0.020271284654082802,-0.0191227736122929
0.1,0.3,4.165871658716587,-0.0415391910836772,-0.036362248846745396,,,-0.0426621876955144,
0.1,0.4,4.165871658716587,-0.0654295988153843,-0.0605615063793003,,,-0.0666400304550617,
0.1,0.5,4.165871658716587,-0.0912426572071776,-0.0871013718455241,,,-0.09247795791466054,
0.1,0.6,4.165871658716587,-0.11963402634681891,-0.11463241455843219,,,-0.12082246895316331,
0.1,0.7,4.165871658716587,-0.15007324742401448,-0.1448321214978317,,,-0.15120395516594032,
0.1,0.8,4.165871658716587,-0.18315740948522719,-0.1780324884329945,,,-0.18441692662224604,
0.1,0.9,4.165871658716587,-0.220212287226158,-0.214597905664015,,,-0.2213848140206236,
0.2,0.2,4.165871658716587,-0.0029354068478112,-0.0027265352205072995,-0.0027850199490515,-0.0009620552564824003,-0.0027648512124684,-0.001143187655828399
0.2,0.3,4.165871658716587,-0.0219621682405821,-0.0174768504388905,,,-0.0227397758840142,-0.0219125068788881
0.2,0.4,4.165871658716587,-0.0474260095044145,-0.0429218933546661,,,-0.0483763776611311,-0.0477766520732354
0.2,0.5,4.165871658716587,-0.075243292495165,-0.0695855827735639,,,-0.0762398350503996,-0.07488027953824229
0.2,0.6,4.165871658716587,-0.10522485009937779,-0.10070980793596249,,,-0.1062968440636502,
0.2,0.7,4.165871658716587,-0.1378739471535301,-0.132951947845989,,,-0.1390007106844397,
0.2,0.8,4.165871658716587,-0.1749925589262363,-0.16932293674437449,,,-0.1761137105361497,
0.2,0.9,4.165871658716587,-0.2149714592467809,-0.2097115011281983,,,-0.21617837182646624,
0.3,0.3,4.165871658716587,-0.0039799007656853,-0.0031559793646920003,-0.0037865819449657,-0.0015622778294511006,-0.0034609014070433996,-0.0010408578456384994
0.3,0.4,4.165871658716587,-0.0256567357951164,-0.0203660205471176,,,-0.0263349772806684,-0.023381825276253203
0.3,0.5,4.165871658716587,-0.0548917198661878,-0.049697627674644605,,,-0.0557178504792368,-0.054488464715024706
0.3,0.6,4.165871658716587,-0.0873498929540105,-0.0815718333838311,,,-0.0883073548660744,-0.0871680851578903
0.3,0.7,4.165871658716587,-0.1231994818691185,-0.1175416072723548,,,-0.12416908625184091,-0.1229311365294943
0.3,0.8,4.165871658716587,-0.16369320679324179,-0.1597065969298607,,,-0.16477349594655008,-0.1649711346001678
0.3,0.9,4.165871658716587,-0.2093898545374023,-0.20447068227363172,,,-0.21051688461091916,
0.4,0.4,4.165871658716587,-0.005350952341605,-0.0059437037884992995,-0.0051422413210539,-0.0029266264597186996,-0.0046528545526534,-0.0015025820633871
0.4,0.5,4.165871658716587,-0.0298352476589527,-0.025571803936759698,,,-0.0302477959155453,-0.027561321805511498
0.4,0.6,4.165871658716587,-0.0651863890441469,-0.0604555535242396,,,-0.06591716386884701,-0.0640569038050271
0.4,0.7,4.165871658716587,-0.1047627741598622,-0.10037171327687,,,-0.1054814050232186,-0.1048826972378864
0.4,0.8,4.165871658716587,-0.15012710635090032,-0.1465413024789764,,,-0.1511652585892366,-0.1516461235644341
0.4,0.9,4.165871658716587,-0.2016174247523181,-0.195088752464454,,,-0.2028140421193666,
0.5,0.5,4.165871658716587,-0.0065018327580637,-0.008178995863125298,-0.0066127071660100996,-0.0037148561887079,-0.0054575197473336005,-0.002413421885468399
0.5,0.6,4.165871658716587,-0.0366734988187018,-0.0316484079991865,-0.0361604473092975,-0.037909512710261696,-0.036961694083890696,-0.032274282063962004
0.5,0.7,4.165871658716587,-0.0809980105584056,-0.07717404030474259,,,-0.0817443667697077,-0.0803879497637267
0.5,0.8,4.165871658716587,-0.1314527330602531,-0.1264109246968464,,,-0.1324376087818097,-0.1310022244842258
0.5,0.9,4.165871658716587,-0.1908697465046873,-0.1864413212800563,,,-0.19193981919648512,
0.6,0.6,4.165871658716587,-0.0078833068328821,-0.011202442175201499,-0.007850419395450899,-0.0047459220221167,-0.0063221216857093,-0.0024353308847718975
0.6,0.7,4.165871658716587,-0.047955815419441106,-0.0437034223436091,,,-0.0480242004393058,-0.0450581105540829
