m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.5,2.2500450006750095e-10,4.165871658716587,0.0006440539151473619,0.0033656182671115377
0.1,0.2,0.5,2.2500450006750095e-10,4.165871658716587,0.0006158217874685584,0.003220649296928057
0.1,0.3,0.5,2.2500450006750095e-10,4.165871658716587,0.0006064840499433224,0.0032833975041048793
0.1,0.4,0.5,2.2500450006750095e-10,4.165871658716587,0.0005814715621140127,0.003239678749343856
0.1,0.5,0.5,2.2500450006750095e-10,4.165871658716587,0.000644855911818146,0.0031722174908816515
0.1,0.6,0.5,2.2500450006750095e-10,4.165871658716587,0.0006209882096442936,0.0033891006856339133
0.1,0.7,0.5,2.2500450006750095e-10,4.165871658716587,0.0006340456162723029,0.0032367253741567054
0.1,0.8,0.5,2.2500450006750095e-10,4.165871658716587,0.0005861362059934088,0.0031259029490413185
0.1,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.0006444211084764166,0.0032235263334216475
0.2,0.2,0.5,2.2500450006750095e-10,4.165871658716587,0.0006018375241080776,0.0032321261087104388
0.2,0.3,0.5,2.2500450006750095e-10,4.165871658716587,0.0006152650832571371,0.0031593234043630716
0.2,0.4,0.5,2.2500450006750095e-10,4.165871658716587,0.0006372406150934644,0.0032272081720956117
0.2,0.5,0.5,2.2500450006750095e-10,4.165871658716587,0.0005938393938727505,0.0032703492611875938
0.2,0.6,0.5,2.2500450006750095e-10,4.165871658716587,0.000589220688394855,0.0030456578090297163
0.2,0.7,0.5,2.2500450006750095e-10,4.165871658716587,0.0006269614747258067,0.0032071752460961543
0.2,0.8,0.5,2.2500450006750095e-10,4.165871658716587,0.0006079659565046267,0.003142201539283198
0.2,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.0006552287571584827,0.0033382290396054676
0.3,0.3,0.5,2.2500450006750095e-10,4.165871658716587,0.0006524499306831277,0.003144080014479405
0.3,0.4,0.5,2.2500450006750095e-10,4.165871658716587,0.0005943177218471387,0.00319025588228296
0.3,0.5,0.5,2.2500450006750095e-10,4.165871658716587,0.000560987751133192,0.0032442461793761373
0.3,0.6,0.5,2.2500450006750095e-10,4.165871658716587,0.0006205790894295014,0.0033162730307831085
0.3,0.7,0.5,2.2500450006750095e-10,4.165871658716587,0.0006126257890032409,0.0031724730610972465
0.3,0.8,0.5,2.2500450006750095e-10,4.165871658716587,0.0005769874845687397,0.003244949176212412
0.3,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.0006496253579196054,0.003302074613064336
0.4,0.4,0.5,2.2500450006750095e-10,4.165871658716587,0.0006185859967023237,0.0033144531907697205
0.4,0.5,0.5,2.2500450006750095e-10,4.165871658716587,0.0006077913058147839,0.0031845279609562737
0.4,0.6,0.5,2.2500450006750095e-10,4.165871658716587,0.0006220475456294742,0.0032447967534527944
