m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.45985805124959506,2.0250405006075078e-10,4.165871658716587,3.390867532069502e-07,7.5399266363781884e-06
0.1,0.2,1.4180370928606563,2.0250405006075078e-10,4.165871658716587,4.431191704423108e-08,6.67417959201498e-07
0.1,0.3,2.374390515085868,2.0250405006075078e-10,4.165871658716587,1.84720755338169e-08,
0.1,0.4,3.328751625269407,2.0250405006075078e-10,4.165871658716587,8.625930936970629e-09,
0.1,0.5,4.280929803620162,2.0250405006075078e-10,4.165871658716587,4.933796134892349e-09,
0.1,0.6,5.230705692735597,2.0250405006075078e-10,4.165871658716587,2.458425486040908e-09,
0.1,0.7,6.177825113937635,2.0250405006075078e-10,4.165871658716587,2.191928345477454e-09,
0.1,0.8,7.121991283339271,2.0250405006075078e-10,4.165871658716587,1.617389656325227e-09,
0.1,0.9,8.069960856551647,2.0250405006075078e-10,4.165871658716587,1.4437924633239474e-09,
0.2,0.2,0.4180370928606561,1.8000360005400076e-10,4.165871658716587,4.374182101847193e-07,8.307877641200166e-06
0.2,0.3,0.8743905150858681,1.8000360005400076e-10,4.165871658716587,1.0430357930214437e-07,1.927890955816775e-06
0.2,0.4,1.3287516252694076,1.8000360005400076e-10,4.165871658716587,5.324084236941014e-08,9.300596511916762e-07
0.2,0.5,1.7809298036201613,1.8000360005400076e-10,4.165871658716587,2.355092059360178e-08,4.845265367555106e-07
0.2,0.6,2.230705692735597,1.8000360005400076e-10,4.165871658716587,1.4848113140600813e-08,
0.2,0.7,2.677825113937636,1.8000360005400076e-10,4.165871658716587,1.2067750678540247e-08,
0.2,0.8,3.1311913858301987,1.8000360005400076e-10,4.165871658716587,8.544739734228818e-09,
0.2,0.9,4.284565468042477,1.8000360005400076e-10,4.165871658716587,4.15626491228123e-09,
0.3,0.3,0.37439051508586846,1.5750315004725067e-10,4.165871658716587,5.170940087966394e-07,1.074369217824267e-05
0.3,0.4,0.6620849586027407,1.5750315004725067e-10,4.165871658716587,1.7661297270508799e-07,3.4334227632865717e-06
0.3,0.5,0.9475964702868284,1.5750315004725067e-10,4.165871658716587,7.75384860487361e-08,1.6283746405306929e-06
0.3,0.6,1.2307056927355975,1.5750315004725067e-10,4.165871658716587,5.808607145425197e-08,1.0202282080518814e-06
0.3,0.7,1.5192287736285799,1.5750315004725067e-10,4.165871658716587,3.2874872192451974e-08,6.861971799499369e-07
0.3,0.8,1.929887714963421,1.5750315004725067e-10,4.165871658716587,2.222180434524908e-08,3.6380420190697726e-07
0.3,0.9,3.2806469044451063,1.5750315004725067e-10,4.165871658716587,6.433039733374252e-09,
0.4,0.4,0.3287516252694073,1.3500270004050055e-10,4.165871658716587,8.26568385242314e-07,1.2841385658939826e-05
0.4,0.5,0.5309298036201614,1.3500270004050055e-10,4.165871658716587,3.3887931740566e-07,5.6546907872952934e-06
0.4,0.6,0.7354847533049613,1.3500270004050055e-10,4.165871658716587,1.3057584918057636e-07,2.767673113504759e-06
0.4,0.7,0.9724216723792499,1.3500270004050055e-10,4.165871658716587,7.090061293298247e-08,1.499211874936263e-06
0.4,0.8,1.3625307643525733,1.3500270004050055e-10,4.165871658716587,3.666702147635943e-08,8.295196547750161e-07
0.4,0.9,2.7046149070688505,1.3500270004050055e-10,4.165871658716587,1.1581277240108286e-08,
0.5,0.5,0.28092980362016146,1.1250225003375047e-10,4.165871658716587,9.308397958093708e-07,1.947211554096585e-05
0.5,0.6,0.4410405561104139,1.1250225003375047e-10,4.165871658716587,3.9172931449761605e-07,7.744181022311813e-06
0.5,0.7,0.6388931431982581,1.1250225003375047e-10,4.165871658716587,2.035826231207044e-07,4.069138441800808e-06
0.5,0.8,0.9886300258909754,1.1250225003375047e-10,4.165871658716587,6.270021155267225e-08,1.4708634505023237e-06
0.5,0.9,2.177825113937637,1.1250225003375047e-10,4.165871658716587,1.6388278209257693e-08,
0.6,0.6,0.2307056927355977,9.000180002700038e-11,4.165871658716587,1.5940556932286786e-06,2.610977139589317e-05
0.6,0.7,0.3902683998635958,9.000180002700038e-11,4.165871658716587,5.268656053163014e-07,1.0273287392379246e-05
0.6,0.8,0.6829925611006017,9.000180002700038e-11,4.165871658716587,1.554803389948218e-07,3.511242092459551e-06
0.6,0.9,1.6502978251128062,9.000180002700038e-11,4.165871658716587,2.6068899738551748e-08,5.684054551489488e-07
0.7,0.7,0.1778251139376357,6.750135002025028e-11,4.165871658716587,2.4991368076344346e-06,4.4370011232617406e-05
0.7,0.8,0.4152962404726778,6.750135002025028e-11,4.165871658716587,4.6715159423786984e-07,8.867310738851884e-06
0.7,0.9,1.1219912833392713,6.750135002025028e-11,4.165871658716587,6.226279089944757e-08,1.3637711253415285e-06
0.8,0.8,0.12199128333927091,4.5000900013500165e-11,4.165871658716587,5.456138209774478e-06,0.00011748013578847232
0.8,0.9,0.5928600813128483,4.5000900013500165e-11,4.165871658716587,2.9364525249159486e-07,4.047176166053385e-06
0.9,0.9,0.06285472347373035,2.2500450006750082e-11,4.165871658716587,2.3159104384039088e-05,0.00038483418458594405
0.01,0.01,0.49605754532553353,2.2275445506682583e-10,4.165871658716587,3.584029831747315e-07,6.905102878546548e-06
0.01,0.02,1.4920994861619232,2.2275445506682583e-10,4.165871658716587,3.5211088476510724e-08,6.810863041897425e-07
0.01,0.03,2.488125698490994,2.2275445506682583e-10,4.165871658716587,1.4398651277206726e-08,
0.01,0.04,3.4841360568101942,2.2275445506682583e-10,4.165871658716587,8.223452455242593e-09,
0.01,0.05,4.480130434108827,2.2275445506682583e-10,4.165871658716587,3.814051699867223e-09,
0.01,0.06,5.476108701843772,2.2275445506682583e-10,4.165871658716587,2.384251396234362e-09,
0.01,0.07,6.472070729914749,2.2275445506682583e-10,4.165871658716587,1.95734247037475e-09,
0.01,0.08,7.468016386639051,2.2275445506682583e-10,4.165871658716587,1.6194252474229064e-09,
0.01,0.09,8.463945538725794,2.2275445506682583e-10,4.165871658716587,8.98753665753788e-10,
0.02,0.02,0.4920994861619237,2.2050441006615078e-10,4.165871658716587,4.081939560644596e-07,7.1130772003711605e-06
0.02,0.03,0.9881256984909933,2.2050441006615078e-10,4.165871658716587,8.227841999888e-08,1.423666503490806e-06
0.02,0.04,1.484136056810195,2.2050441006615078e-10,4.165871658716587,3.501900202598623e-08,7.337643046886814e-07
0.02,0.05,1.9801304341088264,2.2050441006615078e-10,4.165871658716587,1.9966665587219754e-08,3.511661553478278e-07
0.02,0.06,2.476108701843772,2.2050441006615078e-10,4.165871658716587,1.403058179110457e-08,
0.02,0.07,2.972070729914748,2.2050441006615078e-10,4.165871658716587,9.122299578038191e-09,
0.02,0.08,3.4680163866390505,2.2050441006615078e-10,4.165871658716587,9.637976637964635e-09,
0.02,0.09,3.9639455387257905,2.2050441006615078e-10,4.165871658716587,4.1564522071755e-09,
0.03,0.03,0.48812569849099385,2.182543650654759e-10,4.165871658716587,2.995230369751798e-07,6.455644442532208e-06
0.03,0.04,0.8174693901435289,2.182543650654759e-10,4.165871658716587,1.2074897799781025e-07,2.2269968166955508e-06
0.03,0.05,1.1467971007754936,2.182543650654759e-10,4.165871658716587,6.588402329461938e-08,1.2465871272112679e-06
0.03,0.06,1.476108701843772,2.182543650654759e-10,4.165871658716587,3.7112736722675525e-08,6.78503373644513e-07
0.03,0.07,1.8054040632480823,2.182543650654759e-10,4.165871658716587,2.530506734783862e-08,4.822488957346613e-07
0.03,0.08,2.1346830533057184,2.182543650654759e-10,4.165871658716587,1.7563761422085885e-08,
0.03,0.09,2.4639455387257914,2.182543650654759e-10,4.165871658716587,1.1835235092853893e-08,
0.04,0.04,0.4841360568101951,2.1600432006480083e-10,4.165871658716587,3.207049272168646e-07,5.4908951663100164e-06
0.04,0.05,0.7301304341088268,2.1600432006480083e-10,4.165871658716587,1.6328239831407114e-07,2.762160501453359e-06
0.04,0.06,0.9761087018437724,2.1600432006480083e-10,4.165871658716587,9.395306792045621e-08,1.6146522077849422e-06
0.04,0.07,1.2220707299147484,2.1600432006480083e-10,4.165871658716587,5.079826947391835e-08,1.0687294792487112e-06
0.04,0.08,1.4680163866390517,2.1600432006480083e-10,4.165871658716587,3.611063168736968e-08,7.547398497593159e-07
0.04,0.09,1.7139455387257918,2.1600432006480083e-10,4.165871658716587,2.5515534548956182e-08,5.108538912485119e-07
0.05,0.05,0.48013043410882683,2.137542750641258e-10,4.165871658716587,3.216299103542208e-07,6.628373268872297e-06
0.05,0.06,0.6761087018437724,2.137542750641258e-10,4.165871658716587,1.8394139709218284e-07,3.1075391609624705e-06
0.05,0.07,0.8720707299147487,2.137542750641258e-10,4.165871658716587,1.202087479344533e-07,1.9814329235907287e-06
0.05,0.08,1.0680163866390515,2.137542750641258e-10,4.165871658716587,6.704035041812992e-08,1.2325922478934114e-06
0.05,0.09,1.263945538725791,2.137542750641258e-10,4.165871658716587,4.486319863082587e-08,8.838027767247972e-07
0.06,0.06,0.4761087018437724,2.1150423006345087e-10,4.165871658716587,3.011335058912932e-07,6.320480961151804e-06
0.06,0.07,0.6387373965814154,2.1150423006345087e-10,4.165871658716587,2.2080119268419875e-07,3.5009527684522616e-06
0.06,0.08,0.8013497199723856,2.1150423006345087e-10,4.165871658716587,1.2579736128923227e-07,2.0869164577114104e-06
0.06,0.09,0.9639455387257913,2.1150423006345087e-10,4.165871658716587,9.48262456224124e-08,1.6150371364497006e-06
0.07,0.07,0.4720707299147485,2.0925418506277583e-10,4.165871658716587,3.0142319305922237e-07,6.843500038909394e-06
0.07,0.08,0.6108735294961944,2.0925418506277583e-10,4.165871658716587,2.496982630786894e-07,4.2481820327197056e-06
0.07,0.09,0.7496598244400766,2.0925418506277583e-10,4.165871658716587,1.4336539166261786e-07,2.816267084246561e-06
0.08,0.08,0.4680163866390518,2.0700414006210092e-10,4.165871658716587,3.3748900678627547e-07,7.572673569013834e-06
0.08,0.09,0.588945538725791,2.0700414006210092e-10,4.165871658716587,1.9205128074351426e-07,3.885813793177466e-06
0.09,0.09,0.46394553872579114,2.0475409506142587e-10,4.165871658716587,4.1598586717878097e-07,6.428814383253936e-06
0.11,0.11,0.45575378762377566,2.0025400506007579e-10,4.165871658716587,3.494865425535221e-07,6.759969058781767e-06
0.12,0.12,0.45163260957294576,1.9800396005940085e-10,4.165871658716587,3.8898820659860855e-07,7.3092528841433944e-06
0.13,0.13,0.44749437710506174,1.9575391505872575e-10,4.165871658716587,4.011364890805597e-07,7.099687906360836e-06
0.14,0.14,0.44333894848289374,1.935038700580507e-10,4.165871658716587,4.300235655137855e-07,6.94479346723159e-06
0.15,0.15,0.43916618019489273,1.9125382505737582e-10,4.165871658716587,4.4093888512105393e-07,7.563441617479245e-06
0.16,0.16,0.43497592692545334,1.8900378005670073e-10,4.165871658716587,4.765482045686043e-07,8.223847737192157e-06
0.17,0.17,0.43076804152454756,1.8675373505602566e-10,4.165871658716587,3.5435910250163745e-07,8.365195637351761e-06
0.18,0.18,0.4265423749767188,1.8450369005535077e-10,4.165871658716587,4.1598856929064644e-07,6.8815122914643755e-06
0.19,0.19,0.4222987763694164,1.822536450546757e-10,4.165871658716587,4.3875423624282534e-07,8.32857618915061e-06
0.21,0.21,0.4137571696459893,1.7775355505332575e-10,4.165871658716587,4.897536208256327e-07,8.693745625925951e-06
0.22,0.22,0.4094588499247608,1.755035100526507e-10,4.165871658716587,5.14357434642598e-07,9.148027359754759e-06
0.23,0.23,0.40514197486564013,1.7325346505197566e-10,4.165871658716587,4.93491286618791e-07,1.0303303759587141e-05
0.24,0.24,0.40080638357140336,1.7100342005130077e-10,4.165871658716587,5.137507972909022e-07,8.705390485581431e-06
0.25,0.25,0.3964519130429505,1.6875337505062563e-10,4.165871658716587,4.1312610331777695e-07,9.596918029479845e-06
0.26,0.26,0.3920783981425341,1.6650333004995064e-10,4.165871658716587,4.102111521624362e-07,9.35275152149708e-06
0.27,0.27,0.38768567155618155,1.6425328504927567e-10,4.165871658716587,4.886047100443161e-07,9.775249257434278e-06
0.28,0.28,0.3832735637552874,1.6200324004860063e-10,4.165871658716587,5.09234964347009e-07,9.805706028253627e-06
0.29,0.29,0.3788419029573562,1.597531950479256e-10,4.165871658716587,5.925933736343634e-07,1.0722233695907549e-05
0.31,0.31,0.3699192237292539,1.5525310504657563e-10,4.165871658716587,6.629343510099554e-07,1.1261303829852854e-05
0.32,0.32,0.36542785009893863,1.530030600459006e-10,4.165871658716587,6.336174977161823e-07,1.218906861326198e-05
0.33,0.33,0.36091621298644966,1.5075301504522562e-10,4.165871658716587,6.853220471329981e-07,1.2322845065508117e-05
0.34,0.34,0.35638412871954467,1.4850297004455058e-10,4.165871658716587,5.507368330849388e-07,1.252373178019497e-05
0.35,0.35,0.35183141111734534,1.4625292504387556e-10,4.165871658716587,7.867727987742475e-07,1.2289751280674252e-05
0.36,0.36,0.3472578714444431,1.440028800432006e-10,4.165871658716587,7.214389253513338e-07,1.3196592351494231e-05
0.37,0.37,0.3426633183639511,1.4175283504252555e-10,4.165871658716587,7.706528798734518e-07,1.2502570244301863e-05
0.38,0.38,0.3380475578894727,1.3950279004185054e-10,4.165871658716587,7.175994024722538e-07,1.5195959603539487e-05
0.39,0.39,0.33341039333595685,1.372527450411756e-10,4.165871658716587,8.40774082016551e-07,1.2627028139020493e-05
0.41,0.41,0.324071051455416,1.3275265503982554e-10,4.165871658716587,8.170561689734185e-07,1.3922011802658482e-05
0.42,0.42,0.3193684668064857,1.3050261003915055e-10,4.165871658716587,8.966640090151858e-07,1.5264179249262953e-05
