m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.5,2.2500450006750095e-10,4.165871658716587,0.002700727735290821,0.00477100224039977
0.1,0.2,0.5,2.2500450006750095e-10,4.165871658716587,0.020655695930014387,0.020704577655241675
0.1,0.3,0.5,2.2500450006750095e-10,4.165871658716587,0.04294218078763335,0.04308937633042039
0.1,0.4,0.5,2.2500450006750095e-10,4.165871658716587,0.0668147011198126,0.06673151415031506
0.1,0.5,0.5,2.2500450006750095e-10,4.165871658716587,0.09257102412201795,0.09263368755482793
0.1,0.6,0.5,2.2500450006750095e-10,4.165871658716587,0.12086714506781021,0.12116170169272045
0.1,0.7,0.5,2.2500450006750095e-10,4.165871658716587,0.15123635431422047,0.1513484313287497
0.1,0.8,0.5,2.2500450006750095e-10,4.165871658716587,0.18456766918226508,0.18493388525681187
0.1,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.22146435053372346,0.22142807871211137
0.2,0.2,0.5,2.2500450006750095e-10,4.165871658716587,0.003913497592078224,0.005624884295465817
0.2,0.3,0.5,2.2500450006750095e-10,4.165871658716587,0.023195140876030994,0.023109309920909857
0.2,0.4,0.5,2.2500450006750095e-10,4.165871658716587,0.04855133668112685,0.04851015639830719
0.2,0.5,0.5,2.2500450006750095e-10,4.165871658716587,0.07640723059139284,0.07655422327644151
0.2,0.6,0.5,2.2500450006750095e-10,4.165871658716587,0.10642876833730538,0.10635728308969727
0.2,0.7,0.5,2.2500450006750095e-10,4.165871658716587,0.13934057858564045,0.13964537127343662
0.2,0.8,0.5,2.2500450006750095e-10,4.165871658716587,0.1759632625246357,0.1757678156980557
0.2,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.21636497762676912,0.21686154641027428
0.3,0.3,0.5,2.2500450006750095e-10,4.165871658716587,0.005024194727155695,0.0067991445693587555
0.3,0.4,0.5,2.2500450006750095e-10,4.165871658716587,0.02692092639715663,0.027043570551759877
0.3,0.5,0.5,2.2500450006750095e-10,4.165871658716587,0.05614524987477109,0.055824703494171735
0.3,0.6,0.5,2.2500450006750095e-10,4.165871658716587,0.08839960010471169,0.08832833270578015
0.3,0.7,0.5,2.2500450006750095e-10,4.165871658716587,0.12457159561875125,0.12468831273911964
0.3,0.8,0.5,2.2500450006750095e-10,4.165871658716587,0.16510985802318767,0.16480873886921074
0.3,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.21052558483183367,0.21047416742998087
0.4,0.4,0.5,2.2500450006750095e-10,4.165871658716587,0.0062545802961505555,0.007921956186594761
0.4,0.5,0.5,2.2500450006750095e-10,4.165871658716587,0.031107627352453683,0.030626404727360022
0.4,0.6,0.5,2.2500450006750095e-10,4.165871658716587,0.06641355929134853,0.06631980207308814
0.4,0.7,0.5,2.2500450006750095e-10,4.165871658716587,0.10612644831500108,0.10591781479643449
0.4,0.8,0.5,2.2500450006750095e-10,4.165871658716587,0.15158325967310432,0.15099292529350594
0.4,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.2032149858682831,0.20347352826736972
0.5,0.5,0.5,2.2500450006750095e-10,4.165871658716587,0.007667581358394489,0.009981703381802575
0.5,0.6,0.5,2.2500450006750095e-10,4.165871658716587,0.03790572092202401,0.03734438771535525
0.5,0.7,0.5,2.2500450006750095e-10,4.165871658716587,0.08246205629503735,0.08255506107059457
0.5,0.8,0.5,2.2500450006750095e-10,4.165871658716587,0.13272731966564685,0.13225412674209894
0.5,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.19216152753012486,0.19208982775074837
0.6,0.6,0.5,2.2500450006750095e-10,4.165871658716587,0.009114268484455347,0.012288991395521786
0.6,0.7,0.5,2.2500450006750095e-10,4.165871658716587,0.048829722092226586,0.04881279790884402
0.6,0.8,0.5,2.2500450006750095e-10,4.165871658716587,0.10638939348545322,0.1064139378652593
0.6,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.17602399995561194,0.1757213337780777
0.7,0.7,0.5,2.2500450006750095e-10,4.165871658716587,0.010939812551742046,0.014558817303124966
0.7,0.8,0.5,2.2500450006750095e-10,4.165871658716587,0.06665913517974331,0.06728502498213683
0.7,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.15080973000745687,0.15080834004171775
0.8,0.8,0.5,2.2500450006750095e-10,4.165871658716587,0.015322499376734636,0.022697755656182438
0.8,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.10679073969116466,0.10518647478889942
0.9,0.9,0.5,2.2500450006750095e-10,4.165871658716587,0.024026031594981553,0.04231515272624378
0.01,0.01,0.5,2.2500450006750095e-10,4.165871658716587,0.001038234094384963,0.0032327412439341198
0.01,0.02,0.5,2.2500450006750095e-10,4.165871658716587,0.0019084726033755945,0.003561987653462573
0.01,0.03,0.5,2.2500450006750095e-10,4.165871658716587,0.0035732543589072547,0.004373927137600941
0.01,0.04,0.5,2.2500450006750095e-10,4.165871658716587,0.005514687276228942,0.005867913645764412
0.01,0.05,0.5,2.2500450006750095e-10,4.165871658716587,0.007322295415750979,0.007187790211972381
0.01,0.06,0.5,2.2500450006750095e-10,4.165871658716587,0.009157687901142266,0.00902320220645919
0.01,0.07,0.5,2.2500450006750095e-10,4.165871658716587,0.011063773854456933,0.010964854047731695
0.01,0.08,0.5,2.2500450006750095e-10,4.165871658716587,0.013017587795160058,0.012997312766067496
0.01,0.09,0.5,2.2500450006750095e-10,4.165871658716587,0.014957136551177209,0.014761847910874336
0.02,0.02,0.5,2.2500450006750095e-10,4.165871658716587,0.001271485479325472,0.0035667516894076936
0.02,0.03,0.5,2.2500450006750095e-10,4.165871658716587,0.0020836419535169384,0.0037627504850058563
