m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.5427901194551419,2.50005000075001e-10,4.165871658716587,4.575824131984059e-06,1.0844208046003698e-05
0.1,0.2,,2.50005000075001e-10,4.165871658716587,,
0.1,0.3,,2.50005000075001e-10,4.165871658716587,,
0.1,0.4,,2.50005000075001e-10,4.165871658716587,,
0.1,0.5,,2.50005000075001e-10,4.165871658716587,,
0.1,0.6,,2.50005000075001e-10,4.165871658716587,,
0.1,0.7,,2.50005000075001e-10,4.165871658716587,,
0.1,0.8,,2.50005000075001e-10,4.165871658716587,,
0.1,0.9,,2.50005000075001e-10,4.165871658716587,,
0.2,0.2,0.5938248363839753,2.8125562508437606e-10,4.165871658716587,1.0516360666575307e-05,1.5778111875542583e-05
0.2,0.3,0.0,2.8125562508437606e-10,4.165871658716587,,
0.2,0.4,,2.8125562508437606e-10,4.165871658716587,,
0.2,0.5,,2.8125562508437606e-10,4.165871658716587,,
0.2,0.6,,2.8125562508437606e-10,4.165871658716587,,
0.2,0.7,,2.8125562508437606e-10,4.165871658716587,,
0.2,0.8,,2.8125562508437606e-10,4.165871658716587,,
0.2,0.9,,2.8125562508437606e-10,4.165871658716587,,
0.3,0.3,0.6558318806163518,3.214350000964299e-10,4.165871658716587,1.5268918426985336e-05,2.1699173725219188e-05
0.3,0.4,0.26410685686598384,3.214350000964299e-10,4.165871658716587,5.023337216422115e-05,0.00016416222379320384
0.3,0.5,,3.214350000964299e-10,4.165871658716587,,
0.3,0.6,,3.214350000964299e-10,4.165871658716587,,
0.3,0.7,,3.214350000964299e-10,4.165871658716587,,
0.3,0.8,,3.214350000964299e-10,4.165871658716587,,
0.3,0.9,,3.214350000964299e-10,4.165871658716587,,
0.4,0.4,0.7329456680356207,3.750075001125015e-10,4.165871658716587,2.4392632555314192e-05,2.783729945448592e-05
0.4,0.5,0.44983333408021964,3.750075001125015e-10,4.165871658716587,7.386325655558732e-05,0.00012126646890419718
0.4,0.6,0.0,3.750075001125015e-10,4.165871658716587,,
0.4,0.7,,3.750075001125015e-10,4.165871658716587,,
0.4,0.8,,3.750075001125015e-10,4.165871658716587,,
0.4,0.9,,3.750075001125015e-10,4.165871658716587,,
0.5,0.5,0.8317965657511863,4.500090001350019e-10,4.165871658716587,3.174569789302885e-05,3.917829503856333e-05
0.5,0.6,0.6059517194651037,4.500090001350019e-10,4.165871658716587,9.869212365860908e-05,0.00014439523899083384
0.5,0.7,0.1797533801464694,4.500090001350019e-10,4.165871658716587,0.00013079297128603916,0.0006813264221845424
0.5,0.8,,4.500090001350019e-10,4.165871658716587,,
0.5,0.9,,4.500090001350019e-10,4.165871658716587,,
0.6,0.6,0.9638623164485162,5.625112501687521e-10,4.165871658716587,4.012843426389693e-05,5.399025345171443e-05
0.6,0.7,0.7274341065221323,5.625112501687521e-10,4.165871658716587,0.000153100817581623,0.00020114262087963088
0.6,0.8,,5.625112501687521e-10,4.165871658716587,,
0.6,0.9,,5.625112501687521e-10,4.165871658716587,,
0.7,0.7,1.151332572383167,7.500150002250029e-10,4.165871658716587,7.791797004466549e-05,8.45503213108837e-05
0.7,0.8,0.5,7.500150002250029e-10,4.165871658716587,0.0002495696979051263,0.0004317967626576802
0.7,0.9,,7.500150002250029e-10,4.165871658716587,,
0.8,0.8,1.4454134627977873,1.1250225003375047e-09,4.165871658716587,0.0001342417502421033,0.00014846072355889165
0.8,0.9,0.0,1.1250225003375047e-09,4.165871658716587,,
0.9,0.9,2.013196593022799,2.2500450006750093e-09,4.165871658716587,0.0003415438176821597,
0.01,0.01,0.5039665605676084,2.2727727279545544e-10,4.165871658716587,5.97261384084084e-07,5.717134579772599e-06
0.01,0.02,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.03,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.04,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.05,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.06,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.07,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.08,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.09,,2.2727727279545544e-10,4.165871658716587,,
0.02,0.02,0.5079979177547899,2.295964286403071e-10,4.165871658716587,9.500039056865481e-07,7.4954682312953105e-06
0.02,0.03,0.0,2.295964286403071e-10,4.165871658716587,,
0.02,0.04,,2.295964286403071e-10,4.165871658716587,,
0.02,0.05,,2.295964286403071e-10,4.165871658716587,,
0.02,0.06,,2.295964286403071e-10,4.165871658716587,,
0.02,0.07,,2.295964286403071e-10,4.165871658716587,,
0.02,0.08,,2.295964286403071e-10,4.165871658716587,,
0.02,0.09,,2.295964286403071e-10,4.165871658716587,,
0.03,0.03,0.5120957059628882,2.3196340213144425e-10,4.165871658716587,1.440197498565661e-06,7.128975427337528e-06
0.03,0.04,0.1730428884236061,2.3196340213144425e-10,4.165871658716587,4.869989855437073e-06,5.7617195974990367e-05
0.03,0.05,,2.3196340213144425e-10,4.165871658716587,,
0.03,0.06,,2.3196340213144425e-10,4.165871658716587,,
0.03,0.07,,2.3196340213144425e-10,4.165871658716587,,
0.03,0.08,,2.3196340213144425e-10,4.165871658716587,,
0.03,0.09,,2.3196340213144425e-10,4.165871658716587,,
0.04,0.04,0.5162616161383375,2.343796875703135e-10,4.165871658716587,1.5142633468027252e-06,8.05271273595089e-06
0.04,0.05,0.2615748101536632,2.343796875703135e-10,4.165871658716587,4.150068674440166e-06,2.474900093211314e-05
0.04,0.06,0.0,2.343796875703135e-10,4.165871658716587,,
0.04,0.07,,2.343796875703135e-10,4.165871658716587,,
0.04,0.08,,2.343796875703135e-10,4.165871658716587,,
0.04,0.09,,2.343796875703135e-10,4.165871658716587,,
0.05,0.05,0.5204973982856399,2.3684684217631674e-10,4.165871658716587,2.1518080163753658e-06,7.159025545681521e-06
0.05,0.06,0.31640816154660273,2.3684684217631674e-10,4.165871658716587,3.7287648217297853e-06,2.29433536487018e-05
0.05,0.07,0.10713723670511006,2.3684684217631674e-10,4.165871658716587,1.5817194512910625e-05,0.0001588401663563626
0.05,0.08,,2.3684684217631674e-10,4.165871658716587,,
0.05,0.09,,2.3684684217631674e-10,4.165871658716587,,
0.06,0.06,0.524804864117896,2.3936648943351166e-10,4.165871658716587,2.505299389635604e-06,8.122319987226816e-06
0.06,0.07,0.35444524869283617,2.3936648943351166e-10,4.165871658716587,4.187193293663949e-06,1.733224646341714e-05
0.06,0.08,0.1799277590038721,2.3936648943351166e-10,4.165871658716587,7.976642643983492e-06,6.535125665947555e-05
0.06,0.09,0.0,2.3936648943351166e-10,4.165871658716587,,
0.07,0.07,0.5291858898538833,2.419403226532267e-10,4.165871658716587,3.023482886553085e-06,9.290407324503022e-06
0.07,0.08,0.3829230968133445,2.419403226532267e-10,4.165871658716587,4.1327052928081105e-06,1.6998115064924062e-05
0.07,0.09,0.2331823088405454,2.419403226532267e-10,4.165871658716587,8.10565333857801e-06,4.185630651394414e-05
0.08,0.08,0.5336424191713875,2.4457010876902273e-10,4.165871658716587,3.828620936182673e-06,1.0177488382804603e-05
0.08,0.09,0.40545881587335647,2.4457010876902273e-10,4.165871658716587,5.240811990223655e-06,1.5156282174817612e-05
0.09,0.09,0.5381764663272126,2.4725769238186914e-10,4.165871658716587,4.276469251305869e-06,9.765094606175343e-06
0.11,0.11,0.5474855440539914,2.5281404501966395e-10,4.165871658716587,5.106986591773072e-06,1.0063513916987252e-05
0.12,0.12,0.5522649866788762,2.556869318948873e-10,4.165871658716587,5.2123063438289826e-06,1.2396402841938723e-05
0.13,0.13,0.5571307788498734,2.586258621465528e-10,4.165871658716587,5.642943679173695e-06,1.2553086834577231e-05
0.14,0.14,0.5620853411934147,2.616331396133732e-10,4.165871658716587,6.0491784188504676e-06,1.1710568276902157e-05
0.15,0.15,0.5671311878330225,2.647111765500011e-10,4.165871658716587,7.321356024766934e-06,1.2341392274935815e-05
0.16,0.16,0.5722709310473791,2.6786250008035834e-10,4.165871658716587,7.053116981301003e-06,1.3135295095793015e-05
0.17,0.17,0.5775072862152558,2.71089759117471e-10,4.165871658716587,7.632526923645368e-06,1.5121675975117183e-05
0.18,0.18,0.5828430770684829,2.743957317896352e-10,4.165871658716587,7.209422220757768e-06,1.372437455976464e-05
0.19,0.19,0.5882812412759918,2.777833334166678e-10,4.165871658716587,8.776136148567772e-06,1.5171400184833038e-05
0.21,0.21,0.5994770461394302,2.8481582287025427e-10,4.165871658716587,8.880311633690878e-06,1.4524076439294519e-05
0.22,0.22,0.605241187226804,2.884673077788472e-10,4.165871658716587,9.489691421313953e-06,1.7061233227570142e-05
0.23,0.23,0.6111207164501729,2.9221363645129984e-10,4.165871658716587,9.830079837455783e-06,1.8201104565249306e-05
0.24,0.24,0.6171192383963631,2.9605855272039594e-10,4.165871658716587,1.162059905277945e-05,1.9844738264994058e-05
0.25,0.25,0.623240513617734,3.000060000900011e-10,4.165871658716587,1.1077997692809562e-05,2.1216639164350097e-05
0.26,0.26,0.6294884673770176,3.040601352263525e-10,4.165871658716587,1.2715896302980765e-05,2.0601357110974812e-05
0.27,0.27,0.6358671990006552,3.082253425582204e-10,4.165871658716587,1.209395129824871e-05,1.8627824044047747e-05
0.28,0.28,0.6423809918915998,3.125062500937512e-10,4.165871658716587,1.5640930978607383e-05,2.3015926106766577e-05
0.29,0.29,0.6490343242575735,3.16907746573945e-10,4.165871658716587,1.3984368762027879e-05,2.2888334435961094e-05
0.31,0.31,0.6627785641459,3.2609347835869696e-10,4.165871658716587,1.7974941361909157e-05,2.3960149519066898e-05
0.32,0.32,0.6698795099541458,3.308889706875014e-10,4.165871658716587,1.5844168364319996e-05,2.3122440703073477e-05
0.33,0.33,0.6771400993509752,3.358276120410461e-10,4.165871658716587,1.852048441267232e-05,2.535592608491775e-05
0.34,0.34,0.6845659752137845,3.4091590919318326e-10,4.165871658716587,1.833750153388061e-05,2.3099355943140004e-05
0.35,0.35,0.6921630585477133,3.4616076933461673e-10,4.165871658716587,2.1720425778599757e-05,2.6665339776562324e-05
0.36,0.36,0.6999375663527393,3.5156953135547025e-10,4.165871658716587,2.0201169119474134e-05,2.7848076620145875e-05
0.37,0.37,0.7078960309222104,3.571500001071443e-10,4.165871658716587,2.3079535031206585e-05,2.917532523405638e-05
0.38,0.38,0.7160453207114357,3.6291048397984015e-10,4.165871658716587,2.17403289520594e-05,2.74291323256349e-05
0.39,0.39,0.7243926629307728,3.6885983617623097e-10,4.165871658716587,2.5143161612423825e-05,3.0423847764942428e-05
0.41,0.41,0.7417123563060677,3.8136355943644206e-10,4.165871658716587,2.3329186203906416e-05,2.9079871841222538e-05
0.42,0.42,0.7507011867321132,3.8793879321982907e-10,4.165871658716587,2.5919363286356137e-05,3.159580423500347e-05
0.43,0.43,0.7599210884467501,3.9474473696052783e-10,4.165871658716587,2.471916643964972e-05,2.987608004218338e-05
0.44,0.44,0.7693814949793284,4.0179375012053735e-10,4.165871658716587,2.810577920414373e-05,3.724626263927299e-05
