m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,4.165871658716587,-4.024808636111243e-06,-6.562943050829195e-06,-4.260031098742934e-06,-4.456459366232397e-06,-4.001514916145418e-06,-5.410765094222308e-06
0.1,0.2,4.165871658716587,-1.5696048397263726e-05,-3.25384640020687e-05,,,-1.594281291248729e-05,-3.834505786377117e-05
0.1,0.3,4.165871658716587,-2.1628437542366844e-05,-4.124042543768529e-05,,,-2.194782738042308e-05,
0.1,0.4,4.165871658716587,-2.7164166133832873e-05,-4.595751148417914e-05,,,-2.7441343091702696e-05,
0.1,0.5,4.165871658716587,-2.9568420682669352e-05,-5.0084241451254766e-05,,,-2.9927244136704766e-05,
0.1,0.6,4.165871658716587,-3.538078894938946e-05,-5.8264352342837866e-05,,,-3.5706346848866e-05,
0.1,0.7,4.165871658716587,-4.454539558130636e-05,-6.777491097034655e-05,,,-4.490953661411715e-05,
0.1,0.8,4.165871658716587,-4.498813479279751e-05,-7.955988764943046e-05,,,-4.526785349586501e-05,
0.1,0.9,4.165871658716587,-5.161054713124669e-05,-7.6663801029113e-05,,,-5.1984761640541504e-05,
0.2,0.2,4.165871658716587,-1.0463507458946644e-05,-1.2711483324925449e-05,-1.0192940370892647e-05,-9.65527573371734e-06,-1.0349509544444584e-05,-1.0526441825550525e-05
0.2,0.3,4.165871658716587,-3.065601813930566e-05,-5.07316883342666e-05,,,-3.0869351579199834e-05,-5.4452014063112904e-05
0.2,0.4,4.165871658716587,-3.287433538896932e-05,-5.9231629958638317e-05,,,-3.3128950936497174e-05,-6.437072017713369e-05
0.2,0.5,4.165871658716587,-4.071475104087832e-05,-7.017159007589161e-05,,,-4.0975635048824846e-05,-7.563666476301829e-05
