m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.6957936829567963,2.0250405006075078e-10,4.165871658716587,0.00044760524167347703,0.0023345219353837388
0.1,0.2,1.6384797862360887,2.0250405006075078e-10,4.165871658716587,0.000189034842376655,0.0009254951831242533
0.1,0.3,2.5776802172773396,2.0250405006075078e-10,4.165871658716587,0.0001309083074036579,
0.1,0.4,3.5129433857049017,2.0250405006075078e-10,4.165871658716587,9.019514393513894e-05,
0.1,0.5,4.4437238255549545,2.0250405006075078e-10,4.165871658716587,7.483454464731842e-05,
0.1,0.6,5.369354225688749,2.0250405006075078e-10,4.165871658716587,5.706310542977811e-05,
0.1,0.7,6.289006199146817,2.0250405006075078e-10,4.165871658716587,5.0582925007415016e-05,
0.1,0.8,7.20163387054215,2.0250405006075078e-10,4.165871658716587,4.2419438508547455e-05,
0.1,0.9,8.124460256902678,2.0250405006075078e-10,4.165871658716587,3.8929506486589105e-05,
0.2,0.2,0.6384797862360887,1.8000360005400076e-10,4.165871658716587,0.00048712826189451695,0.002505893287860289
0.2,0.3,1.07768021727734,1.8000360005400076e-10,4.165871658716587,0.00028084016891527063,0.0014196851485798127
0.2,0.4,1.512943385704903,1.8000360005400076e-10,4.165871658716587,0.00020098165361498666,0.0011470782078348946
0.2,0.5,1.9437238255549547,1.8000360005400076e-10,4.165871658716587,0.0001676230460871526,0.000844703729550341
0.2,0.6,2.3693542256887485,1.8000360005400076e-10,4.165871658716587,0.0001331512910773398,
0.2,0.7,2.7890061991468182,1.8000360005400076e-10,4.165871658716587,0.00011606631969736902,
0.2,0.8,3.223680689207993,1.8000360005400076e-10,4.165871658716587,9.930773349411126e-05,
0.2,0.9,4.401828373024444,1.8000360005400076e-10,4.165871658716587,7.338903334084889e-05,
0.3,0.3,0.5776802172773403,1.5750315004725067e-10,4.165871658716587,0.0005524695940771185,0.0027468735342970926
0.3,0.4,0.8462767190382364,1.5750315004725067e-10,4.165871658716587,0.0003509924800966502,0.001972758690973569
0.3,0.5,1.110390492221622,1.5750315004725067e-10,4.165871658716587,0.00028148360568947873,0.0014209498153147156
0.3,0.6,1.369354225688749,1.5750315004725067e-10,4.165871658716587,0.00023177039896809683,0.0011665714698827062
0.3,0.7,1.640458799262465,1.5750315004725067e-10,4.165871658716587,0.0002017317786392745,0.0009699654712476313
0.3,0.8,2.045994587032702,1.5750315004725067e-10,4.165871658716587,0.00015601776449953951,
0.3,0.9,3.4099494362087515,1.5750315004725067e-10,4.165871658716587,8.98160034027633e-05,
0.4,0.4,0.5129433857049027,1.3500270004050055e-10,4.165871658716587,0.000637383661925373,0.003161972980410914
0.4,0.5,0.6942122049418012,1.3500270004050055e-10,4.165871658716587,0.0004464612317885006,0.0023442245914703525
0.4,0.6,0.8795437847470158,1.3500270004050055e-10,4.165871658716587,0.00037323478722653294,0.0017941162145582155
0.4,0.7,1.1012194973732938,1.3500270004050055e-10,4.165871658716587,0.0002652825390889468,0.0014315662205404394
0.4,0.8,1.4835890505692235,1.3500270004050055e-10,4.165871658716587,0.00019904686685322836,0.001078348261069854
0.4,0.9,2.829986971112398,1.3500270004050055e-10,4.165871658716587,0.00011304931658431094,
0.5,0.5,0.4437238255549546,1.1250225003375047e-10,4.165871658716587,0.0007159608779733145,0.003849320756559335
0.5,0.6,0.5847910971404157,1.1250225003375047e-10,4.165871658716587,0.0005208215870844235,0.002656156955061846
