m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.75,2.2500450006750095e-10,4.165871658716587,4.293836859490258e-06,6.91964205707887e-06
0.1,0.2,0.75,2.2500450006750095e-10,4.165871658716587,1.5756992500530278e-05,2.4868140814430357e-05
0.1,0.3,0.75,2.2500450006750095e-10,4.165871658716587,2.1633680388557324e-05,3.237598335275883e-05
0.1,0.4,0.75,2.2500450006750095e-10,4.165871658716587,2.6355754034970982e-05,3.7070474105554047e-05
0.1,0.5,0.75,2.2500450006750095e-10,4.165871658716587,2.9837942986820122e-05,3.967576812162876e-05
0.1,0.6,0.75,2.2500450006750095e-10,4.165871658716587,3.4620690904836866e-05,4.8717698383862806e-05
0.1,0.7,0.75,2.2500450006750095e-10,4.165871658716587,4.460448094736789e-05,5.848267595150082e-05
0.1,0.8,0.75,2.2500450006750095e-10,4.165871658716587,4.4521597963628085e-05,6.044755215868356e-05
0.1,0.9,0.75,2.2500450006750095e-10,4.165871658716587,5.3448329696989504e-05,6.764967061919284e-05
0.2,0.2,0.75,2.2500450006750095e-10,4.165871658716587,1.0237472199574535e-05,1.5218051004134866e-05
0.2,0.3,0.75,2.2500450006750095e-10,4.165871658716587,2.9707304820467084e-05,3.960023761303251e-05
0.2,0.4,0.75,2.2500450006750095e-10,4.165871658716587,3.292399048019725e-05,4.3563200933444575e-05
0.2,0.5,0.75,2.2500450006750095e-10,4.165871658716587,4.1409572221058985e-05,5.332727854154197e-05
0.2,0.6,0.75,2.2500450006750095e-10,4.165871658716587,4.694980994206841e-05,6.766990477396235e-05
0.2,0.7,0.75,2.2500450006750095e-10,4.165871658716587,5.577099378534658e-05,7.000115684887765e-05
0.2,0.8,0.75,2.2500450006750095e-10,4.165871658716587,5.925308770820747e-05,7.854615454963661e-05
0.2,0.9,0.75,2.2500450006750095e-10,4.165871658716587,6.324257304025567e-05,8.582390401989865e-05
0.3,0.3,0.75,2.2500450006750095e-10,4.165871658716587,1.511512085025094e-05,1.8812174472637898e-05
0.3,0.4,0.75,2.2500450006750095e-10,4.165871658716587,4.800610692585063e-05,6.235653025444658e-05
0.3,0.5,0.75,2.2500450006750095e-10,4.165871658716587,5.152068418980699e-05,6.826400569206559e-05
0.3,0.6,0.75,2.2500450006750095e-10,4.165871658716587,6.277333050007299e-05,7.378506135155342e-05
0.3,0.7,0.75,2.2500450006750095e-10,4.165871658716587,6.682309490056673e-05,8.690871096844235e-05
0.3,0.8,0.75,2.2500450006750095e-10,4.165871658716587,7.300756624369141e-05,9.142284236387164e-05
0.3,0.9,0.75,2.2500450006750095e-10,4.165871658716587,8.025532909673447e-05,0.00010667877463613998
0.4,0.4,0.75,2.2500450006750095e-10,4.165871658716587,2.4191053928599738e-05,2.632068200351686e-05
0.4,0.5,0.75,2.2500450006750095e-10,4.165871658716587,7.193264251112669e-05,9.504954824777486e-05
0.4,0.6,0.75,2.2500450006750095e-10,4.165871658716587,7.863881171086495e-05,0.00010894129494262352
0.4,0.7,0.75,2.2500450006750095e-10,4.165871658716587,8.455115593815856e-05,0.00011731075274918353
0.4,0.8,0.75,2.2500450006750095e-10,4.165871658716587,0.00010023450313970974,0.00013138259457720692
0.4,0.9,0.75,2.2500450006750095e-10,4.165871658716587,9.804039390045867e-05,0.00013711730163281074
0.5,0.5,0.75,2.2500450006750095e-10,4.165871658716587,3.2111275543707003e-05,4.7483094052042724e-05
0.5,0.6,0.75,2.2500450006750095e-10,4.165871658716587,9.45792850352921e-05,0.00013747332861155473
0.5,0.7,0.75,2.2500450006750095e-10,4.165871658716587,0.00011572395224936282,0.00014690307009086086
0.5,0.8,0.75,2.2500450006750095e-10,4.165871658716587,0.00011684667241241058,0.00014412792990810473
0.5,0.9,0.75,2.2500450006750095e-10,4.165871658716587,0.00014365308890340467,0.00019486272159944252
0.6,0.6,0.75,2.2500450006750095e-10,4.165871658716587,4.0561556647322895e-05,5.828817208095294e-05
0.6,0.7,0.75,2.2500450006750095e-10,4.165871658716587,0.00015055789427036672,0.00019268048406966736
0.6,0.8,0.75,2.2500450006750095e-10,4.165871658716587,0.0001603211171865422,0.00021184348550479714
0.6,0.9,0.75,2.2500450006750095e-10,4.165871658716587,0.0001984899510685308,0.00026707115659563036
0.7,0.7,0.75,2.2500450006750095e-10,4.165871658716587,7.845589687290202e-05,0.00010645564529008835
0.7,0.8,0.75,2.2500450006750095e-10,4.165871658716587,0.00024092407030126684,0.00035129752030782236
0.7,0.9,0.75,2.2500450006750095e-10,4.165871658716587,0.00028210469101283764,0.0003955683947150709
0.8,0.8,0.75,2.2500450006750095e-10,4.165871658716587,0.00013643604917122672,0.0002039481731144439
0.8,0.9,0.75,2.2500450006750095e-10,4.165871658716587,0.0004031837471208353,0.0006293209061593773
0.9,0.9,0.75,2.2500450006750095e-10,4.165871658716587,0.000353412448823211,0.0005969904774249863
