m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,0.9347016640011662,2.0250405006075078e-10,4.165871658716587,0.0003389895038390431,0.0017767231048623096
0.1,0.2,1.8648397251631903,2.0250405006075078e-10,4.165871658716587,0.00017596741236465795,0.0008312030694743857
0.1,0.3,2.789728043577632,2.0250405006075078e-10,4.165871658716587,0.00011819727236823141,
0.1,0.4,3.708513066862316,2.0250405006075078e-10,4.165871658716587,7.250872178165757e-05,
0.1,0.5,4.620114506958276,2.0250405006075078e-10,4.165871658716587,6.665725796273136e-05,
0.1,0.6,5.523137163611585,2.0250405006075078e-10,4.165871658716587,5.932791936668025e-05,
0.1,0.7,6.415735221843628,2.0250405006075078e-10,4.165871658716587,4.832692214192846e-05,
0.1,0.8,7.295394529120346,2.0250405006075078e-10,4.165871658716587,4.382002095068849e-05,
0.1,0.9,8.195987029498752,2.0250405006075078e-10,4.165871658716587,3.5337828440431094e-05,
0.2,0.2,0.86483972516319,1.8000360005400076e-10,4.165871658716587,0.0003431623971820503,0.0017825752106356615
0.2,0.3,1.289728043577631,1.8000360005400076e-10,4.165871658716587,0.00023576725431455792,0.0012094207167288146
0.2,0.4,1.7085130668623156,1.8000360005400076e-10,4.165871658716587,0.0001952733521255645,0.0009439253592418471
0.2,0.5,2.1201145069582776,1.8000360005400076e-10,4.165871658716587,0.0001501882240806811,
0.2,0.6,2.5231371636115854,1.8000360005400076e-10,4.165871658716587,0.00012660347182819542,
0.2,0.7,2.915735221843628,1.8000360005400076e-10,4.165871658716587,0.00010840003832327128,
0.2,0.8,3.3359931249441237,1.8000360005400076e-10,4.165871658716587,8.928597043040476e-05,
0.2,0.9,4.536418382828267,1.8000360005400076e-10,4.165871658716587,6.836659840376669e-05,
0.3,0.3,0.7897280435776313,1.5750315004725067e-10,4.165871658716587,0.0003872235784426294,0.0020951150194486933
0.3,0.4,1.0418464001956487,1.5750315004725067e-10,4.165871658716587,0.0002881135146672715,0.0014997007008190977
0.3,0.5,1.2867811736249446,1.5750315004725067e-10,4.165871658716587,0.00023886859414964335,0.0012683432690542703
0.3,0.6,1.5238551221072782,1.5750315004725067e-10,4.165871658716587,0.00019421768768457782,0.0010692289838357264
0.3,0.7,1.7804540248006582,1.5750315004725067e-10,4.165871658716587,0.00017721308042304074,0.0009232650442994075
0.3,0.8,2.1802663867405028,1.5750315004725067e-10,4.165871658716587,0.00014737043043303011,
0.3,0.9,3.555753648618441,1.5750315004725067e-10,4.165871658716587,7.68638250909337e-05,
0.4,0.4,0.7085130668623149,1.3500270004050055e-10,4.165871658716587,0.00043419306485077415,0.0022392861835227205
0.4,0.5,0.8719887568651661,1.3500270004050055e-10,4.165871658716587,0.00036721198876500693,0.0019446693576405903
0.4,0.6,1.040004453643959,1.3500270004050055e-10,4.165871658716587,0.0002894862778932019,0.0015399463315968376
0.4,0.7,1.2474029062976228,1.3500270004050055e-10,4.165871658716587,0.0002563479452721573,0.0012884339438104337
0.4,0.8,1.621924354411025,1.3500270004050055e-10,4.165871658716587,0.00019828531226481338,0.001004219114287057
0.4,0.9,2.970877397374573,1.3500270004050055e-10,4.165871658716587,0.00010940462250134253,
0.5,0.5,0.6201145069582774,1.1250225003375047e-10,4.165871658716587,0.0005204430770751092,0.0026688652936368946
0.5,0.6,0.7441312242084209,1.1250225003375047e-10,4.165871658716587,0.0004393407259711548,0.0022757562087870457
0.5,0.7,0.9109181462991321,1.1250225003375047e-10,4.165871658716587,0.0003292905481747628,0.0019592076830535774
0.5,0.8,1.24047842129593,1.1250225003375047e-10,4.165871658716587,0.0002462571936158096,0.0013224047331586047
0.5,0.9,2.41573522184363,1.1250225003375047e-10,4.165871658716587,0.00012661529519773042,
0.6,0.6,0.5231371636115855,9.000180002700038e-11,4.165871658716587,0.0006342906835529032,0.003292910774687517
0.6,0.7,0.6491258279171362,9.000180002700038e-11,4.165871658716587,0.00045465731493533743,0.002630101951917329
0.6,0.8,0.9168332207542781,9.000180002700038e-11,4.165871658716587,0.0003486695511724047,0.0018515307821694656
0.6,0.9,1.8573740195087889,9.000180002700038e-11,4.165871658716587,0.00016284419899669267,0.0008557390575414807
0.7,0.7,0.4157352218436286,6.750135002025028e-11,4.165871658716587,0.0007090768747050973,0.0037480374698660892
0.7,0.8,0.6073740195087886,6.750135002025028e-11,4.165871658716587,0.0005366108260298574,0.002825611769366143
0.7,0.9,1.2953945291203475,6.750135002025028e-11,4.165871658716587,0.0002372613930535419,0.0013871050274464221
0.8,0.8,0.29539452912034764,4.5000900013500165e-11,4.165871658716587,0.0010621995652428406,0.005489088674570498
0.8,0.9,0.7293182678690189,4.5000900013500165e-11,4.165871658716587,0.0004118686355964005,0.0021973736903735334
0.9,0.9,0.1585650787404291,2.2500450006750082e-11,4.165871658716587,0.0018518029852906768,0.010283488810406577
0.01,0.01,0.9936587309970014,2.2275445506682583e-10,4.165871658716587,0.0003285294558071552,0.0015354527122657603
0.01,0.02,1.9872769935436303,2.2275445506682583e-10,4.165871658716587,0.0001627570156562115,0.000798479090540221
0.01,0.03,2.9808542678008307,2.2275445506682583e-10,4.165871658716587,0.00010418790846084569,
0.01,0.04,3.974390023848344,2.2275445506682583e-10,4.165871658716587,7.845483762065441e-05,
0.01,0.05,4.967883721422339,2.2275445506682583e-10,4.165871658716587,6.0964568036759205e-05,
0.01,0.06,5.96133480964445,2.2275445506682583e-10,4.165871658716587,5.674721543215533e-05,
0.01,0.07,6.9547427267418875,2.2275445506682583e-10,4.165871658716587,4.2782844236448624e-05,
0.01,0.08,7.94810689975826,2.2275445506682583e-10,4.165871658716587,4.0510114446734137e-05,
0.01,0.09,8.941426744254743,2.2275445506682583e-10,4.165871658716587,3.5839394832656526e-05,
0.02,0.02,0.9872769935436304,2.2050441006615078e-10,4.165871658716587,0.0003016698913196034,0.0016745494684510724
0.02,0.03,1.480854267800831,2.2050441006615078e-10,4.165871658716587,0.00021302527868817655,0.0010440709023173884
0.02,0.04,1.9743900238483445,2.2050441006615078e-10,4.165871658716587,0.00015110859848243763,0.0008366315540919463
0.02,0.05,2.4678837214223397,2.2050441006615078e-10,4.165871658716587,0.00013005177454341598,
0.02,0.06,2.96133480964445,2.2050441006615078e-10,4.165871658716587,9.171695689378546e-05,
0.02,0.07,3.4547427267418906,2.2050441006615078e-10,4.165871658716587,8.812223268223285e-05,
0.02,0.08,3.9481068997582627,2.2050441006615078e-10,4.165871658716587,7.81315163395746e-05,
0.02,0.09,4.4414267442547395,2.2050441006615078e-10,4.165871658716587,7.1055853861834e-05,
