m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.0,2.2500450006750095e-10,4.165871658716587,9.026737845733696e-08,1.5233885996987538e-06
0.1,0.2,1.0,2.2500450006750095e-10,4.165871658716587,9.010551667001703e-08,1.4120126209748397e-06
0.1,0.3,1.0,2.2500450006750095e-10,4.165871658716587,9.418186044797811e-08,1.5832413165347311e-06
0.1,0.4,1.0,2.2500450006750095e-10,4.165871658716587,7.88373200814506e-08,1.8650408333088794e-06
0.1,0.5,1.0,2.2500450006750095e-10,4.165871658716587,8.732177074865275e-08,1.532732772015489e-06
0.1,0.6,1.0,2.2500450006750095e-10,4.165871658716587,7.92301918480217e-08,1.720583831213521e-06
0.1,0.7,1.0,2.2500450006750095e-10,4.165871658716587,7.204140843189153e-08,1.608618213859847e-06
0.1,0.8,1.0,2.2500450006750095e-10,4.165871658716587,9.447023231884823e-08,1.6743333316856472e-06
0.1,0.9,1.0,2.2500450006750095e-10,4.165871658716587,8.380522654359839e-08,1.474473906181098e-06
0.2,0.2,1.0,2.2500450006750095e-10,4.165871658716587,8.246984728813486e-08,1.5011624688431086e-06
0.2,0.3,1.0,2.2500450006750095e-10,4.165871658716587,9.015776950157885e-08,1.6802723645667194e-06
0.2,0.4,1.0,2.2500450006750095e-10,4.165871658716587,7.103944910725854e-08,1.6407656588809642e-06
0.2,0.5,1.0,2.2500450006750095e-10,4.165871658716587,8.293200880956711e-08,1.5337629648847733e-06
0.2,0.6,1.0,2.2500450006750095e-10,4.165871658716587,8.785396208217324e-08,1.3791019640048044e-06
0.2,0.7,1.0,2.2500450006750095e-10,4.165871658716587,7.266269988959299e-08,1.3629405077847457e-06
0.2,0.8,1.0,2.2500450006750095e-10,4.165871658716587,1.0082329063000122e-07,1.3640881759069664e-06
0.2,0.9,1.0,2.2500450006750095e-10,4.165871658716587,8.547714825172152e-08,1.5090879919647155e-06
0.3,0.3,1.0,2.2500450006750095e-10,4.165871658716587,8.65393727326574e-08,1.7961464006329475e-06
0.3,0.4,1.0,2.2500450006750095e-10,4.165871658716587,9.16070085458655e-08,1.4399439943406693e-06
0.3,0.5,1.0,2.2500450006750095e-10,4.165871658716587,7.770704706357365e-08,1.411917998113521e-06
0.3,0.6,1.0,2.2500450006750095e-10,4.165871658716587,7.704861370535089e-08,1.5301633211628906e-06
0.3,0.7,1.0,2.2500450006750095e-10,4.165871658716587,7.854166104730102e-08,1.418025171455875e-06
0.3,0.8,1.0,2.2500450006750095e-10,4.165871658716587,9.970735278645524e-08,1.6959414023633771e-06
0.3,0.9,1.0,2.2500450006750095e-10,4.165871658716587,8.136677656602e-08,1.4037538118089083e-06
0.4,0.4,1.0,2.2500450006750095e-10,4.165871658716587,6.740069334078397e-08,1.4701826971267995e-06
0.4,0.5,1.0,2.2500450006750095e-10,4.165871658716587,7.364860831639185e-08,1.2988066370497136e-06
0.4,0.6,1.0,2.2500450006750095e-10,4.165871658716587,7.652165808194795e-08,1.5179466556825428e-06
0.4,0.7,1.0,2.2500450006750095e-10,4.165871658716587,7.947753740814896e-08,1.5672298128841924e-06
0.4,0.8,1.0,2.2500450006750095e-10,4.165871658716587,8.306328485224161e-08,1.5250564682738562e-06
0.4,0.9,1.0,2.2500450006750095e-10,4.165871658716587,8.79656658322416e-08,1.41793926158847e-06
0.5,0.5,1.0,2.2500450006750095e-10,4.165871658716587,8.404765716272746e-08,1.4501760989583301e-06
0.5,0.6,1.0,2.2500450006750095e-10,4.165871658716587,8.362931370951044e-08,1.4704089154936182e-06
0.5,0.7,1.0,2.2500450006750095e-10,4.165871658716587,8.843076833532434e-08,1.6816694854452283e-06
0.5,0.8,1.0,2.2500450006750095e-10,4.165871658716587,8.523026263974824e-08,1.4189102317447959e-06
