m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.067878827641591,2.50005000075001e-10,4.165871658716587,0.0025930622665513497,0.002994638821040855
0.1,0.2,0.0,2.50005000075001e-10,4.165871658716587,,
0.1,0.3,,2.50005000075001e-10,4.165871658716587,,
0.1,0.4,,2.50005000075001e-10,4.165871658716587,,
0.1,0.5,,2.50005000075001e-10,4.165871658716587,,
0.1,0.6,,2.50005000075001e-10,4.165871658716587,,
0.1,0.7,,2.50005000075001e-10,4.165871658716587,,
0.1,0.8,,2.50005000075001e-10,4.165871658716587,,
0.1,0.9,,2.50005000075001e-10,4.165871658716587,,
0.2,0.2,1.146720406193046,2.8125562508437606e-10,4.165871658716587,0.0038798795391452503,0.004213457757769584
0.2,0.3,0.6558318735740907,2.8125562508437606e-10,4.165871658716587,0.023142718860035154,0.023325122096924368
0.2,0.4,0.0,2.8125562508437606e-10,4.165871658716587,,
0.2,0.5,,2.8125562508437606e-10,4.165871658716587,,
0.2,0.6,,2.8125562508437606e-10,4.165871658716587,,
0.2,0.7,,2.8125562508437606e-10,4.165871658716587,,
0.2,0.8,,2.8125562508437606e-10,4.165871658716587,,
0.2,0.9,,2.8125562508437606e-10,4.165871658716587,,
0.3,0.3,1.2397322437062515,3.214350000964299e-10,4.165871658716587,0.004976036267715665,0.005481364012893939
0.3,0.4,0.9476175694143071,3.214350000964299e-10,4.165871658716587,0.026901618320988724,0.027089624395754484
0.3,0.5,0.5828996559875119,3.214350000964299e-10,4.165871658716587,0.056177682700166674,0.05617015873177927
0.3,0.6,0.0,3.214350000964299e-10,4.165871658716587,,
0.3,0.7,,3.214350000964299e-10,4.165871658716587,,
0.3,0.8,,3.214350000964299e-10,4.165871658716587,,
0.3,0.9,,3.214350000964299e-10,4.165871658716587,,
0.4,0.4,1.3516519438896402,3.750075001125015e-10,4.165871658716587,0.006145759997731387,0.006635227532383849
0.4,0.5,1.1695594588372513,3.750075001125015e-10,4.165871658716587,0.031041825151505685,0.031138882116218902
0.4,0.6,0.939892178874537,3.750075001125015e-10,4.165871658716587,0.06641796757576139,0.06633692943005037
0.4,0.7,0.5565492766542918,3.750075001125015e-10,4.165871658716587,0.10596239435881669,0.10612956394904356
0.4,0.8,,3.750075001125015e-10,4.165871658716587,,
0.4,0.9,,3.750075001125015e-10,4.165871658716587,,
0.5,0.5,1.4898801256447494,4.500090001350019e-10,4.165871658716587,0.007678002458557711,0.007909666147735831
0.5,0.6,1.3619804581563222,4.500090001350019e-10,4.165871658716587,0.037810407753453366,0.03791905931986916
0.5,0.7,1.1419580257817248,4.500090001350019e-10,4.165871658716587,0.08241241126650879,0.0823486114049404
0.5,0.8,0.5258403076416316,4.500090001350019e-10,4.165871658716587,0.1328013663915716,0.13230480013778123
0.5,0.9,,4.500090001350019e-10,4.165871658716587,,
0.6,0.6,1.666896033685178,5.625112501687521e-10,4.165871658716587,0.008998950334775721,0.00922258248070806
0.6,0.7,1.0,5.625112501687521e-10,4.165871658716587,0.04872941468064787,0.04925678414037296
0.6,0.8,1.1504947316609875,5.625112501687521e-10,4.165871658716587,0.10640525148035802,0.10637260107503264
0.6,0.9,,5.625112501687521e-10,4.165871658716587,,
0.7,0.7,1.9062193738198776,7.500150002250029e-10,4.165871658716587,0.010933586230809327,0.011505320232966314
0.7,0.8,1.6989129250349178,7.500150002250029e-10,4.165871658716587,0.06658304854093089,0.06671518491787475
0.7,0.9,0.0,7.500150002250029e-10,4.165871658716587,,
0.8,0.8,2.260867816817828,1.1250225003375047e-09,4.165871658716587,0.014827359820607174,
0.8,0.9,1.672376735673487,1.1250225003375047e-09,4.165871658716587,0.10687815309628565,0.10660643570704335
0.9,0.9,2.900477097889386,2.2500450006750093e-09,4.165871658716587,0.023138139998649082,
0.01,0.01,1.0063647580360118,2.2727727279545544e-10,4.165871658716587,0.0008572167138289135,0.001779831822828534
0.01,0.02,0.0,2.2727727279545544e-10,4.165871658716587,,
0.01,0.03,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.04,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.05,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.06,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.07,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.08,,2.2727727279545544e-10,4.165871658716587,,
0.01,0.09,,2.2727727279545544e-10,4.165871658716587,,
0.02,0.02,1.0128179179349637,2.295964286403071e-10,4.165871658716587,0.0011397907459849356,0.0020316133907164035
0.02,0.03,0.5120957045243362,2.295964286403071e-10,4.165871658716587,0.0020946217815333928,0.003710502598750086
0.02,0.04,0.0,2.295964286403071e-10,4.165871658716587,,
0.02,0.05,,2.295964286403071e-10,4.165871658716587,,
0.02,0.06,,2.295964286403071e-10,4.165871658716587,,
0.02,0.07,,2.295964286403071e-10,4.165871658716587,,
0.02,0.08,,2.295964286403071e-10,4.165871658716587,,
0.02,0.09,,2.295964286403071e-10,4.165871658716587,,
0.03,0.03,1.0193614715465262,2.3196340213144425e-10,4.165871658716587,0.001407230652994098,0.002097174389404639
0.03,0.04,0.686738158899096,2.3196340213144425e-10,4.165871658716587,0.0021126381097058165,0.003163591465071844
0.03,0.05,0.34814253462901706,2.3196340213144425e-10,4.165871658716587,0.003922613227535665,0.005928179090567269
0.03,0.06,0.0,2.3196340213144425e-10,4.165871658716587,,
0.03,0.07,,2.3196340213144425e-10,4.165871658716587,,
0.03,0.08,,2.3196340213144425e-10,4.165871658716587,,
0.03,0.09,,2.3196340213144425e-10,4.165871658716587,,
0.04,0.04,1.0259974746609668,2.343796875703135e-10,4.165871658716587,0.0016293633599647687,0.0023133304699042494
0.04,0.05,0.777391576303856,2.343796875703135e-10,4.165871658716587,0.0023151861021398776,0.0029841444534410523
0.04,0.06,0.5248048568873214,2.343796875703135e-10,4.165871658716587,0.0038906644511924747,0.004657745538490154
0.04,0.07,0.2665123141184962,2.343796875703135e-10,4.165871658716587,0.005621190300660716,0.008027470978215304
0.04,0.08,0.0,2.343796875703135e-10,4.165871658716587,,
0.04,0.09,,2.343796875703135e-10,4.165871658716587,,
0.05,0.05,1.032728049717885,2.3684684217631674e-10,4.165871658716587,0.0018142834126175932,0.0023310853948936873
0.05,0.06,0.8345455780119481,2.3684684217631674e-10,4.165871658716587,0.002498389545688729,0.0031516520136244245
0.05,0.07,0.6333964840416372,2.3684684217631674e-10,4.165871658716587,0.003953378731909795,0.00453545657150228
0.05,0.08,0.42826458295989506,2.3684684217631674e-10,4.165871658716587,0.005881579043969514,0.006996027611038487
0.05,0.09,0.2177689193789693,2.3684684217631674e-10,4.165871658716587,0.007849472558700714,0.010200548325539098
0.06,0.06,1.0395553886588504,2.3936648943351166e-10,4.165871658716587,0.001973871085251469,0.0025953862756058045
0.06,0.07,0.8750097970523479,2.3936648943351166e-10,4.165871658716587,0.0026611103490305228,0.0032643319341878405
0.06,0.08,0.7081075608452777,2.3936648943351166e-10,4.165871658716587,0.004074092009923909,0.004574830952192771
0.06,0.09,0.5381764644090797,2.3936648943351166e-10,4.165871658716587,0.005809528518488117,0.0063540566696579735
0.07,0.07,1.046481755933204,2.419403226532267e-10,4.165871658716587,0.0021699543431715363,0.002656526559340133
0.07,0.08,0.9059849508043543,2.419403226532267e-10,4.165871658716587,0.002751327429312358,0.0034074556570213286
0.07,0.09,0.7635375711118023,2.419403226532267e-10,4.165871658716587,0.004122213481116276,0.004352448981600704
0.08,0.08,1.053509491666951,2.4457010876902273e-10,4.165871658716587,0.0023985755010485724,0.00301753575110261
0.08,0.09,0.9310711951070918,2.4457010876902273e-10,4.165871658716587,0.002943631846539079,0.003669863603245753
0.09,0.09,1.0606410150054735,2.4725769238186914e-10,4.165871658716587,0.0025307650705495882,0.0030129098822918275
0.11,0.11,1.0752255175414156,2.5281404501966395e-10,4.165871658716587,0.002905207905261184,0.0033882562318657003
0.12,0.12,1.0826837628814319,2.556869318948873e-10,4.165871658716587,0.0031157361779265928,0.003445559284259362
0.13,0.13,1.0902563362112878,2.586258621465528e-10,4.165871658716587,0.0031870082589770055,0.0035087996512640344
0.14,0.14,1.097946108857996,2.616331396133732e-10,4.165871658716587,0.003430000726964666,0.003868930211162885
0.15,0.15,1.1057560555884813,2.647111765500011e-10,4.165871658716587,0.003481614750392106,0.003942960473493807
0.16,0.16,1.1136892595488543,2.6786250008035834e-10,4.165871658716587,0.0035640524730734457,0.00381608920013219
0.17,0.17,1.1217489175003088,2.71089759117471e-10,4.165871658716587,0.003722604360606388,0.003917699903029952
0.18,0.18,1.1299383453732408,2.743957317896352e-10,4.165871658716587,0.0038388779322431022,0.004110732724468306
0.19,0.19,1.1382609841630418,2.777833334166678e-10,4.165871658716587,0.0039661676400905305,0.004427922131063868
0.21,0.21,1.1553203217723849,2.8481582287025427e-10,4.165871658716587,0.004211717843012252,0.004416509813321851
0.22,0.22,1.1640645862789334,2.884673077788472e-10,4.165871658716587,0.00437753567533087,0.004725939216920009
0.23,0.23,1.172957207700318,2.9221363645129984e-10,4.165871658716587,0.004407815877044179,0.004593034478246063
0.24,0.24,1.1820023546689093,2.9605855272039594e-10,4.165871658716587,0.004658196316837813,0.004951345995336201
0.25,0.25,1.19120436503011,3.000060000900011e-10,4.165871658716587,0.004683098812760813,0.005173676126750159
0.26,0.26,1.2005677549869138,3.040601352263525e-10,4.165871658716587,0.0049275539774287684,0.005191752066292365
0.27,0.27,1.210097228867802,3.082253425582204e-10,4.165871658716587,0.004925864494951755,0.005277442659838172
0.28,0.28,1.2197976895696174,3.125062500937512e-10,4.165871658716587,0.005454304037124942,0.005649795139006125
0.29,0.29,1.229674249732078,3.16907746573945e-10,4.165871658716587,0.00532027234052741,0.005611755006020612
0.31,0.31,1.2499772403855614,3.2609347835869696e-10,4.165871658716587,0.005528364239114269,0.0056803826383866034
0.32,0.32,1.2604150569749348,3.308889706875014e-10,4.165871658716587,0.00540149088300907,0.005707361917305873
0.33,0.33,1.2710517737815223,3.358276120410461e-10,4.165871658716587,0.00564754823308448,0.0059989755501443105
0.34,0.34,1.281893750119208,3.4091590919318326e-10,4.165871658716587,0.0056343616698621354,0.005861990673974171
0.35,0.35,1.2929476414289993,3.4616076933461673e-10,4.165871658716587,0.005788034624523846,0.006027449834385978
0.36,0.36,1.3042204177284589,3.5156953135547025e-10,4.165871658716587,0.005819825015886611,0.006086097605187956
0.37,0.37,1.3157193835158085,3.571500001071443e-10,4.165871658716587,0.005939374483273793,0.0062010399832783955
0.38,0.38,1.3274521992684327,3.6291048397984015e-10,4.165871658716587,0.005907169929430157,0.006225265032403748
0.39,0.39,1.3394269046914018,3.6885983617623097e-10,4.165871658716587,0.006214903835079994,0.006476607937393023
0.41,0.41,1.3641361926578157,3.8136355943644206e-10,4.165871658716587,0.006177647835371944,0.006583517388416228
0.42,0.42,1.3768889881052373,3.8793879321982907e-10,4.165871658716587,0.006378312108841936,0.006752891498762674
0.43,0.43,1.3899201608595144,3.9474473696052783e-10,4.165871658716587,0.006552189090696583,0.006944454756419784
0.44,0.44,1.4032400701229404,4.0179375012053735e-10,4.165871658716587,0.006785371970453357,0.006969148054147128
0.45,0.45,1.4168596418901167,4.090990910318197e-10,4.165871658716587,0.006851946449458657,0.0070975991304363965
0.46,0.46,1.4307904106749971,4.166750001250016e-10,4.165871658716587,0.006834400501287865,0.007053894161268905
0.47,0.47,1.4450445651410395,4.2453679258019024e-10,4.165871658716587,0.006990939735191187,0.007208128997934455
0.48,0.48,1.4596349980807526,4.32700961668271e-10,4.165871658716587,0.0071041564334237165,0.007366833156183702
0.49,0.49,1.4745753612514938,4.411852942500018e-10,4.165871658716587,0.007340619771537112,0.007643394955960778
0.51,0.51,1.5055646478477143,4.591928572806142e-10,4.165871658716587,0.007632931177692755,0.007934966739763061
0.52,0.52,1.5216452432511252,4.68759375140627e-10,4.165871658716587,0.007942144815775156,0.008238457720025707
0.53,0.53,1.538139266968456,4.787329788670233e-10,4.165871658716587,0.007959939741406278,0.008528731186120844
0.54,0.54,1.5550652034618422,4.891402175380455e-10,4.165871658716587,0.008648978470243632,0.008873084361967381
0.55,0.55,1.572442766023277,5.000100001500021e-10,4.165871658716587,0.008365735284748108,0.008682820010627642
0.56,0.56,1.5902930074403714,5.113738637897746e-10,4.165871658716587,0.008666213989084888,0.009115323389749446
0.57,0.57,1.6086384433899386,5.232662792267464e-10,4.165871658716587,0.00865648459997257,0.008799918665790274
0.58,0.58,1.627503190356941,5.357250001607165e-10,4.165871658716587,0.009027849450286254,0.009074194908528909
0.59,0.59,1.6469131201796612,5.487914635792704e-10,4.165871658716587,0.009023603238748604,0.009382590066962243
0.61,0.61,1.6874818563161362,5.769346155576944e-10,4.165871658716587,0.009855339862976046,0.010112928004337619
0.62,0.62,1.7087028591774003,5.921171054407919e-10,4.165871658716587,0.010106158395521455,0.010545508591343818
0.63,0.63,1.7305939095715457,6.08120270452705e-10,4.165871658716587,0.010732628187644415,0.011040753897006908
0.64,0.64,1.7531927558727805,6.250125001875024e-10,4.165871658716587,0.010642357618671449,0.0109424647914346
0.65,0.65,1.7765403525456835,6.428700001928598e-10,4.165871658716587,0.011078277321455656,0.01124091745783826
0.66,0.66,1.8006812322938008,6.617779413750028e-10,4.165871658716587,0.011392084538434578,0.011502754369523745
0.67,0.67,1.825663933783539,6.818318183863665e-10,4.165871658716587,0.011589612418329948,0.01192231021691564
0.68,0.68,1.8515414952088523,7.031390627109405e-10,4.165871658716587,0.011770113252551779,0.011988031250642192
0.69,0.69,1.8783720262447996,7.258209679596801e-10,4.165871658716587,0.01194606550233107,0.012163406221481536
0.71,0.71,1.935153900800814,7.758775864396581e-10,4.165871658716587,0.012946347090305682,0.013146084964304416
0.72,0.72,1.9652534013766958,8.035875002410747e-10,4.165871658716587,0.01339941087804916,0.013682776594597736
