m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.0,2.2500450006750095e-10,4.165871658716587,4.158643820441278e-06,6.500920093540454e-06
0.1,0.2,1.0,2.2500450006750095e-10,4.165871658716587,1.5608103718278236e-05,2.1396684970406834e-05
0.1,0.3,1.0,2.2500450006750095e-10,4.165871658716587,2.0965126071430707e-05,2.597814603626798e-05
0.1,0.4,1.0,2.2500450006750095e-10,4.165871658716587,2.6463389682904652e-05,3.269881318077836e-05
0.1,0.5,1.0,2.2500450006750095e-10,4.165871658716587,2.9730999021158284e-05,3.472385679087441e-05
0.1,0.6,1.0,2.2500450006750095e-10,4.165871658716587,3.427485975425893e-05,4.1227592321350175e-05
0.1,0.7,1.0,2.2500450006750095e-10,4.165871658716587,4.3777782438135006e-05,5.158271009169214e-05
0.1,0.8,1.0,2.2500450006750095e-10,4.165871658716587,4.4552488442096376e-05,5.211079284774579e-05
0.1,0.9,1.0,2.2500450006750095e-10,4.165871658716587,5.2385816761831244e-05,6.0544913265946254e-05
0.2,0.2,1.0,2.2500450006750095e-10,4.165871658716587,1.028273577981667e-05,1.204120591793463e-05
0.2,0.3,1.0,2.2500450006750095e-10,4.165871658716587,2.9227861924771956e-05,3.496645215168979e-05
0.2,0.4,1.0,2.2500450006750095e-10,4.165871658716587,3.2130425634473846e-05,4.0965366787837765e-05
0.2,0.5,1.0,2.2500450006750095e-10,4.165871658716587,4.079108119159518e-05,4.73709066834874e-05
0.2,0.6,1.0,2.2500450006750095e-10,4.165871658716587,4.6050454841433765e-05,5.752600938322505e-05
0.2,0.7,1.0,2.2500450006750095e-10,4.165871658716587,5.4551018150065015e-05,6.159196602073738e-05
0.2,0.8,1.0,2.2500450006750095e-10,4.165871658716587,5.692929997410667e-05,6.779552473464381e-05
0.2,0.9,1.0,2.2500450006750095e-10,4.165871658716587,6.340310076864547e-05,7.823857937852544e-05
0.3,0.3,1.0,2.2500450006750095e-10,4.165871658716587,1.5050410909546923e-05,1.8569259398496055e-05
0.3,0.4,1.0,2.2500450006750095e-10,4.165871658716587,4.749129646670314e-05,5.656821475547221e-05
0.3,0.5,1.0,2.2500450006750095e-10,4.165871658716587,5.140311188618307e-05,6.133204382052401e-05
0.3,0.6,1.0,2.2500450006750095e-10,4.165871658716587,6.308054189711462e-05,6.807002142792716e-05
0.3,0.7,1.0,2.2500450006750095e-10,4.165871658716587,6.757353010639728e-05,7.751059596243294e-05
0.3,0.8,1.0,2.2500450006750095e-10,4.165871658716587,7.217188559906516e-05,8.660482678498025e-05
0.3,0.9,1.0,2.2500450006750095e-10,4.165871658716587,7.874253204434041e-05,9.257814324219158e-05
