m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,4.165871658716587,-0.0023019348520216002,-0.0016507367897978,-0.0022854314033395,-0.0013637357998389,-0.0022705762113944,-0.0015049167061373999
0.1,0.2,4.165871658716587,-0.0203246506628177,-0.0191919614895504,,,-0.0204566421099017,-0.0199253377230728
0.1,0.3,4.165871658716587,-0.0425939345698767,-0.0412431625921849,,,-0.0427898965632471,
0.1,0.4,4.165871658716587,-0.06656407355240909,-0.0651650622533743,,,-0.06679419112656514,
0.1,0.5,4.165871658716587,-0.09221675047595759,-0.0908915728940754,,,-0.09247287459607646,
0.1,0.6,4.165871658716587,-0.1205840639258977,-0.1193660336623798,,,-0.12083009825101862,
0.1,0.7,4.165871658716587,-0.1509854508847617,-0.14961594435283432,,,-0.15123302181764636,
0.1,0.8,4.165871658716587,-0.18433451688284602,-0.18295253257399433,,,-0.18462627439083942,
0.1,0.9,4.165871658716587,-0.2211034561538978,-0.21954335220676488,,,-0.22138633230253538,
0.2,0.2,4.165871658716587,-0.0034901039198865,-0.0027558374913565,-0.0035567420517838,-0.0025760447828496002,-0.0034700790100659,-0.0026106752556408
0.2,0.3,4.165871658716587,-0.0228524807595842,-0.021477948037742,-0.0228115597914495,-0.0216384078639076,-0.022947872573855298,-0.0219552415540299
0.2,0.4,4.165871658716587,-0.048179478109929,-0.0468352399895601,,,-0.048287292912322505,-0.0475161092613403
0.2,0.5,4.165871658716587,-0.0761318971076251,-0.0747758620228033,,,-0.0762870466912432,
0.2,0.6,4.165871658716587,-0.1061823050668231,-0.10487990727468599,,,-0.1063465677286336,
0.2,0.7,4.165871658716587,-0.1390345824284819,-0.1378519804885552,,,-0.13923126816212011,
0.2,0.8,4.165871658716587,-0.17562743477668008,-0.17444749260205739,,,-0.1758610169783432,
0.2,0.9,4.165871658716587,-0.2159975634358054,-0.214991660033122,,,-0.21625949763476965,
0.3,0.3,4.165871658716587,-0.0047027327913698996,-0.0038017923596664,-0.0046621145865157,-0.0038099614762972,-0.0046294308941272,-0.0033780798768145
0.3,0.4,4.165871658716587,-0.0265686136182712,-0.0254484813598135,-0.0265701220149741,-0.025509263762863003,-0.0266119964096186,-0.0255291412918859
0.3,0.5,4.165871658716587,-0.055726389900026596,-0.054484856030280096,-0.0558869410431195,-0.054566316870919895,-0.0557782629629241,-0.0548203546220852
0.3,0.6,4.165871658716587,-0.08804123016180439,-0.08673046783822501,,,-0.08815350701997339,-0.0872660626292368
0.3,0.7,4.165871658716587,-0.1242947881579799,-0.1230065751344547,,,-0.1244215474667868,-0.123653640700352
