m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,1.9095647993081502,2.0250405006075078e-10,4.165871658716587,2.7839684178381236e-08,4.042420313900463e-07
0.1,0.2,2.8101304969712415,2.0250405006075078e-10,4.165871658716587,1.0301605128146543e-08,
0.1,0.3,3.699706179357965,2.0250405006075078e-10,4.165871658716587,6.680950412380875e-09,
0.1,0.4,4.575557117651626,2.0250405006075078e-10,4.165871658716587,3.6397237701393133e-09,
0.1,0.5,5.433780830483028,2.0250405006075078e-10,4.165871658716587,2.5174108758655003e-09,
0.1,0.6,6.268530136416277,2.0250405006075078e-10,4.165871658716587,1.9936869149275406e-09,
0.1,0.7,7.07045861030067,2.0250405006075078e-10,4.165871658716587,1.5954396759269788e-09,
0.1,0.8,7.823214990557688,2.0250405006075078e-10,4.165871658716587,1.4650880390660843e-09,
0.1,0.9,8.68108832519859,2.0250405006075078e-10,4.165871658716587,1.1085002440020637e-09,
0.2,0.2,1.8101304969712413,1.8000360005400076e-10,4.165871658716587,2.4675700729483157e-08,4.2384956566494134e-07
0.2,0.3,2.1997061793579644,1.8000360005400076e-10,4.165871658716587,1.7604157252062123e-08,
0.2,0.4,2.575557117651626,1.8000360005400076e-10,4.165871658716587,1.048360427662833e-08,
0.2,0.5,2.9337808304830277,1.8000360005400076e-10,4.165871658716587,8.995183411254761e-09,
0.2,0.6,3.268530136416277,1.8000360005400076e-10,4.165871658716587,6.804170708595497e-09,
0.2,0.7,3.575836803801503,1.8000360005400076e-10,4.165871658716587,7.509110108445602e-09,
0.2,0.8,3.9704599551232875,1.8000360005400076e-10,4.165871658716587,5.576146537970633e-09,
0.2,0.9,5.230080940978918,1.8000360005400076e-10,4.165871658716587,2.3914851560780293e-09,
0.3,0.3,1.699706179357965,1.5750315004725067e-10,4.165871658716587,3.068988107029571e-08,4.794972787478678e-07
0.3,0.4,1.9088904509849591,1.5750315004725067e-10,4.165871658716587,2.0364530200890913e-08,4.428900090312403e-07
0.3,0.5,2.101049174760391,1.5750315004725067e-10,4.165871658716587,2.1955772707199294e-08,
0.3,0.6,2.2850424732827324,1.5750315004725067e-10,4.165871658716587,1.7597233559822617e-08,
0.3,0.7,2.4985990964541287,1.5750315004725067e-10,4.165871658716587,1.125433181923393e-08,
0.3,0.8,2.8771120023427614,1.5750315004725067e-10,4.165871658716587,8.679160590886613e-09,
0.3,0.9,4.282067215305558,1.5750315004725067e-10,4.165871658716587,4.42435448257507e-09,
0.4,0.4,1.5755571176516256,1.3500270004050055e-10,4.165871658716587,2.8603140861209546e-08,5.833128440052916e-07
0.4,0.5,1.6946183296263162,1.3500270004050055e-10,4.165871658716587,2.986846479549655e-08,5.320950288046758e-07
0.4,0.6,1.8136258392169444,1.3500270004050055e-10,4.165871658716587,2.3520047492384034e-08,4.4438943753325816e-07
0.4,0.7,1.9790049893762511,1.3500270004050055e-10,4.165871658716587,2.0175935611961476e-08,3.889062210940688e-07
0.4,0.8,2.3272746158823994,1.3500270004050055e-10,4.165871658716587,1.3144739420993018e-08,
0.4,0.9,3.67439041890566,1.3500270004050055e-10,4.165871658716587,5.6065991195665055e-09,
0.5,0.5,1.433780830483027,1.1250225003375047e-10,4.165871658716587,4.130692830513985e-08,6.409404457067506e-07
0.5,0.6,1.5124860248224745,1.1250225003375047e-10,4.165871658716587,2.93189866410005e-08,6.356137752151256e-07
0.5,0.7,1.6326197279579056,1.1250225003375047e-10,4.165871658716587,3.0714897875508095e-08,6.490859649863037e-07
0.5,0.8,1.9294518950676753,1.1250225003375047e-10,4.165871658716587,1.9128777242935396e-08,3.9665967118542407e-07
0.5,0.9,3.07045861030067,1.1250225003375047e-10,4.165871658716587,9.12372873297052e-09,
0.6,0.6,1.268530136416278,9.000180002700038e-11,4.165871658716587,4.35111849397118e-08,1.0044643286597136e-06
0.6,0.7,1.3448557771330518,9.000180002700038e-11,4.165871658716587,4.864218809125992e-08,7.848295446778035e-07
0.6,0.8,1.5704586103006695,9.000180002700038e-11,4.165871658716587,4.0179280232561004e-08,6.6440102421484e-07
0.6,0.9,2.454458592793241,9.000180002700038e-11,4.165871658716587,1.3591208287577824e-08,
0.7,0.7,1.0704586103006692,6.750135002025028e-11,4.165871658716587,7.617398297936625e-08,1.366020633257997e-06
0.7,0.8,1.204458592793241,6.750135002025028e-11,4.165871658716587,5.6676561649754687e-08,1.0068153377225372e-06
0.7,0.9,1.823214990557691,6.750135002025028e-11,4.165871658716587,2.3061229427948472e-08,4.7562671815744705e-07
0.8,0.8,0.823214990557691,4.5000900013500165e-11,4.165871658716587,1.0771727814540723e-07,1.9868253759636537e-06
0.8,0.9,1.1721065788577625,4.5000900013500165e-11,4.165871658716587,5.4365275177558715e-08,1.1762528485898214e-06
0.9,0.9,0.4940287080441789,2.2500450006750082e-11,4.165871658716587,4.001041166773998e-07,7.244106361882828e-06
0.01,0.01,1.9913157536841377,2.2275445506682583e-10,4.165871658716587,2.0280168148574556e-08,3.3472777602600816e-07
0.01,0.02,2.982555430077965,2.2275445506682583e-10,4.165871658716587,8.117399949141001e-09,
0.01,0.03,3.9737176844607256,2.2275445506682583e-10,4.165871658716587,4.718339802526591e-09,
0.01,0.04,4.964801136140165,2.2275445506682583e-10,4.165871658716587,3.318823751267825e-09,
0.01,0.05,5.955804367157967,2.2275445506682583e-10,4.165871658716587,2.4141155641489014e-09,
0.01,0.06,6.946725920936476,2.2275445506682583e-10,4.165871658716587,1.8532310316142395e-09,
0.01,0.07,7.937564300863371,2.2275445506682583e-10,4.165871658716587,1.0979652214804369e-09,
0.01,0.08,8.928317968810918,2.2275445506682583e-10,4.165871658716587,8.055630485799635e-10,
0.01,0.09,9.918985343586185,2.2275445506682583e-10,4.165871658716587,9.569682961263441e-10,
0.02,0.02,1.9825554300779649,2.2050441006615078e-10,4.165871658716587,1.8805093965974834e-08,3.995410010591435e-07
0.02,0.03,2.473717684460726,2.2050441006615078e-10,4.165871658716587,1.23201150119579e-08,
0.02,0.04,2.9648011361401645,2.2050441006615078e-10,4.165871658716587,7.574831716105975e-09,
0.02,0.05,3.455804367157969,2.2050441006615078e-10,4.165871658716587,6.7497091519349235e-09,
0.02,0.06,3.9467259209364793,2.2050441006615078e-10,4.165871658716587,5.169140141184293e-09,
0.02,0.07,4.437564300863365,2.2050441006615078e-10,4.165871658716587,3.780262919817456e-09,
0.02,0.08,4.928317968810917,2.2050441006615078e-10,4.165871658716587,3.922559707197197e-09,
0.02,0.09,5.418985343586186,2.2050441006615078e-10,4.165871658716587,2.7894617286348377e-09,
0.03,0.03,1.9737176844607265,2.182543650654759e-10,4.165871658716587,1.9690837063932457e-08,3.7482315804062586e-07
0.03,0.04,2.298134469473497,2.182543650654759e-10,4.165871658716587,1.5838496777505166e-08,
0.03,0.05,2.622471033824637,2.182543650654759e-10,4.165871658716587,1.3875257119959394e-08,
0.03,0.06,2.946725920936479,2.182543650654759e-10,4.165871658716587,9.859981827388019e-09,
0.03,0.07,3.2708976341966998,2.182543650654759e-10,4.165871658716587,1.0550313276474963e-08,
0.03,0.08,3.5949846354775845,2.182543650654759e-10,4.165871658716587,4.324133551460346e-09,
0.03,0.09,3.918985343586184,2.182543650654759e-10,4.165871658716587,5.715667554168004e-09,
0.04,0.04,1.964801136140164,2.1600432006480083e-10,4.165871658716587,1.6903684256949157e-08,3.386502974965402e-07
0.04,0.05,2.20580436715797,2.1600432006480083e-10,4.165871658716587,1.7677835456821162e-08,
0.04,0.06,2.446725920936479,2.1600432006480083e-10,4.165871658716587,1.6329453734364925e-08,
0.04,0.07,2.6875643008633654,2.1600432006480083e-10,4.165871658716587,1.1593763799848166e-08,
0.04,0.08,2.928317968810916,2.1600432006480083e-10,4.165871658716587,1.0936256125373552e-08,
0.04,0.09,3.1689853435861837,2.1600432006480083e-10,4.165871658716587,7.1527096395079564e-09,
0.05,0.05,1.95580436715797,2.137542750641258e-10,4.165871658716587,1.995333424922799e-08,4.0286305388602214e-07
0.05,0.06,2.146725920936478,2.137542750641258e-10,4.165871658716587,1.914168551649679e-08,
0.05,0.07,2.337564300863367,2.137542750641258e-10,4.165871658716587,1.7536522025316776e-08,
0.05,0.08,2.5283179688109167,2.137542750641258e-10,4.165871658716587,1.2948365099685013e-08,
0.05,0.09,2.718985343586183,2.137542750641258e-10,4.165871658716587,1.1957331541743e-08,
0.06,0.06,1.9467259209364776,2.1150423006345087e-10,4.165871658716587,2.1193193726439644e-08,3.869431807102448e-07
0.06,0.07,2.104230967530033,2.1150423006345087e-10,4.165871658716587,1.5352083139406083e-08,
0.06,0.08,2.261651302144251,2.1150423006345087e-10,4.165871658716587,1.699344053988979e-08,
0.06,0.09,2.4189853435861832,2.1150423006345087e-10,4.165871658716587,1.4257667113700062e-08,
0.07,0.07,1.9375643008633656,2.0925418506277583e-10,4.165871658716587,2.0450651192419707e-08,4.1510719404513087e-07
