m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.1,0.1,2.091734574410594,2.50005000075001e-10,4.165871658716587,4.166285855536564e-06,
0.1,0.2,1.1467204006373655,2.50005000075001e-10,4.165871658716587,1.541009784805192e-05,1.9003634017554136e-05
0.1,0.3,0.0,2.50005000075001e-10,4.165871658716587,,
0.1,0.4,,2.50005000075001e-10,4.165871658716587,,
0.1,0.5,,2.50005000075001e-10,4.165871658716587,,
0.1,0.6,,2.50005000075001e-10,4.165871658716587,,
0.1,0.7,,2.50005000075001e-10,4.165871658716587,,
0.1,0.8,,2.50005000075001e-10,4.165871658716587,,
0.1,0.9,,2.50005000075001e-10,4.165871658716587,,
0.2,0.2,2.1957034347255657,2.8125562508437606e-10,4.165871658716587,1.0283198641618623e-05,
0.2,0.3,1.7873901856317849,2.8125562508437606e-10,4.165871658716587,2.9150407979424607e-05,3.0465390785942682e-05
0.2,0.4,1.351651942392443,2.8125562508437606e-10,4.165871658716587,3.2467521762910634e-05,3.720547631434513e-05
0.2,0.5,0.8317965641677488,2.8125562508437606e-10,4.165871658716587,4.105235886162473e-05,5.263523638269768e-05
0.2,0.6,0.0,2.8125562508437606e-10,4.165871658716587,,
0.2,0.7,,2.8125562508437606e-10,4.165871658716587,,
0.2,0.8,,2.8125562508437606e-10,4.165871658716587,,
0.2,0.9,,2.8125562508437606e-10,4.165871658716587,,
0.3,0.3,2.3152271442985195,3.214350000964299e-10,4.165871658716587,1.4864036522076056e-05,
0.3,0.4,2.098935712798195,3.214350000964299e-10,4.165871658716587,4.699857958003764e-05,
0.3,0.5,1.8847752157086266,3.214350000964299e-10,4.165871658716587,5.1149638433321943e-05,5.503612451469969e-05
0.3,0.6,1.6538596199166304,3.214350000964299e-10,4.165871658716587,6.272360987994264e-05,6.7013890483875e-05
0.3,0.7,1.3417092459390996,3.214350000964299e-10,4.165871658716587,6.616503313259172e-05,6.945590298795904e-05
0.3,0.8,0.6555876770041492,3.214350000964299e-10,4.165871658716587,7.347977757518292e-05,0.00010492117434568769
0.3,0.9,,3.214350000964299e-10,4.165871658716587,,
0.4,0.4,2.455171134975177,3.750075001125015e-10,4.165871658716587,2.3818555205829863e-05,
0.4,0.5,2.337355079671674,3.750075001125015e-10,4.165871658716587,7.13619438316184e-05,
0.4,0.6,2.2143565033183177,3.750075001125015e-10,4.165871658716587,7.730688913363149e-05,
0.4,0.7,2.0253591891370695,3.750075001125015e-10,4.165871658716587,8.403899216189288e-05,
0.4,0.8,1.5736412697537372,3.750075001125015e-10,4.165871658716587,9.856214736367761e-05,0.00010610522636408652
0.4,0.9,,3.750075001125015e-10,4.165871658716587,,
0.5,0.5,2.6230812603996645,4.500090001350019e-10,4.165871658716587,3.095396921705425e-05,
0.5,0.6,2.5512438364419507,4.500090001350019e-10,4.165871658716587,9.437410653803141e-05,
0.5,0.7,2.433763081857055,4.500090001350019e-10,4.165871658716587,0.00011417634203997993,
0.5,0.8,2.0882727424955005,4.500090001350019e-10,4.165871658716587,0.0001144192992983691,
0.5,0.9,,4.500090001350019e-10,4.165871658716587,,
0.6,0.6,2.8316026503692244,5.625112501687521e-10,4.165871658716587,4.0552865557813466e-05,
0.6,0.7,2.7715112802169353,5.625112501687521e-10,4.165871658716587,0.0001466680803285673,
0.6,0.8,2.5341435514937785,5.625112501687521e-10,4.165871658716587,0.00015567266878014165,
0.6,0.9,1.279512022868854,5.625112501687521e-10,4.165871658716587,0.0001991047547527042,0.0002240787942142974
0.7,0.7,3.1044455771710426,7.500150002250029e-10,4.165871658716587,7.707526308752231e-05,
0.7,0.8,2.9966523786733648,7.500150002250029e-10,4.165871658716587,0.0002401658678865918,
