m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.1,4.165871658716587,-4.078658354969793e-06,,-4.147733156248971e-06,,-4.069371370079006e-06,
0.1,0.2,4.165871658716587,-1.5371822318124925e-05,,-1.5387801551103665e-05,,-1.5383817009945034e-05,
0.1,0.3,4.165871658716587,-2.089331765772584e-05,,,,-2.0904674136700966e-05,
0.1,0.4,4.165871658716587,-2.6374652336495973e-05,,,,-2.638604554007285e-05,
0.1,0.5,4.165871658716587,-2.936298971028086e-05,,,,-2.937968041242001e-05,
0.1,0.6,4.165871658716587,-3.4135636542618905e-05,,,,-3.415375066967345e-05,
0.1,0.7,4.165871658716587,-4.325347134360229e-05,,,,-4.327901463352863e-05,
0.1,0.8,4.165871658716587,-4.40690163317738e-05,,,,-4.408641613259792e-05,
0.1,0.9,4.165871658716587,-5.1685653193262585e-05,,,,-5.170666589823689e-05,
0.2,0.2,4.165871658716587,-1.0231718425481144e-05,,-1.0261833102979361e-05,,-1.0228408263390925e-05,
0.2,0.3,4.165871658716587,-2.922128684242962e-05,,-2.912421140331258e-05,,-2.9229879261289585e-05,
0.2,0.4,4.165871658716587,-3.1808752952236555e-05,,-3.244919302259488e-05,,-3.1816598088275684e-05,
0.2,0.5,4.165871658716587,-4.06606249399945e-05,,-4.102859308730674e-05,,-4.067539553090124e-05,
0.2,0.6,4.165871658716587,-4.5943032185421236e-05,,,,-4.5955175136169926e-05,
0.2,0.7,4.165871658716587,-5.3891803875816685e-05,,,,-5.390391506801976e-05,
0.2,0.8,4.165871658716587,-5.738932303167395e-05,,,,-5.740356040004534e-05,
0.2,0.9,4.165871658716587,-6.291292474904878e-05,,,,-6.293167584137845e-05,
0.3,0.3,4.165871658716587,-1.488840581515081e-05,,-1.4844349001821128e-05,,-1.4877403454335441e-05,
0.3,0.4,4.165871658716587,-4.757772555425194e-05,,-4.697901160430413e-05,,-4.7576928999784563e-05,
0.3,0.5,4.165871658716587,-5.109181968644625e-05,,-5.1127729673508376e-05,,-5.109177267355261e-05,
0.3,0.6,4.165871658716587,-6.225288722845848e-05,,-6.27004336496797e-05,,-6.22584662251616e-05,
0.3,0.7,4.165871658716587,-6.542985981377152e-05,,-6.614805460506463e-05,,-6.543558400947938e-05,
0.3,0.8,4.165871658716587,-7.062324990471861e-05,,-7.34612968431591e-05,,-7.063305147615155e-05,
0.3,0.9,4.165871658716587,-7.746317135229074e-05,,,,-7.74748811320522e-05,
0.4,0.4,4.165871658716587,-2.3710167182727238e-05,,-2.3795833611224782e-05,,-2.370428563647111e-05,
0.4,0.5,4.165871658716587,-7.153320777537501e-05,,-7.134240374214458e-05,,-7.152287940005332e-05,
0.4,0.6,4.165871658716587,-7.732978154737993e-05,,-7.72876218019638e-05,,-7.732552883155524e-05,
0.4,0.7,4.165871658716587,-8.370216896073995e-05,,-8.401816645057471e-05,,-8.370281873644616e-05,
0.4,0.8,4.165871658716587,-9.838223047281661e-05,,-9.853990608423944e-05,,-9.839132701283376e-05,
0.4,0.9,4.165871658716587,-9.696884310647486e-05,,,,-9.698676490368441e-05,
0.5,0.5,4.165871658716587,-3.122441270849256e-05,,-3.0933571744478046e-05,,-3.1203503252763625e-05,
0.5,0.6,4.165871658716587,-9.510071738056802e-05,,-9.435852794505284e-05,,-9.508697698690558e-05,
0.5,0.7,4.165871658716587,-0.00011475761172931359,,-0.00011415398221451358,,-0.0001147492566568245,
0.5,0.8,4.165871658716587,-0.00011502567288214591,,-0.0001143985992920459,,-0.00011502724411115706,
0.5,0.9,4.165871658716587,-0.00014241978942022764,,,,-0.00014243197034206702,
0.6,0.6,4.165871658716587,-4.0695434699738156e-05,,-4.0534588424566636e-05,,-4.067020064804527e-05,
0.6,0.7,4.165871658716587,-0.0001468781455312128,,-0.00014664601626651283,,-0.00014685156740510875,
0.6,0.8,4.165871658716587,-0.00015725893538034367,,-0.00015565030758584367,,-0.00015724111729436744,
0.6,0.9,4.165871658716587,-0.00019861457416995846,,-0.00019908448034415847,,-0.00019862125737021242,
0.7,0.7,4.165871658716587,-7.67611743304519e-05,,-7.705903140434918e-05,,-7.670123203064566e-05,
0.7,0.8,4.165871658716587,-0.00023741684028669806,,-0.00024014634355009807,,-0.00023737968806145023,
0.7,0.9,4.165871658716587,-0.00027388536002259596,,-0.00026999749995689593,,-0.0002738798121287721,
0.8,0.8,4.165871658716587,-0.00013548680732770117,,-0.00013402118029360116,,-0.0001353969042215546,
0.8,0.9,4.165871658716587,-0.00040363415654977547,,-0.00040121443758307546,,-0.00040359905358532247,
0.9,0.9,4.165871658716587,-0.00033947934525700176,,-0.0003399795782159017,,-0.0003391011532813226,
0.01,0.01,4.165871658716587,-3.239343222099245e-07,,-3.0379702312200065e-07,,-3.200695535658637e-07,
0.01,0.02,4.165871658716587,-1.2030763323438645e-06,,-1.2893116081800575e-06,,-1.2181324391332381e-06,
0.01,0.03,4.165871658716587,-1.8379637190601362e-06,,,,-1.8512404936819985e-06,
0.01,0.04,4.165871658716587,-2.4214497624351133e-06,,,,-2.4411813879395433e-06,
0.01,0.05,4.165871658716587,-2.601790558641924e-06,,,,-2.6183043675125086e-06,
0.01,0.06,4.165871658716587,-3.2151189426594603e-06,,,,-3.233183707848686e-06,
0.01,0.07,4.165871658716587,-3.445116563096782e-06,,,,-3.466062090949771e-06,
0.01,0.08,4.165871658716587,-4.450633906745884e-06,,,,-4.469644825082808e-06,
0.01,0.09,4.165871658716587,-4.267953753464991e-06,,,,-4.288323064184113e-06,
0.02,0.02,4.165871658716587,-7.336069932890984e-07,,-7.274638394430523e-07,,-7.384742019726932e-07,
0.02,0.03,4.165871658716587,-1.6087783706345067e-06,,-1.6279623010788942e-06,,-1.6203491735527622e-06,
0.02,0.04,4.165871658716587,-2.6054147165961906e-06,,-2.7112589801774213e-06,,-2.6175537215093746e-06,
0.02,0.05,4.165871658716587,-3.316380508941288e-06,,-4.055090450970543e-06,,-3.3323625857076174e-06,
0.02,0.06,4.165871658716587,-3.821340954698892e-06,,,,-3.83673231845732e-06,
0.02,0.07,4.165871658716587,-4.0438887449027e-06,,,,-4.059117363569338e-06,
0.02,0.08,4.165871658716587,-4.414276346922949e-06,,,,-4.428461473481963e-06,
0.02,0.09,4.165871658716587,-4.902706942317392e-06,,,,-4.920608380955311e-06,
0.03,0.03,4.165871658716587,-1.2702849788644952e-06,,-1.2399360008800743e-06,,-1.2722666828515596e-06,
0.03,0.04,4.165871658716587,-2.125899961259961e-06,,-2.200034519545875e-06,,-2.1301981643032637e-06,
0.03,0.05,4.165871658716587,-3.40040741838464e-06,,-3.3497738863545443e-06,,-3.4100848442880563e-06,
0.03,0.06,4.165871658716587,-4.183210425554198e-06,,-4.470145955871695e-06,,-4.2021481007089915e-06,
0.03,0.07,4.165871658716587,-4.792396802476338e-06,,-5.00993988835281e-06,,-4.80032183418997e-06,
0.03,0.08,4.165871658716587,-5.188297190490957e-06,,-6.4602542634587645e-06,,-5.201717355014783e-06,
0.03,0.09,4.165871658716587,-5.581343881968006e-06,,,,-5.598912986708108e-06,
0.04,0.04,4.165871658716587,-1.4328641080160753e-06,,-1.4216940988211348e-06,,-1.4390021535881636e-06,
0.04,0.05,4.165871658716587,-2.8659804508948956e-06,,-2.894779098753866e-06,,-2.8666847501873683e-06,
0.04,0.06,4.165871658716587,-3.997738383090403e-06,,-4.129532974237993e-06,,-3.998941553295895e-06,
0.04,0.07,4.165871658716587,-4.958334408706304e-06,,-4.931415279675701e-06,,-4.966533327476048e-06,
0.04,0.08,4.165871658716587,-5.815336014820311e-06,,-5.785623684729593e-06,,-5.82358293237477e-06,
0.04,0.09,4.165871658716587,-6.145983145814546e-06,,-6.3317054163985926e-06,,-6.160145750761551e-06,
0.05,0.05,4.165871658716587,-2.010993450964999e-06,,-1.9185715786086548e-06,,-2.0122847997730923e-06,
0.05,0.06,4.165871658716587,-3.1861572698871073e-06,,-3.1688650630545543e-06,,-3.1839419548869685e-06,
0.05,0.07,4.165871658716587,-5.191987943855801e-06,,-5.2499115817949556e-06,,-5.192360018889987e-06,
0.05,0.08,4.165871658716587,-5.981654991883119e-06,,-6.0799852086375955e-06,,-5.991805527699495e-06,
0.05,0.09,4.165871658716587,-6.800510974527697e-06,,-6.847782922379289e-06,,-6.811882579776989e-06,
0.06,0.06,4.165871658716587,-2.210470015948035e-06,,-2.269243099561333e-06,,-2.2093006519406687e-06,
0.06,0.07,4.165871658716587,-3.6549871961628936e-06,,-3.5813312491042305e-06,,-3.666788046036196e-06,
0.06,0.08,4.165871658716587,-5.657708365925112e-06,,-5.711168222668235e-06,,-5.658816741213397e-06,
0.06,0.09,4.165871658716587,-6.911334475431564e-06,,-7.05304533408535e-06,,-6.917398474226869e-06,
0.07,0.07,4.165871658716587,-2.59175155461837e-06,,-2.605601924277333e-06,,-2.5870638032838156e-06,
0.07,0.08,4.165871658716587,-4.0094776282359724e-06,,-4.109128792099792e-06,,-4.0172740363919635e-06,
0.07,0.09,4.165871658716587,-6.2904360648053855e-06,,-6.337821028655159e-06,,-6.292095130387257e-06,
0.08,0.08,4.165871658716587,-3.7642527454371576e-06,,-3.691503129028783e-06,,-3.764537654251649e-06,
0.08,0.09,4.165871658716587,-4.621543070682982e-06,,-4.614572086622668e-06,,-4.620954412065365e-06,
0.09,0.09,4.165871658716587,-4.0358681839515704e-06,,-4.008802472606261e-06,,-4.034378470040432e-06,
0.11,0.11,4.165871658716587,-4.740315245927914e-06,,-4.68520482918542e-06,,-4.741140275101099e-06,
0.12,0.12,4.165871658716587,-5.194904972450263e-06,,-5.1711809885189e-06,,-5.1890592721959734e-06,
0.13,0.13,4.165871658716587,-5.058031671804871e-06,,-5.01807438153534e-06,,-5.055321706705437e-06,
0.14,0.14,4.165871658716587,-5.930447521990272e-06,,-5.904035552774847e-06,,-5.921440881061507e-06,
0.15,0.15,4.165871658716587,-7.161829218310008e-06,,-7.183666740691646e-06,,-7.164613827916552e-06,
0.16,0.16,4.165871658716587,-6.918398435414692e-06,,-6.753766992119389e-06,,-6.913593390599225e-06,
0.17,0.17,4.165871658716587,-7.452363279026861e-06,,-7.33230900218044e-06,,-7.444268476926654e-06,
0.18,0.18,4.165871658716587,-7.074324318498105e-06,,-6.950396184028637e-06,,-7.071902319611299e-06,
0.19,0.19,4.165871658716587,-8.603815626923137e-06,,-8.48509681832208e-06,,-8.595850212170672e-06,
0.21,0.21,4.165871658716587,-8.288487389380783e-06,,-8.308679660051908e-06,,-8.285035810630236e-06,
0.22,0.22,4.165871658716587,-9.097728987053596e-06,,-9.279195156723374e-06,,-9.090133625996255e-06,
0.23,0.23,4.165871658716587,-9.720418752040566e-06,,-9.695835956069898e-06,,-9.712517582039563e-06,
0.24,0.24,4.165871658716587,-1.1182536812353494e-05,,-1.1240415853505395e-05,,-1.117308567150001e-05,
0.25,0.25,4.165871658716587,-1.0809238880847253e-05,,-1.0746904051343734e-05,,-1.0809715779533161e-05,
0.26,0.26,4.165871658716587,-1.1900359005430584e-05,,-1.2082633563112987e-05,,-1.1891557996063042e-05,
0.27,0.27,4.165871658716587,-1.1732613776666284e-05,,-1.1700203761245024e-05,,-1.1722502644982749e-05,
0.28,0.28,4.165871658716587,-1.5061229760176312e-05,,-1.518989434534267e-05,,-1.505347292292542e-05,
0.29,0.29,4.165871658716587,-1.3429244911985269e-05,,-1.3319867357481372e-05,,-1.3420395644198986e-05,
0.31,0.31,4.165871658716587,-1.7122870454914545e-05,,-1.687323852846083e-05,,-1.7117141503813304e-05,
0.32,0.32,4.165871658716587,-1.5295473813185293e-05,,-1.5511956886518682e-05,,-1.529113085574497e-05,
0.33,0.33,4.165871658716587,-1.8583025056786044e-05,,-1.8431622481999608e-05,,-1.8567682473189626e-05,
0.34,0.34,4.165871658716587,-1.8659420506031517e-05,,-1.851414597982805e-05,,-1.8658286726039304e-05,
0.35,0.35,4.165871658716587,-2.1215716239684762e-05,,-2.1434331011888365e-05,,-2.120955130533641e-05,
0.36,0.36,4.165871658716587,-1.988621061621625e-05,,-1.9908412639548896e-05,,-1.9874353163187408e-05,
0.37,0.37,4.165871658716587,-2.259943241100028e-05,,-2.2650990002383327e-05,,-2.2591424540356606e-05,
0.38,0.38,4.165871658716587,-2.1357616663837113e-05,,-2.1471978729317513e-05,,-2.1341707453126613e-05,
