Epsilon;m;M;DiffEvol;HypValue;Difference
0;0.01;0.02;1.00000007122498;1.00000000000000;-7.12249768053397e-8
0;0.01;0.03;1.99999988308089;2.00000000000000;1.16919114390157e-7
0;0.01;0.04;2.99999966894152;3.00000000000000;3.31058482405666e-7
0;0.01;0.05;3.99999954624464;4.00000000000000;4.53755364837605e-7
0;0.01;0.06;4.99999995352525;5.00000000000000;4.64747538231336e-8
0;0.01;0.07;6.00000002996387;6.00000000000000;-2.99638740486330e-8
0;0.01;0.08;6.99999970760159;7.00000000000000;2.92398406820382e-7
0;0.01;0.09;7.99999937326462;8.00000000000000;6.26735379150034e-7
0;0.01;0.1;8.99999888429243;9.00000000000000;1.11570757255208e-6
0;0.01;0.11;9.99999954691123;10.0000000000000;4.53088768281873e-7
0;0.01;0.12;10.9999991463904;11.0000000000000;8.53609638085118e-7
0;0.01;0.13;11.9999988524483;12.0000000000000;1.14755173186154e-6
0;0.01;0.14;12.9999995062792;13.0000000000000;4.93720797578590e-7
0;0.01;0.15;13.9999996561231;14.0000000000000;3.43876925157360e-7
0;0.01;0.16;14.9999988530447;15.0000000000000;1.14695526498565e-6
0;0.01;0.17;15.9999989905215;16.0000000000000;1.00947846526367e-6
0;0.01;0.18;16.9999971024994;17.0000000000000;2.89750063586780e-6
0;0.01;0.19;17.9999995188305;18.0000000000000;4.81169539767734e-7
0;0.01;0.2;18.9999997933606;19.0000000000000;2.06639384714435e-7
0;0.01;0.21;19.9999988972255;20.0000000000000;1.10277452947116e-6
0;0.01;0.22;20.9999973547815;21.0000000000000;2.64521848691857e-6
0;0.01;0.23;21.9999995024679;22.0000000000000;4.97532116838784e-7
0;0.01;0.24;22.9999991432321;23.0000000000000;8.56767858437024e-7
0;0.01;0.25;23.9999972253645;24.0000000000000;2.77463551867640e-6
0;0.01;0.26;24.9999979921723;25.0000000000000;2.00782768544627e-6
0;0.01;0.27;25.9999995530261;26.0000000000000;4.46973860590560e-7
0;0.01;0.28;26.9999978216465;27.0000000000000;2.17835350468931e-6
0;0.01;0.29;27.9999966014591;28.0000000000000;3.39854089048686e-6
0;0.01;0.3;28.9999980555290;29.0000000000000;1.94447104462370e-6
0;0.01;0.31;29.9999984480839;30.0000000000000;1.55191605344385e-6
0;0.01;0.32;30.9999995077700;31.0000000000000;4.92229997206550e-7
0;0.01;0.33;31.9999946585863;32.0000000000000;5.34141367225516e-6
0;0.01;0.34;32.9999982401073;33.0000000000000;1.75989272577226e-6
