m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.2276317642164649,8.488814450957049e-10,0.844,0.27,0.616,0.552
0.1,0.2,1.204751720390425,8.488814450957049e-10,1.0,,0.996,0.99
0.1,0.3,2.181335897592665,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.4,3.1573586003831196,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.5,4.132792239318897,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.6,5.1076071401137195,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.7,6.08177132813837,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.8,7.055250284336993,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.9,8.029507033393072,8.488814450957049e-10,1.0,,1.0,1.0
0.2,0.2,0.20475172039042486,7.545612845295155e-10,0.814,0.248,0.57,0.454
0.2,0.3,0.6813358975926657,7.545612845295155e-10,0.996,0.622,0.972,0.948
0.2,0.4,1.1573586003831198,7.545612845295155e-10,1.0,,0.998,0.986
0.2,0.5,1.632792239318899,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.6,2.1076071401137213,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.7,2.5817713281383705,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.8,3.0573522448022388,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.9,4.184423931697394,7.545612845295155e-10,1.0,,1.0,1.0
0.3,0.3,0.1813358975926658,6.602411239633259e-10,0.786,0.212,0.522,0.446
0.3,0.4,0.49069193371645264,6.602411239633259e-10,0.982,0.524,0.916,0.868
0.3,0.5,0.7994589059855651,6.602411239633259e-10,0.998,0.69,0.976,0.984
0.3,0.6,1.107607140113722,6.602411239633259e-10,1.0,,0.996,0.986
0.3,0.7,1.4170752389268555,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.8,1.8318256398571757,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.9,3.1680653810118526,6.602411239633259e-10,1.0,,1.0,1.0
0.4,0.4,0.1573586003831194,5.659209633971366e-10,0.702,0.188,0.458,0.392
0.4,0.5,0.3827922393188983,5.659209633971366e-10,0.96,0.386,0.832,0.786
0.4,0.6,0.608842815911888,5.659209633971366e-10,0.994,0.596,0.96,0.934
0.4,0.7,0.8614405358423055,5.659209633971366e-10,0.998,0.744,0.98,0.994
0.4,0.8,1.2587587916218517,5.659209633971366e-10,1.0,,0.996,0.994
0.4,0.9,2.5947726679531735,5.659209633971366e-10,1.0,,1.0,1.0
0.5,0.5,0.13279223931889822,4.716008028309471e-10,0.638,0.158,0.388,0.328
0.5,0.6,0.31363298754965957,4.716008028309471e-10,0.908,0.31,0.75,0.676
0.5,0.7,0.5281196739639038,4.716008028309471e-10,0.986,0.548,0.936,0.904
0.5,0.8,0.8877165533807067,4.716008028309471e-10,1.0,0.764,0.988,0.994
0.5,0.9,2.0817713281383723,4.716008028309471e-10,1.0,,1.0,1.0
0.6,0.6,0.10760714011372241,3.772806422647577e-10,0.514,0.144,0.296,0.248
0.6,0.7,0.3186641024073341,3.772806422647577e-10,0.922,0.326,0.748,0.702
0.6,0.8,0.5900686112809056,3.772806422647577e-10,0.994,0.588,0.94,0.944
0.6,0.9,1.5685987243816586,3.772806422647577e-10,1.0,,1.0,1.0
0.7,0.7,0.08177132813837003,2.8296048169856833e-10,0.42,0.132,0.25,0.198
0.7,0.8,0.37858161294290865,2.8296048169856833e-10,0.966,0.406,0.82,0.792
0.7,0.9,1.0552502843369957,2.8296048169856833e-10,0.998,,0.996,0.988
0.8,0.8,0.055250284336995255,1.8864032113237884e-10,0.296,0.068,0.156,0.152
0.8,0.9,0.5417212500717896,1.8864032113237884e-10,0.99,0.554,0.938,0.938
0.9,0.9,0.028006667885320094,9.432016056618942e-11,0.174,0.046,0.086,0.084
0.01,0.01,0.2477855577623473,9.337695896052754e-10,0.844,0.304,0.662,0.624
0.01,0.02,1.2455662008850723,9.337695896052754e-10,1.0,,1.0,0.994
0.01,0.03,2.243341907504956,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.04,3.241112655612566,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.05,4.238878423050941,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.06,5.23663918751428,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.07,6.234394926546605,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.08,7.232145617540397,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.09,8.229891237735247,9.337695896052754e-10,1.0,,1.0,1.0
0.02,0.02,0.24556620088507244,9.243375735486561e-10,0.836,0.304,0.666,0.628
0.02,0.03,0.7433419075049564,9.243375735486561e-10,0.994,0.704,0.972,0.98
0.02,0.04,1.2411126556125651,9.243375735486561e-10,1.0,,0.998,0.996
0.02,0.05,1.7388784230509404,9.243375735486561e-10,1.0,,1.0,1.0
0.02,0.06,2.236639187514281,9.243375735486561e-10,1.0,,1.0,1.0
0.02,0.07,2.734394926546604,9.243375735486561e-10,1.0,,1.0,1.0
0.02,0.08,3.232145617540396,9.243375735486561e-10,1.0,,1.0,1.0
0.02,0.09,3.7298912377352456,9.243375735486561e-10,1.0,,1.0,1.0
0.03,0.03,0.2433419075049566,9.14905557492037e-10,0.86,0.314,0.674,0.606
0.03,0.04,0.5744459889458984,9.14905557492037e-10,0.994,0.582,0.962,0.946
0.03,0.05,0.905545089717607,9.14905557492037e-10,0.998,0.8,0.994,0.994
0.03,0.06,1.2366391875142804,9.14905557492037e-10,1.0,,1.0,0.994
0.03,0.07,1.5677282598799365,9.14905557492037e-10,1.0,,1.0,1.0
0.03,0.08,1.8988122842070634,9.14905557492037e-10,1.0,,1.0,1.0
0.03,0.09,2.2298912377352464,9.14905557492037e-10,1.0,,1.0,1.0
0.04,0.04,0.2411126556125652,9.054735414354184e-10,0.824,0.286,0.71,0.568
0.04,0.05,0.48887842305094004,9.054735414354184e-10,0.984,0.528,0.928,0.878
0.04,0.06,0.73663918751428,9.054735414354184e-10,0.998,0.686,0.986,0.974
0.04,0.07,0.9843949265466035,9.054735414354184e-10,1.0,0.812,1.0,0.998
0.04,0.08,1.2321456175403964,9.054735414354184e-10,1.0,,1.0,0.994
0.04,0.09,1.4798912377352467,9.054735414354184e-10,1.0,,1.0,0.998
0.05,0.05,0.23887842305094018,8.960415253787996e-10,0.84,0.314,0.656,0.586
0.05,0.06,0.4366391875142801,8.960415253787996e-10,0.978,0.462,0.892,0.846
0.05,0.07,0.6343949265466036,8.960415253787996e-10,0.994,0.642,0.968,0.952
0.05,0.08,0.8321456175403962,8.960415253787996e-10,1.0,0.742,0.99,0.98
0.05,0.09,1.0298912377352465,8.960415253787996e-10,1.0,,0.998,0.996
0.06,0.06,0.23663918751428026,8.866095093221806e-10,0.846,0.324,0.68,0.584
0.06,0.07,0.40106159321327006,8.866095093221806e-10,0.958,0.438,0.914,0.802
0.06,0.08,0.5654789508737297,8.866095093221806e-10,0.992,0.584,0.97,0.942
0.06,0.09,0.7298912377352469,8.866095093221806e-10,0.996,0.694,0.988,0.982
0.07,0.07,0.23439492654660346,8.771774932655613e-10,0.836,0.314,0.696,0.61
0.07,0.08,0.37500276039753894,8.771774932655613e-10,0.946,0.434,0.864,0.774
0.07,0.09,0.5156055234495325,8.771774932655613e-10,0.992,0.548,0.938,0.89
0.08,0.08,0.2321456175403962,8.677454772089426e-10,0.82,0.286,0.676,0.576
0.08,0.09,0.35489123773524706,8.677454772089426e-10,0.936,0.406,0.852,0.77
0.09,0.09,0.229891237735247,8.583134611523236e-10,0.878,0.278,0.646,0.552
0.11,0.11,0.22536717391368066,8.394494290390861e-10,0.81,0.276,0.64,0.52
0.12,0.12,0.22309744359943545,8.300174129824673e-10,0.802,0.278,0.622,0.488
0.13,0.13,0.22082254988774924,8.20585396925848e-10,0.794,0.284,0.622,0.484
0.14,0.14,0.21854246923267656,8.111533808692291e-10,0.794,0.278,0.622,0.484
0.15,0.15,0.216257177926844,8.017213648126102e-10,0.816,0.274,0.588,0.528
0.16,0.16,0.21396665209996982,7.922893487559912e-10,0.814,0.26,0.606,0.494
0.17,0.17,0.21167086771737015,7.828573326993724e-10,0.836,0.282,0.59,0.506
0.18,0.18,0.2093698005784441,7.734253166427533e-10,0.802,0.298,0.6,0.494
0.19,0.19,0.20706342631514338,7.639933005861343e-10,0.784,0.258,0.584,0.458
0.21,0.21,0.20243465809668282,7.451292684728968e-10,0.802,0.254,0.57,0.502
0.22,0.22,0.20011221455416608,7.356972524162776e-10,0.808,0.246,0.56,0.496
0.23,0.23,0.19778436470937377,7.262652363596585e-10,0.736,0.248,0.562,0.46
0.24,0.24,0.19545108333343392,7.168332203030395e-10,0.78,0.244,0.55,0.486
0.25,0.25,0.19311234502046387,7.074012042464206e-10,0.83,0.254,0.54,0.468
0.26,0.26,0.19076812418590924,6.979691881898017e-10,0.79,0.264,0.514,0.484
0.27,0.27,0.18841839506486482,6.885371721331829e-10,0.796,0.254,0.516,0.462
0.28,0.28,0.18606313171037664,6.791051560765638e-10,0.762,0.24,0.544,0.462
0.29,0.29,0.18370230799172074,6.696731400199447e-10,0.774,0.234,0.558,0.454
0.31,0.31,0.17896387400971187,6.508091079067069e-10,0.732,0.23,0.504,0.438
0.32,0.32,0.17658621055030907,6.413770918500882e-10,0.72,0.23,0.504,0.422
0.33,0.33,0.1742028803310564,6.319450757934689e-10,0.778,0.228,0.482,0.426
0.34,0.34,0.17181385627587667,6.225130597368502e-10,0.71,0.222,0.498,0.402
0.35,0.35,0.16941911111417207,6.130810436802313e-10,0.712,0.194,0.492,0.372
0.36,0.36,0.16701861737895565,6.036490276236126e-10,0.72,0.21,0.53,0.428
