m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.25,9.432016056618942e-10,0.85,0.282,0.67,0.588
0.1,0.2,0.25,9.432016056618942e-10,0.84,0.258,0.654,0.586
0.1,0.3,0.25,9.432016056618942e-10,0.848,0.282,0.668,0.59
0.1,0.4,0.25,9.432016056618942e-10,0.84,0.256,0.654,0.582
0.1,0.5,0.25,9.432016056618942e-10,0.848,0.282,0.67,0.592
0.1,0.6,0.25,9.432016056618942e-10,0.84,0.256,0.652,0.58
0.1,0.7,0.25,9.432016056618942e-10,0.848,0.282,0.67,0.594
0.1,0.8,0.25,9.432016056618942e-10,0.84,0.256,0.652,0.578
0.1,0.9,0.25,9.432016056618942e-10,0.85,0.282,0.67,0.596
0.2,0.2,0.25,9.432016056618942e-10,0.842,0.258,0.654,0.578
0.2,0.3,0.25,9.432016056618942e-10,0.848,0.282,0.668,0.594
0.2,0.4,0.25,9.432016056618942e-10,0.842,0.254,0.654,0.578
0.2,0.5,0.25,9.432016056618942e-10,0.846,0.282,0.672,0.598
0.2,0.6,0.25,9.432016056618942e-10,0.844,0.258,0.652,0.574
0.2,0.7,0.25,9.432016056618942e-10,0.846,0.28,0.67,0.6
0.2,0.8,0.25,9.432016056618942e-10,0.842,0.258,0.652,0.574
0.2,0.9,0.25,9.432016056618942e-10,0.848,0.282,0.67,0.6
0.3,0.3,0.25,9.432016056618942e-10,0.84,0.258,0.656,0.574
0.3,0.4,0.25,9.432016056618942e-10,0.85,0.28,0.666,0.6
0.3,0.5,0.25,9.432016056618942e-10,0.84,0.258,0.658,0.574
0.3,0.6,0.25,9.432016056618942e-10,0.848,0.28,0.664,0.6
0.3,0.7,0.25,9.432016056618942e-10,0.84,0.26,0.66,0.574
0.3,0.8,0.25,9.432016056618942e-10,0.848,0.28,0.662,0.598
0.3,0.9,0.25,9.432016056618942e-10,0.842,0.26,0.66,0.574
0.4,0.4,0.25,9.432016056618942e-10,0.848,0.28,0.662,0.598
0.4,0.5,0.25,9.432016056618942e-10,0.84,0.26,0.66,0.576
0.4,0.6,0.25,9.432016056618942e-10,0.848,0.278,0.662,0.596
0.4,0.7,0.25,9.432016056618942e-10,0.84,0.26,0.66,0.578
0.4,0.8,0.25,9.432016056618942e-10,0.848,0.278,0.662,0.598
0.4,0.9,0.25,9.432016056618942e-10,0.84,0.262,0.662,0.574
0.5,0.5,0.25,9.432016056618942e-10,0.848,0.276,0.66,0.6
0.5,0.6,0.25,9.432016056618942e-10,0.84,0.262,0.664,0.572
0.5,0.7,0.25,9.432016056618942e-10,0.848,0.278,0.658,0.602
0.5,0.8,0.25,9.432016056618942e-10,0.842,0.262,0.668,0.574
0.5,0.9,0.25,9.432016056618942e-10,0.846,0.278,0.654,0.598
0.6,0.6,0.25,9.432016056618942e-10,0.844,0.262,0.672,0.574
0.6,0.7,0.25,9.432016056618942e-10,0.844,0.278,0.654,0.602
0.6,0.8,0.25,9.432016056618942e-10,0.846,0.26,0.67,0.57
0.6,0.9,0.25,9.432016056618942e-10,0.842,0.28,0.654,0.606
0.7,0.7,0.25,9.432016056618942e-10,0.846,0.26,0.67,0.568
0.7,0.8,0.25,9.432016056618942e-10,0.844,0.278,0.652,0.606
0.7,0.9,0.25,9.432016056618942e-10,0.846,0.26,0.672,0.568
0.8,0.8,0.25,9.432016056618942e-10,0.844,0.29,0.666,0.604
0.8,0.9,0.25,9.432016056618942e-10,0.834,0.304,0.718,0.62
0.9,0.9,0.25,9.432016056618942e-10,0.854,0.332,0.712,0.626
0.01,0.01,0.25,9.432016056618942e-10,0.834,0.302,0.718,0.618
0.01,0.02,0.25,9.432016056618942e-10,0.856,0.33,0.714,0.628
0.01,0.03,0.25,9.432016056618942e-10,0.832,0.306,0.716,0.62
0.01,0.04,0.25,9.432016056618942e-10,0.856,0.33,0.714,0.626
0.01,0.05,0.25,9.432016056618942e-10,0.834,0.306,0.716,0.62
0.01,0.06,0.25,9.432016056618942e-10,0.854,0.33,0.714,0.624
0.01,0.07,0.25,9.432016056618942e-10,0.836,0.302,0.716,0.62
0.01,0.08,0.25,9.432016056618942e-10,0.852,0.334,0.714,0.626
0.01,0.09,0.25,9.432016056618942e-10,0.836,0.302,0.716,0.618
0.02,0.02,0.25,9.432016056618942e-10,0.854,0.332,0.718,0.628
0.02,0.03,0.25,9.432016056618942e-10,0.834,0.302,0.714,0.618
0.02,0.04,0.25,9.432016056618942e-10,0.858,0.332,0.718,0.628
0.02,0.05,0.25,9.432016056618942e-10,0.832,0.304,0.712,0.616
0.02,0.06,0.25,9.432016056618942e-10,0.856,0.332,0.718,0.63
0.02,0.07,0.25,9.432016056618942e-10,0.832,0.302,0.712,0.618
0.02,0.08,0.25,9.432016056618942e-10,0.856,0.332,0.718,0.626
0.02,0.09,0.25,9.432016056618942e-10,0.834,0.302,0.714,0.62
0.03,0.03,0.25,9.432016056618942e-10,0.854,0.33,0.718,0.626
0.03,0.04,0.25,9.432016056618942e-10,0.834,0.306,0.712,0.62
0.03,0.05,0.25,9.432016056618942e-10,0.854,0.33,0.718,0.624
0.03,0.06,0.25,9.432016056618942e-10,0.834,0.306,0.712,0.62
0.03,0.07,0.25,9.432016056618942e-10,0.856,0.33,0.72,0.626
0.03,0.08,0.25,9.432016056618942e-10,0.834,0.302,0.712,0.622
0.03,0.09,0.25,9.432016056618942e-10,0.854,0.332,0.718,0.624
0.04,0.04,0.25,9.432016056618942e-10,0.834,0.304,0.712,0.622
0.04,0.05,0.25,9.432016056618942e-10,0.854,0.332,0.72,0.624
0.04,0.06,0.25,9.432016056618942e-10,0.834,0.304,0.71,0.62
0.04,0.07,0.25,9.432016056618942e-10,0.854,0.33,0.722,0.626
0.04,0.08,0.25,9.432016056618942e-10,0.836,0.306,0.708,0.618
0.04,0.09,0.25,9.432016056618942e-10,0.852,0.328,0.724,0.628
0.05,0.05,0.25,9.432016056618942e-10,0.836,0.306,0.706,0.616
0.05,0.06,0.25,9.432016056618942e-10,0.852,0.328,0.724,0.63
0.05,0.07,0.25,9.432016056618942e-10,0.836,0.306,0.706,0.614
0.05,0.08,0.25,9.432016056618942e-10,0.852,0.328,0.728,0.63
0.05,0.09,0.25,9.432016056618942e-10,0.836,0.308,0.704,0.614
0.06,0.06,0.25,9.432016056618942e-10,0.852,0.328,0.728,0.632
0.06,0.07,0.25,9.432016056618942e-10,0.836,0.308,0.704,0.614
0.06,0.08,0.25,9.432016056618942e-10,0.852,0.328,0.73,0.63
0.06,0.09,0.25,9.432016056618942e-10,0.836,0.308,0.7,0.616
0.07,0.07,0.25,9.432016056618942e-10,0.852,0.326,0.73,0.628
0.07,0.08,0.25,9.432016056618942e-10,0.848,0.304,0.7,0.608
0.07,0.09,0.25,9.432016056618942e-10,0.862,0.306,0.716,0.558
0.08,0.08,0.25,9.432016056618942e-10,0.852,0.304,0.674,0.584
0.08,0.09,0.25,9.432016056618942e-10,0.862,0.308,0.716,0.558
0.09,0.09,0.25,9.432016056618942e-10,0.85,0.304,0.672,0.584
0.11,0.11,0.25,9.432016056618942e-10,0.862,0.308,0.718,0.558
0.12,0.12,0.25,9.432016056618942e-10,0.85,0.302,0.672,0.584
0.13,0.13,0.25,9.432016056618942e-10,0.862,0.31,0.716,0.562
0.14,0.14,0.25,9.432016056618942e-10,0.85,0.302,0.672,0.582
0.15,0.15,0.25,9.432016056618942e-10,0.862,0.308,0.716,0.56
0.16,0.16,0.25,9.432016056618942e-10,0.852,0.302,0.672,0.586
0.17,0.17,0.25,9.432016056618942e-10,0.86,0.308,0.716,0.556
0.18,0.18,0.25,9.432016056618942e-10,0.854,0.304,0.672,0.588
0.19,0.19,0.25,9.432016056618942e-10,0.858,0.306,0.716,0.556
0.21,0.21,0.25,9.432016056618942e-10,0.854,0.306,0.674,0.588
0.22,0.22,0.25,9.432016056618942e-10,0.858,0.304,0.714,0.556
0.23,0.23,0.25,9.432016056618942e-10,0.856,0.308,0.676,0.588
0.24,0.24,0.25,9.432016056618942e-10,0.856,0.304,0.712,0.556
0.25,0.25,0.25,9.432016056618942e-10,0.856,0.306,0.676,0.586
0.26,0.26,0.25,9.432016056618942e-10,0.856,0.304,0.712,0.558
0.27,0.27,0.25,9.432016056618942e-10,0.856,0.306,0.678,0.584
0.28,0.28,0.25,9.432016056618942e-10,0.856,0.304,0.71,0.56
0.29,0.29,0.25,9.432016056618942e-10,0.856,0.306,0.682,0.584
0.31,0.31,0.25,9.432016056618942e-10,0.856,0.304,0.708,0.558
0.32,0.32,0.25,9.432016056618942e-10,0.858,0.308,0.684,0.586
0.33,0.33,0.25,9.432016056618942e-10,0.854,0.302,0.704,0.558
0.34,0.34,0.25,9.432016056618942e-10,0.86,0.308,0.686,0.586
0.35,0.35,0.25,9.432016056618942e-10,0.854,0.304,0.702,0.56
0.36,0.36,0.25,9.432016056618942e-10,0.858,0.306,0.69,0.582
0.37,0.37,0.25,9.432016056618942e-10,0.854,0.304,0.698,0.562
0.38,0.38,0.25,9.432016056618942e-10,0.858,0.308,0.692,0.58
0.39,0.39,0.25,9.432016056618942e-10,0.854,0.304,0.698,0.564
0.41,0.41,0.25,9.432016056618942e-10,0.858,0.306,0.69,0.58
0.42,0.42,0.25,9.432016056618942e-10,0.854,0.3,0.704,0.562
0.43,0.43,0.25,9.432016056618942e-10,0.856,0.228,0.704,0.562
0.44,0.44,0.25,9.432016056618942e-10,0.87,0.298,0.704,0.562
0.45,0.45,0.25,9.432016056618942e-10,0.858,0.31,0.684,0.576
0.46,0.46,0.25,9.432016056618942e-10,0.856,0.3,0.706,0.566
0.47,0.47,0.25,9.432016056618942e-10,0.858,0.312,0.684,0.578
0.48,0.48,0.25,9.432016056618942e-10,0.856,0.298,0.704,0.564
0.49,0.49,0.25,9.432016056618942e-10,0.856,0.312,0.684,0.58
0.51,0.51,0.25,9.432016056618942e-10,0.856,0.298,0.706,0.564
0.52,0.52,0.25,9.432016056618942e-10,0.856,0.314,0.686,0.58
0.53,0.53,0.25,9.432016056618942e-10,0.856,0.294,0.702,0.564
0.54,0.54,0.25,9.432016056618942e-10,0.846,0.28,0.694,0.568
0.55,0.55,0.25,9.432016056618942e-10,0.876,0.246,0.716,0.55
0.56,0.56,0.25,9.432016056618942e-10,0.856,0.234,0.704,0.558
0.57,0.57,0.25,9.432016056618942e-10,0.874,0.244,0.718,0.552
0.58,0.58,0.25,9.432016056618942e-10,0.858,0.236,0.7,0.554
0.59,0.59,0.25,9.432016056618942e-10,0.872,0.244,0.718,0.554
0.61,0.61,0.25,9.432016056618942e-10,0.86,0.236,0.702,0.554
0.62,0.62,0.25,9.432016056618942e-10,0.87,0.244,0.718,0.554
0.63,0.63,0.25,9.432016056618942e-10,0.862,0.236,0.702,0.554
0.64,0.64,0.25,9.432016056618942e-10,0.868,0.242,0.716,0.554
0.65,0.65,0.25,9.432016056618942e-10,0.862,0.238,0.702,0.554
0.66,0.66,0.25,9.432016056618942e-10,0.87,0.24,0.716,0.554
0.67,0.67,0.25,9.432016056618942e-10,0.86,0.24,0.702,0.556
0.68,0.68,0.25,9.432016056618942e-10,0.87,0.24,0.718,0.552
0.69,0.69,0.25,9.432016056618942e-10,0.86,0.238,0.7,0.556
0.71,0.71,0.25,9.432016056618942e-10,0.87,0.242,0.718,0.552
0.72,0.72,0.25,9.432016056618942e-10,0.86,0.234,0.7,0.554
0.73,0.73,0.25,9.432016056618942e-10,0.87,0.244,0.72,0.556
0.74,0.74,0.25,9.432016056618942e-10,0.86,0.236,0.698,0.552
0.75,0.75,0.25,9.432016056618942e-10,0.872,0.244,0.722,0.556
0.76,0.76,0.25,9.432016056618942e-10,0.858,0.234,0.696,0.554
0.77,0.77,0.25,9.432016056618942e-10,0.872,0.24,0.716,0.556
0.78,0.78,0.25,9.432016056618942e-10,0.86,0.33,0.696,0.542
0.79,0.79,0.25,9.432016056618942e-10,0.872,0.246,0.722,0.558
0.81,0.81,0.25,9.432016056618942e-10,0.86,0.28,0.692,0.556
0.82,0.82,0.25,9.432016056618942e-10,0.872,0.292,0.72,0.542
0.83,0.83,0.25,9.432016056618942e-10,0.862,0.234,0.696,0.552
0.84,0.84,0.25,9.432016056618942e-10,0.868,0.244,0.722,0.556
0.85,0.85,0.25,9.432016056618942e-10,0.862,0.236,0.696,0.552
0.86,0.86,0.25,9.432016056618942e-10,0.868,0.242,0.722,0.556
0.87,0.87,0.25,9.432016056618942e-10,0.862,0.238,0.696,0.55
0.88,0.88,0.25,9.432016056618942e-10,0.868,0.238,0.722,0.558
0.89,0.89,0.25,9.432016056618942e-10,0.862,0.24,0.7,0.552
0.91,0.91,0.25,9.432016056618942e-10,0.872,0.33,0.712,0.548
0.92,0.92,0.25,9.432016056618942e-10,0.86,0.242,0.702,0.554
0.93,0.93,0.25,9.432016056618942e-10,0.87,0.238,0.718,0.554
0.94,0.94,0.25,9.432016056618942e-10,0.86,0.24,0.702,0.552
0.95,0.95,0.25,9.432016056618942e-10,0.872,0.33,0.71,0.55
0.96,0.96,0.25,9.432016056618942e-10,0.862,0.332,0.698,0.544
0.97,0.97,0.25,9.432016056618942e-10,0.872,0.24,0.714,0.556
0.98,0.98,0.25,9.432016056618942e-10,0.858,0.24,0.704,0.55
0.99,0.99,0.25,9.432016056618942e-10,0.872,0.238,0.714,0.556
