m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.27428051868631076,1.0480017840687711e-09,0.61,0.284,0.538,0.482
0.1,0.2,,1.0480017840687711e-09,,,,
0.1,0.3,,1.0480017840687711e-09,,,,
0.1,0.4,,1.0480017840687711e-09,,,,
0.1,0.5,,1.0480017840687711e-09,,,,
0.1,0.6,,1.0480017840687711e-09,,,,
0.1,0.7,,1.0480017840687711e-09,,,,
0.1,0.8,,1.0480017840687711e-09,,,,
0.1,0.9,,1.0480017840687711e-09,,,,
0.2,0.2,0.30382490118569716,1.1790020070773678e-09,0.49,0.308,0.43,0.442
0.2,0.3,,1.1790020070773678e-09,,,,
0.2,0.4,,1.1790020070773678e-09,,,,
0.2,0.5,,1.1790020070773678e-09,,,,
0.2,0.6,,1.1790020070773678e-09,,,,
0.2,0.7,,1.1790020070773678e-09,,,,
0.2,0.8,,1.1790020070773678e-09,,,,
0.2,0.9,,1.1790020070773678e-09,,,,
0.3,0.3,0.34057139164247785,1.3474308652312782e-09,0.376,0.274,0.358,0.36
0.3,0.4,,1.3474308652312782e-09,,,,
0.3,0.5,,1.3474308652312782e-09,,,,
0.3,0.6,,1.3474308652312782e-09,,,,
0.3,0.7,,1.3474308652312782e-09,,,,
0.3,0.8,,1.3474308652312782e-09,,,,
0.3,0.9,,1.3474308652312782e-09,,,,
0.4,0.4,0.38755615891737866,1.572002676103157e-09,0.282,0.214,0.282,0.262
0.4,0.5,0.0,1.572002676103157e-09,,,,
0.4,0.6,,1.572002676103157e-09,,,,
0.4,0.7,,1.572002676103157e-09,,,,
0.4,0.8,,1.572002676103157e-09,,,,
0.4,0.9,,1.572002676103157e-09,,,,
0.5,0.5,0.44983334064729175,1.8864032113237885e-09,0.252,0.208,0.25,0.22
0.5,0.6,0.11107280030812314,1.8864032113237885e-09,0.176,0.086,0.128,0.122
0.5,0.7,,1.8864032113237885e-09,,,,
0.5,0.8,,1.8864032113237885e-09,,,,
0.5,0.9,,1.8864032113237885e-09,,,,
0.6,0.6,0.5365305287244002,2.3580040141547357e-09,0.23,0.192,0.246,0.222
0.6,0.7,0.0,2.3580040141547357e-09,,,,
0.6,0.8,,2.3580040141547357e-09,,,,
0.6,0.9,,2.3580040141547357e-09,,,,
0.7,0.7,0.6661620289505679,3.144005352206314e-09,0.198,0.154,0.19,0.188
0.7,0.8,,3.144005352206314e-09,,,,
0.7,0.9,,3.144005352206314e-09,,,,
0.8,0.8,0.8838200526074405,4.716008028309472e-09,0.152,0.146,0.15,0.166
0.8,0.9,,4.716008028309472e-09,,,,
0.9,0.9,1.3455385537002145,9.432016056618944e-09,0.152,,0.138,0.154
0.01,0.01,0.252231843108818,9.527288946079735e-10,0.838,0.306,0.642,0.524
0.01,0.02,,9.527288946079735e-10,,,,
0.01,0.03,,9.527288946079735e-10,,,,
0.01,0.04,,9.527288946079735e-10,,,,
0.01,0.05,,9.527288946079735e-10,,,,
0.01,0.06,,9.527288946079735e-10,,,,
0.01,0.07,,9.527288946079735e-10,,,,
0.01,0.08,,9.527288946079735e-10,,,,
0.01,0.09,,9.527288946079735e-10,,,,
0.02,0.02,0.2545041109790552,9.624506180223408e-10,0.788,0.296,0.608,0.574
0.02,0.03,,9.624506180223408e-10,,,,
0.02,0.04,,9.624506180223408e-10,,,,
0.02,0.05,,9.624506180223408e-10,,,,
0.02,0.06,,9.624506180223408e-10,,,,
0.02,0.07,,9.624506180223408e-10,,,,
0.02,0.08,,9.624506180223408e-10,,,,
0.02,0.09,,9.624506180223408e-10,,,,
0.03,0.03,0.2568179179810562,9.723727893421588e-10,0.72,0.29,0.602,0.51
0.03,0.04,,9.723727893421588e-10,,,,
0.03,0.05,,9.723727893421588e-10,,,,
0.03,0.06,,9.723727893421588e-10,,,,
0.03,0.07,,9.723727893421588e-10,,,,
0.03,0.08,,9.723727893421588e-10,,,,
0.03,0.09,,9.723727893421588e-10,,,,
