m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.256,-0.003999999999999948,-0.17400000000000004,-0.12199999999999994,-0.24,0.0020000000000000018,-0.132,-0.10599999999999998,-0.25,0.008000000000000007,-0.12,-0.08600000000000002
0.1,0.2,-0.358,-0.023999999999999994,-0.23600000000000004,-0.16599999999999998,,,,,-0.518,,-0.5780000000000001,-0.5700000000000001
0.1,0.3,-0.502,-0.05199999999999996,-0.34600000000000003,-0.25599999999999995,,,,,-0.654,,-0.6779999999999999,-0.6659999999999999
0.1,0.4,-0.542,-0.055999999999999994,-0.36600000000000005,-0.30799999999999994,,,,,-0.702,,-0.712,-0.726
0.1,0.5,-0.602,-0.09799999999999998,-0.43400000000000005,-0.382,,,,,-0.754,,-0.764,-0.79
0.1,0.6,-0.61,-0.10400000000000001,-0.42800000000000005,-0.38799999999999996,,,,,-0.77,,-0.776,-0.808
0.1,0.7,-0.696,-0.13999999999999999,-0.49200000000000005,-0.43799999999999994,,,,,-0.848,,-0.8220000000000001,-0.844
0.1,0.8,-0.6679999999999999,-0.14800000000000002,-0.528,-0.43199999999999994,,,,,-0.8280000000000001,,-0.876,-0.854
0.1,0.9,-0.74,-0.19799999999999995,-0.5760000000000001,-0.508,,,,,-0.89,,-0.906,-0.912
0.2,0.2,-0.346,-0.006000000000000005,-0.24000000000000005,-0.16799999999999998,-0.352,0.04999999999999999,-0.22400000000000003,-0.13599999999999995,-0.31799999999999995,0.0040000000000000036,-0.15599999999999997,-0.04400000000000004
0.2,0.3,-0.506,-0.06199999999999997,-0.35200000000000004,-0.282,,,,,-0.6539999999999999,-0.402,-0.6559999999999999,-0.6359999999999999
0.2,0.4,-0.538,-0.05000000000000002,-0.35800000000000004,-0.296,,,,,-0.696,,-0.702,-0.704
0.2,0.5,-0.618,-0.10599999999999998,-0.44000000000000006,-0.39999999999999997,,,,,-0.772,,-0.768,-0.802
0.2,0.6,-0.61,-0.1,-0.43400000000000005,-0.37999999999999995,,,,,-0.766,,-0.782,-0.806
0.2,0.7,-0.696,-0.14400000000000002,-0.5,-0.45399999999999996,,,,,-0.85,,-0.83,-0.854
0.2,0.8,-0.7,-0.15200000000000002,-0.528,-0.44599999999999995,,,,,-0.858,,-0.876,-0.872
0.2,0.9,-0.72,-0.20199999999999996,-0.5840000000000001,-0.528,,,,,-0.872,,-0.914,-0.928
0.3,0.3,-0.476,-0.04000000000000001,-0.334,-0.23399999999999993,-0.46399999999999997,0.016000000000000014,-0.29800000000000004,-0.21399999999999997,-0.42200000000000004,0.006000000000000005,-0.2,-0.10599999999999998
0.3,0.4,-0.586,-0.08200000000000002,-0.41000000000000003,-0.362,,,,,-0.718,-0.326,-0.66,-0.63
0.3,0.5,-0.596,-0.08000000000000002,-0.42600000000000005,-0.352,,,,,-0.754,-0.512,-0.744,-0.762
0.3,0.6,-0.642,-0.12400000000000003,-0.44200000000000006,-0.43799999999999994,,,,,-0.794,,-0.774,-0.824
0.3,0.7,-0.6759999999999999,-0.14400000000000002,-0.48600000000000004,-0.40199999999999997,,,,,-0.836,,-0.8260000000000001,-0.8280000000000001
0.3,0.8,-0.688,-0.16800000000000004,-0.548,-0.484,,,,,-0.84,,-0.886,-0.886
0.3,0.9,-0.702,-0.192,-0.562,-0.474,,,,,-0.86,,-0.902,-0.9
0.4,0.4,-0.572,-0.08000000000000002,-0.4,-0.352,-0.5660000000000001,-0.06600000000000003,-0.38000000000000006,-0.33599999999999997,-0.42599999999999993,0.01200000000000001,-0.196,-0.14600000000000002
0.4,0.5,-0.598,-0.07200000000000001,-0.41400000000000003,-0.364,,,,,-0.718,-0.198,-0.586,-0.5740000000000001
0.4,0.6,-0.64,-0.12800000000000003,-0.44000000000000006,-0.43799999999999994,,,,,-0.786,-0.44599999999999995,-0.738,-0.776
0.4,0.7,-0.6719999999999999,-0.14400000000000002,-0.48600000000000004,-0.4099999999999999,,,,,-0.83,-0.628,-0.806,-0.826
0.4,0.8,-0.6859999999999999,-0.17000000000000004,-0.544,-0.47,,,,,-0.838,,-0.878,-0.866
0.4,0.9,-0.71,-0.192,-0.5660000000000001,-0.478,,,,,-0.87,,-0.904,-0.904
0.5,0.5,-0.636,-0.09600000000000003,-0.45000000000000007,-0.414,-0.596,-0.06800000000000003,-0.41000000000000003,-0.38,-0.42600000000000005,0.021999999999999992,-0.17800000000000002,-0.14200000000000002
0.5,0.6,-0.626,-0.11400000000000002,-0.45000000000000007,-0.38199999999999995,-0.6639999999999999,-0.17600000000000002,-0.536,-0.44999999999999996,-0.6940000000000001,-0.162,-0.536,-0.48600000000000004
0.5,0.7,-0.696,-0.14800000000000002,-0.508,-0.44799999999999995,,,,,-0.834,-0.41800000000000004,-0.786,-0.75
0.5,0.8,-0.6839999999999999,-0.164,-0.532,-0.43999999999999995,,,,,-0.842,-0.666,-0.852,-0.86
0.5,0.9,-0.726,-0.194,-0.562,-0.524,,,,,-0.88,,-0.908,-0.926
0.6,0.6,-0.622,-0.11400000000000002,-0.4620000000000001,-0.37999999999999995,-0.614,-0.07,-0.42600000000000005,-0.352,-0.29200000000000004,0.0040000000000000036,-0.086,-0.05399999999999999
0.6,0.7,-0.6759999999999999,-0.14400000000000002,-0.494,-0.46599999999999997,,,,,-0.754,-0.192,-0.588,-0.566
0.6,0.8,-0.6779999999999999,-0.15800000000000003,-0.536,-0.43999999999999995,,,,,-0.826,-0.486,-0.8059999999999999,-0.814
0.6,0.9,-0.708,-0.19000000000000003,-0.5660000000000001,-0.514,,,,,-0.866,,-0.912,-0.908
0.7,0.7,-0.6799999999999999,-0.13,-0.526,-0.43399999999999994,-0.6479999999999999,-0.10600000000000001,-0.48000000000000004,-0.37999999999999995,-0.254,-0.0020000000000000018,-0.10600000000000001,-0.064
0.7,0.8,-0.688,-0.16800000000000004,-0.53,-0.46599999999999997,,,,,-0.8099999999999999,-0.29600000000000004,-0.698,-0.652
0.7,0.9,-0.726,-0.198,-0.5900000000000001,-0.474,,,,,-0.878,,-0.914,-0.894
0.8,0.8,-0.692,-0.18999999999999997,-0.546,-0.482,-0.692,-0.144,-0.516,-0.43799999999999994,-0.144,0.032,-0.036000000000000004,-0.03
0.8,0.9,-0.72,-0.21999999999999997,-0.64,-0.544,,,,,-0.876,-0.47000000000000003,-0.86,-0.862
0.9,0.9,-0.728,-0.266,-0.628,-0.568,-0.702,,-0.574,-0.472,-0.04799999999999999,0.020000000000000004,-0.001999999999999988,-0.026000000000000002
0.01,0.01,-0.0,0.006000000000000005,-0.08799999999999997,-0.04600000000000004,0.0040000000000000036,0.0040000000000000036,-0.07599999999999996,-0.09399999999999997,-0.010000000000000009,0.0040000000000000036,-0.03200000000000003,-0.052000000000000046
0.01,0.02,-0.06599999999999995,-0.03400000000000003,-0.118,-0.09199999999999997,,,,,-0.20999999999999996,,-0.404,-0.45799999999999996
0.01,0.03,-0.08999999999999997,-0.010000000000000009,-0.14400000000000002,-0.06599999999999995,,,,,-0.258,,-0.42800000000000005,-0.44599999999999995
0.01,0.04,-0.136,-0.038000000000000034,-0.14600000000000002,-0.10399999999999998,,,,,-0.28,,-0.43200000000000005,-0.478
0.01,0.05,-0.17999999999999994,0.0040000000000000036,-0.17399999999999993,-0.09199999999999997,,,,,-0.346,,-0.45799999999999996,-0.472
0.01,0.06,-0.22999999999999998,-0.04200000000000004,-0.21599999999999997,-0.13,,,,,-0.376,,-0.502,-0.506
0.01,0.07,-0.21599999999999997,-0.01200000000000001,-0.19999999999999996,-0.11599999999999999,,,,,-0.38,,-0.484,-0.496
0.01,0.08,-0.23399999999999999,-0.057999999999999996,-0.21999999999999997,-0.15799999999999997,,,,,-0.382,,-0.506,-0.532
0.01,0.09,-0.244,-0.023999999999999966,-0.23399999999999999,-0.136,,,,,-0.40800000000000003,,-0.518,-0.518
0.02,0.02,-0.05799999999999994,-0.030000000000000027,-0.11599999999999999,-0.08199999999999996,-0.06599999999999995,-0.03600000000000003,-0.10999999999999999,-0.05400000000000005,-0.039999999999999925,-0.0020000000000000018,-0.06400000000000006,-0.08199999999999996
0.02,0.03,-0.08599999999999997,-0.010000000000000009,-0.14800000000000002,-0.07199999999999995,,,,,-0.246,-0.412,-0.406,-0.43399999999999994
0.02,0.04,-0.136,-0.040000000000000036,-0.15999999999999992,-0.10599999999999998,,,,,-0.278,,-0.43999999999999995,-0.474
0.02,0.05,-0.18599999999999994,0.0040000000000000036,-0.16399999999999992,-0.08999999999999997,,,,,-0.354,,-0.45199999999999996,-0.474
0.02,0.06,-0.21999999999999997,-0.04600000000000004,-0.21999999999999997,-0.134,,,,,-0.364,,-0.502,-0.504
0.02,0.07,-0.21199999999999997,-0.01200000000000001,-0.19599999999999995,-0.11599999999999999,,,,,-0.38,,-0.484,-0.498
0.02,0.08,-0.23399999999999999,-0.057999999999999996,-0.22199999999999998,-0.15000000000000002,,,,,-0.378,,-0.504,-0.524
0.02,0.09,-0.246,-0.025999999999999968,-0.22399999999999998,-0.128,,,,,-0.41200000000000003,,-0.51,-0.508
0.03,0.03,-0.10999999999999999,-0.038000000000000034,-0.14,-0.09999999999999998,-0.134,-0.040000000000000036,-0.11599999999999999,-0.11599999999999999,-0.11599999999999999,-0.02200000000000002,-0.09600000000000009,-0.07999999999999996
0.03,0.04,-0.128,-0.01200000000000001,-0.15799999999999992,-0.07399999999999995,,,,,-0.28800000000000003,-0.288,-0.4079999999999999,-0.3999999999999999
0.03,0.05,-0.21199999999999997,-0.030000000000000027,-0.18199999999999994,-0.11599999999999999,,,,,-0.356,-0.5,-0.45799999999999996,-0.486
0.03,0.06,-0.20599999999999996,-0.01200000000000001,-0.19799999999999995,-0.10399999999999998,,,,,-0.372,,-0.486,-0.478
0.03,0.07,-0.23399999999999999,-0.038000000000000034,-0.21999999999999997,-0.15000000000000002,,,,,-0.378,,-0.5,-0.524
0.03,0.08,-0.236,-0.02799999999999997,-0.19999999999999996,-0.124,,,,,-0.402,,-0.488,-0.502
0.03,0.09,-0.248,-0.04400000000000004,-0.22399999999999998,-0.15599999999999997,,,,,-0.394,,-0.506,-0.532
0.04,0.04,-0.134,-0.014000000000000012,-0.1519999999999999,-0.07399999999999995,-0.14400000000000002,0.014000000000000012,-0.136,-0.09799999999999998,-0.124,0.0040000000000000036,-0.1499999999999999,-0.019999999999999907
0.04,0.05,-0.20199999999999996,-0.03600000000000003,-0.18799999999999994,-0.11399999999999999,,,,,-0.33199999999999996,-0.23200000000000004,-0.396,-0.368
0.04,0.06,-0.19799999999999995,-0.023999999999999966,-0.19399999999999995,-0.10799999999999998,,,,,-0.362,-0.406,-0.47,-0.46199999999999997
0.04,0.07,-0.23399999999999999,-0.04400000000000004,-0.21999999999999997,-0.15799999999999997,,,,,-0.38,-0.526,-0.498,-0.53
0.04,0.08,-0.22399999999999998,-0.020000000000000018,-0.19999999999999996,-0.12,,,,,-0.388,,-0.492,-0.496
0.04,0.09,-0.25,-0.04400000000000004,-0.23199999999999998,-0.15600000000000003,,,,,-0.398,,-0.508,-0.526
0.05,0.05,-0.17599999999999993,-0.0040000000000000036,-0.1499999999999999,-0.07799999999999996,-0.14,-0.0020000000000000018,-0.13,-0.124,-0.17999999999999994,-0.01200000000000001,-0.09999999999999998,-0.04799999999999993
0.05,0.06,-0.21999999999999997,-0.04200000000000004,-0.22799999999999998,-0.14600000000000002,-0.5660000000000001,-0.21200000000000002,-0.592,-0.492,-0.346,-0.17600000000000005,-0.396,-0.362
0.05,0.07,-0.21599999999999997,-0.02200000000000002,-0.19999999999999996,-0.118,,,,,-0.374,-0.35800000000000004,-0.46199999999999997,-0.45599999999999996
0.05,0.08,-0.21799999999999997,-0.040000000000000036,-0.238,-0.16000000000000003,,,,,-0.366,-0.454,-0.5,-0.51
0.05,0.09,-0.23199999999999998,-0.03799999999999998,-0.22199999999999998,-0.128,,,,,-0.396,,-0.516,-0.51
0.06,0.06,-0.19999999999999996,-0.04200000000000004,-0.22999999999999998,-0.14200000000000002,-0.18999999999999995,-0.0040000000000000036,-0.18999999999999995,-0.15400000000000003,-0.19399999999999995,-0.038000000000000034,-0.18200000000000005,-0.09399999999999997
0.06,0.07,-0.21399999999999997,-0.02400000000000002,-0.20599999999999996,-0.126,-0.476,-0.136,-0.476,-0.378,-0.33599999999999997,-0.15400000000000003,-0.41600000000000004,-0.31400000000000006
0.06,0.08,-0.22399999999999998,-0.04600000000000004,-0.23399999999999999,-0.16799999999999998,,,,,-0.364,-0.302,-0.474,-0.4799999999999999
0.06,0.09,-0.22799999999999998,-0.03799999999999998,-0.21999999999999997,-0.138,,,,,-0.388,-0.42399999999999993,-0.508,-0.504
0.07,0.07,-0.22999999999999998,-0.038000000000000034,-0.244,-0.15999999999999998,-0.19399999999999995,-0.030000000000000027,-0.18399999999999994,-0.124,-0.21399999999999997,-0.026000000000000023,-0.20999999999999996,-0.14199999999999996
0.07,0.08,-0.238,-0.035999999999999976,-0.20199999999999996,-0.13,-0.376,-0.142,-0.38199999999999995,-0.316,-0.33599999999999997,-0.16599999999999998,-0.366,-0.29600000000000004
0.07,0.09,-0.30999999999999994,-0.045999999999999985,-0.24999999999999994,-0.13600000000000007,,,,,-0.43999999999999995,-0.28800000000000003,-0.4719999999999999,-0.468
0.08,0.08,-0.22599999999999998,-0.05399999999999999,-0.16800000000000004,-0.10399999999999998,-0.236,0.03200000000000003,-0.14600000000000002,-0.10999999999999999,-0.19399999999999995,-0.035999999999999976,-0.17000000000000004,-0.09599999999999997
0.08,0.09,-0.31199999999999994,-0.04999999999999999,-0.246,-0.13600000000000007,-0.416,-0.13999999999999999,-0.424,-0.24400000000000005,-0.386,-0.14800000000000002,-0.382,-0.34800000000000003
0.09,0.09,-0.278,-0.057999999999999996,-0.21200000000000002,-0.14799999999999996,-0.274,0.01200000000000001,-0.15000000000000002,-0.09999999999999998,-0.30600000000000005,-0.03200000000000003,-0.186,-0.11600000000000005
0.11,0.11,-0.30999999999999994,-0.062,-0.27599999999999997,-0.15200000000000002,-0.34199999999999997,-0.045999999999999985,-0.24,-0.13200000000000006,-0.258,-0.030000000000000027,-0.198,-0.11399999999999999
0.12,0.12,-0.33199999999999996,-0.064,-0.23400000000000004,-0.17999999999999994,-0.33199999999999996,0.018000000000000016,-0.19800000000000006,-0.16799999999999998,-0.28400000000000003,-0.040000000000000036,-0.184,-0.08399999999999996
0.13,0.13,-0.354,-0.05399999999999999,-0.298,-0.16800000000000004,-0.364,-0.06,-0.26599999999999996,-0.11600000000000005,-0.28600000000000003,-0.02799999999999997,-0.20400000000000001,-0.08999999999999997
0.14,0.14,-0.37,-0.07399999999999998,-0.24200000000000005,-0.19599999999999995,-0.346,0.03600000000000003,-0.17400000000000004,-0.174,-0.31400000000000006,-0.05000000000000002,-0.192,-0.09799999999999998
0.15,0.15,-0.39599999999999996,-0.068,-0.27599999999999997,-0.18200000000000005,-0.358,-0.0,-0.282,-0.14200000000000007,-0.3499999999999999,-0.03400000000000003,-0.14799999999999996,-0.15000000000000002
0.16,0.16,-0.408,-0.08199999999999999,-0.26200000000000007,-0.21199999999999997,-0.38,-0.0020000000000000018,-0.24800000000000005,-0.18599999999999994,-0.36999999999999994,-0.04000000000000001,-0.196,-0.12
0.17,0.17,-0.422,-0.07599999999999998,-0.32999999999999996,-0.17200000000000004,-0.37,-0.064,-0.284,-0.15000000000000002,-0.39799999999999996,-0.04999999999999996,-0.20399999999999996,-0.122
0.18,0.18,-0.416,-0.10799999999999998,-0.28200000000000003,-0.18999999999999995,-0.40399999999999997,0.0020000000000000018,-0.22800000000000004,-0.20199999999999996,-0.36400000000000005,-0.10199999999999998,-0.20999999999999996,-0.09599999999999997
0.19,0.19,-0.422,-0.07399999999999998,-0.32599999999999996,-0.19600000000000006,-0.378,-0.02200000000000002,-0.32599999999999996,-0.14600000000000007,-0.34800000000000003,-0.025999999999999995,-0.19399999999999995,-0.09800000000000003
0.21,0.21,-0.44,-0.09,-0.31400000000000006,-0.23399999999999999,-0.44799999999999995,0.020000000000000018,-0.28600000000000003,-0.22399999999999998,-0.38800000000000007,-0.038000000000000006,-0.20999999999999996,-0.14800000000000002
0.22,0.22,-0.43,-0.08199999999999999,-0.368,-0.22800000000000004,-0.46399999999999997,-0.043999999999999984,-0.33199999999999996,-0.22000000000000003,-0.38000000000000006,-0.023999999999999994,-0.21400000000000008,-0.16799999999999998
0.23,0.23,-0.46599999999999997,-0.10400000000000001,-0.30800000000000005,-0.26199999999999996,-0.48,-0.035999999999999976,-0.31800000000000006,-0.25799999999999995,-0.346,-0.04400000000000001,-0.19400000000000006,-0.134
