m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,0.5,9.432016056618942e-10,0.624,0.436,0.618,0.574
0.1,0.2,0.5,9.432016056618942e-10,0.472,0.364,0.476,0.478
0.1,0.3,0.5,9.432016056618942e-10,0.406,0.334,0.394,0.41
0.1,0.4,0.5,9.432016056618942e-10,0.314,0.264,0.322,0.326
0.1,0.5,0.5,9.432016056618942e-10,0.334,0.262,0.296,0.314
0.1,0.6,0.5,9.432016056618942e-10,0.274,0.246,0.268,0.276
0.1,0.7,0.5,9.432016056618942e-10,0.25,0.232,0.208,0.21
0.1,0.8,0.5,9.432016056618942e-10,0.19,0.148,0.17,0.202
0.1,0.9,0.5,9.432016056618942e-10,0.162,0.124,0.132,0.15
0.2,0.2,0.5,9.432016056618942e-10,0.474,0.378,0.454,0.456
0.2,0.3,0.5,9.432016056618942e-10,0.414,0.326,0.376,0.394
0.2,0.4,0.5,9.432016056618942e-10,0.326,0.27,0.336,0.332
0.2,0.5,0.5,9.432016056618942e-10,0.324,0.258,0.29,0.334
0.2,0.6,0.5,9.432016056618942e-10,0.294,0.252,0.268,0.272
0.2,0.7,0.5,9.432016056618942e-10,0.226,0.236,0.204,0.208
0.2,0.8,0.5,9.432016056618942e-10,0.198,0.152,0.166,0.182
0.2,0.9,0.5,9.432016056618942e-10,0.148,0.12,0.146,0.156
0.3,0.3,0.5,9.432016056618942e-10,0.404,0.32,0.404,0.4
0.3,0.4,0.5,9.432016056618942e-10,0.342,0.28,0.336,0.354
0.3,0.5,0.5,9.432016056618942e-10,0.296,0.252,0.262,0.3
0.3,0.6,0.5,9.432016056618942e-10,0.324,0.24,0.276,0.292
0.3,0.7,0.5,9.432016056618942e-10,0.238,0.216,0.214,0.22
0.3,0.8,0.5,9.432016056618942e-10,0.198,0.162,0.162,0.188
0.3,0.9,0.5,9.432016056618942e-10,0.128,0.12,0.122,0.162
0.4,0.4,0.5,9.432016056618942e-10,0.348,0.264,0.334,0.344
0.4,0.5,0.5,9.432016056618942e-10,0.294,0.242,0.268,0.308
0.4,0.6,0.5,9.432016056618942e-10,0.31,0.238,0.28,0.284
0.4,0.7,0.5,9.432016056618942e-10,0.24,0.21,0.214,0.208
0.4,0.8,0.5,9.432016056618942e-10,0.172,0.164,0.154,0.166
0.4,0.9,0.5,9.432016056618942e-10,0.138,0.116,0.136,0.152
0.5,0.5,0.5,9.432016056618942e-10,0.316,0.242,0.292,0.31
0.5,0.6,0.5,9.432016056618942e-10,0.29,0.242,0.25,0.28
0.5,0.7,0.5,9.432016056618942e-10,0.224,0.21,0.2,0.204
0.5,0.8,0.5,9.432016056618942e-10,0.194,0.15,0.136,0.18
0.5,0.9,0.5,9.432016056618942e-10,0.13,0.108,0.126,0.126
0.6,0.6,0.5,9.432016056618942e-10,0.286,0.228,0.234,0.262
0.6,0.7,0.5,9.432016056618942e-10,0.232,0.208,0.214,0.214
0.6,0.8,0.5,9.432016056618942e-10,0.192,0.148,0.152,0.164
0.6,0.9,0.5,9.432016056618942e-10,0.124,0.106,0.114,0.112
0.7,0.7,0.5,9.432016056618942e-10,0.246,0.216,0.204,0.212
0.7,0.8,0.5,9.432016056618942e-10,0.176,0.162,0.152,0.154
0.7,0.9,0.5,9.432016056618942e-10,0.114,0.078,0.108,0.136
0.8,0.8,0.5,9.432016056618942e-10,0.184,0.148,0.164,0.166
0.8,0.9,0.5,9.432016056618942e-10,0.098,0.08,0.126,0.106
0.9,0.9,0.5,9.432016056618942e-10,0.096,0.07,0.122,0.106
0.01,0.01,0.5,9.432016056618942e-10,0.93,0.53,0.824,0.784
0.01,0.02,0.5,9.432016056618942e-10,0.872,0.524,0.802,0.762
0.01,0.03,0.5,9.432016056618942e-10,0.784,0.466,0.76,0.694
0.01,0.04,0.5,9.432016056618942e-10,0.73,0.506,0.698,0.642
0.01,0.05,0.5,9.432016056618942e-10,0.732,0.484,0.712,0.622
0.01,0.06,0.5,9.432016056618942e-10,0.716,0.508,0.704,0.602
0.01,0.07,0.5,9.432016056618942e-10,0.69,0.5,0.658,0.576
0.01,0.08,0.5,9.432016056618942e-10,0.642,0.488,0.642,0.55
0.01,0.09,0.5,9.432016056618942e-10,0.628,0.458,0.588,0.574
0.02,0.02,0.5,9.432016056618942e-10,0.872,0.522,0.814,0.758
0.02,0.03,0.5,9.432016056618942e-10,0.792,0.462,0.762,0.698
0.02,0.04,0.5,9.432016056618942e-10,0.736,0.51,0.7,0.646
0.02,0.05,0.5,9.432016056618942e-10,0.726,0.478,0.7,0.622
0.02,0.06,0.5,9.432016056618942e-10,0.712,0.5,0.702,0.594
0.02,0.07,0.5,9.432016056618942e-10,0.69,0.508,0.664,0.59
0.02,0.08,0.5,9.432016056618942e-10,0.646,0.488,0.644,0.544
0.02,0.09,0.5,9.432016056618942e-10,0.626,0.458,0.588,0.564
0.03,0.03,0.5,9.432016056618942e-10,0.786,0.488,0.776,0.7
0.03,0.04,0.5,9.432016056618942e-10,0.722,0.482,0.708,0.636
0.03,0.05,0.5,9.432016056618942e-10,0.73,0.504,0.706,0.64
0.03,0.06,0.5,9.432016056618942e-10,0.706,0.474,0.692,0.59
0.03,0.07,0.5,9.432016056618942e-10,0.686,0.514,0.672,0.586
0.03,0.08,0.5,9.432016056618942e-10,0.658,0.472,0.626,0.544
0.03,0.09,0.5,9.432016056618942e-10,0.61,0.466,0.608,0.566
0.04,0.04,0.5,9.432016056618942e-10,0.718,0.478,0.71,0.636
0.04,0.05,0.5,9.432016056618942e-10,0.724,0.508,0.698,0.632
0.04,0.06,0.5,9.432016056618942e-10,0.698,0.482,0.69,0.59
0.04,0.07,0.5,9.432016056618942e-10,0.678,0.508,0.668,0.584
0.04,0.08,0.5,9.432016056618942e-10,0.658,0.464,0.626,0.55
