m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,1.0,9.432016056618942e-10,0.592,,0.602,0.56
0.1,0.2,1.0,9.432016056618942e-10,0.484,,0.49,0.474
0.1,0.3,1.0,9.432016056618942e-10,0.412,,0.42,0.416
0.1,0.4,1.0,9.432016056618942e-10,0.314,,0.322,0.332
0.1,0.5,1.0,9.432016056618942e-10,0.278,,0.298,0.264
0.1,0.6,1.0,9.432016056618942e-10,0.252,,0.226,0.248
0.1,0.7,1.0,9.432016056618942e-10,0.21,,0.212,0.226
0.1,0.8,1.0,9.432016056618942e-10,0.178,,0.172,0.158
0.1,0.9,1.0,9.432016056618942e-10,0.168,,0.18,0.192
0.2,0.2,1.0,9.432016056618942e-10,0.492,,0.49,0.47
0.2,0.3,1.0,9.432016056618942e-10,0.42,,0.41,0.424
0.2,0.4,1.0,9.432016056618942e-10,0.324,,0.316,0.328
0.2,0.5,1.0,9.432016056618942e-10,0.27,,0.284,0.276
0.2,0.6,1.0,9.432016056618942e-10,0.256,,0.236,0.236
0.2,0.7,1.0,9.432016056618942e-10,0.202,,0.21,0.22
0.2,0.8,1.0,9.432016056618942e-10,0.178,,0.168,0.174
0.2,0.9,1.0,9.432016056618942e-10,0.164,,0.166,0.184
0.3,0.3,1.0,9.432016056618942e-10,0.39,,0.4,0.388
0.3,0.4,1.0,9.432016056618942e-10,0.302,,0.302,0.308
0.3,0.5,1.0,9.432016056618942e-10,0.274,,0.286,0.282
0.3,0.6,1.0,9.432016056618942e-10,0.242,,0.224,0.234
0.3,0.7,1.0,9.432016056618942e-10,0.2,,0.21,0.212
0.3,0.8,1.0,9.432016056618942e-10,0.168,,0.168,0.176
0.3,0.9,1.0,9.432016056618942e-10,0.16,,0.148,0.176
0.4,0.4,1.0,9.432016056618942e-10,0.312,,0.308,0.324
0.4,0.5,1.0,9.432016056618942e-10,0.272,,0.254,0.266
0.4,0.6,1.0,9.432016056618942e-10,0.238,,0.226,0.222
0.4,0.7,1.0,9.432016056618942e-10,0.196,,0.208,0.186
0.4,0.8,1.0,9.432016056618942e-10,0.162,,0.168,0.17
0.4,0.9,1.0,9.432016056618942e-10,0.14,,0.136,0.164
0.5,0.5,1.0,9.432016056618942e-10,0.27,,0.27,0.278
0.5,0.6,1.0,9.432016056618942e-10,0.218,,0.218,0.224
0.5,0.7,1.0,9.432016056618942e-10,0.186,,0.202,0.206
0.5,0.8,1.0,9.432016056618942e-10,0.168,,0.174,0.16
0.5,0.9,1.0,9.432016056618942e-10,0.144,,0.164,0.172
0.6,0.6,1.0,9.432016056618942e-10,0.202,,0.214,0.212
0.6,0.7,1.0,9.432016056618942e-10,0.172,,0.186,0.202
0.6,0.8,1.0,9.432016056618942e-10,0.172,,0.17,0.158
0.6,0.9,1.0,9.432016056618942e-10,0.156,,0.146,0.164
0.7,0.7,1.0,9.432016056618942e-10,0.192,,0.188,0.188
0.7,0.8,1.0,9.432016056618942e-10,0.156,,0.138,0.152
0.7,0.9,1.0,9.432016056618942e-10,0.13,,0.126,0.166
0.8,0.8,1.0,9.432016056618942e-10,0.166,,0.162,0.158
0.8,0.9,1.0,9.432016056618942e-10,0.138,,0.14,0.136
0.9,0.9,1.0,9.432016056618942e-10,0.144,,0.124,0.1
0.01,0.01,1.0,9.432016056618942e-10,0.984,,0.972,0.938
0.01,0.02,1.0,9.432016056618942e-10,0.916,,0.908,0.88
0.01,0.03,1.0,9.432016056618942e-10,0.872,,0.858,0.826
0.01,0.04,1.0,9.432016056618942e-10,0.844,,0.818,0.788
0.01,0.05,1.0,9.432016056618942e-10,0.788,,0.778,0.738
0.01,0.06,1.0,9.432016056618942e-10,0.776,,0.782,0.756
0.01,0.07,1.0,9.432016056618942e-10,0.728,,0.724,0.702
0.01,0.08,1.0,9.432016056618942e-10,0.718,,0.702,0.682
0.01,0.09,1.0,9.432016056618942e-10,0.642,,0.644,0.642
0.02,0.02,1.0,9.432016056618942e-10,0.916,,0.92,0.89
0.02,0.03,1.0,9.432016056618942e-10,0.88,,0.868,0.828
0.02,0.04,1.0,9.432016056618942e-10,0.85,,0.83,0.798
0.02,0.05,1.0,9.432016056618942e-10,0.792,,0.778,0.744
0.02,0.06,1.0,9.432016056618942e-10,0.788,,0.782,0.748
