m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.1,0.1,1.9095647993081502,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.2,2.8101304969712415,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.3,3.699706179357965,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.4,4.575557117651626,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.5,5.433780830483028,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.6,6.268530136416277,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.7,7.07045861030067,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.8,7.823214990557688,8.488814450957049e-10,1.0,,1.0,1.0
0.1,0.9,8.68108832519859,8.488814450957049e-10,1.0,,1.0,1.0
0.2,0.2,1.8101304969712413,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.3,2.1997061793579644,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.4,2.575557117651626,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.5,2.9337808304830277,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.6,3.268530136416277,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.7,3.575836803801503,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.8,3.9704599551232875,7.545612845295155e-10,1.0,,1.0,1.0
0.2,0.9,5.230080940978918,7.545612845295155e-10,1.0,,1.0,1.0
0.3,0.3,1.699706179357965,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.4,1.9088904509849591,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.5,2.101049174760391,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.6,2.2850424732827324,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.7,2.4985990964541287,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.8,2.8771120023427614,6.602411239633259e-10,1.0,,1.0,1.0
0.3,0.9,4.282067215305558,6.602411239633259e-10,1.0,,1.0,1.0
0.4,0.4,1.5755571176516256,5.659209633971366e-10,1.0,,1.0,1.0
0.4,0.5,1.6946183296263162,5.659209633971366e-10,1.0,,1.0,1.0
0.4,0.6,1.8136258392169444,5.659209633971366e-10,1.0,,1.0,1.0
0.4,0.7,1.9790049893762511,5.659209633971366e-10,1.0,,1.0,1.0
0.4,0.8,2.3272746158823994,5.659209633971366e-10,1.0,,1.0,1.0
0.4,0.9,3.67439041890566,5.659209633971366e-10,1.0,,1.0,1.0
0.5,0.5,1.433780830483027,4.716008028309471e-10,1.0,,1.0,1.0
0.5,0.6,1.5124860248224745,4.716008028309471e-10,1.0,,1.0,1.0
0.5,0.7,1.6326197279579056,4.716008028309471e-10,1.0,,1.0,1.0
0.5,0.8,1.9294518950676753,4.716008028309471e-10,1.0,,1.0,1.0
0.5,0.9,3.07045861030067,4.716008028309471e-10,1.0,,1.0,1.0
0.6,0.6,1.268530136416278,3.772806422647577e-10,1.0,,1.0,1.0
0.6,0.7,1.3448557771330518,3.772806422647577e-10,1.0,,1.0,1.0
0.6,0.8,1.5704586103006695,3.772806422647577e-10,1.0,,1.0,1.0
0.6,0.9,2.454458592793241,3.772806422647577e-10,1.0,,1.0,1.0
0.7,0.7,1.0704586103006692,2.8296048169856833e-10,1.0,,0.998,0.992
0.7,0.8,1.204458592793241,2.8296048169856833e-10,1.0,,1.0,1.0
0.7,0.9,1.823214990557691,2.8296048169856833e-10,1.0,,1.0,1.0
0.8,0.8,0.823214990557691,1.8864032113237884e-10,1.0,0.69,0.996,0.988
0.8,0.9,1.1721065788577625,1.8864032113237884e-10,1.0,,0.998,0.998
0.9,0.9,0.4940287080441789,9.432016056618942e-11,0.988,0.49,0.952,0.886
0.01,0.01,1.9913157536841377,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.02,2.982555430077965,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.03,3.9737176844607256,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.04,4.964801136140165,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.05,5.955804367157967,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.06,6.946725920936476,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.07,7.937564300863371,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.08,8.928317968810918,9.337695896052754e-10,1.0,,1.0,1.0
0.01,0.09,9.918985343586185,9.337695896052754e-10,1.0,,1.0,1.0
0.02,0.02,1.9825554300779649,9.243375735486561e-10,1.0,,1.0,1.0
0.02,0.03,2.473717684460726,9.243375735486561e-10,1.0,,1.0,1.0
0.02,0.04,2.9648011361401645,9.243375735486561e-10,1.0,,1.0,1.0
0.02,0.05,3.455804367157969,9.243375735486561e-10,1.0,,1.0,1.0
0.02,0.06,3.9467259209364793,9.243375735486561e-10,1.0,,1.0,1.0
0.02,0.07,4.437564300863365,9.243375735486561e-10,1.0,,1.0,1.0
0.02,0.08,4.928317968810917,9.243375735486561e-10,1.0,,1.0,1.0
0.02,0.09,5.418985343586186,9.243375735486561e-10,1.0,,1.0,1.0
0.03,0.03,1.9737176844607265,9.14905557492037e-10,1.0,,1.0,1.0
0.03,0.04,2.298134469473497,9.14905557492037e-10,1.0,,1.0,1.0
0.03,0.05,2.622471033824637,9.14905557492037e-10,1.0,,1.0,1.0
0.03,0.06,2.946725920936479,9.14905557492037e-10,1.0,,1.0,1.0
0.03,0.07,3.2708976341966998,9.14905557492037e-10,1.0,,1.0,1.0
0.03,0.08,3.5949846354775845,9.14905557492037e-10,1.0,,1.0,1.0
0.03,0.09,3.918985343586184,9.14905557492037e-10,1.0,,1.0,1.0
0.04,0.04,1.964801136140164,9.054735414354184e-10,1.0,,1.0,1.0
0.04,0.05,2.20580436715797,9.054735414354184e-10,1.0,,1.0,1.0
0.04,0.06,2.446725920936479,9.054735414354184e-10,1.0,,1.0,1.0
0.04,0.07,2.6875643008633654,9.054735414354184e-10,1.0,,1.0,1.0
0.04,0.08,2.928317968810916,9.054735414354184e-10,1.0,,1.0,1.0
0.04,0.09,3.1689853435861837,9.054735414354184e-10,1.0,,1.0,1.0
0.05,0.05,1.95580436715797,8.960415253787996e-10,1.0,,1.0,1.0
0.05,0.06,2.146725920936478,8.960415253787996e-10,1.0,,1.0,1.0
0.05,0.07,2.337564300863367,8.960415253787996e-10,1.0,,1.0,1.0
0.05,0.08,2.5283179688109167,8.960415253787996e-10,1.0,,1.0,1.0
0.05,0.09,2.718985343586183,8.960415253787996e-10,1.0,,1.0,1.0
0.06,0.06,1.9467259209364776,8.866095093221806e-10,1.0,,1.0,1.0
0.06,0.07,2.104230967530033,8.866095093221806e-10,1.0,,1.0,1.0
0.06,0.08,2.261651302144251,8.866095093221806e-10,1.0,,1.0,1.0
0.06,0.09,2.4189853435861832,8.866095093221806e-10,1.0,,1.0,1.0
0.07,0.07,1.9375643008633656,8.771774932655613e-10,1.0,,1.0,1.0
0.07,0.08,2.071175111668061,8.771774932655613e-10,1.0,,1.0,1.0
0.07,0.09,2.20469962930047,8.771774932655613e-10,1.0,,1.0,1.0
0.08,0.08,1.9283179688109167,8.677454772089426e-10,1.0,,1.0,1.0
0.08,0.09,2.0439853435861832,8.677454772089426e-10,1.0,,1.0,1.0
0.09,0.09,1.918985343586183,8.583134611523236e-10,1.0,,1.0,1.0
0.11,0.11,1.9000546637077282,8.394494290390861e-10,1.0,,1.0,1.0
0.12,0.12,1.8904532163461254,8.300174129824673e-10,1.0,,1.0,1.0
0.13,0.13,1.8807586867468644,8.20585396925848e-10,1.0,,1.0,1.0
0.14,0.14,1.870969252436353,8.111533808692291e-10,1.0,,1.0,1.0
0.15,0.15,1.8610830368876068,8.017213648126102e-10,1.0,,1.0,1.0
0.16,0.16,1.8510981073612989,7.922893487559912e-10,1.0,,1.0,1.0
0.17,0.17,1.8410124726379327,7.828573326993724e-10,1.0,,1.0,1.0
0.18,0.18,1.8308240806344924,7.734253166427533e-10,1.0,,1.0,1.0
0.19,0.19,1.820530815898414,7.639933005861343e-10,1.0,,1.0,1.0
0.21,0.21,1.7996208736137405,7.451292684728968e-10,1.0,,1.0,1.0
0.22,0.22,1.7889996238836343,7.356972524162776e-10,1.0,,1.0,1.0
0.23,0.23,1.7782643510564888,7.262652363596585e-10,1.0,,1.0,1.0
0.24,0.24,1.7674125803795062,7.168332203030395e-10,1.0,,1.0,1.0
0.25,0.25,1.7564417556472545,7.074012042464206e-10,1.0,,1.0,1.0
0.26,0.26,1.7453492355874618,6.979691881898017e-10,1.0,,1.0,1.0
0.27,0.27,1.7341322900441,6.885371721331829e-10,1.0,,1.0,1.0
0.28,0.28,1.722788095943956,6.791051560765638e-10,1.0,,1.0,1.0
0.29,0.29,1.711313733031793,6.696731400199447e-10,1.0,,1.0,1.0
0.31,0.31,1.6879623065010638,6.508091079067069e-10,1.0,,1.0,1.0
0.32,0.32,1.6760788745066837,6.413770918500882e-10,1.0,,1.0,1.0
0.33,0.33,1.6640525265218362,6.319450757934689e-10,1.0,,1.0,1.0
0.34,0.34,1.6518797831027674,6.225130597368502e-10,1.0,,1.0,1.0
0.35,0.35,1.639557036172042,6.130810436802313e-10,1.0,,1.0,1.0
0.36,0.36,1.6270805425986328,6.036490276236126e-10,1.0,,1.0,1.0
0.37,0.37,1.6144464173724318,5.942170115669934e-10,1.0,,1.0,1.0
0.38,0.38,1.6016506263420462,5.847849955103744e-10,1.0,,1.0,1.0
0.39,0.39,1.5886889784819094,5.753529794537554e-10,1.0,,1.0,1.0
0.41,0.41,1.5622505138069964,5.564889473405177e-10,1.0,,1.0,1.0
0.42,0.42,1.5487644536183611,5.470569312838987e-10,1.0,,1.0,1.0
0.43,0.43,1.5350940304476355,5.376249152272798e-10,1.0,,1.0,1.0
0.44,0.44,1.5212341336307065,5.281928991706608e-10,1.0,,1.0,1.0
0.45,0.45,1.50717943700661,5.187608831140418e-10,1.0,,1.0,1.0
0.46,0.46,1.4929243866290494,5.09328867057423e-10,1.0,,1.0,1.0
0.47,0.47,1.478463187589315,4.99896851000804e-10,1.0,,1.0,1.0
0.48,0.48,1.4637897898723569,4.904648349441852e-10,1.0,,1.0,1.0
0.49,0.49,1.4488978731596076,4.810328188875658e-10,1.0,,1.0,1.0
0.51,0.51,1.4184317506245478,4.6216878677432804e-10,1.0,,1.0,1.0
0.52,0.52,1.4028433991435674,4.527367707177092e-10,1.0,,1.0,1.0
0.53,0.53,1.3870081979021314,4.433047546610903e-10,1.0,,1.0,1.0
0.54,0.54,1.370918202942736,4.3387273860447116e-10,1.0,,1.0,1.0
0.55,0.55,1.354565080557118,4.2444072254785245e-10,1.0,,1.0,1.0
0.56,0.56,1.337940081365533,4.1500870649123337e-10,1.0,,1.0,1.0
0.57,0.57,1.3210340122047022,4.0557669043461455e-10,1.0,,1.0,1.0
0.58,0.58,1.3038372055982888,3.9614467437799573e-10,1.0,,1.0,0.998
0.59,0.59,1.286339486556065,3.8671265832137665e-10,1.0,,1.0,1.0
0.61,0.61,1.2503978534094944,3.678486262081388e-10,1.0,,1.0,1.0
0.62,0.62,1.231930709580581,3.584166101515198e-10,1.0,,1.0,1.0
0.63,0.63,1.2131161036576448,3.4898459409490085e-10,1.0,,1.0,1.0
0.64,0.64,1.1939407094015329,3.395525780382819e-10,1.0,,1.0,0.998
0.65,0.65,1.1743904189056604,3.3012056198166295e-10,1.0,,1.0,1.0
0.66,0.66,1.1544502802419097,3.206885459250441e-10,1.0,,1.0,1.0
0.67,0.67,1.1341044287622568,3.112565298684251e-10,1.0,,1.0,1.0
0.68,0.68,1.1133360112654138,3.0182451381180613e-10,1.0,,1.0,1.0
0.69,0.69,1.092127102120336,2.923924977551873e-10,1.0,,1.0,0.994
0.71,0.71,1.0483101761220233,2.7352846564194936e-10,1.0,,1.0,0.994
0.72,0.72,1.0256600562823308,2.640964495853304e-10,1.0,,1.0,0.992
0.73,0.73,1.0024849955784345,2.546644335287115e-10,1.0,,1.0,0.99
0.74,0.74,0.9787600834017757,2.452324174720926e-10,1.0,0.798,0.998,0.998
0.75,0.75,0.9544585927932409,2.3580040141547356e-10,1.0,0.782,1.0,0.996
0.76,0.76,0.9295517994500337,2.263683853588546e-10,1.0,0.776,1.0,0.994
0.77,0.77,0.9040087776111622,2.1693636930223558e-10,1.0,0.762,1.0,0.986
0.78,0.78,0.8777961691839321,2.0750435324561668e-10,1.0,0.756,1.0,0.99
0.79,0.79,0.8508779217882115,1.980723371889978e-10,1.0,0.734,1.0,0.984
0.81,0.81,0.7947649975091858,1.7920830507575986e-10,1.0,0.69,0.992,0.98
0.82,0.82,0.7654818410218275,1.69776289019141e-10,1.0,0.686,0.994,0.972
0.83,0.83,0.7353152463923233,1.603442729625221e-10,1.0,0.664,0.992,0.972
0.84,0.84,0.7042102464645194,1.5091225690590314e-10,0.994,0.598,0.98,0.958
0.85,0.85,0.6721065788577636,1.4148024084928417e-10,0.992,0.616,0.988,0.964
0.86,0.86,0.6389379831880825,1.320482247926652e-10,0.994,0.602,0.984,0.946
0.87,0.87,0.6046313776858756,1.226162087360463e-10,0.988,0.574,0.974,0.936
0.88,0.88,0.5691058894886825,1.131841926794273e-10,1.0,0.556,0.956,0.91
0.89,0.89,0.5322717062509686,1.0375217662280834e-10,0.986,0.53,0.936,0.906
0.91,0.91,0.4542648270914779,8.488814450957043e-11,0.984,0.482,0.906,0.836
0.92,0.92,0.4128540676629339,7.545612845295152e-11,0.97,0.434,0.884,0.778
0.93,0.93,0.3696540979731015,6.602411239633256e-11,0.956,0.416,0.85,0.754
0.94,0.94,0.32450329803193706,5.659209633971372e-11,0.934,0.346,0.79,0.698
0.95,0.95,0.27721710894494084,4.716008028309475e-11,0.884,0.33,0.724,0.634
0.96,0.96,0.2275834754134653,3.7728064226475805e-11,0.828,0.292,0.668,0.526
0.97,0.97,0.17535709695257054,2.829604816985686e-11,0.736,0.218,0.522,0.42
0.98,0.98,0.12025209344841342,1.8864032113237902e-11,0.61,0.208,0.398,0.302
