m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.1,0.1,-0.398,,-0.394,-0.40800000000000003,-0.398,,-0.392,-0.40800000000000003,-0.398,,-0.394,-0.40800000000000003
0.1,0.2,-0.51,,-0.506,-0.522,-0.516,,-0.506,-0.53,-0.51,,-0.506,-0.522
0.1,0.3,-0.5900000000000001,,-0.5900000000000001,-0.5820000000000001,,,,,-0.5900000000000001,,-0.5900000000000001,-0.5820000000000001
0.1,0.4,-0.6759999999999999,,-0.6719999999999999,-0.6819999999999999,,,,,-0.6759999999999999,,-0.6719999999999999,-0.6819999999999999
0.1,0.5,-0.716,,-0.712,-0.716,,,,,-0.716,,-0.712,-0.716
0.1,0.6,-0.756,,-0.77,-0.756,,,,,-0.756,,-0.77,-0.756
0.1,0.7,-0.788,,-0.784,-0.774,,,,,-0.788,,-0.784,-0.774
0.1,0.8,-0.8280000000000001,,-0.832,-0.834,,,,,-0.8280000000000001,,-0.832,-0.834
0.1,0.9,-0.8260000000000001,,-0.8200000000000001,-0.8240000000000001,,,,,-0.8260000000000001,,-0.8200000000000001,-0.8240000000000001
0.2,0.2,-0.51,,-0.516,-0.534,-0.534,,-0.534,-0.546,-0.51,,-0.516,-0.534
0.2,0.3,-0.5760000000000001,,-0.5760000000000001,-0.5800000000000001,-0.5760000000000001,,-0.5800000000000001,-0.5740000000000001,-0.5760000000000001,,-0.5760000000000001,-0.5800000000000001
0.2,0.4,-0.6699999999999999,,-0.6839999999999999,-0.688,-0.6739999999999999,,-0.6819999999999999,-0.6779999999999999,-0.6699999999999999,,-0.6839999999999999,-0.688
0.2,0.5,-0.73,,-0.718,-0.724,-0.6799999999999999,,-0.69,-0.6699999999999999,-0.73,,-0.718,-0.724
0.2,0.6,-0.75,,-0.752,-0.76,,,,,-0.75,,-0.752,-0.76
0.2,0.7,-0.782,,-0.78,-0.776,,,,,-0.782,,-0.78,-0.776
0.2,0.8,-0.8260000000000001,,-0.8240000000000001,-0.8240000000000001,,,,,-0.8260000000000001,,-0.8240000000000001,-0.8240000000000001
0.2,0.9,-0.8260000000000001,,-0.836,-0.8220000000000001,,,,,-0.8260000000000001,,-0.836,-0.8220000000000001
0.3,0.3,-0.602,,-0.604,-0.62,-0.6,,-0.596,-0.606,-0.602,,-0.604,-0.62
0.3,0.4,-0.7,,-0.698,-0.702,-0.7,,-0.698,-0.702,-0.7,,-0.698,-0.702
0.3,0.5,-0.716,,-0.718,-0.734,-0.72,,-0.718,-0.734,-0.716,,-0.718,-0.734
0.3,0.6,-0.764,,-0.772,-0.756,-0.768,,-0.768,-0.76,-0.764,,-0.772,-0.756
0.3,0.7,-0.794,,-0.79,-0.788,-0.798,,-0.79,-0.79,-0.794,,-0.79,-0.788
0.3,0.8,-0.836,,-0.844,-0.842,-0.798,,-0.834,-0.8160000000000001,-0.836,,-0.844,-0.842
0.3,0.9,-0.836,,-0.852,-0.8200000000000001,,,,,-0.836,,-0.852,-0.8200000000000001
0.4,0.4,-0.69,,-0.698,-0.6759999999999999,-0.688,,-0.694,-0.6819999999999999,-0.69,,-0.698,-0.6759999999999999
0.4,0.5,-0.722,,-0.734,-0.738,-0.722,,-0.734,-0.732,-0.722,,-0.734,-0.738
0.4,0.6,-0.76,,-0.768,-0.778,-0.76,,-0.768,-0.778,-0.76,,-0.768,-0.778
0.4,0.7,-0.798,,-0.8,-0.804,-0.798,,-0.8,-0.804,-0.798,,-0.8,-0.804
0.4,0.8,-0.844,,-0.834,-0.84,-0.848,,-0.836,-0.836,-0.844,,-0.834,-0.84
